STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,FINSIT,SSTAX,PARTYID,EDUC,BUSHUNFR,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,STR8TALK,MCSAYDO,REFORMER,PREVPRI,VETVOTER,LOYALREP,INTERNET,MCTEMPER,MIGRATE,BEATDEM,CAMPFIN,WEIGHT
3.0,285.0,46.0,SECOND CALL,65-74,FEMALE,3,WITHIN LAST WEEK,,,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,YES,"$50,000-$74,999",NO,MODERATE,MODERATE,65+,18-74,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,65-74,UNFAVORABLE,FAVORABLE,MCCAIN,YES,OMITS,YES,NO,NOT TIED TO PARTY LEADERS,NO,YES,NO,MCCAIN,HELP,0.71
3.0,285.0,47.0,THIRD CALL,40-44,FEMALE,3,WITHIN LAST WEEK,,,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,NO,NO,NOT TIED TO PARTY LEADERS,NO,YES,YES,MCCAIN,HELP,0.668
3.0,285.0,48.0,THIRD CALL,50-59,FEMALE,3,THIS YEAR,,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,YES,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,DESERT,45-59,50-59,REPUBLICAN,50-64,50-64,UNFAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,NO,NO,NOT TIED TO PARTY LEADERS,YES,YES,YES,MCCAIN,HELP,0.668
3.0,285.0,49.0,THIRD CALL,50-59,MALE,1,BEFORE THAT,,,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,POST GRADUATE STUDY,NO,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,BUSH,NO,BOTH,YES,NO,NOT TIED TO PARTY LEADERS,YES,YES,NO,BUSH,HELP,0.545
3.0,285.0,50.0,THIRD CALL,50-59,MALE,3,THIS YEAR,,,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,YES,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,MCCAIN,YES,MCCAIN,NO,YES,LOYAL REPUBLICAN,YES,YES,YES,BUSH,HELP,0.66
3.0,285.0,51.0,THIRD CALL,60-64,FEMALE,1,THIS YEAR,,,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,60+,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,BUSH,YES,BUSH,YES,NO,LOYAL REPUBLICAN,YES,YES,OMITS,BUSH,HURT,0.586
3.0,285.0,52.0,THIRD CALL,60-64,MALE,1,BEFORE THAT,,,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,60+,60+,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,BUSH,YES,BOTH,YES,YES,LOYAL REPUBLICAN,YES,YES,NO,BUSH,HURT,0.578
3.0,285.0,53.0,THIRD CALL,50-59,,3,THIS YEAR,,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,POST GRADUATE STUDY,OMITS,"$75,000-$99,999",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,MCCAIN,NO,BOTH,NO,YES,NOT TIED TO PARTY LEADERS,NO,YES,YES,MCCAIN,HELP,0.668
3.0,285.0,54.0,THIRD CALL,45-49,FEMALE,1,THIS YEAR,,,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,NO,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,DESERT,45-59,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,BUSH,YES,BUSH,YES,NO,NOT TIED TO PARTY LEADERS,YES,YES,YES,MCCAIN,HELP,0.553
3.0,285.0,55.0,THIRD CALL,45-49,,1,THIS YEAR,,,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,BUSH,YES,BUSH,YES,YES,NOT TIED TO PARTY LEADERS,NO,NO,NO,BUSH,HELP,0.545
3.0,285.0,56.0,THIRD CALL,45-49,FEMALE,1,WITHIN LAST 3 DAYS,,,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,SAME,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,YES,"$30,000-$49,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,BUSH,YES,BUSH,YES,NO,LOYAL REPUBLICAN,NO,NO,NO,BUSH,HELP,0.553
3.0,285.0,57.0,THIRD CALL,65-74,MALE,3,THIS YEAR,,,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,OMITS,SAME,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OMITS,"$100,000 OR MORE",OMITS,MODERATE,MODERATE,65+,18-74,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,65-74,OMITS,FAVORABLE,MCCAIN,OMITS,MCCAIN,YES,YES,NOT TIED TO PARTY LEADERS,YES,YES,OMITS,OMITS,HELP,0.7020000000000001
3.0,285.0,58.0,THIRD CALL,65-74,MALE,3,THIS YEAR,,,CANDS POSITIONS ON ISSUES,NO,OMITS,OMITS,OMITS,TAX CUT,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,OMITS,,OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,DESERT,60+,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,NO,YES,NOT TIED TO PARTY LEADERS,NO,YES,YES,MCCAIN,HELP,0.7020000000000001
3.0,285.0,59.0,THIRD CALL,65-74,,1,BEFORE THAT,,,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,NO,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,BUSH,YES,BUSH,NO,YES,LOYAL REPUBLICAN,YES,NO,YES,BUSH,HURT,0.586
3.0,285.0,60.0,THIRD CALL,40-44,MALE,3,BEFORE THAT,,,CANDS PERSONAL QUALITIES,OMITS,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,BOTH,NO,BOTH,YES,YES,LOYAL REPUBLICAN,YES,YES,NO,MCCAIN,HELP,0.66
3.0,285.0,61.0,THIRD CALL,65-74,MALE,3,THIS YEAR,,,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,COLLEGE GRADUATE,YES,"$30,000-$49,000",NO,MODERATE,MODERATE,65+,18-74,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,65-74,UNFAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,YES,NO,NOT TIED TO PARTY LEADERS,YES,YES,YES,MCCAIN,HELP,0.7020000000000001
3.0,285.0,62.0,THIRD CALL,40-44,MALE,1,WITHIN LAST WEEK,,,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,POST GRADUATE STUDY,NO,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,DESERT,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,BOTH,YES,BOTH,YES,NO,LOYAL REPUBLICAN,YES,YES,NO,BUSH,HELP,0.545
3.0,285.0,63.0,THIRD CALL,50-59,FEMALE,1,BEFORE THAT,,,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,WORSE,TAX CUT,REPUBLICAN,,NO,"$15,000-$29,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,BUSH,YES,BUSH,YES,NO,LOYAL REPUBLICAN,NO,NO,YES,BUSH,HELP,0.553
3.0,285.0,64.0,THIRD CALL,65-74,MALE,1,THIS YEAR,,,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,INDEPENDENT,POST GRADUATE STUDY,NO,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,DESERT,60+,60+,INDEPENDENT/OTHER,65+,65-74,FAVORABLE,OMITS,NEITHER,YES,BOTH,YES,YES,LOYAL REPUBLICAN,YES,YES,NO,BUSH,OMITS,0.578
3.0,285.0,65.0,THIRD CALL,45-49,FEMALE,1,BEFORE THAT,,,OMITS,NO,LEGAL IN ALL CASES,YES,OMITS,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,BUSH,OMITS,BUSH,NO,NO,OMITS,YES,NO,YES,BUSH,OMITS,0.553
3.0,285.0,66.0,THIRD CALL,65-74,FEMALE,1,BEFORE THAT,OMITS,,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,WORSE,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$15,000-$29,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,BUSH,YES,BUSH,YES,NO,OMITS,NO,NO,YES,BUSH,HURT,0.586
3.0,285.0,67.0,THIRD CALL,50-59,MALE,3,THIS YEAR,,,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,YES,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,50-59,REPUBLICAN,50-64,50-64,UNFAVORABLE,FAVORABLE,MCCAIN,YES,MCCAIN,YES,NO,NOT TIED TO PARTY LEADERS,YES,YES,NO,MCCAIN,HELP,0.66
3.0,285.0,68.0,THIRD CALL,45-49,FEMALE,3,THIS YEAR,OMITS,,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,HIGH SCHOOL GRADUATE,YES,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,40-49,REPUBLICAN,40-49,40-49,UNFAVORABLE,FAVORABLE,MCCAIN,NO,OMITS,YES,NO,NOT TIED TO PARTY LEADERS,NO,YES,YES,MCCAIN,OMITS,0.668
3.0,288.0,1.0,FIRST CALL,65-74,MALE,3,BEFORE THAT,,,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,YES,"$30,000-$49,000",NO,MODERATE,MODERATE,65+,18-74,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,65-74,UNFAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,YES,YES,NOT TIED TO PARTY LEADERS,YES,YES,NO,MCCAIN,HELP,0.834
3.0,288.0,2.0,FIRST CALL,45-49,FEMALE,1,THIS YEAR,,,OMITS,YES,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,,NO,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,OMITS,OMITS,OMITS,YES,NO,OMITS,YES,NO,YES,BUSH,OMITS,0.66
3.0,288.0,3.0,FIRST CALL,75+,FEMALE,3,BEFORE THAT,,,CANDS POSITIONS ON ISSUES,YES,LEGAL IN ALL CASES,YES,WORSE,STRENGTHEN SOCIAL SECURITY,,SOME COLLEGE OR ASSOCIATES,NO,"$15,000-$29,000",NO,MODERATE,MODERATE,65+,75+,COMPLETE,DESERT,60+,60+,,65+,75+,FAVORABLE,FAVORABLE,MCCAIN,NO,BOTH,NO,NO,NOT TIED TO PARTY LEADERS,NO,YES,NO,BUSH,HELP,0.85
3.0,288.0,4.0,FIRST CALL,50-59,MALE,3,BEFORE THAT,,,OMITS,NO,OMITS,YES,OMITS,OMITS,,,OMITS,,OMITS,,,18-64,18-74,NOT COMPLETE,DESERT,45-59,50-59,,50-64,50-64,OMITS,FAVORABLE,OMITS,NO,OMITS,,,OMITS,,YES,OMITS,OMITS,OMITS,0.784
3.0,288.0,5.0,FIRST CALL,50-59,FEMALE,3,BEFORE THAT,,,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,SAME,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,DESERT,45-59,50-59,REPUBLICAN,50-64,50-64,UNFAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,YES,YES,LOYAL REPUBLICAN,YES,YES,NO,MCCAIN,HELP,0.801
3.0,288.0,6.0,FIRST CALL,50-59,MALE,3,THIS YEAR,,,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,YES,WORSE,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,POST GRADUATE STUDY,YES,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,DESERT,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,BOTH,YES,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,YES,YES,NO,BUSH,HELP,0.784
3.0,288.0,7.0,FIRST CALL,65-74,MALE,3,BEFORE THAT,,,CANDS PERSONAL QUALITIES,OMITS,ILLEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,POST GRADUATE STUDY,YES,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,65-74,UNFAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,YES,YES,OMITS,YES,YES,OMITS,MCCAIN,HELP,0.834
3.0,288.0,8.0,FIRST CALL,50-59,MALE,3,THIS YEAR,,,CANDS POSITIONS ON ISSUES,NO,OMITS,YES,SAME,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,YES,,NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,MCCAIN,YES,BOTH,YES,YES,NOT TIED TO PARTY LEADERS,YES,YES,NO,MCCAIN,HELP,0.784
3.0,288.0,9.0,FIRST CALL,30-39,MALE,1,THIS YEAR,,,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,POST GRADUATE STUDY,NO,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,BUSH,OMITS,OMITS,NO,NO,NOT TIED TO PARTY LEADERS,YES,OMITS,YES,BUSH,HELP,0.652
3.0,288.0,10.0,FIRST CALL,60-64,FEMALE,3,THIS YEAR,OMITS,,CANDS PERSONAL QUALITIES,OMITS,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,HIGH SCHOOL GRADUATE,YES,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,DESERT,60+,60+,REPUBLICAN,50-64,50-64,OMITS,FAVORABLE,MCCAIN,NO,OMITS,NO,NO,LOYAL REPUBLICAN,NO,YES,YES,MCCAIN,HELP,0.85
3.0,288.0,11.0,FIRST CALL,45-49,MALE,3,THIS YEAR,OMITS,,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,WORSE,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,OMITS,"$50,000-$74,999",OMITS,MODERATE,MODERATE,18-64,18-74,COMPLETE,DESERT,45-59,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,MCCAIN,NO,NEITHER,YES,NO,LOYAL REPUBLICAN,NO,YES,NO,MCCAIN,HELP,0.784
3.0,288.0,12.0,FIRST CALL,60-64,FEMALE,1,WITHIN LAST WEEK,,,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,POST GRADUATE STUDY,NO,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,60+,60+,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,OMITS,NO,OMITS,YES,NO,NOT TIED TO PARTY LEADERS,NO,YES,NO,BUSH,HELP,0.7020000000000001
3.0,288.0,13.0,FIRST CALL,60-64,MALE,3,WITHIN LAST WEEK,,,CANDS POSITIONS ON ISSUES,YES,LEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,DESERT,60+,60+,REPUBLICAN,50-64,50-64,UNFAVORABLE,FAVORABLE,MCCAIN,NO,BOTH,NO,YES,NOT TIED TO PARTY LEADERS,NO,YES,YES,MCCAIN,HELP,0.834
3.0,288.0,14.0,FIRST CALL,50-59,MALE,1,BEFORE THAT,,,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,NO,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,BOTH,OMITS,BOTH,NO,NO,LOYAL REPUBLICAN,NO,YES,YES,BUSH,HELP,0.652
3.0,288.0,15.0,SECOND CALL,50-59,FEMALE,3,THIS YEAR,OMITS,,OMITS,NO,LEGAL IN MOST CASES,YES,OMITS,OMITS,,,OMITS,,OMITS,,,18-64,18-74,NOT COMPLETE,DESERT,45-59,50-59,,50-64,50-64,FAVORABLE,FAVORABLE,OMITS,OMITS,OMITS,,,OMITS,,YES,OMITS,OMITS,OMITS,0.801
3.0,288.0,16.0,SECOND CALL,50-59,MALE,3,THIS YEAR,,,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,YES,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,YES,YES,NOT TIED TO PARTY LEADERS,YES,YES,YES,MCCAIN,HURT,0.784
3.0,288.0,17.0,SECOND CALL,65-74,FEMALE,3,BEFORE THAT,OMITS,,CANDS PERSONAL QUALITIES,OMITS,ILLEGAL IN ALL CASES,YES,OMITS,OMITS,INDEPENDENT,POST GRADUATE STUDY,YES,,NO,,,65+,18-74,COMPLETE,DESERT,60+,60+,INDEPENDENT/OTHER,65+,65-74,FAVORABLE,FAVORABLE,MCCAIN,YES,MCCAIN,,NO,NOT TIED TO PARTY LEADERS,YES,YES,NO,OMITS,HELP,0.85
3.0,288.0,18.0,SECOND CALL,50-59,FEMALE,2,TODAY,,,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,YES,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,50-59,REPUBLICAN,50-64,50-64,UNFAVORABLE,UNFAVORABLE,NEITHER,YES,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,NO,YES,NO,OMITS,HELP,0.429
3.0,288.0,19.0,SECOND CALL,50-59,MALE,3,THIS YEAR,,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,SAME,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$15,000-$29,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,MCCAIN,NO,BOTH,YES,YES,NOT TIED TO PARTY LEADERS,YES,YES,NO,MCCAIN,HELP,0.784
3.0,288.0,20.0,SECOND CALL,65-74,FEMALE,1,THIS YEAR,,,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,YES,SAME,TAX CUT,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,BUSH,YES,BUSH,YES,NO,NOT TIED TO PARTY LEADERS,YES,NO,NO,BUSH,HURT,0.7020000000000001
3.0,288.0,21.0,SECOND CALL,65-74,FEMALE,1,THIS YEAR,,,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,SAME,TAX CUT,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,BUSH,YES,BUSH,YES,NO,LOYAL REPUBLICAN,NO,NO,YES,BUSH,HELP,0.7020000000000001
3.0,288.0,22.0,SECOND CALL,65-74,FEMALE,3,THIS YEAR,,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,YES,"$30,000-$49,000",YES,MODERATE,MODERATE,65+,18-74,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,65-74,UNFAVORABLE,FAVORABLE,MCCAIN,NO,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,NO,YES,NO,OMITS,HELP,0.85
3.0,288.0,23.0,SECOND CALL,65-74,MALE,1,WITHIN LAST 3 DAYS,OMITS,,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,SAME,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,NO,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,BUSH,NO,BOTH,YES,YES,LOYAL REPUBLICAN,YES,YES,YES,BUSH,HURT,0.6930000000000001
3.0,288.0,24.0,SECOND CALL,75+,MALE,3,BEFORE THAT,,,CANDS POSITIONS ON ISSUES,NO,OMITS,NO,SAME,TAX CUT,SOMETHING ELSE,SOME COLLEGE OR ASSOCIATES,OMITS,,OMITS,MODERATE,MODERATE,65+,75+,COMPLETE,DESERT,60+,60+,INDEPENDENT/OTHER,65+,75+,UNFAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,YES,YES,NOT TIED TO PARTY LEADERS,NO,YES,YES,MCCAIN,OMITS,0.834
3.0,288.0,25.0,SECOND CALL,45-49,FEMALE,3,THIS YEAR,,,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,YES,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,40-49,REPUBLICAN,40-49,40-49,UNFAVORABLE,FAVORABLE,MCCAIN,NO,BOTH,YES,NO,LOYAL REPUBLICAN,NO,YES,NO,MCCAIN,HELP,0.801
3.0,288.0,26.0,SECOND CALL,45-49,FEMALE,1,BEFORE THAT,,,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,DESERT,45-59,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,BOTH,OMITS,BUSH,YES,NO,LOYAL REPUBLICAN,NO,NO,YES,BUSH,HELP,0.66
