STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,TIME,STANDLIV,ISSUE,QUALITY,CLINTON,SURPLUS,HLTHPLAN,CLINGORE,ISSVQUAL,FINSIT,UNION,PARTYID,EDUC,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,RACEREL,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,BCPERSON,INTERNET,STEC,RELPUB,BRADHLTH,WEIGHT
8.0,13.0,23.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,BEFORE THAT,WILL FALL,ECONOMY/JOBS,STRONG LEADER,APPROVE,ONLY GORE,GORE PLAN BETTER,NOT IMPORTANT AT ALL,CANDS PERSONAL QUALITIES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,YES,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,45-59,50-59,DEMOCRAT,50-64,50-64,FAVORABLE,NO,GOOD,NOT PUBLIC,YES,0.714
8.0,13.0,24.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,WITHIN LAST WEEK,WILL RISE,EDUCATION,NOT TYPICAL POLITICIAN,APPROVE,ONLY GORE,GORE PLAN BETTER,SOMEWHAT IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,YES,DEMOCRAT,POST GRADUATE STUDY,NO,"$30,000-$49,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,30-44,30-39,DEMOCRAT,30-39,30-39,FAVORABLE,NO,GOOD,NOT PUBLIC,NO,0.714
8.0,13.0,25.0,THIRD CALL,18-24,BLACK,FEMALE,BRADLEY,TODAY,WILL RISE,WORLD AFFAIRS,NOT TYPICAL POLITICIAN,DISAPPROVE,ONLY BRADLEY,BRADLEY PLAN BETTER,VERY IMPORTANT,CANDS PERSONAL QUALITIES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,NO,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,18-29,18-24,DEMOCRAT,18-24,18-24,FAVORABLE,YES,GOOD,NOT PUBLIC,NO,0.881
8.0,15.0,1.0,FIRST CALL,40-44,WHITE,MALE,GORE,TODAY,WILL RISE,SS/MEDICARE,,APPROVE,ONLY GORE,GORE PLAN BETTER,VERY IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,YES,"UNDER $15,000",NO,MODERATE,MODERATE,18-64,18-74,ONLY GORE,COMPLETE,NEW CASTLE COUNTY,30-44,40-49,DEMOCRAT,40-49,40-49,FAVORABLE,NO,GOOD,NOT PUBLIC,NO,0.632
8.0,15.0,2.0,FIRST CALL,65-74,BLACK,MALE,GORE,THIS YEAR,WILL RISE,HEALTH CARE,REPRESENTS CONSERVATIVE VALUES,APPROVE,ONLY GORE,GORE PLAN BETTER,NOT TOO IMPORTANT,CANDS POSITIONS ON ISSUES,SAME,NO,INDEPENDENT,DID NOT COMPLETE HIGH SCHOOL,YES,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,NEITHER,COMPLETE,NEW CASTLE COUNTY,60+,60+,INDEPENDENT/OTHER,65+,65-74,FAVORABLE,NO,GOOD,PUBLIC,YES,0.627
8.0,15.0,3.0,FIRST CALL,65-74,WHITE,MALE,GORE,TODAY,WILL RISE,SS/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,BOTH,GORE PLAN BETTER,NOT TOO IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,65+,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,60+,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,NO,GOOD,NOT PUBLIC,YES,0.632
8.0,15.0,4.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,BEFORE THAT,WILL RISE,SS/MEDICARE,REPRESENTS CONSERVATIVE VALUES,APPROVE,ONLY GORE,GORE PLAN BETTER,VERY IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,NO,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,60+,60+,DEMOCRAT,65+,65-74,FAVORABLE,NO,EXCELLENT,NOT PUBLIC,NO,0.617
8.0,15.0,5.0,FIRST CALL,45-49,WHITE,MALE,GORE,WITHIN LAST WEEK,WILL RISE,EDUCATION,REPRESENTS CONSERVATIVE VALUES,APPROVE,ONLY GORE,GORE PLAN BETTER,NOT TOO IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,YES,INDEPENDENT,POST GRADUATE STUDY,NO,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,YES,EXCELLENT,PUBLIC,YES,0.632
8.0,15.0,6.0,FIRST CALL,65-74,WHITE,MALE,BRADLEY,BEFORE THAT,WILL RISE,SS/MEDICARE,REPRESENTS CONSERVATIVE VALUES,APPROVE,ONLY BRADLEY,BRADLEY PLAN BETTER,SOMEWHAT IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,NO,"$15,000-$29,000",YES,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,ONLY BRADLEY,COMPLETE,NEW CASTLE COUNTY,60+,60+,DEMOCRAT,65+,65-74,FAVORABLE,NO,GOOD,NOT PUBLIC,YES,0.746
8.0,15.0,7.0,FIRST CALL,65-74,WHITE,MALE,BRADLEY,THIS YEAR,WILL RISE,SS/MEDICARE,,APPROVE,BOTH,BRADLEY PLAN BETTER,VERY IMPORTANT,CANDS POSITIONS ON ISSUES,OMITS,YES,,SOME COLLEGE OR ASSOCIATES,OMITS,,OMITS,,,65+,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,60+,60+,,65+,65-74,OMITS,,GOOD,OMITS,NO,0.746
8.0,15.0,8.0,FIRST CALL,45-49,WHITE,FEMALE,BRADLEY,BEFORE THAT,WILL FALL,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,APPROVE,ONLY BRADLEY,BOTH THE SAME,SOMEWHAT IMPORTANT,CANDS PERSONAL QUALITIES,WORSE,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NEITHER,COMPLETE,NEW CASTLE COUNTY,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,NO,GOOD,PUBLIC,NO,0.727
8.0,15.0,9.0,FIRST CALL,50-59,BLACK,FEMALE,BRADLEY,THIS YEAR,WILL RISE,ECONOMY/JOBS,NOT TYPICAL POLITICIAN,APPROVE,BOTH,OMITS,SOMEWHAT IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,OMITS,,OMITS,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,,GOOD,OMITS,NO,0.721
8.0,15.0,10.0,FIRST CALL,40-44,WHITE,FEMALE,BRADLEY,THIS YEAR,WILL RISE,OMITS,STANDS UP FOR BELIEFS,APPROVE,BOTH,BOTH THE SAME,NOT IMPORTANT AT ALL,CANDS PERSONAL QUALITIES,SAME,NO,DEMOCRAT,COLLEGE GRADUATE,YES,"$30,000-$49,000",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,YES,GOOD,NOT PUBLIC,NO,0.727
8.0,15.0,11.0,FIRST CALL,30-39,BLACK,MALE,BRADLEY,THIS YEAR,WILL RISE,EDUCATION,NOT TYPICAL POLITICIAN,APPROVE,BOTH,BRADLEY PLAN BETTER,NOT IMPORTANT AT ALL,CANDS POSITIONS ON ISSUES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,30-44,30-39,DEMOCRAT,30-39,30-39,FAVORABLE,YES,EXCELLENT,NOT PUBLIC,NO,0.74
8.0,15.0,12.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,WITHIN LAST WEEK,WILL RISE,SS/MEDICARE,,APPROVE,NEITHER,BOTH THE SAME,NOT TOO IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,YES,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ONLY GORE,COMPLETE,NEW CASTLE COUNTY,60+,60+,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,YES,GOOD,NOT PUBLIC,NO,0.617
8.0,15.0,13.0,FIRST CALL,45-49,BLACK,FEMALE,GORE,THIS YEAR,WILL FALL,SS/MEDICARE,,APPROVE,ONLY GORE,BOTH THE SAME,SOMEWHAT IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,NO,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,45-59,40-49,DEMOCRAT,40-49,40-49,FAVORABLE,YES,GOOD,NOT PUBLIC,YES,0.612
8.0,15.0,14.0,FIRST CALL,40-44,HISPANIC/LATINO,FEMALE,GORE,WITHIN LAST 3 DAYS,WILL RISE,TAXES,REPRESENTS CONSERVATIVE VALUES,APPROVE,NEITHER,GORE PLAN BETTER,SOMEWHAT IMPORTANT,CANDS POSITIONS ON ISSUES,WORSE,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,NO,"$15,000-$29,000",NO,MODERATE,MODERATE,18-64,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,YES,NOT SO GOOD,NOT PUBLIC,NO,0.612
8.0,15.0,15.0,SECOND CALL,40-44,HISPANIC/LATINO,FEMALE,GORE,THIS YEAR,WILL RISE,ECONOMY/JOBS,NOT TYPICAL POLITICIAN,APPROVE,BOTH,BOTH THE SAME,NOT TOO IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,30-44,40-49,DEMOCRAT,40-49,40-49,FAVORABLE,NO,GOOD,NOT PUBLIC,NO,0.612
8.0,15.0,16.0,SECOND CALL,30-39,WHITE,MALE,GORE,BEFORE THAT,WILL RISE,ECONOMY/JOBS,REPRESENTS CONSERVATIVE VALUES,APPROVE,ONLY GORE,BOTH THE SAME,VERY IMPORTANT,CANDS PERSONAL QUALITIES,BETTER,YES,REPUBLICAN,COLLEGE GRADUATE,NO,"$75,000-$99,999",NO,VERY LIBERAL,LIBERAL,18-64,18-74,ONLY GORE,COMPLETE,NEW CASTLE COUNTY,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,YES,GOOD,NOT PUBLIC,NO,0.632
8.0,15.0,17.0,SECOND CALL,40-44,BLACK,MALE,GORE,BEFORE THAT,WILL FALL,SS/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,ONLY GORE,GORE PLAN BETTER,NOT TOO IMPORTANT,CANDS POSITIONS ON ISSUES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ONLY GORE,COMPLETE,NEW CASTLE COUNTY,30-44,40-49,DEMOCRAT,40-49,40-49,FAVORABLE,NO,GOOD,PUBLIC,YES,0.627
8.0,15.0,18.0,SECOND CALL,75+,BLACK,FEMALE,GORE,BEFORE THAT,WILL FALL,SS/MEDICARE,,APPROVE,ONLY GORE,GORE PLAN BETTER,VERY IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,YES,"UNDER $15,000",NO,VERY LIBERAL,LIBERAL,65+,75+,ONLY GORE,COMPLETE,NEW CASTLE COUNTY,60+,60+,DEMOCRAT,65+,75+,FAVORABLE,NO,GOOD,NOT PUBLIC,YES,0.612
8.0,15.0,19.0,SECOND CALL,30-39,BLACK,FEMALE,GORE,THIS YEAR,WILL FALL,EDUCATION,,APPROVE,ONLY GORE,GORE PLAN BETTER,VERY IMPORTANT,CANDS PERSONAL QUALITIES,SAME,NO,DEMOCRAT,POST GRADUATE STUDY,YES,"$50,000-$74,999",NO,VERY LIBERAL,LIBERAL,18-64,18-74,ONLY GORE,COMPLETE,NEW CASTLE COUNTY,30-44,30-39,DEMOCRAT,30-39,30-39,FAVORABLE,YES,GOOD,NOT PUBLIC,YES,0.612
8.0,15.0,20.0,SECOND CALL,40-44,BLACK,MALE,GORE,BEFORE THAT,WILL RISE,EDUCATION,STANDS UP FOR BELIEFS,APPROVE,ONLY GORE,GORE PLAN BETTER,SOMEWHAT IMPORTANT,CANDS PERSONAL QUALITIES,BETTER,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,30-44,40-49,DEMOCRAT,40-49,40-49,FAVORABLE,YES,EXCELLENT,PUBLIC,NO,0.627
8.0,15.0,21.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,WITHIN LAST WEEK,WILL RISE,SS/MEDICARE,,APPROVE,BOTH,GORE PLAN BETTER,VERY IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,65+,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,60+,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,NO,GOOD,NOT PUBLIC,YES,0.617
8.0,15.0,22.0,SECOND CALL,45-49,WHITE,MALE,BRADLEY,BEFORE THAT,WILL RISE,EDUCATION,,APPROVE,ONLY BRADLEY,BRADLEY PLAN BETTER,NOT TOO IMPORTANT,CANDS PERSONAL QUALITIES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,NO,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ONLY BRADLEY,COMPLETE,NEW CASTLE COUNTY,45-59,40-49,DEMOCRAT,40-49,40-49,FAVORABLE,NO,GOOD,NOT PUBLIC,NO,0.746
8.0,15.0,23.0,SECOND CALL,30-39,WHITE,FEMALE,BRADLEY,WITHIN LAST 3 DAYS,WILL RISE,ECONOMY/JOBS,STRONG LEADER,APPROVE,ONLY BRADLEY,BOTH THE SAME,SOMEWHAT IMPORTANT,CANDS PERSONAL QUALITIES,BETTER,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,30-44,30-39,REPUBLICAN,30-39,30-39,UNFAVORABLE,YES,NOT SO GOOD,NOT PUBLIC,NO,0.727
8.0,15.0,24.0,SECOND CALL,45-49,WHITE,MALE,GORE,BEFORE THAT,WILL RISE,SS/MEDICARE,,APPROVE,ONLY GORE,BOTH THE SAME,VERY IMPORTANT,CANDS PERSONAL QUALITIES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,NO,"UNDER $15,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,45-59,40-49,DEMOCRAT,40-49,40-49,FAVORABLE,NO,GOOD,NOT PUBLIC,NO,0.632
8.0,15.0,25.0,SECOND CALL,30-39,BLACK,MALE,GORE,BEFORE THAT,WILL RISE,ECONOMY/JOBS,,APPROVE,ONLY GORE,GORE PLAN BETTER,VERY IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,ONLY GORE,COMPLETE,NEW CASTLE COUNTY,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,FAVORABLE,YES,EXCELLENT,NOT PUBLIC,NO,0.627
8.0,15.0,26.0,SECOND CALL,50-59,WHITE,FEMALE,BRADLEY,THIS YEAR,WILL RISE,HEALTH CARE,NOT TYPICAL POLITICIAN,APPROVE,ONLY BRADLEY,BOTH THE SAME,NOT IMPORTANT AT ALL,CANDS POSITIONS ON ISSUES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,YES,"$30,000-$49,000",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,45-59,50-59,DEMOCRAT,50-64,50-64,FAVORABLE,NO,GOOD,NOT PUBLIC,NO,0.727
8.0,15.0,27.0,SECOND CALL,40-44,WHITE,MALE,BRADLEY,THIS YEAR,WILL FALL,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,APPROVE,ONLY BRADLEY,BRADLEY PLAN BETTER,NOT IMPORTANT AT ALL,CANDS PERSONAL QUALITIES,SAME,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,ONLY BRADLEY,COMPLETE,NEW CASTLE COUNTY,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,NO,GOOD,NOT PUBLIC,NO,0.746
8.0,15.0,28.0,SECOND CALL,60-64,WHITE,FEMALE,BRADLEY,THIS YEAR,WILL RISE,SS/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,ONLY BRADLEY,BRADLEY PLAN BETTER,NOT IMPORTANT AT ALL,CANDS PERSONAL QUALITIES,BETTER,YES,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,YES,"UNDER $15,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,ONLY BRADLEY,COMPLETE,NEW CASTLE COUNTY,60+,60+,DEMOCRAT,50-64,50-64,FAVORABLE,NO,GOOD,PUBLIC,YES,0.727
8.0,15.0,29.0,THIRD CALL,75+,BLACK,FEMALE,GORE,BEFORE THAT,WILL RISE,SS/MEDICARE,STRONG LEADER,APPROVE,ONLY GORE,GORE PLAN BETTER,VERY IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,NO,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,NO,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,65+,75+,ONLY GORE,COMPLETE,NEW CASTLE COUNTY,60+,60+,DEMOCRAT,65+,75+,FAVORABLE,NO,GOOD,PUBLIC,YES,0.612
8.0,15.0,30.0,THIRD CALL,65-74,BLACK,FEMALE,GORE,THIS YEAR,WILL RISE,SS/MEDICARE,,APPROVE,ONLY GORE,GORE PLAN BETTER,VERY IMPORTANT,CANDS PERSONAL QUALITIES,BETTER,NO,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,YES,,NO,MODERATE,MODERATE,65+,18-74,ONLY GORE,COMPLETE,NEW CASTLE COUNTY,60+,60+,DEMOCRAT,65+,65-74,FAVORABLE,NO,GOOD,NOT PUBLIC,YES,0.612
8.0,15.0,31.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,BEFORE THAT,WILL RISE,SS/MEDICARE,REPRESENTS CONSERVATIVE VALUES,APPROVE,ONLY GORE,GORE PLAN BETTER,SOMEWHAT IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,NO,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,ONLY GORE,COMPLETE,NEW CASTLE COUNTY,60+,60+,DEMOCRAT,65+,65-74,FAVORABLE,NO,EXCELLENT,NOT PUBLIC,NO,0.617
8.0,15.0,32.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,THIS YEAR,WILL RISE,TAXES,,APPROVE,ONLY GORE,GORE PLAN BETTER,VERY IMPORTANT,CANDS POSITIONS ON ISSUES,SAME,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,NO,"$30,000-$49,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,ONLY GORE,COMPLETE,NEW CASTLE COUNTY,30-44,30-39,DEMOCRAT,30-39,30-39,FAVORABLE,NO,NOT SO GOOD,NOT PUBLIC,NO,0.612
8.0,15.0,33.0,THIRD CALL,40-44,BLACK,MALE,GORE,WITHIN LAST WEEK,WILL RISE,ECONOMY/JOBS,STANDS UP FOR BELIEFS,APPROVE,ONLY GORE,GORE PLAN BETTER,SOMEWHAT IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,YES,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ONLY GORE,COMPLETE,NEW CASTLE COUNTY,30-44,40-49,DEMOCRAT,40-49,40-49,FAVORABLE,YES,GOOD,PUBLIC,YES,0.627
8.0,15.0,34.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,BEFORE THAT,WILL RISE,SS/MEDICARE,,APPROVE,BOTH,GORE PLAN BETTER,NOT IMPORTANT AT ALL,CANDS PERSONAL QUALITIES,SAME,,,,NO,"$15,000-$29,000",NO,,,65+,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,60+,60+,,65+,65-74,UNFAVORABLE,NO,GOOD,NOT PUBLIC,YES,0.617
8.0,15.0,35.0,THIRD CALL,45-49,WHITE,FEMALE,BRADLEY,WITHIN LAST WEEK,WILL RISE,ECONOMY/JOBS,REPRESENTS CONSERVATIVE VALUES,APPROVE,ONLY BRADLEY,BRADLEY PLAN BETTER,NOT TOO IMPORTANT,CANDS PERSONAL QUALITIES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,45-59,40-49,DEMOCRAT,40-49,40-49,FAVORABLE,YES,GOOD,NOT PUBLIC,NO,0.727
8.0,15.0,36.0,THIRD CALL,50-59,BLACK,MALE,BRADLEY,BEFORE THAT,WILL RISE,ECONOMY/JOBS,CAN WIN IN NOVEMBER,APPROVE,ONLY BRADLEY,BRADLEY PLAN BETTER,NOT IMPORTANT AT ALL,CANDS POSITIONS ON ISSUES,BETTER,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,NO,"$75,000-$99,999",YES,VERY LIBERAL,LIBERAL,18-64,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,NO,GOOD,NOT PUBLIC,NO,0.74
8.0,15.0,37.0,THIRD CALL,50-59,WHITE,FEMALE,BRADLEY,THIS YEAR,WILL FALL,SS/MEDICARE,,DISAPPROVE,ONLY BRADLEY,BRADLEY PLAN BETTER,VERY IMPORTANT,CANDS POSITIONS ON ISSUES,WORSE,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,NO,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,ONLY BRADLEY,COMPLETE,NEW CASTLE COUNTY,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,NO,GOOD,NOT PUBLIC,NO,0.727
8.0,15.0,38.0,THIRD CALL,60-64,WHITE,MALE,GORE,BEFORE THAT,WILL RISE,EDUCATION,STANDS UP FOR BELIEFS,OMITS,BOTH,BOTH THE SAME,VERY IMPORTANT,OMITS,BETTER,NO,,HIGH SCHOOL GRADUATE,NO,,NO,,,18-64,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,60+,60+,,50-64,50-64,OMITS,YES,GOOD,OMITS,NO,0.632
8.0,15.0,39.0,THIRD CALL,50-59,BLACK,MALE,GORE,BEFORE THAT,WILL FALL,ECONOMY/JOBS,CAN WIN IN NOVEMBER,APPROVE,ONLY BRADLEY,OMITS,NOT IMPORTANT AT ALL,CANDS POSITIONS ON ISSUES,WORSE,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,45-59,50-59,DEMOCRAT,50-64,50-64,FAVORABLE,NO,GOOD,NOT PUBLIC,NO,0.627
8.0,15.0,40.0,THIRD CALL,50-59,BLACK,MALE,GORE,THIS YEAR,WILL RISE,HEALTH CARE,,APPROVE,ONLY GORE,GORE PLAN BETTER,VERY IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,YES,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ONLY GORE,COMPLETE,NEW CASTLE COUNTY,45-59,50-59,DEMOCRAT,50-64,50-64,FAVORABLE,NO,GOOD,NOT PUBLIC,YES,0.627
8.0,15.0,41.0,THIRD CALL,45-49,WHITE,FEMALE,BRADLEY,THIS YEAR,WILL FALL,HEALTH CARE,NOT TYPICAL POLITICIAN,APPROVE,BOTH,BOTH THE SAME,NOT IMPORTANT AT ALL,CANDS POSITIONS ON ISSUES,WORSE,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,YES,"UNDER $15,000",NO,MODERATE,MODERATE,18-64,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,NO,GOOD,NOT PUBLIC,NO,0.727
8.0,15.0,42.0,THIRD CALL,40-44,HISPANIC/LATINO,MALE,GORE,TODAY,WILL RISE,ECONOMY/JOBS,STANDS UP FOR BELIEFS,APPROVE,ONLY GORE,GORE PLAN BETTER,VERY IMPORTANT,CANDS POSITIONS ON ISSUES,SAME,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,NO,"UNDER $15,000",YES,VERY LIBERAL,LIBERAL,18-64,18-74,ONLY GORE,COMPLETE,NEW CASTLE COUNTY,30-44,40-49,DEMOCRAT,40-49,40-49,FAVORABLE,NO,GOOD,NOT PUBLIC,YES,0.627
8.0,15.0,43.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,THIS YEAR,WILL RISE,ECONOMY/JOBS,,APPROVE,ONLY GORE,BOTH THE SAME,SOMEWHAT IMPORTANT,CANDS POSITIONS ON ISSUES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,YES,"$15,000-$29,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,BOTH,COMPLETE,NEW CASTLE COUNTY,18-29,18-24,DEMOCRAT,18-24,18-24,FAVORABLE,YES,GOOD,PUBLIC,NO,0.645
