AGEABC,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,CLINTON,UNION,PARTYID,RELIGION,INCOME,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,GEOCODE,AGE4,PARTY,AGE65,AGE75,BUSH,GORE,TXPSREFD,BCPERSON,GWMRCSRV,GORBSH3,HISPANIC,QRACE,REL5,WEIGHT
40-49,44.0,39.0,38.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,DALLAS/FORT WORTH,30-44,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,OMITS,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.17500000000000002
40-49,44.0,39.0,39.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,DALLAS/FORT WORTH,30-44,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,NO,UNFAVORABLE,YES,GORE,,BLACK,PROTESTANT/OTHER CHRISTIAN,0.17500000000000002
50-59,44.0,39.0,40.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,DALLAS/FORT WORTH,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.17500000000000002
30-39,44.0,39.0,41.0,THIRD CALL,30-39,WHITE,MALE,GORE,APPROVE,NO,INDEPENDENT,CATHOLIC,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,DALLAS/FORT WORTH,30-44,INDEPENDENT/OTHER,30-39,30-39,FAVORABLE,FAVORABLE,YES,UNFAVORABLE,NO,GORE,NO,WHITE,CATHOLIC,0.212
18-24,44.0,39.0,42.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,DALLAS/FORT WORTH,18-29,DEMOCRAT,18-24,18-24,UNFAVORABLE,UNFAVORABLE,OMITS,UNFAVORABLE,NO,GORE,NO,WHITE,CATHOLIC,0.352
25-29,44.0,39.0,43.0,THIRD CALL,25-29,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,NONE,"$50,000-$74,999",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,DALLAS/FORT WORTH,18-29,DEMOCRAT,25-29,25-29,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,YES,GORE,YES,BLACK,NONE,0.279
50-59,44.0,39.0,44.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"$75,000-$99,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,DALLAS/FORT WORTH,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,NO,UNFAVORABLE,YES,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.221
50-59,44.0,39.0,45.0,THIRD CALL,50-59,BLACK,MALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$30,000-$49,000",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,DALLAS/FORT WORTH,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,NO,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.169
50-59,44.0,39.0,46.0,THIRD CALL,50-59,BLACK,MALE,GORE,APPROVE,NO,DEMOCRAT,,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,DALLAS/FORT WORTH,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,NO,BLACK,,0.169
30-39,44.0,39.0,47.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,APPROVE,NO,DEMOCRAT,SOMETHING ELSE,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,DALLAS/FORT WORTH,30-44,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,NO,GORE,NO,BLACK,SOMETHING ELSE,0.17500000000000002
40-49,44.0,39.0,48.0,THIRD CALL,45-49,BLACK,MALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$15,000-$29,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,DALLAS/FORT WORTH,45-59,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.169
60+,44.0,39.0,49.0,THIRD CALL,75+,WHITE,FEMALE,GORE,APPROVE,YES,DEMOCRAT,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,65+,75+,STATE,DALLAS/FORT WORTH,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,NO,UNFAVORABLE,YES,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.234
50-59,44.0,39.0,50.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,APPROVE,,DEMOCRAT,,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,DALLAS/FORT WORTH,45-59,DEMOCRAT,50-64,50-64,OMITS,FAVORABLE,OMITS,UNFAVORABLE,OMITS,GORE,NO,BLACK,,0.17500000000000002
60+,44.0,49.0,1.0,FIRST CALL,65-74,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",VERY LIBERAL,LIBERAL,65+,18-74,STATE,WEST,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,NO,GORE,YES,HISPANIC/LATINO,CATHOLIC,2.391
30-39,44.0,49.0,2.0,FIRST CALL,30-39,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,WEST,30-44,DEMOCRAT,30-39,30-39,FAVORABLE,FAVORABLE,YES,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,2.089
60+,44.0,49.0,3.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,WEST,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,YES,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,2.577
60+,44.0,49.0,4.0,FIRST CALL,65-74,WHITE,MALE,GORE,APPROVE,NO,INDEPENDENT,PROTESTANT,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,WEST,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,FAVORABLE,NO,UNFAVORABLE,NO,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,2.777
25-29,44.0,49.0,5.0,FIRST CALL,25-29,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,,OTHER CHRISTIAN,"$15,000-$29,000",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,WEST,18-29,,25-29,25-29,FAVORABLE,UNFAVORABLE,YES,UNFAVORABLE,YES,BUSH,YES,HISPANIC/LATINO,PROTESTANT/OTHER CHRISTIAN,1.74
60+,44.0,49.0,6.0,FIRST CALL,65-74,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",MODERATE,MODERATE,65+,18-74,STATE,WEST,60+,DEMOCRAT,65+,65-74,OMITS,FAVORABLE,YES,FAVORABLE,NO,GORE,YES,HISPANIC/LATINO,CATHOLIC,2.391
30-39,44.0,49.0,7.0,FIRST CALL,30-39,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,WEST,30-44,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,OMITS,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,2.089
60+,44.0,49.0,8.0,FIRST CALL,65-74,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"UNDER $15,000",VERY LIBERAL,LIBERAL,65+,18-74,STATE,WEST,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,OMITS,GORE,YES,HISPANIC/LATINO,PROTESTANT/OTHER CHRISTIAN,2.576
25-29,44.0,49.0,9.0,FIRST CALL,25-29,HISPANIC/LATINO,MALE,GORE,OMITS,NO,DEMOCRAT,,,,,18-64,18-74,STATE,WEST,18-29,DEMOCRAT,25-29,25-29,OMITS,FAVORABLE,OMITS,OMITS,OMITS,BUSH,YES,HISPANIC/LATINO,,1.875
30-39,44.0,49.0,10.0,FIRST CALL,30-39,WHITE,,BRADLEY,APPROVE,YES,DEMOCRAT,OTHER CHRISTIAN,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,30-44,DEMOCRAT,30-39,30-39,OMITS,FAVORABLE,OMITS,OMITS,YES,GORE,,WHITE,PROTESTANT/OTHER CHRISTIAN,5.34
60+,44.0,49.0,11.0,FIRST CALL,65-74,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",VERY LIBERAL,LIBERAL,65+,18-74,STATE,WEST,60+,DEMOCRAT,65+,65-74,OMITS,FAVORABLE,YES,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,2.576
40-49,44.0,49.0,12.0,FIRST CALL,45-49,HISPANIC/LATINO,FEMALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,WEST,45-59,DEMOCRAT,40-49,40-49,FAVORABLE,FAVORABLE,NO,FAVORABLE,YES,BUSH,YES,WHITE,CATHOLIC,1.938
40-49,44.0,49.0,13.0,FIRST CALL,40-44,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,WEST,30-44,DEMOCRAT,40-49,40-49,FAVORABLE,FAVORABLE,YES,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,2.089
50-59,44.0,49.0,14.0,FIRST CALL,50-59,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,WEST,45-59,DEMOCRAT,50-64,50-64,FAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,2.089
40-49,44.0,49.0,15.0,FIRST CALL,45-49,HISPANIC/LATINO,FEMALE,GORE,DISAPPROVE,NO,DEMOCRAT,CATHOLIC,,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,WEST,45-59,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,NO,UNFAVORABLE,YES,BUSH,YES,HISPANIC/LATINO,CATHOLIC,1.938
40-49,44.0,49.0,16.0,FIRST CALL,45-49,HISPANIC/LATINO,MALE,GORE,APPROVE,YES,DEMOCRAT,PROTESTANT,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,WEST,45-59,DEMOCRAT,40-49,40-49,FAVORABLE,FAVORABLE,YES,UNFAVORABLE,YES,GORE,YES,HISPANIC/LATINO,PROTESTANT/OTHER CHRISTIAN,2.089
30-39,44.0,49.0,17.0,SECOND CALL,30-39,HISPANIC/LATINO,MALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,WEST,30-44,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,2.089
18-24,44.0,49.0,18.0,SECOND CALL,18-24,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,REPUBLICAN,OTHER CHRISTIAN,"UNDER $15,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,18-29,REPUBLICAN,18-24,18-24,FAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,PROTESTANT/OTHER CHRISTIAN,1.875
60+,44.0,49.0,19.0,SECOND CALL,65-74,HISPANIC/LATINO,MALE,GORE,APPROVE,,DEMOCRAT,CATHOLIC,"UNDER $15,000",MODERATE,MODERATE,65+,18-74,STATE,WEST,60+,DEMOCRAT,65+,65-74,OMITS,FAVORABLE,YES,FAVORABLE,NO,GORE,YES,,CATHOLIC,2.576
25-29,44.0,49.0,20.0,SECOND CALL,25-29,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",MODERATE,MODERATE,18-64,18-74,STATE,WEST,18-29,DEMOCRAT,25-29,25-29,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,1.74
30-39,44.0,49.0,21.0,SECOND CALL,30-39,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,INDEPENDENT,CATHOLIC,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,WEST,30-44,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,2.089
30-39,44.0,49.0,22.0,SECOND CALL,30-39,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,30-44,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,1.938
60+,44.0,49.0,23.0,SECOND CALL,75+,WHITE,FEMALE,GORE,DISAPPROVE,NO,DEMOCRAT,PROTESTANT,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,WEST,60+,DEMOCRAT,65+,75+,FAVORABLE,OMITS,NO,UNFAVORABLE,YES,BUSH,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,2.577
50-59,44.0,49.0,24.0,SECOND CALL,50-59,HISPANIC/LATINO,FEMALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,WEST,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,NO,GORE,YES,HISPANIC/LATINO,CATHOLIC,1.938
40-49,44.0,49.0,25.0,THIRD CALL,45-49,HISPANIC/LATINO,FEMALE,BRADLEY,APPROVE,NO,DEMOCRAT,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,WEST,45-59,DEMOCRAT,40-49,40-49,FAVORABLE,UNFAVORABLE,NO,FAVORABLE,YES,BUSH,YES,HISPANIC/LATINO,CATHOLIC,5.34
25-29,44.0,49.0,26.0,THIRD CALL,25-29,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,INDEPENDENT,CATHOLIC,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,18-29,INDEPENDENT/OTHER,25-29,25-29,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,NO,GORE,YES,HISPANIC/LATINO,CATHOLIC,1.74
60+,44.0,49.0,27.0,THIRD CALL,60-64,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,WEST,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,YES,WHITE,CATHOLIC,2.576
40-49,44.0,49.0,28.0,THIRD CALL,40-44,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,30-44,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,NO,GORE,YES,HISPANIC/LATINO,CATHOLIC,1.938
30-39,44.0,49.0,29.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,DISAPPROVE,NO,DEMOCRAT,SOMETHING ELSE,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,WEST,30-44,DEMOCRAT,30-39,30-39,FAVORABLE,FAVORABLE,NO,UNFAVORABLE,YES,BUSH,NO,WHITE,SOMETHING ELSE,2.089
40-49,44.0,49.0,30.0,THIRD CALL,40-44,HISPANIC/LATINO,FEMALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,30-44,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,1.938
40-49,44.0,49.0,31.0,THIRD CALL,45-49,HISPANIC/LATINO,MALE,GORE,DISAPPROVE,YES,DEMOCRAT,CATHOLIC,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,45-59,DEMOCRAT,40-49,40-49,FAVORABLE,UNFAVORABLE,OMITS,UNFAVORABLE,YES,BUSH,YES,HISPANIC/LATINO,CATHOLIC,2.089
30-39,44.0,49.0,32.0,THIRD CALL,30-39,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$15,000-$29,000",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,WEST,30-44,DEMOCRAT,30-39,30-39,FAVORABLE,FAVORABLE,OMITS,FAVORABLE,YES,BUSH,YES,HISPANIC/LATINO,CATHOLIC,1.938
40-49,44.0,49.0,33.0,THIRD CALL,45-49,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,WEST,45-59,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,YES,HISPANIC/LATINO,CATHOLIC,2.089
25-29,44.0,49.0,34.0,THIRD CALL,25-29,HISPANIC/LATINO,MALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$100,000 OR MORE",MODERATE,MODERATE,18-64,18-74,STATE,WEST,18-29,DEMOCRAT,25-29,25-29,FAVORABLE,FAVORABLE,YES,FAVORABLE,NO,GORE,YES,HISPANIC/LATINO,CATHOLIC,1.875
25-29,44.0,49.0,35.0,THIRD CALL,25-29,HISPANIC/LATINO,FEMALE,GORE,OMITS,NO,,NONE,,,,18-64,18-74,STATE,WEST,18-29,,25-29,25-29,UNFAVORABLE,FAVORABLE,NO,OMITS,NO,OMITS,,HISPANIC/LATINO,NONE,1.74
30-39,44.0,49.0,36.0,THIRD CALL,30-39,HISPANIC/LATINO,FEMALE,GORE,DISAPPROVE,NO,DEMOCRAT,CATHOLIC,"$15,000-$29,000",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,WEST,30-44,DEMOCRAT,30-39,30-39,FAVORABLE,FAVORABLE,YES,FAVORABLE,YES,BUSH,YES,HISPANIC/LATINO,CATHOLIC,1.938
25-29,44.0,49.0,37.0,THIRD CALL,25-29,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,WEST,18-29,DEMOCRAT,25-29,25-29,FAVORABLE,FAVORABLE,YES,FAVORABLE,YES,BUSH,YES,HISPANIC/LATINO,CATHOLIC,1.74
40-49,44.0,49.0,38.0,THIRD CALL,40-44,HISPANIC/LATINO,FEMALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"UNDER $15,000",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,WEST,30-44,DEMOCRAT,40-49,40-49,FAVORABLE,FAVORABLE,YES,FAVORABLE,YES,GORE,NO,HISPANIC/LATINO,CATHOLIC,1.938
40-49,44.0,49.0,39.0,THIRD CALL,40-44,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",MODERATE,MODERATE,18-64,18-74,STATE,WEST,30-44,DEMOCRAT,40-49,40-49,FAVORABLE,FAVORABLE,NO,FAVORABLE,YES,BUSH,YES,WHITE,CATHOLIC,1.938
60+,44.0,49.0,40.0,THIRD CALL,60-64,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,WEST,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,YES,HISPANIC/LATINO,CATHOLIC,2.391
40-49,44.0,49.0,41.0,THIRD CALL,40-44,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,,MODERATE,MODERATE,18-64,18-74,STATE,WEST,30-44,DEMOCRAT,40-49,40-49,FAVORABLE,FAVORABLE,YES,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,1.938
60+,44.0,49.0,42.0,THIRD CALL,65-74,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,65+,18-74,STATE,WEST,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,PROTESTANT/OTHER CHRISTIAN,2.391
40-49,44.0,49.0,43.0,THIRD CALL,40-44,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,WEST,30-44,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,1.938
40-49,44.0,49.0,44.0,THIRD CALL,40-44,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,WEST,30-44,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,1.938
25-29,44.0,49.0,45.0,THIRD CALL,25-29,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",MODERATE,MODERATE,18-64,18-74,STATE,WEST,18-29,DEMOCRAT,25-29,25-29,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,1.74
50-59,44.0,49.0,46.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,WEST,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,NO,WHITE,CATHOLIC,2.089
30-39,44.0,49.0,47.0,THIRD CALL,30-39,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,WEST,30-44,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,NO,GORE,YES,HISPANIC/LATINO,CATHOLIC,2.089
30-39,44.0,49.0,48.0,THIRD CALL,30-39,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,WEST,30-44,DEMOCRAT,30-39,30-39,FAVORABLE,FAVORABLE,YES,FAVORABLE,OMITS,GORE,,HISPANIC/LATINO,CATHOLIC,1.938
30-39,44.0,52.0,1.0,FIRST CALL,30-39,WHITE,MALE,BRADLEY,APPROVE,NO,DEMOCRAT,PROTESTANT,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,WEST,30-44,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,1.55
50-59,44.0,52.0,2.0,FIRST CALL,50-59,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,NONE,"$100,000 OR MORE",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,WEST,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,YES,UNFAVORABLE,OMITS,GORE,NO,WHITE,NONE,0.541
30-39,44.0,52.0,3.0,FIRST CALL,30-39,HISPANIC/LATINO,FEMALE,GORE,DISAPPROVE,NO,REPUBLICAN,CATHOLIC,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,YES,UNFAVORABLE,YES,BUSH,YES,HISPANIC/LATINO,CATHOLIC,0.467
60+,44.0,52.0,4.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,STATE,WEST,60+,DEMOCRAT,65+,65-74,OMITS,OMITS,NO,UNFAVORABLE,NO,OMITS,,WHITE,CATHOLIC,0.62
30-39,44.0,52.0,5.0,FIRST CALL,30-39,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,WEST,30-44,DEMOCRAT,30-39,30-39,FAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,YES,HISPANIC/LATINO,CATHOLIC,0.502
50-59,44.0,52.0,6.0,FIRST CALL,50-59,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,WEST,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,YES,HISPANIC/LATINO,CATHOLIC,0.502
30-39,44.0,52.0,7.0,FIRST CALL,30-39,HISPANIC/LATINO,FEMALE,BRADLEY,DISAPPROVE,NO,DEMOCRAT,CATHOLIC,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,30-44,DEMOCRAT,30-39,30-39,FAVORABLE,UNFAVORABLE,YES,UNFAVORABLE,NO,BUSH,YES,WHITE,CATHOLIC,1.335
