AGEABC,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,RELRIGHT,BUSHKNOW,PARTYID,RELIGION,INCOME,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,GEOCODE,AGE4,PARTY,AGE65,AGE75,BUSH,MCCAIN,GORE,TXPSREFD,GWMRCSRV,GORBSH3,HISPANIC,REL5,WEIGHT
30-39,44.0,226.0,20.0,SECOND CALL,30-39,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",MODERATE,MODERATE,18-64,18-74,STATE,EAST,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,UNFAVORABLE,YES,OMITS,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.333
60+,44.0,226.0,21.0,SECOND CALL,60-64,MALE,BUSH,NO,NO,DEMOCRAT,NONE,"$100,000 OR MORE",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,EAST,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,FAVORABLE,NO,YES,GORE,NO,NONE,0.47600000000000003
60+,44.0,226.0,22.0,SECOND CALL,65-74,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,EAST,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.47600000000000003
30-39,44.0,226.0,23.0,SECOND CALL,30-39,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",MODERATE,MODERATE,18-64,18-74,STATE,EAST,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,OMITS,YES,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.333
50-59,44.0,226.0,24.0,SECOND CALL,50-59,MALE,BUSH,NO,YES,INDEPENDENT,PROTESTANT,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,EAST,45-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.367
50-59,44.0,226.0,25.0,SECOND CALL,50-59,FEMALE,BUSH,OMITS,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,EAST,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,OMITS,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.333
50-59,44.0,226.0,26.0,SECOND CALL,50-59,MALE,BUSH,YES,YES,INDEPENDENT,PROTESTANT,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,EAST,45-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,OMITS,UNFAVORABLE,YES,OMITS,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.367
60+,44.0,226.0,27.0,SECOND CALL,60-64,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,EAST,60+,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.47600000000000003
60+,44.0,226.0,28.0,THIRD CALL,75+,MALE,BUSH,OMITS,YES,REPUBLICAN,,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,EAST,60+,REPUBLICAN,65+,75+,FAVORABLE,UNFAVORABLE,UNFAVORABLE,OMITS,OMITS,BUSH,NO,,0.47600000000000003
30-39,44.0,226.0,29.0,THIRD CALL,30-39,FEMALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,EAST,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,YES,BUSH,YES,CATHOLIC,0.306
50-59,44.0,226.0,30.0,THIRD CALL,50-59,FEMALE,BUSH,YES,YES,INDEPENDENT,PROTESTANT,"$100,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,EAST,45-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.333
40-49,44.0,226.0,31.0,THIRD CALL,40-44,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,EAST,30-44,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,UNFAVORABLE,NO,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.333
40-49,44.0,226.0,32.0,THIRD CALL,45-49,FEMALE,BUSH,YES,YES,REPUBLICAN,OTHER CHRISTIAN,"$75,000-$99,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,EAST,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NO,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.333
30-39,44.0,226.0,33.0,THIRD CALL,30-39,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,EAST,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NO,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.367
50-59,44.0,226.0,34.0,THIRD CALL,50-59,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,EAST,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NO,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.333
30-39,44.0,226.0,35.0,THIRD CALL,30-39,FEMALE,BUSH,NO,YES,REPUBLICAN,OTHER CHRISTIAN,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,EAST,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,UNFAVORABLE,OMITS,OMITS,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.333
40-49,44.0,226.0,36.0,THIRD CALL,40-44,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,EAST,30-44,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.333
50-59,44.0,226.0,37.0,THIRD CALL,50-59,MALE,KEYES,YES,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,EAST,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NO,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.28700000000000003
40-49,44.0,226.0,38.0,THIRD CALL,45-49,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,EAST,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,OMITS,OMITS,YES,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.333
50-59,44.0,226.0,39.0,THIRD CALL,50-59,,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,EAST,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,YES,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.333
30-39,44.0,226.0,40.0,THIRD CALL,30-39,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",MODERATE,MODERATE,18-64,18-74,STATE,EAST,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.333
40-49,44.0,226.0,41.0,THIRD CALL,40-44,FEMALE,BUSH,OMITS,YES,INDEPENDENT,PROTESTANT,"$100,000 OR MORE",MODERATE,MODERATE,18-64,18-74,STATE,EAST,30-44,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NO,OMITS,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.333
25-29,44.0,226.0,42.0,THIRD CALL,25-29,FEMALE,BUSH,NO,YES,INDEPENDENT,OTHER CHRISTIAN,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,EAST,18-29,INDEPENDENT/OTHER,25-29,25-29,FAVORABLE,FAVORABLE,FAVORABLE,NO,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.309
50-59,44.0,226.0,43.0,THIRD CALL,50-59,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,EAST,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NO,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.367
50-59,44.0,226.0,44.0,THIRD CALL,50-59,MALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,EAST,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,YES,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.367
18-24,44.0,226.0,45.0,THIRD CALL,18-24,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",MODERATE,MODERATE,18-64,18-74,STATE,EAST,18-29,REPUBLICAN,18-24,18-24,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NO,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.309
50-59,44.0,226.0,46.0,THIRD CALL,50-59,MALE,MCCAIN,NO,NO,INDEPENDENT,CATHOLIC,"$100,000 OR MORE",MODERATE,MODERATE,18-64,18-74,STATE,EAST,45-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,NO,OMITS,NEITHER,NO,CATHOLIC,0.555
60+,44.0,229.0,1.0,FIRST CALL,60-64,MALE,BUSH,YES,YES,INDEPENDENT,PROTESTANT,,MODERATE,MODERATE,18-64,18-74,STATE,WEST,60+,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.543
60+,44.0,229.0,2.0,FIRST CALL,65-74,FEMALE,BUSH,OMITS,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,WEST,60+,REPUBLICAN,65+,65-74,FAVORABLE,OMITS,OMITS,YES,OMITS,BUSH,,PROTESTANT/OTHER CHRISTIAN,1.589
60+,44.0,229.0,3.0,FIRST CALL,65-74,MALE,BUSH,OMITS,YES,REPUBLICAN,PROTESTANT,"$15,000-$29,000",MODERATE,MODERATE,65+,18-74,STATE,WEST,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.543
50-59,44.0,229.0,4.0,FIRST CALL,50-59,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,YES,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.4020000000000001
40-49,44.0,229.0,5.0,FIRST CALL,40-44,MALE,KEYES,YES,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,30-44,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.846
60+,44.0,229.0,6.0,FIRST CALL,60-64,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.589
30-39,44.0,229.0,7.0,FIRST CALL,30-39,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.4020000000000001
40-49,44.0,229.0,8.0,FIRST CALL,45-49,MALE,KEYES,YES,YES,INDEPENDENT,PROTESTANT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,45-59,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,OMITS,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.846
60+,44.0,229.0,9.0,FIRST CALL,60-64,MALE,BUSH,NO,YES,SOMETHING ELSE,PROTESTANT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,60+,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,UNFAVORABLE,FAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.543
60+,44.0,229.0,10.0,FIRST CALL,65-74,MALE,KEYES,NO,YES,INDEPENDENT,PROTESTANT,"$100,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,WEST,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.931
30-39,44.0,229.0,11.0,FIRST CALL,30-39,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,UNFAVORABLE,OMITS,OMITS,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.4020000000000001
40-49,44.0,229.0,12.0,FIRST CALL,45-49,MALE,BUSH,NO,YES,REPUBLICAN,CATHOLIC,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,CATHOLIC,1.4020000000000001
40-49,44.0,229.0,13.0,FIRST CALL,40-44,MALE,KEYES,YES,YES,REPUBLICAN,PROTESTANT,,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,30-44,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,FAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.846
40-49,44.0,229.0,14.0,FIRST CALL,45-49,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.4020000000000001
60+,44.0,229.0,15.0,FIRST CALL,75+,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,,MODERATE,MODERATE,65+,75+,STATE,WEST,60+,REPUBLICAN,65+,75+,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.589
60+,44.0,229.0,16.0,FIRST CALL,75+,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$15,000-$29,000",VERY CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,WEST,60+,REPUBLICAN,65+,75+,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.589
40-49,44.0,229.0,17.0,FIRST CALL,45-49,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.445
60+,44.0,229.0,18.0,SECOND CALL,75+,MALE,BUSH,OMITS,YES,REPUBLICAN,PROTESTANT,,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,WEST,60+,REPUBLICAN,65+,75+,FAVORABLE,OMITS,OMITS,OMITS,OMITS,BUSH,,PROTESTANT/OTHER CHRISTIAN,1.543
60+,44.0,229.0,19.0,SECOND CALL,65-74,FEMALE,BUSH,YES,YES,INDEPENDENT,PROTESTANT,"$15,000-$29,000",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,WEST,60+,INDEPENDENT/OTHER,65+,65-74,FAVORABLE,FAVORABLE,UNFAVORABLE,NO,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.589
18-24,44.0,229.0,20.0,SECOND CALL,18-24,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,18-29,REPUBLICAN,18-24,18-24,FAVORABLE,FAVORABLE,UNFAVORABLE,YES,OMITS,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.551
50-59,44.0,229.0,21.0,SECOND CALL,50-59,MALE,BUSH,NO,YES,INDEPENDENT,PROTESTANT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,45-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.4020000000000001
30-39,44.0,229.0,22.0,SECOND CALL,30-39,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,UNFAVORABLE,NO,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.445
50-59,44.0,229.0,23.0,SECOND CALL,50-59,FEMALE,BUSH,OMITS,YES,INDEPENDENT,,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,WEST,45-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,NO,OMITS,BUSH,NO,,1.445
60+,44.0,229.0,24.0,SECOND CALL,65-74,FEMALE,BUSH,YES,NO,INDEPENDENT,PROTESTANT,,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,WEST,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,FAVORABLE,OMITS,NO,OMITS,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.589
60+,44.0,229.0,25.0,SECOND CALL,75+,MALE,MCCAIN,NO,NO,INDEPENDENT,CATHOLIC,"$50,000-$74,999",MODERATE,MODERATE,65+,75+,STATE,WEST,60+,INDEPENDENT/OTHER,65+,75+,OMITS,FAVORABLE,FAVORABLE,YES,OMITS,GORE,NO,CATHOLIC,1.314
18-24,44.0,229.0,26.0,THIRD CALL,18-24,MALE,KEYES,YES,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,18-29,REPUBLICAN,18-24,18-24,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,NO,NEITHER,NO,PROTESTANT/OTHER CHRISTIAN,0.907
50-59,44.0,229.0,27.0,THIRD CALL,50-59,MALE,BUSH,YES,NO,INDEPENDENT,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,WEST,45-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.4020000000000001
60+,44.0,229.0,28.0,THIRD CALL,65-74,MALE,BUSH,NO,YES,REPUBLICAN,,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,WEST,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NO,YES,BUSH,NO,,1.543
18-24,44.0,229.0,29.0,THIRD CALL,18-24,FEMALE,KEYES,YES,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,18-29,REPUBLICAN,18-24,18-24,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,0.936
60+,44.0,229.0,30.0,THIRD CALL,75+,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",MODERATE,MODERATE,65+,75+,STATE,WEST,60+,REPUBLICAN,65+,75+,FAVORABLE,UNFAVORABLE,FAVORABLE,NO,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.589
60+,44.0,229.0,31.0,THIRD CALL,75+,FEMALE,BUSH,OMITS,YES,REPUBLICAN,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,65+,75+,STATE,WEST,60+,REPUBLICAN,65+,75+,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.589
30-39,44.0,229.0,32.0,THIRD CALL,30-39,FEMALE,BUSH,OMITS,YES,REPUBLICAN,PROTESTANT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,30-44,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NO,OMITS,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.445
50-59,44.0,229.0,33.0,THIRD CALL,50-59,MALE,KEYES,NO,NO,INDEPENDENT,CATHOLIC,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,WEST,45-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,NO,YES,NEITHER,YES,CATHOLIC,0.896
40-49,44.0,229.0,34.0,THIRD CALL,40-44,MALE,MCCAIN,YES,NO,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,30-44,REPUBLICAN,40-49,40-49,UNFAVORABLE,FAVORABLE,FAVORABLE,YES,NO,GORE,NO,PROTESTANT/OTHER CHRISTIAN,1.193
60+,44.0,229.0,35.0,THIRD CALL,75+,,BUSH,OMITS,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",MODERATE,MODERATE,65+,75+,STATE,WEST,60+,REPUBLICAN,65+,75+,FAVORABLE,OMITS,OMITS,OMITS,YES,BUSH,,PROTESTANT/OTHER CHRISTIAN,1.543
60+,44.0,229.0,36.0,THIRD CALL,60-64,MALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NO,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.543
60+,44.0,229.0,37.0,THIRD CALL,60-64,FEMALE,BUSH,NO,YES,REPUBLICAN,PROTESTANT,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,WEST,60+,REPUBLICAN,50-64,50-64,FAVORABLE,OMITS,UNFAVORABLE,NO,OMITS,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.589
60+,44.0,229.0,38.0,THIRD CALL,65-74,MALE,BUSH,OMITS,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,WEST,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.543
50-59,44.0,229.0,39.0,THIRD CALL,50-59,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,OMITS,UNFAVORABLE,NO,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.445
50-59,44.0,229.0,40.0,THIRD CALL,50-59,MALE,BUSH,OMITS,YES,SOMETHING ELSE,PROTESTANT,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,WEST,45-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,OMITS,OMITS,YES,YES,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.4020000000000001
50-59,44.0,229.0,41.0,THIRD CALL,50-59,MALE,BUSH,YES,YES,INDEPENDENT,OTHER CHRISTIAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,45-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.4020000000000001
40-49,44.0,229.0,42.0,THIRD CALL,45-49,FEMALE,BUSH,YES,YES,REPUBLICAN,PROTESTANT,"$100,000 OR MORE",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,WEST,45-59,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,UNFAVORABLE,YES,NO,BUSH,NO,PROTESTANT/OTHER CHRISTIAN,1.445
25-29,44.0,232.0,1.0,FIRST CALL,25-29,MALE,BUSH,YES,YES,REPUBLICAN,CATHOLIC,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,DALLAS/FORT WORTH,18-29,REPUBLICAN,25-29,25-29,FAVORABLE,FAVORABLE,UNFAVORABLE,YES,YES,BUSH,YES,CATHOLIC,1.31
