QTYPE,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,FINSIT,SSTAX,UNION,PARTYID,EDUC,BUSHUNFR,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,BACKSIDE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,WEIGHT,GEOCODE,STR8TALK,MCSAYDO,REFORMER,PREVPRI,VETVOTER,LOYALREP,INTERNET,BUSHENGL,BEATDEM,CAMPFIN
STATE,23.0,15.0,29.0,SECOND CALL,65-74,WHITE,MALE,MCCAIN,THIS YEAR,OMITS,OMITS,,OMITS,LEGAL IN ALL CASES,NO,,,,,,,,,,,65+,18-74,NOT COMPLETE,60+,60+,,65+,65-74,UNFAVORABLE,FAVORABLE,0.987,SOUTHWEST,,NO,,,,,,,,
STATE,23.0,15.0,30.0,SECOND CALL,18-24,WHITE,FEMALE,BUSH,WITHIN LAST WEEK,WORLD AFFAIRS,NOT A TYPICAL POLITICIAN,,YES,LEGAL IN ALL CASES,YES,,,,,,,,,,,18-64,18-74,NOT COMPLETE,18-29,18-24,,18-24,18-24,OMITS,FAVORABLE,1.176,SOUTHWEST,,YES,,,,,,,,
STATE,23.0,15.0,31.0,SECOND CALL,18-24,WHITE,FEMALE,BUSH,THIS YEAR,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,WORSE,OMITS,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"UNDER $15,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,18-29,18-24,REPUBLICAN,18-24,18-24,FAVORABLE,UNFAVORABLE,1.176,SOUTHWEST,OMITS,OMITS,OMITS,NO,NO,NOT TIED TO PARTY LEADERS,NO,GREAT DEAL,MCCAIN,OMITS
STATE,23.0,15.0,32.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,THIS YEAR,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,,YES,ILLEGAL IN MOST CASES,YES,,,,,,,,,,,65+,18-74,NOT COMPLETE,60+,60+,,65+,65-74,FAVORABLE,FAVORABLE,1.046,SOUTHWEST,,NO,,,,,,,,
STATE,23.0,15.0,33.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,THIS YEAR,MORAL VALUES,STRONG LEADER,,NO,LEGAL IN MOST CASES,YES,,,,,,,,,,,65+,18-74,NOT COMPLETE,60+,60+,,65+,65-74,FAVORABLE,FAVORABLE,1.046,SOUTHWEST,,YES,,,,,,,,
STATE,23.0,15.0,34.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,TODAY,CAMPAIGN FINANCE REFORM,CAN WIN IN NOVEMBER,,NO,LEGAL IN MOST CASES,NO,,,,,,,,,,,18-64,18-74,NOT COMPLETE,45-59,40-49,,40-49,40-49,FAVORABLE,FAVORABLE,0.895,SOUTHWEST,,YES,,,,,,,,
STATE,23.0,15.0,35.0,SECOND CALL,40-44,WHITE,MALE,BUSH,THIS YEAR,TAXES,STANDS UP FOR BELIEFS,,NO,LEGAL IN MOST CASES,YES,,,,,,,,,,,18-64,18-74,NOT COMPLETE,30-44,40-49,,40-49,40-49,FAVORABLE,UNFAVORABLE,0.918,SOUTHWEST,,YES,,,,,,,,
STATE,23.0,15.0,36.0,THIRD CALL,30-39,WHITE,FEMALE,MCCAIN,WITHIN LAST WEEK,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,SAME,OMITS,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,YES,"$75,000-$99,999",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,FAVORABLE,FAVORABLE,0.8240000000000001,SOUTHWEST,BOTH,NO,BOTH,YES,NO,NOT TIED TO PARTY LEADERS,YES,NOT AT ALL,OMITS,OMITS
STATE,23.0,15.0,37.0,THIRD CALL,25-29,WHITE,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,POST GRADUATE STUDY,YES,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,18-29,25-29,INDEPENDENT/OTHER,25-29,25-29,UNFAVORABLE,FAVORABLE,1.083,SOUTHWEST,MCCAIN,NO,NEITHER,NO,NO,NOT TIED TO PARTY LEADERS,YES,NOT AT ALL,MCCAIN,HELP
STATE,23.0,15.0,38.0,THIRD CALL,30-39,WHITE,MALE,BUSH,WITHIN LAST WEEK,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,SAME,TAX CUT,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,0.918,SOUTHWEST,BUSH,NO,BOTH,YES,YES,NOT TIED TO PARTY LEADERS,NO,SOMEWHAT,BUSH,HELP
STATE,23.0,15.0,39.0,THIRD CALL,30-39,WHITE,MALE,BUSH,THIS YEAR,MORAL VALUES,NOT A TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,UNFAVORABLE,0.918,SOUTHWEST,BUSH,YES,NEITHER,NO,NO,LOYAL REPUBLICAN,NO,SOMEWHAT,BUSH,HELP
STATE,23.0,15.0,40.0,THIRD CALL,50-59,WHITE,MALE,MCCAIN,TODAY,WORLD AFFAIRS,MILITARY RECORD,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,OMITS,"$50,000-$74,999",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,UNFAVORABLE,FAVORABLE,0.845,SOUTHWEST,MCCAIN,NO,NEITHER,YES,YES,LOYAL REPUBLICAN,YES,NOT AT ALL,MCCAIN,HELP
STATE,23.0,15.0,41.0,THIRD CALL,45-49,WHITE,MALE,BUSH,BEFORE THAT,TAXES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,SAME,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,0.918,SOUTHWEST,BUSH,NO,BUSH,YES,NO,LOYAL REPUBLICAN,NO,NOT MUCH,BUSH,HURT
STATE,23.0,15.0,42.0,THIRD CALL,50-59,WHITE,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,BETTER,OMITS,YES,INDEPENDENT,POST GRADUATE STUDY,NO,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,0.8240000000000001,SOUTHWEST,MCCAIN,NO,BOTH,NO,NO,NOT TIED TO PARTY LEADERS,YES,NOT AT ALL,MCCAIN,HELP
STATE,23.0,15.0,43.0,THIRD CALL,50-59,WHITE,MALE,MCCAIN,TODAY,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,NO,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,0.845,SOUTHWEST,MCCAIN,YES,BOTH,YES,NO,LOYAL REPUBLICAN,YES,NOT AT ALL,MCCAIN,HURT
STATE,23.0,15.0,44.0,THIRD CALL,45-49,WHITE,MALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,WORSE,TAX CUT,YES,INDEPENDENT,POST GRADUATE STUDY,NO,"$30,000-$49,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,FAVORABLE,0.918,SOUTHWEST,BUSH,YES,BOTH,YES,NO,NOT TIED TO PARTY LEADERS,NO,NOT AT ALL,BUSH,HELP
STATE,23.0,15.0,45.0,THIRD CALL,65-74,WHITE,FEMALE,MCCAIN,THIS YEAR,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,YES,"UNDER $15,000",NO,MODERATE,MODERATE,65+,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,FAVORABLE,0.962,SOUTHWEST,MCCAIN,NO,OMITS,NO,NO,NOT TIED TO PARTY LEADERS,NO,GREAT DEAL,MCCAIN,HELP
STATE,23.0,15.0,46.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,THIS YEAR,OMITS,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,SAME,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,OMITS,"$50,000-$74,999",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,0.895,SOUTHWEST,BUSH,OMITS,BUSH,YES,NO,NOT TIED TO PARTY LEADERS,YES,NOT AT ALL,BUSH,OMITS
STATE,23.0,15.0,47.0,THIRD CALL,40-44,WHITE,FEMALE,MCCAIN,THIS YEAR,SOCIAL SECURITY/MEDICARE,STRONG LEADER,CANDS PERSONAL QUALITIES,YES,LEGAL IN ALL CASES,YES,BETTER,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,YES,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,40-49,REPUBLICAN,40-49,40-49,UNFAVORABLE,FAVORABLE,0.8240000000000001,SOUTHWEST,BOTH,NO,OMITS,YES,NO,LOYAL REPUBLICAN,NO,NOT AT ALL,MCCAIN,HURT
STATE,23.0,15.0,48.0,THIRD CALL,50-59,WHITE,FEMALE,KEYES,WITHIN LAST 3 DAYS,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,OMITS,OMITS,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,OMITS,,OMITS,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,UNFAVORABLE,UNFAVORABLE,0.6930000000000001,SOUTHWEST,NEITHER,OMITS,NEITHER,YES,NO,OMITS,NO,NOT AT ALL,BUSH,HELP
STATE,23.0,15.0,49.0,THIRD CALL,50-59,WHITE,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,NOT A TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,COLLEGE GRADUATE,NO,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,0.845,SOUTHWEST,MCCAIN,NO,MCCAIN,NO,YES,NOT TIED TO PARTY LEADERS,YES,NOT AT ALL,MCCAIN,HELP
STATE,23.0,15.0,50.0,THIRD CALL,45-49,WHITE,FEMALE,MCCAIN,WITHIN LAST WEEK,EDUCATION,MILITARY RECORD,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,BETTER,TAX CUT,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,FAVORABLE,0.8240000000000001,SOUTHWEST,BOTH,YES,BOTH,OMITS,NO,NOT TIED TO PARTY LEADERS,YES,NOT AT ALL,MCCAIN,HELP
STATE,23.0,15.0,51.0,THIRD CALL,30-39,HISPANIC/LATINO,FEMALE,MCCAIN,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,MILITARY RECORD,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,WORSE,STRENGTHEN SOCIAL SECURITY,YES,SOMETHING ELSE,SOME COLLEGE OR ASSOCIATES,YES,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,FAVORABLE,0.5720000000000001,SOUTHWEST,MCCAIN,NO,MCCAIN,YES,NO,NOT TIED TO PARTY LEADERS,NO,GREAT DEAL,MCCAIN,HELP
STATE,23.0,19.0,1.0,FIRST CALL,60-64,WHITE,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,NOT A TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,WORSE,OMITS,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,YES,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,UNFAVORABLE,0.453,UNIVERSITY BELT/UPPER PENINSULA,MCCAIN,YES,MCCAIN,NO,NO,NOT TIED TO PARTY LEADERS,NO,OMITS,OMITS,HELP
STATE,23.0,19.0,2.0,FIRST CALL,18-24,BLACK,FEMALE,MCCAIN,THIS YEAR,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,NO,DEMOCRAT,,YES,,NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,18-29,18-24,DEMOCRAT,18-24,18-24,UNFAVORABLE,FAVORABLE,0.33,UNIVERSITY BELT/UPPER PENINSULA,MCCAIN,YES,BOTH,YES,NO,NOT TIED TO PARTY LEADERS,NO,SOMEWHAT,BUSH,HURT
STATE,23.0,19.0,3.0,FIRST CALL,60-64,WHITE,MALE,UNCOMMITTED,THIS YEAR,OMITS,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,NO,BETTER,TAX CUT,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,NO,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,UNFAVORABLE,0.202,UNIVERSITY BELT/UPPER PENINSULA,MCCAIN,NO,BOTH,YES,NO,LOYAL REPUBLICAN,NO,NOT AT ALL,MCCAIN,HELP
STATE,23.0,19.0,4.0,FIRST CALL,40-44,WHITE,FEMALE,MCCAIN,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,HAS THE RIGHT EXPERIENCE,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,NO,WORSE,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,YES,"$15,000-$29,000",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,40-49,REPUBLICAN,40-49,40-49,UNFAVORABLE,FAVORABLE,0.392,UNIVERSITY BELT/UPPER PENINSULA,BUSH,YES,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,YES,SOMEWHAT,MCCAIN,HELP
STATE,23.0,19.0,5.0,SECOND CALL,30-39,WHITE,FEMALE,MCCAIN,WITHIN LAST 3 DAYS,TAXES,MILITARY RECORD,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,COLLEGE GRADUATE,YES,"$15,000-$29,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,FAVORABLE,FAVORABLE,0.392,UNIVERSITY BELT/UPPER PENINSULA,MCCAIN,NO,BOTH,NO,NO,NOT TIED TO PARTY LEADERS,NO,GREAT DEAL,BUSH,HURT
STATE,23.0,19.0,6.0,SECOND CALL,50-59,WHITE,MALE,MCCAIN,THIS YEAR,MORAL VALUES,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,POST GRADUATE STUDY,YES,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,0.371,UNIVERSITY BELT/UPPER PENINSULA,MCCAIN,NO,NEITHER,YES,NO,NOT TIED TO PARTY LEADERS,YES,NOT AT ALL,MCCAIN,HELP
STATE,23.0,19.0,7.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,THIS YEAR,EDUCATION,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,SAME,TAX CUT,NO,INDEPENDENT,POST GRADUATE STUDY,NO,,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,60+,60+,INDEPENDENT/OTHER,65+,75+,FAVORABLE,UNFAVORABLE,0.499,UNIVERSITY BELT/UPPER PENINSULA,BUSH,YES,BUSH,YES,NO,NOT TIED TO PARTY LEADERS,NO,NOT AT ALL,BUSH,HELP
STATE,23.0,19.0,8.0,SECOND CALL,60-64,WHITE,FEMALE,MCCAIN,TODAY,CAMPAIGN FINANCE REFORM,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,COLLEGE GRADUATE,OMITS,"$75,000-$99,999",OMITS,MODERATE,MODERATE,18-64,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,0.453,UNIVERSITY BELT/UPPER PENINSULA,OMITS,NO,MCCAIN,YES,NO,NOT TIED TO PARTY LEADERS,YES,NOT AT ALL,MCCAIN,HELP
STATE,23.0,19.0,9.0,SECOND CALL,50-59,WHITE,MALE,MCCAIN,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,YES,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,0.371,UNIVERSITY BELT/UPPER PENINSULA,MCCAIN,NO,MCCAIN,NO,YES,NOT TIED TO PARTY LEADERS,NO,NOT MUCH,MCCAIN,HELP
STATE,23.0,19.0,10.0,SECOND CALL,50-59,WHITE,MALE,MCCAIN,THIS YEAR,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,YES,SOMETHING ELSE,SOME COLLEGE OR ASSOCIATES,YES,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,0.371,UNIVERSITY BELT/UPPER PENINSULA,MCCAIN,YES,MCCAIN,YES,YES,NOT TIED TO PARTY LEADERS,YES,NOT AT ALL,MCCAIN,HELP
STATE,23.0,19.0,11.0,SECOND CALL,50-59,WHITE,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,POST GRADUATE STUDY,YES,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,0.392,UNIVERSITY BELT/UPPER PENINSULA,MCCAIN,NO,MCCAIN,YES,NO,NOT TIED TO PARTY LEADERS,YES,NOT AT ALL,MCCAIN,HELP
STATE,23.0,19.0,12.0,SECOND CALL,60-64,WHITE,MALE,MCCAIN,THIS YEAR,TAXES,NOT A TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,SAME,TAX CUT,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,YES,"$15,000-$29,000",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,0.428,UNIVERSITY BELT/UPPER PENINSULA,BUSH,NO,MCCAIN,YES,NO,NOT TIED TO PARTY LEADERS,YES,GREAT DEAL,MCCAIN,HELP
STATE,23.0,19.0,13.0,SECOND CALL,75+,WHITE,,MCCAIN,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,YES,"UNDER $15,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,60+,60+,INDEPENDENT/OTHER,65+,75+,UNFAVORABLE,FAVORABLE,0.453,UNIVERSITY BELT/UPPER PENINSULA,BOTH,NO,BOTH,YES,NO,LOYAL REPUBLICAN,NO,NOT AT ALL,MCCAIN,OMITS
STATE,23.0,19.0,14.0,SECOND CALL,75+,WHITE,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,HAS THE RIGHT EXPERIENCE,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,YES,"UNDER $15,000",YES,MODERATE,MODERATE,65+,75+,COMPLETE,60+,60+,INDEPENDENT/OTHER,65+,75+,OMITS,OMITS,0.428,UNIVERSITY BELT/UPPER PENINSULA,MCCAIN,NO,MCCAIN,YES,YES,NOT TIED TO PARTY LEADERS,NO,NOT MUCH,MCCAIN,HELP
STATE,23.0,19.0,15.0,SECOND CALL,30-39,WHITE,FEMALE,MCCAIN,THIS YEAR,WORLD AFFAIRS,MILITARY RECORD,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,WORSE,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,FAVORABLE,FAVORABLE,0.392,UNIVERSITY BELT/UPPER PENINSULA,MCCAIN,NO,BOTH,YES,YES,NOT TIED TO PARTY LEADERS,YES,NOT AT ALL,MCCAIN,HELP
STATE,23.0,19.0,16.0,SECOND CALL,75+,WHITE,MALE,MCCAIN,WITHIN LAST 3 DAYS,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,OMITS,BETTER,STRENGTHEN SOCIAL SECURITY,NO,DEMOCRAT,POST GRADUATE STUDY,OMITS,"$50,000-$74,999",NO,VERY LIBERAL,LIBERAL,65+,75+,COMPLETE,60+,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,0.428,UNIVERSITY BELT/UPPER PENINSULA,MCCAIN,NO,OMITS,NO,YES,NOT TIED TO PARTY LEADERS,NO,NOT AT ALL,MCCAIN,HELP
STATE,23.0,19.0,17.0,SECOND CALL,30-39,WHITE,FEMALE,UNCOMMITTED,THIS YEAR,CAMPAIGN FINANCE REFORM,HAS THE RIGHT EXPERIENCE,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,NO,DEMOCRAT,COLLEGE GRADUATE,YES,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,0.186,UNIVERSITY BELT/UPPER PENINSULA,MCCAIN,NO,MCCAIN,NO,NO,NOT TIED TO PARTY LEADERS,YES,NOT AT ALL,MCCAIN,HELP
STATE,23.0,19.0,18.0,SECOND CALL,,,,MCCAIN,OMITS,OMITS,OMITS,,OMITS,OMITS,OMITS,,,,,,,,,,,,,NOT COMPLETE,,,,,,OMITS,OMITS,0.371,UNIVERSITY BELT/UPPER PENINSULA,,OMITS,,,,,,,,
STATE,23.0,19.0,19.0,SECOND CALL,50-59,WHITE,FEMALE,MCCAIN,WITHIN LAST WEEK,WORLD AFFAIRS,STRONG LEADER,OMITS,NO,LEGAL IN ALL CASES,OMITS,SAME,STRENGTHEN SOCIAL SECURITY,NO,DEMOCRAT,POST GRADUATE STUDY,YES,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,DEMOCRAT,50-64,50-64,FAVORABLE,FAVORABLE,0.392,UNIVERSITY BELT/UPPER PENINSULA,BUSH,NO,MCCAIN,YES,YES,NOT TIED TO PARTY LEADERS,YES,NOT AT ALL,MCCAIN,HELP
STATE,23.0,19.0,20.0,SECOND CALL,30-39,BLACK,MALE,OTHER,OMITS,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,OMITS,YES,ILLEGAL IN ALL CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,YES,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,FAVORABLE,FAVORABLE,0.29,UNIVERSITY BELT/UPPER PENINSULA,MCCAIN,YES,NEITHER,NO,NO,NOT TIED TO PARTY LEADERS,YES,NOT AT ALL,OMITS,HELP
