QRACE,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,FINSIT,SSTAX,UNION,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,REFORMER,PREVPRIN,VETVOTER,MCRRIGHT,VERSION,ONLYREPS,REALWIN,GORE,BRADLEY,BEATDEM,GAY,HISPANIC,REL5,REGCA,NOVCHOIC,WEIGHT,BACKSIDE,GEOCODE
WHITE,5.0,36.0,11.0,FIRST CALL,75+,WHITE,FEMALE,BUSH,,OMITS,HAS RIGHT EXPERIENCE,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,,TAX CUT,,YES,SOMETHING ELSE,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$30,000-$49,000",YES,MODERATE,MODERATE,65+,75+,STATE,60+,60+,INDEPENDENT/OTHER,65+,75+,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NO,NOT MUCH,1,,,FAVORABLE,OMITS,BUSH,NO,NO,CATHOLIC,REPUBLICAN,,0.419,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,13.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,,STRENGTHEN SOCIAL SECURITY,,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,OMITS,,,,NO,GREAT DEAL,1,,,UNFAVORABLE,UNFAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.419,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,18.0,SECOND CALL,60-64,WHITE,FEMALE,MCCAIN,THIS YEAR,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,YES,INDEPENDENT,,,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,,,,BUSH,MCCAIN,,MCCAIN,MCCAIN,YES,,,2,MCCAIN,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,NOT SATISFIED,0.378,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,20.0,SECOND CALL,60-64,WHITE,MALE,BUSH,THIS YEAR,,,CANDS PERSONAL QUALITIES,,,,SAME,,NO,NO,REPUBLICAN,,,"$15,000-$29,000",YES,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,,,,BUSH,OMITS,,BUSH,BUSH,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.40700000000000003,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,21.0,SECOND CALL,65-74,WHITE,MALE,MCCAIN,THIS YEAR,,,CANDS POSITIONS ON ISSUES,,,,SAME,,NO,YES,REPUBLICAN,,,"$30,000-$49,000",YES,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,,,,BUSH,MCCAIN,,MCCAIN,MCCAIN,,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.367,COMPLETED,L.A. SUBURBAN
HISPANIC,5.0,36.0,23.0,SECOND CALL,45-49,HISPANIC/LATINO,MALE,MCCAIN,THIS YEAR,,,CANDS PERSONAL QUALITIES,,,,SAME,,YES,YES,REPUBLICAN,,,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,,,,BUSH,MCCAIN,,MCCAIN,BOTH,YES,,,2,MCCAIN,WINS AMONG PARTY REGISTERED,,,,NO,YES,,REPUBLICAN,SATISFIED,0.337,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,24.0,SECOND CALL,18-24,WHITE,FEMALE,KEYES,TODAY,,,CANDS POSITIONS ON ISSUES,,,,WORSE,,NO,OMITS,REPUBLICAN,,,"UNDER $15,000",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,18-24,REPUBLICAN,18-24,18-24,,,,BUSH,OMITS,,BUSH,OMITS,YES,,,2, KEYES,OMITS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.553,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,27.0,SECOND CALL,65-74,WHITE,MALE,BUSH,THIS YEAR,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,NO,REPUBLICAN,,,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,,,,BUSH,GORE,,BUSH,BUSH,YES,,,2,BUSH,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,SATISFIED,0.40700000000000003,COMPLETED,L.A. SUBURBAN
OTHER,5.0,36.0,29.0,SECOND CALL,40-44,OTHER,MALE,KEYES,THIS YEAR,,,CANDS POSITIONS ON ISSUES,,,,SAME,,NO,YES,REPUBLICAN,,,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,,,,OMITS,OMITS,,NEITHER,NEITHER,YES,,,2, KEYES,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,NOT SATISFIED,0.539,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,32.0,SECOND CALL,50-59,WHITE,MALE,BUSH,THIS YEAR,,,CANDS POSITIONS ON ISSUES,,,,WORSE,,NO,NO,REPUBLICAN,,,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,,,,BUSH,MCCAIN,,BUSH,NEITHER,YES,,,2,BUSH,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,SATISFIED,0.40700000000000003,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,33.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,BEFORE THAT,,,CANDS POSITIONS ON ISSUES,,,,SAME,,NO,NO,INDEPENDENT,,,,YES,VERY CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,60+,60+,INDEPENDENT/OTHER,65+,75+,,,,BUSH,OMITS,,BUSH,OMITS,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.419,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,34.0,SECOND CALL,40-44,WHITE,FEMALE,MCCAIN,THIS YEAR,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,YES,REPUBLICAN,,,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,,,,BUSH,MCCAIN,,MCCAIN,NEITHER,YES,,,2,MCCAIN,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,NOT SATISFIED,0.378,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,35.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,THIS YEAR,,,CANDS PERSONAL QUALITIES,,,,SAME,,NO,YES,REPUBLICAN,,,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,,,,BUSH,MCCAIN,,BUSH,BOTH,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.419,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,36.0,SECOND CALL,18-24,WHITE,FEMALE,BUSH,WITHIN LAST 3 DAYS,,,CANDS PERSONAL QUALITIES,,,,SAME,,NO,NO,REPUBLICAN,,,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,18-29,18-24,REPUBLICAN,18-24,18-24,,,,BUSH,MCCAIN,,BUSH,OMITS,YES,,,2,BUSH,OMITS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.419,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,37.0,SECOND CALL,75+,WHITE,MALE,MCCAIN,WITHIN LAST WEEK,,,CANDS PERSONAL QUALITIES,,,,BETTER,,NO,YES,INDEPENDENT,,,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,60+,60+,INDEPENDENT/OTHER,65+,75+,,,,BUSH,MCCAIN,,BUSH,MCCAIN,YES,,,2,MCCAIN,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.367,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,39.0,SECOND CALL,65-74,WHITE,MALE,BUSH,,SOCIAL SECURITY/MEDICARE,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,,TAX CUT,,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$30,000-$49,000",YES,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,TOO CONSERVATIVE,,,,YES,GREAT DEAL,1,,,UNFAVORABLE,UNFAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.40700000000000003,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,42.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,,TAXES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,,TAX CUT,,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NO,NOT AT ALL,1,,,UNFAVORABLE,FAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.419,COMPLETED,L.A. SUBURBAN
HISPANIC,5.0,36.0,43.0,SECOND CALL,50-59,HISPANIC/LATINO,FEMALE,MCCAIN,,MORAL VALUES,HAS RIGHT EXPERIENCE,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,,OMITS,,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,CATHOLIC,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,OMITS,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NO,NOT AT ALL,1,,,UNFAVORABLE,FAVORABLE,MCCAIN,,YES,CATHOLIC,REPUBLICAN,,0.34700000000000003,COMPLETED,L.A. SUBURBAN
,5.0,36.0,45.0,SECOND CALL,50-59,,MALE,BUSH,,TAXES,OMITS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,,TAX CUT,,NO,SOMETHING ELSE,SOME COLLEGE OR ASSOCIATES,PROTESTANT,,YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,UNFAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NO,GREAT DEAL,1,,,UNFAVORABLE,UNFAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.40700000000000003,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,47.0,SECOND CALL,25-29,WHITE,MALE,MCCAIN,,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,,TAX CUT,,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,YES,NOT AT ALL,1,,,UNFAVORABLE,UNFAVORABLE,MCCAIN,NO,NO,CATHOLIC,REPUBLICAN,,0.367,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,51.0,SECOND CALL,50-59,WHITE,MALE,BUSH,,SOCIAL SECURITY/MEDICARE,STRONG LEADER,CANDS PERSONAL QUALITIES,YES,LEGAL IN MOST CASES,YES,,STRENGTHEN SOCIAL SECURITY,,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,CATHOLIC,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NO,SOMEWHAT,1,,,UNFAVORABLE,FAVORABLE,BUSH,NO,,CATHOLIC,REPUBLICAN,,0.40700000000000003,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,56.0,SECOND CALL,18-24,WHITE,MALE,MCCAIN,,EDUCATION,NEW IDEAS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,,TAX CUT,,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,18-29,18-24,REPUBLICAN,18-24,18-24,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,,,TOO CONSERVATIVE,,,,NO,NOT MUCH,1,,,FAVORABLE,UNFAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.367,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,57.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,,MORAL VALUES,STRONG LEADER,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,,STRENGTHEN SOCIAL SECURITY,,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NO,GREAT DEAL,1,,,UNFAVORABLE,FAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.419,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,58.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,,TAXES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,,TAX CUT,,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NO,NOT AT ALL,1,,,FAVORABLE,UNFAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.419,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,59.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,,MORAL VALUES,HAS RIGHT EXPERIENCE,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,,OMITS,,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,OMITS,,,,NO,GREAT DEAL,1,,,UNFAVORABLE,FAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.419,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,60.0,SECOND CALL,65-74,WHITE,MALE,MCCAIN,,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,,STRENGTHEN SOCIAL SECURITY,,NO,REPUBLICAN,POST GRADUATE STUDY,OTHER CHRISTIAN,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,YES,GREAT DEAL,1,,,FAVORABLE,FAVORABLE,MCCAIN,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.367,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,64.0,THIRD CALL,45-49,WHITE,MALE,MCCAIN,BEFORE THAT,,,CANDS PERSONAL QUALITIES,,,,WORSE,,NO,YES,SOMETHING ELSE,,,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,,,,BUSH,MCCAIN,,MCCAIN,BOTH,YES,,,2,BUSH,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,SATISFIED,0.367,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,66.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,THIS YEAR,,,CANDS PERSONAL QUALITIES,,,,BETTER,,NO,OMITS,REPUBLICAN,,,,YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,,,,BUSH,OMITS,,BUSH,BUSH,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,NOT SATISFIED,0.419,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,68.0,THIRD CALL,60-64,WHITE,FEMALE,MCCAIN,THIS YEAR,,,CANDS POSITIONS ON ISSUES,,,,SAME,,NO,YES,INDEPENDENT,,,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,,,,OMITS,MCCAIN,,MCCAIN,MCCAIN,YES,,,2,MCCAIN,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,NOT SATISFIED,0.378,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,72.0,THIRD CALL,50-59,WHITE,MALE,BUSH,THIS YEAR,,,CANDS POSITIONS ON ISSUES,,,,SAME,,NO,OMITS,REPUBLICAN,,,"$50,000-$74,999",OMITS,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,,,,BUSH,MCCAIN,,BUSH,BUSH,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.40700000000000003,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,73.0,THIRD CALL,60-64,WHITE,MALE,BUSH,THIS YEAR,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,YES,NO,REPUBLICAN,,,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,,,,BUSH,MCCAIN,,BUSH,NEITHER,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.40700000000000003,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,74.0,THIRD CALL,18-24,WHITE,MALE,BUSH,WITHIN LAST 3 DAYS,,,CANDS PERSONAL QUALITIES,,,,BETTER,,,OMITS,REPUBLICAN,,,"$100,000 OR MORE",OMITS,,,18-64,18-74,STATE,18-29,18-24,REPUBLICAN,18-24,18-24,,,,BUSH,MCCAIN,,OMITS,BUSH,NO,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.40700000000000003,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,75.0,THIRD CALL,50-59,WHITE,FEMALE,BUSH,WITHIN LAST WEEK,,,CANDS PERSONAL QUALITIES,,,,SAME,,YES,NO,REPUBLICAN,,,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,,,,BUSH,MCCAIN,,BOTH,BOTH,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.419,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,76.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,WITHIN LAST WEEK,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,YES,OMITS,REPUBLICAN,,,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,,,,BUSH,MCCAIN,,BUSH,NEITHER,YES,,,2,BUSH,WINS AMONG PARTY REGISTERED,,,,,NO,,REPUBLICAN,SATISFIED,0.419,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,77.0,THIRD CALL,40-44,WHITE,MALE,BUSH,BEFORE THAT,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,NO,REPUBLICAN,,,"$15,000-$29,000",YES,MODERATE,MODERATE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,,,,BUSH,OMITS,,BUSH,NEITHER,YES,,,2,BUSH,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,SATISFIED,0.40700000000000003,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,78.0,THIRD CALL,50-59,WHITE,MALE,BUSH,BEFORE THAT,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,NO,REPUBLICAN,,,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,,,,BUSH,MCCAIN,,MCCAIN,BOTH,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.40700000000000003,COMPLETED,L.A. SUBURBAN
HISPANIC,5.0,36.0,79.0,THIRD CALL,18-24,HISPANIC/LATINO,FEMALE,BUSH,WITHIN LAST WEEK,,,OMITS,,,,OMITS,,,OMITS,,,,,OMITS,,,18-64,18-74,STATE,18-29,18-24,,18-24,18-24,,,,BUSH,MCCAIN,,OMITS,BOTH,,,,2,OMITS,WINS AMONG ALL VOTERS,,,,,,,REPUBLICAN,OMITS,0.384,NOT COMPLETED,L.A. SUBURBAN
ASIAN,5.0,36.0,82.0,THIRD CALL,30-39,ASIAN,MALE,MCCAIN,THIS YEAR,,,CANDS PERSONAL QUALITIES,,,,BETTER,,NO,NO,INDEPENDENT,,,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,,,,OMITS,MCCAIN,,MCCAIN,MCCAIN,YES,,,2,MCCAIN,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,NOT SATISFIED,0.367,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,83.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,WITHIN LAST WEEK,,,CANDS POSITIONS ON ISSUES,,,,SAME,,NO,YES,REPUBLICAN,,,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,,,,BUSH,MCCAIN,,BUSH,NEITHER,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.419,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,85.0,THIRD CALL,65-74,WHITE,FEMALE,MCCAIN,,ABORTION,NEW IDEAS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,,STRENGTHEN SOCIAL SECURITY,,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$30,000-$49,000",NO,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NO,NOT AT ALL,1,,,UNFAVORABLE,FAVORABLE,MCCAIN,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.378,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,86.0,THIRD CALL,60-64,WHITE,,BUSH,,OMITS,STRONG LEADER,CANDS POSITIONS ON ISSUES,YES,LEGAL IN MOST CASES,YES,,STRENGTHEN SOCIAL SECURITY,,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,ABOUT RIGHT,,,,YES,GREAT DEAL,1,,,UNFAVORABLE,UNFAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.419,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,90.0,THIRD CALL,60-64,WHITE,FEMALE,MCCAIN,,EDUCATION,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,,TAX CUT,,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NO,NOT MUCH,1,,,UNFAVORABLE,FAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.378,COMPLETED,L.A. SUBURBAN
WHITE,5.0,36.0,91.0,THIRD CALL,30-39,WHITE,MALE,MCCAIN,,MORAL VALUES,NEW IDEAS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,NO,,STRENGTHEN SOCIAL SECURITY,,YES,REPUBLICAN,POST GRADUATE STUDY,OTHER CHRISTIAN,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,YES,NOT MUCH,1,,,UNFAVORABLE,UNFAVORABLE,MCCAIN,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.367,COMPLETED,L.A. SUBURBAN
