BACKSIDE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,MCSAYDO,REFORMER,PREVPRI,VETVOTER,REGREPRI,CHAFFEE,BEATDEM,REL5,WEIGHT
NOT COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,16.0,THIRD CALL,40-44,MALE,MCCAIN,TODAY,TAXES,NOT TYPICAL POLITICIAN,OMITS,OMITS,OMITS,NO,OMITS,OMITS,,,,,OMITS,,,18-64,18-74,STATE,30-44,40-49,,40-49,40-49,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,YES,,UNAFFILIATED/INDEPENDENT,FAVORABLE,OMITS,,0.499
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,17.0,THIRD CALL,65-74,,BUSH,THIS YEAR,OMITS,OMITS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,OMITS,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,CATHOLIC,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,OMITS,NOT CONSERVATIVE ENOUGH,BUSH,YES,BUSH,YES,YES,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,CATHOLIC,0.441
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,18.0,THIRD CALL,60-64,MALE,BUSH,WITHIN LAST WEEK,CAMPAIGN FINANCE REFORM,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,OMITS,YES,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,BOTH,YES,YES,REPUBLICAN,OMITS,BUSH,PROTESTANT/OTHER CHRISTIAN,0.441
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,19.0,THIRD CALL,30-39,FEMALE,MCCAIN,THIS YEAR,SOCIAL SECURITY/MEDICARE,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,OMITS,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,CATHOLIC,0.602
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,20.0,THIRD CALL,30-39,MALE,BUSH,WITHIN LAST WEEK,TAXES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$30,000-$49,000",YES,,,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,BUSH,YES,NO,REPUBLICAN,FAVORABLE,BUSH,CATHOLIC,0.35000000000000003
NOT COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,21.0,THIRD CALL,45-49,FEMALE,BUSH,THIS YEAR,OMITS,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,,OMITS,,,18-64,18-74,STATE,45-59,40-49,,40-49,40-49,OMITS,OMITS,OMITS,BUSH,OMITS,OMITS,OMITS,YES,OMITS,YES,,UNAFFILIATED/INDEPENDENT,FAVORABLE,OMITS,,0.421
NOT COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,22.0,THIRD CALL,65-74,FEMALE,BUSH,BEFORE THAT,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,,65+,18-74,STATE,60+,60+,,65+,65-74,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,OMITS,OMITS,,0.533
NOT COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,23.0,THIRD CALL,65-74,MALE,BUSH,BEFORE THAT,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,,65+,18-74,STATE,60+,60+,,65+,65-74,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,OMITS,OMITS,,0.441
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,24.0,THIRD CALL,18-24,MALE,BUSH,BEFORE THAT,TAXES,STRONG LEADER,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,18-24,REPUBLICAN,18-24,18-24,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,NO,BOTH,NO,NO,REPUBLICAN,FAVORABLE,BUSH,CATHOLIC,0.272
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,25.0,THIRD CALL,45-49,FEMALE,KEYES,TODAY,ABORTION,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,OMITS,LEGAL IN ALL CASES,YES,OMITS,YES,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,"$15,000-$29,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,NO,BOTH,NO,NO,UNAFFILIATED/INDEPENDENT,UNFAVORABLE,OMITS,CATHOLIC,0.316
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,26.0,THIRD CALL,50-59,MALE,MCCAIN,THIS YEAR,OMITS,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$15,000-$29,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,NO,BOTH,NO,YES,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,CATHOLIC,0.499
NOT COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,27.0,THIRD CALL,65-74,MALE,MCCAIN,BEFORE THAT,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,,65+,18-74,STATE,60+,60+,,65+,65-74,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,YES,,UNAFFILIATED/INDEPENDENT,OMITS,OMITS,,0.632
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,28.0,THIRD CALL,30-39,FEMALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BOTH,YES,NEITHER,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,0.421
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,29.0,THIRD CALL,30-39,MALE,MCCAIN,THIS YEAR,ABORTION,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,TAX CUT,YES,REPUBLICAN,POST GRADUATE STUDY,NONE,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,NEITHER,NO,NO,REPUBLICAN,FAVORABLE,MCCAIN,NONE,0.499
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,30.0,THIRD CALL,25-29,FEMALE,MCCAIN,THIS YEAR,ABORTION,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,TAX CUT,YES,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,ABOUT RIGHT,FAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,NO,NO,REPUBLICAN,FAVORABLE,BUSH,CATHOLIC,0.467
NOT COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,31.0,THIRD CALL,60-64,MALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,,OMITS,,,18-64,18-74,STATE,60+,60+,,50-64,50-64,OMITS,OMITS,OMITS,BUSH,MCCAIN,OMITS,OMITS,YES,OMITS,YES,,REPUBLICAN,FAVORABLE,OMITS,,0.632
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,32.0,THIRD CALL,25-29,MALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$30,000-$49,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,YES,REPUBLICAN,FAVORABLE,MCCAIN,CATHOLIC,0.387
NOT COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,33.0,THIRD CALL,30-39,MALE,MCCAIN,THIS YEAR,WORLD AFFAIRS,CAN WIN IN NOVEMBER,OMITS,OMITS,OMITS,NO,OMITS,OMITS,,,,,OMITS,,,18-64,18-74,STATE,30-44,30-39,,30-39,30-39,OMITS,OMITS,OMITS,BUSH,MCCAIN,OMITS,OMITS,NO,OMITS,YES,,UNAFFILIATED/INDEPENDENT,FAVORABLE,OMITS,,0.499
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,34.0,THIRD CALL,30-39,FEMALE,MCCAIN,TODAY,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,BOTH,NO,YES,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,CATHOLIC,0.602
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,35.0,THIRD CALL,40-44,FEMALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,NO,NO,REPUBLICAN,FAVORABLE,BUSH,CATHOLIC,0.602
NOT COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,36.0,THIRD CALL,75+,,BUSH,BEFORE THAT,OMITS,REPRESENTS CONSERVATIVE VALUES,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,,OMITS,,,65+,75+,STATE,60+,60+,,65+,75+,OMITS,OMITS,OMITS,BUSH,GORE,OMITS,OMITS,YES,OMITS,YES,,,FAVORABLE,OMITS,,0.533
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,37.0,THIRD CALL,65-74,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,COLLEGE GRADUATE,JEWISH,"$75,000-$99,999",YES,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,TOO CONSERVATIVE,MCCAIN,YES,NEITHER,NO,NO,UNAFFILIATED/INDEPENDENT,UNFAVORABLE,MCCAIN,JEWISH,0.761
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,38.0,THIRD CALL,50-59,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,COLLEGE GRADUATE,OTHER CHRISTIAN,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,BUSH,NO,MCCAIN,NO,YES,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.602
NOT COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,39.0,THIRD CALL,50-59,MALE,MCCAIN,BEFORE THAT,OMITS,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,NO,OMITS,OMITS,,,,,OMITS,,,18-64,18-74,STATE,45-59,50-59,,50-64,50-64,OMITS,OMITS,OMITS,OMITS,MCCAIN,OMITS,OMITS,NO,OMITS,YES,,UNAFFILIATED/INDEPENDENT,FAVORABLE,OMITS,,0.499
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,40.0,THIRD CALL,50-59,,MCCAIN,THIS YEAR,WORLD AFFAIRS,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,"$75,000-$99,999",OMITS,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,NOT CONSERVATIVE ENOUGH,OMITS,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,NO,,OMITS,MCCAIN,CATHOLIC,0.499
COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,41.0,THIRD CALL,45-49,FEMALE,MCCAIN,BEFORE THAT,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,TAX CUT,YES,REPUBLICAN,COLLEGE GRADUATE,SOMETHING ELSE,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,OMITS,SOMETHING ELSE,0.602
NOT COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,42.0,THIRD CALL,65-74,MALE,MCCAIN,TODAY,MORAL VALUES,NOT TYPICAL POLITICIAN,OMITS,OMITS,OMITS,NO,OMITS,OMITS,,,,,OMITS,,,65+,18-74,STATE,60+,60+,,65+,65-74,OMITS,OMITS,OMITS,GORE,MCCAIN,OMITS,OMITS,NO,OMITS,YES,,UNAFFILIATED/INDEPENDENT,UNFAVORABLE,OMITS,,0.632
NOT COMPLETED,WARWICK/MIDDLE CLASS SUBURBS,40.0,17.0,43.0,THIRD CALL,45-49,FEMALE,MCCAIN,BEFORE THAT,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,,18-64,18-74,STATE,45-59,40-49,,40-49,40-49,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,OMITS,OMITS,,0.602
COMPLETED,RURAL/REST OF STATE,40.0,20.0,1.0,FIRST CALL,65-74,,BUSH,BEFORE THAT,SOCIAL SECURITY/MEDICARE,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,TAX CUT,YES,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,GORE,NOT CONSERVATIVE ENOUGH,BUSH,YES,BOTH,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,0.976
COMPLETED,RURAL/REST OF STATE,40.0,20.0,2.0,FIRST CALL,65-74,MALE,BUSH,THIS YEAR,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",YES,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,GORE,ABOUT RIGHT,BUSH,YES,NEITHER,YES,YES,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,1.04
COMPLETED,RURAL/REST OF STATE,40.0,20.0,3.0,FIRST CALL,30-39,MALE,BUSH,THIS YEAR,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,NONE,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,YES,MCCAIN,YES,NO,REPUBLICAN,FAVORABLE,BUSH,NONE,0.739
NOT COMPLETED,RURAL/REST OF STATE,40.0,20.0,4.0,FIRST CALL,50-59,,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,NO,OMITS,OMITS,,,,,OMITS,,,18-64,18-74,STATE,45-59,50-59,,50-64,50-64,OMITS,OMITS,OMITS,GORE,MCCAIN,OMITS,OMITS,NO,OMITS,YES,,REPUBLICAN,FAVORABLE,OMITS,,0.8130000000000001
COMPLETED,RURAL/REST OF STATE,40.0,20.0,5.0,FIRST CALL,75+,FEMALE,BUSH,WITHIN LAST WEEK,MORAL VALUES,STANDS UP FOR BELIEFS,OMITS,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,OMITS,INDEPENDENT,HIGH SCHOOL GRADUATE,PROTESTANT,,OMITS,MODERATE,MODERATE,65+,75+,STATE,60+,60+,INDEPENDENT/OTHER,65+,75+,ABOUT RIGHT,OMITS,OMITS,BUSH,OMITS,OMITS,BOTH,OMITS,NEITHER,YES,NO,REPUBLICAN,FAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,0.976
COMPLETED,RURAL/REST OF STATE,40.0,20.0,6.0,FIRST CALL,45-49,FEMALE,MCCAIN,BEFORE THAT,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,BOTH,YES,NO,REPUBLICAN,FAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.763
NOT COMPLETED,RURAL/REST OF STATE,40.0,20.0,7.0,FIRST CALL,65-74,,MCCAIN,THIS YEAR,ABORTION,CAN WIN IN NOVEMBER,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,,OMITS,,,65+,18-74,STATE,60+,60+,,65+,65-74,OMITS,OMITS,OMITS,BUSH,MCCAIN,OMITS,OMITS,YES,OMITS,YES,,UNAFFILIATED/INDEPENDENT,FAVORABLE,OMITS,,1.072
COMPLETED,RURAL/REST OF STATE,40.0,20.0,8.0,FIRST CALL,40-44,FEMALE,MCCAIN,WITHIN LAST 3 DAYS,TAXES,STANDS UP FOR BELIEFS,OMITS,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,OMITS,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$75,000-$99,999",OMITS,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,OMITS,NO,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,CATHOLIC,0.763
COMPLETED,RURAL/REST OF STATE,40.0,20.0,9.0,FIRST CALL,50-59,MALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,OMITS,YES,TAX CUT,YES,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$100,000 OR MORE",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,OMITS,FAVORABLE,FAVORABLE,OMITS,MCCAIN,ABOUT RIGHT,MCCAIN,OMITS,NEITHER,YES,YES,REPUBLICAN,UNFAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.8130000000000001
COMPLETED,RURAL/REST OF STATE,40.0,20.0,10.0,FIRST CALL,50-59,FEMALE,BUSH,THIS YEAR,ABORTION,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,NEITHER,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,OMITS,CATHOLIC,0.6940000000000001
COMPLETED,RURAL/REST OF STATE,40.0,20.0,11.0,FIRST CALL,30-39,FEMALE,MCCAIN,WITHIN LAST WEEK,EDUCATION,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,BOTH,NO,BOTH,NO,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,CATHOLIC,0.763
COMPLETED,RURAL/REST OF STATE,40.0,20.0,12.0,FIRST CALL,50-59,FEMALE,MCCAIN,BEFORE THAT,OMITS,CAN WIN IN NOVEMBER,OMITS,OMITS,LEGAL IN ALL CASES,NO,TAX CUT,YES,,POST GRADUATE STUDY,,"$50,000-$74,999",OMITS,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,,50-64,50-64,OMITS,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,OMITS,OMITS,NO,OMITS,YES,NO,REPUBLICAN,FAVORABLE,MCCAIN,,0.763
NOT COMPLETED,RURAL/REST OF STATE,40.0,20.0,13.0,FIRST CALL,50-59,MALE,MCCAIN,THIS YEAR,OMITS,NOT TYPICAL POLITICIAN,OMITS,OMITS,OMITS,NO,OMITS,OMITS,,,,,OMITS,,,18-64,18-74,STATE,45-59,50-59,,50-64,50-64,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,YES,,REPUBLICAN,OMITS,OMITS,,0.8130000000000001
COMPLETED,RURAL/REST OF STATE,40.0,20.0,14.0,FIRST CALL,50-59,MALE,MCCAIN,THIS YEAR,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,INDEPENDENT,POST GRADUATE STUDY,,,OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,OMITS,,YES,UNAFFILIATED/INDEPENDENT,OMITS,OMITS,,0.8130000000000001
