STATE,PCT,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,TIME,ISSUE,QUALITY,CLINTON,ISSVQUAL,ABORTION,FINSIT,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,GORE2LIB,BRAD2LIB,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,GOREBUSH,GOREMCAN,PREVPRID,GUNHH,GUNCHOIC,THRDCAND,GORE,BRADLEY,BCPERSON,REGDEMCO,MEXICAN,QRACE,REL5,WEIGHT
6.0,12.0,9.0,THIRD CALL,45-49,WHITE,FEMALE,BRADLEY,THIS YEAR,HEALTH CARE,HAS NEW IDEAS,DISAPPROVE,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,SAME,YES,INDEPENDENT,COLLEGE GRADUATE,,NO,"$30,000-$49,000",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,ARAPAHOE/JEFFERSON,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,GORE,GORE,YES,YES,REDUCE VIOLENCE,WOULD CONSIDER THIRD CANDIDATE,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,NO,WHITE,,1.3820000000000001
6.0,12.0,10.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,BEFORE THAT,ECONOMY/JOBS,STRONG LEADER,APPROVE,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,NO,,NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,OMITS,COMPLETE,ARAPAHOE/JEFFERSON,45-59,50-59,DEMOCRAT,50-64,50-64,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,UNFAVORABLE,FAVORABLE,DEMOCRAT,NO,WHITE,CATHOLIC,0.838
6.0,12.0,11.0,THIRD CALL,50-59,WHITE,FEMALE,UNCOMMITTED,THIS YEAR,CAMPAIGN FINANCE REFORM,OMITS,APPROVE,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,INDEPENDENT,,PROTESTANT,YES,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,TOO LIBERAL,ABOUT RIGHT,COMPLETE,ARAPAHOE/JEFFERSON,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,BUSH,MCCAIN,YES,NO,PROTECT GUN RIGHTS,WOULD CONSIDER THIRD CANDIDATE,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNDECLARED/INDEPENDENT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.806
6.0,12.0,12.0,THIRD CALL,40-44,WHITE,MALE,GORE,TODAY,OMITS,OMITS,APPROVE,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,NO,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,NOT LIBERAL ENOUGH,COMPLETE,ARAPAHOE/JEFFERSON,30-44,40-49,DEMOCRAT,40-49,40-49,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,UNFAVORABLE,UNFAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.8280000000000001
6.0,12.0,13.0,THIRD CALL,75+,WHITE,FEMALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STRONG LEADER,DISAPPROVE,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,SAME,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,PROTESTANT,OMITS,"UNDER $15,000",OMITS,MODERATE,MODERATE,65+,75+,ABOUT RIGHT,NOT LIBERAL ENOUGH,COMPLETE,ARAPAHOE/JEFFERSON,60+,60+,DEMOCRAT,65+,75+,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,OMITS,UNFAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.969
6.0,13.0,1.0,FIRST CALL,50-59,WHITE,FEMALE,BRADLEY,THIS YEAR,OMITS,NOT TYPICAL POLITICAN,DISAPPROVE,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,SAME,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,NO,"$30,000-$49,000",YES,VERY LIBERAL,LIBERAL,18-64,18-74,OMITS,ABOUT RIGHT,COMPLETE,ARAPAHOE/JEFFERSON,45-59,50-59,REPUBLICAN,50-64,50-64,OMITS,OMITS,YES,NO,REDUCE VIOLENCE,,OMITS,FAVORABLE,UNFAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,1.016
6.0,13.0,2.0,FIRST CALL,65-74,WHITE,MALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,HAS THE RIGHT EXPERIENCE,DISAPPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,NO,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,YES,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,ABOUT RIGHT,NOT LIBERAL ENOUGH,COMPLETE,ARAPAHOE/JEFFERSON,60+,60+,DEMOCRAT,65+,65-74,GORE,GORE,NO,NO,PROTECT GUN RIGHTS,SATISFIED,UNFAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.704
6.0,13.0,3.0,SECOND CALL,40-44,WHITE,MALE,GORE,THIS YEAR,ECONOMY/JOBS,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,SAME,NO,DEMOCRAT,COLLEGE GRADUATE,JEWISH,YES,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,ARAPAHOE/JEFFERSON,30-44,40-49,DEMOCRAT,40-49,40-49,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,NO,WHITE,JEWISH,0.608
6.0,13.0,4.0,SECOND CALL,65-74,WHITE,MALE,GORE,BEFORE THAT,CAMPAIGN FINANCE REFORM,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,NO,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,ARAPAHOE/JEFFERSON,60+,60+,DEMOCRAT,65+,65-74,GORE,GORE,YES,YES,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,NO,WHITE,CATHOLIC,0.704
6.0,13.0,5.0,SECOND CALL,65-74,WHITE,FEMALE,BRADLEY,THIS YEAR,SOCIAL SECURITY/MEDICARE,NOT TYPICAL POLITICAN,OMITS,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,CATHOLIC,OMITS,"$50,000-$74,999",OMITS,MODERATE,MODERATE,65+,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,ARAPAHOE/JEFFERSON,60+,60+,DEMOCRAT,65+,65-74,GORE,GORE,YES,YES,REDUCE VIOLENCE,WOULD CONSIDER THIRD CANDIDATE,FAVORABLE,OMITS,UNFAVORABLE,DEMOCRAT,NO,WHITE,CATHOLIC,1.176
6.0,13.0,6.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,THIS YEAR,OMITS,STRONG LEADER,DISAPPROVE,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,BETTER,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,OMITS,COMPLETE,ARAPAHOE/JEFFERSON,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,GORE,GORE,YES,YES,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.616
6.0,13.0,7.0,SECOND CALL,65-74,WHITE,FEMALE,BRADLEY,THIS YEAR,OMITS,OMITS,DISAPPROVE,OMITS,LEGAL IN ALL CASES,SAME,NO,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,YES,"UNDER $15,000",YES,MODERATE,MODERATE,65+,18-74,OMITS,OMITS,COMPLETE,ARAPAHOE/JEFFERSON,60+,60+,INDEPENDENT/OTHER,65+,65-74,BUSH,MCCAIN,YES,YES,REDUCE VIOLENCE,WOULD CONSIDER THIRD CANDIDATE,UNFAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,1.176
6.0,13.0,8.0,THIRD CALL,50-59,WHITE,MALE,BRADLEY,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,NONE,NO,"$100,000 OR MORE",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,ARAPAHOE/JEFFERSON,45-59,50-59,DEMOCRAT,50-64,50-64,GORE,GORE,YES,YES,REDUCE VIOLENCE,WOULD CONSIDER THIRD CANDIDATE,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,NO,WHITE,NONE,1.0030000000000001
6.0,13.0,9.0,THIRD CALL,50-59,WHITE,FEMALE,BRADLEY,THIS YEAR,ABORTION,NOT TYPICAL POLITICAN,OMITS,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,,NO,,NO,MODERATE,MODERATE,18-64,18-74,OMITS,ABOUT RIGHT,COMPLETE,ARAPAHOE/JEFFERSON,45-59,50-59,DEMOCRAT,50-64,50-64,BUSH,MCCAIN,YES,NO,REDUCE VIOLENCE,WOULD CONSIDER THIRD CANDIDATE,UNFAVORABLE,FAVORABLE,OMITS,DEMOCRAT,NO,WHITE,,1.016
6.0,13.0,10.0,THIRD CALL,45-49,WHITE,FEMALE,UNCOMMITTED,WITHIN LAST WEEK,EDUCATION,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,WORSE,YES,INDEPENDENT,COLLEGE GRADUATE,JEWISH,YES,"$15,000-$29,000",YES,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,ARAPAHOE/JEFFERSON,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,GORE,MCCAIN,YES,NO,REDUCE VIOLENCE,WOULD CONSIDER THIRD CANDIDATE,UNFAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,NO,WHITE,JEWISH,0.592
6.0,13.0,11.0,THIRD CALL,50-59,WHITE,MALE,UNCOMMITTED,WITHIN LAST 3 DAYS,CAMPAIGN FINANCE REFORM,STRONG LEADER,APPROVE,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,SAME,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,JEWISH,NO,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NOT LIBERAL ENOUGH,TOO LIBERAL,COMPLETE,ARAPAHOE/JEFFERSON,45-59,50-59,DEMOCRAT,50-64,50-64,GORE,MCCAIN,YES,NO,REDUCE VIOLENCE,WOULD CONSIDER THIRD CANDIDATE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,DEMOCRAT,NO,WHITE,JEWISH,0.585
6.0,13.0,12.0,THIRD CALL,30-39,WHITE,MALE,BRADLEY,THIS YEAR,EDUCATION,NOT TYPICAL POLITICAN,APPROVE,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,NONE,NO,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,ARAPAHOE/JEFFERSON,30-44,30-39,DEMOCRAT,30-39,30-39,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,OMITS,FAVORABLE,UNFAVORABLE,DEMOCRAT,NO,WHITE,NONE,1.0030000000000001
6.0,13.0,13.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,THIS YEAR,EDUCATION,STRONG LEADER,APPROVE,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,NO,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,ARAPAHOE/JEFFERSON,30-44,40-49,DEMOCRAT,40-49,40-49,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.616
6.0,13.0,14.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,WITHIN LAST 3 DAYS,ABORTION,CAN WIN IN NOVEMBER,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,CATHOLIC,NO,"$100,000 OR MORE",YES,VERY LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,ARAPAHOE/JEFFERSON,18-29,18-24,DEMOCRAT,18-24,18-24,GORE,GORE,NO,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,NO,WHITE,CATHOLIC,0.5630000000000001
6.0,13.0,15.0,THIRD CALL,30-39,WHITE,MALE,GORE,WITHIN LAST WEEK,EDUCATION,STRONG LEADER,APPROVE,CANDS POSITIONS ON ISSUES,OMITS,SAME,NO,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,ARAPAHOE/JEFFERSON,30-44,30-39,DEMOCRAT,30-39,30-39,GORE,MCCAIN,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.608
6.0,13.0,16.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,TODAY,EDUCATION,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,NO,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,OMITS,COMPLETE,ARAPAHOE/JEFFERSON,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,NO,WHITE,CATHOLIC,0.616
6.0,13.0,17.0,THIRD CALL,18-24,HISPANIC/LATINO,MALE,GORE,WITHIN LAST WEEK,ECONOMY/JOBS,STRONG LEADER,APPROVE,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,NOT LIBERAL ENOUGH,COMPLETE,ARAPAHOE/JEFFERSON,18-29,18-24,DEMOCRAT,18-24,18-24,GORE,GORE,NO,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,UNFAVORABLE,UNFAVORABLE,DEMOCRAT,YES,HISPANIC/LATINO,CATHOLIC,0.519
6.0,13.0,18.0,THIRD CALL,50-59,HISPANIC/LATINO,FEMALE,GORE,BEFORE THAT,EDUCATION,HAS NEW IDEAS,APPROVE,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,YES,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,NOT LIBERAL ENOUGH,COMPLETE,ARAPAHOE/JEFFERSON,45-59,50-59,DEMOCRAT,50-64,50-64,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,UNFAVORABLE,FAVORABLE,DEMOCRAT,YES,HISPANIC/LATINO,CATHOLIC,0.5760000000000001
6.0,15.0,1.0,FIRST CALL,45-49,BLACK,FEMALE,GORE,WITHIN LAST WEEK,OMITS,HAS NEW IDEAS,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,OTHER CHRISTIAN,NO,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,OMITS,TOO LIBERAL,COMPLETE,ARAPAHOE/JEFFERSON,45-59,40-49,DEMOCRAT,40-49,40-49,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.758
6.0,15.0,2.0,FIRST CALL,50-59,HISPANIC/LATINO,FEMALE,GORE,BEFORE THAT,ECONOMY/JOBS,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,NO,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,TOO LIBERAL,COMPLETE,ARAPAHOE/JEFFERSON,45-59,50-59,DEMOCRAT,50-64,50-64,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,UNFAVORABLE,FAVORABLE,DEMOCRAT,YES,,PROTESTANT/OTHER CHRISTIAN,0.758
6.0,15.0,3.0,FIRST CALL,40-44,BLACK,MALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,BETTER,NO,INDEPENDENT,COLLEGE GRADUATE,OTHER CHRISTIAN,NO,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,TOO LIBERAL,COMPLETE,ARAPAHOE/JEFFERSON,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.748
6.0,15.0,4.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,WITHIN LAST WEEK,EDUCATION,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,NO,"$100,000 OR MORE",NO,VERY LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,ARAPAHOE/JEFFERSON,45-59,40-49,DEMOCRAT,40-49,40-49,GORE,GORE,YES,YES,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.811
6.0,15.0,5.0,SECOND CALL,75+,WHITE,FEMALE,GORE,BEFORE THAT,HEALTH CARE,STANDS UP FOR BELIEFS,APPROVE,CANDS POSITIONS ON ISSUES,OMITS,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,NO,"UNDER $15,000",NO,MODERATE,MODERATE,65+,75+,ABOUT RIGHT,OMITS,COMPLETE,ARAPAHOE/JEFFERSON,60+,60+,DEMOCRAT,65+,75+,GORE,GORE,NO,NO,REDUCE VIOLENCE,,FAVORABLE,OMITS,FAVORABLE,DEMOCRAT,NO,WHITE,CATHOLIC,0.9390000000000001
6.0,15.0,6.0,SECOND CALL,75+,WHITE,MALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,65+,75+,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,ARAPAHOE/JEFFERSON,60+,60+,DEMOCRAT,65+,75+,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.927
6.0,15.0,7.0,SECOND CALL,40-44,WHITE,MALE,GORE,BEFORE THAT,ECONOMY/JOBS,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,JEWISH,YES,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,TOO LIBERAL,COMPLETE,ARAPAHOE/JEFFERSON,30-44,40-49,DEMOCRAT,40-49,40-49,GORE,GORE,NO,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,NO,WHITE,JEWISH,0.801
6.0,15.0,8.0,SECOND CALL,45-49,WHITE,MALE,GORE,THIS YEAR,HEALTH CARE,STRONG LEADER,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,NONE,NO,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,TOO LIBERAL,COMPLETE,ARAPAHOE/JEFFERSON,45-59,40-49,DEMOCRAT,40-49,40-49,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,NO,WHITE,NONE,0.801
6.0,15.0,9.0,SECOND CALL,60-64,WHITE,MALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,SAME,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,TOO LIBERAL,COMPLETE,ARAPAHOE/JEFFERSON,60+,60+,INDEPENDENT/OTHER,50-64,50-64,GORE,GORE,YES,YES,REDUCE VIOLENCE,SATISFIED,FAVORABLE,UNFAVORABLE,UNFAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.927
6.0,15.0,10.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,THIS YEAR,HEALTH CARE,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,YES,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,NO,"$50,000-$74,999",NO,VERY LIBERAL,LIBERAL,18-64,18-74,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,COMPLETE,ARAPAHOE/JEFFERSON,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,UNFAVORABLE,FAVORABLE,UNDECLARED/INDEPENDENT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.811
6.0,15.0,11.0,SECOND CALL,75+,WHITE,FEMALE,BRADLEY,THIS YEAR,RACE RELATIONS,STANDS UP FOR BELIEFS,APPROVE,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,SAME,NO,DEMOCRAT,POST GRADUATE STUDY,JEWISH,NO,"$15,000-$29,000",YES,VERY LIBERAL,LIBERAL,65+,75+,NOT LIBERAL ENOUGH,ABOUT RIGHT,COMPLETE,ARAPAHOE/JEFFERSON,60+,60+,DEMOCRAT,65+,75+,GORE,GORE,YES,NO,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,NO,WHITE,JEWISH,1.547
6.0,15.0,12.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,THIS YEAR,ECONOMY/JOBS,OMITS,DISAPPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,NO,"$100,000 OR MORE",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,ARAPAHOE/JEFFERSON,45-59,40-49,DEMOCRAT,40-49,40-49,GORE,GORE,YES,YES,REDUCE VIOLENCE,SATISFIED,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.811
6.0,15.0,13.0,THIRD CALL,65-74,WHITE,MALE,GORE,THIS YEAR,ECONOMY/JOBS,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,ILLEGAL IN ALL CASES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,65+,18-74,ABOUT RIGHT,OMITS,COMPLETE,ARAPAHOE/JEFFERSON,60+,60+,DEMOCRAT,65+,65-74,GORE,MCCAIN,YES,NO,REDUCE VIOLENCE,WOULD CONSIDER THIRD CANDIDATE,FAVORABLE,UNFAVORABLE,FAVORABLE,DEMOCRAT,NO,WHITE,CATHOLIC,0.927
6.0,15.0,14.0,THIRD CALL,50-59,WHITE,MALE,BRADLEY,THIS YEAR,OMITS,OMITS,APPROVE,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,NO,,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,ARAPAHOE/JEFFERSON,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,GORE,GORE,YES,YES,REDUCE VIOLENCE,WOULD CONSIDER THIRD CANDIDATE,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,NO,WHITE,CATHOLIC,1.321
