STATE,PREC,SEQ,OTHPRIDI,OVER65,OVER75,REGDEM,BACKSIDE,GEOCODE,AGE4,AGEABC,AGE65,AGE75,OTHERPRI,REFORMVT,BEATREP,CALL,AGE9,SEX,DEMVOTE,TIME,CANDSOK,STANDLIV,ISSUE,QUALITY,ADSGORE,CLINTON,SURPLUS,HLTHPLAN,CLINGORE,ISSVQUAL,ADSBRAD,DEMSEEN,FINSIT,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,PARTY,DEBATES,GORE,BRADLEY,BCPERSON,INTERNET,STEC,ETAX,NEWWAYS,MARRIED,CHILD,RELPUB,DESCRIBE,IMPRESS,ELIFE,BRADHLTH,SOTUNION,REL5,WEIGHT
30.0,32.0,8.0,,18-64,18-74,DEMOCRAT,COMPLETE,CONCORD AND CONNECTICUT VALLEY,30-44,30-39,30-39,30-39,,,,CALL 2,30-39,,BRADLEY,,SATISFIED WITH CANDS,WILL FALL,EDUCATION,STANDS UP FOR BELIEFS,,APPROVE,BRADLEY,BRADLEY'S PLAN,NOT IMPORTANT AT ALL,CAND'S POSITIONS ON ISSUES,,,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,,,"$30,000-$49,000",,VERY LIBERAL,LIBERAL,DEMOCRAT,,FAVORABLE,FAVORABLE,UNFAVORABLE,,GOOD,,,NO,NO,,,,,NO,YES,,0.41200000000000003
30.0,32.0,9.0,,65+,18-74,DEMOCRAT,COMPLETE,CONCORD AND CONNECTICUT VALLEY,60+,60+,65+,65-74,,,,CALL 2,65-74,MALE,GORE,,SATISFIED WITH CANDS,WILL RISE,SS/ MEDICARE,HAS THE RIGHT EXPERIENCE,,APPROVE,GORE,GORE'S PLAN,NOT TOO IMPORTANT,CAND'S POSITIONS ON ISSUES,,,SAME,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,,,,,SOMEWHAT CONSERVATIVE,CONSERVATIVE,DEMOCRAT,,FAVORABLE,UNFAVORABLE,UNFAVORABLE,,GOOD,,,YES,NO,,,,,NO,YES,,0.542
30.0,32.0,10.0,,18-64,18-74,DEMOCRAT,COMPLETE,CONCORD AND CONNECTICUT VALLEY,30-44,40-49,40-49,40-49,NO,NO,GORE,CALL 2,40-44,FEMALE,GORE,THIS YEAR,,,,,YES,APPROVE,,,,,YES,THREE OR MORE,,,DEMOCRAT,COLLEGE GRADUATE,CATHOLIC,NO,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,DEMOCRAT,SOMEWHAT CLOSELY,,,FAVORABLE,NO,,NO,NEW WAYS,YES,YES,KEEP TO THEMSELVES,LIKE MY CAND WITH RESERVATIONS,CANDIDATE CONTACT,GOOD AMOUNT,,,CATHOLIC,0.49
30.0,32.0,11.0,,18-64,18-74,DEMOCRAT,COMPLETE,CONCORD AND CONNECTICUT VALLEY,45-59,40-49,40-49,40-49,NO,NO,BRADLEY,CALL 2,45-49,FEMALE,BRADLEY,WITHIN 3 DAYS,,,,,NO,APPROVE,,,,,NO,NONE,,,DEMOCRAT,SOME COLLEGE/ASSOCIATE,CATHOLIC,YES,"$50,000-$74,999",YES,MODERATE,MODERATE,DEMOCRAT,NOT TOO CLOSELY,,,UNFAVORABLE,YES,,NO,NEW WAYS,YES,NO,KEEP TO THEMSELVES,LIKE MY CAND WITH RESERVATIONS,NEWSPAPERS,GREAT DEAL,,,CATHOLIC,0.41200000000000003
30.0,32.0,12.0,,18-64,18-74,DEMOCRAT,COMPLETE,CONCORD AND CONNECTICUT VALLEY,45-59,40-49,40-49,40-49,,,,CALL 3,45-49,FEMALE,GORE,,SATISFIED WITH CANDS,WILL RISE,EDUCATION,HAS THE RIGHT EXPERIENCE,,APPROVE,GORE,GORE'S PLAN,NOT TOO IMPORTANT,CAND'S POSITIONS ON ISSUES,,,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,,,"$30,000-$49,000",,SOMEWHAT LIBERAL,LIBERAL,DEMOCRAT,,FAVORABLE,FAVORABLE,FAVORABLE,,GOOD,,,NO,YES,,,,,YES,YES,,0.49
30.0,32.0,13.0,,18-64,18-74,DEMOCRAT,COMPLETE,CONCORD AND CONNECTICUT VALLEY,45-59,40-49,40-49,40-49,,,,CALL 3,45-49,FEMALE,GORE,,SATISFIED WITH CANDS,WILL RISE,ECONOMY/JOBS,BEST CHANCE TO WIN,,APPROVE,BOTH,GORE'S PLAN,NOT TOO IMPORTANT,CAND'S POSITIONS ON ISSUES,,,BETTER,NO,INDEPENDENT,POST GRADUATE STUDY,,,"$75,000-$99,999",,MODERATE,MODERATE,INDEPENDENT/OTHER,,FAVORABLE,FAVORABLE,UNFAVORABLE,,GOOD,,,YES,YES,,,,,NO,YES,,0.49
30.0,32.0,14.0,,18-64,18-74,DEMOCRAT,COMPLETE,CONCORD AND CONNECTICUT VALLEY,60+,60+,50-64,50-64,,,,CALL 3,60-64,FEMALE,GORE,,WOULD LIKE SOMEONE ELSE,WILL FALL,SS/ MEDICARE,,,APPROVE,NEITHER,GORE'S PLAN,NOT IMPORTANT AT ALL,CAND'S PERSONAL QUALITIES,,,BETTER,NO,SOMETHING ELSE,HIGH SCHOOL GRADUATE,,,"$30,000-$49,000",,MODERATE,MODERATE,INDEPENDENT/OTHER,,FAVORABLE,UNFAVORABLE,FAVORABLE,,GOOD,,,YES,NO,,,,,NO,YES,,0.535
30.0,32.0,15.0,,18-64,18-74,DEMOCRAT,COMPLETE,CONCORD AND CONNECTICUT VALLEY,30-44,30-39,30-39,30-39,,,,CALL 3,30-39,MALE,BRADLEY,,SATISFIED WITH CANDS,WILL RISE,TAXES,NOT A TYPICAL POLITICIAN,,APPROVE,,BOTH ABOUT THE SAME,NOT TOO IMPORTANT,CAND'S POSITIONS ON ISSUES,,,SAME,NO,DEMOCRAT,SOME COLLEGE/ASSOCIATE,,,"$30,000-$49,000",,MODERATE,MODERATE,DEMOCRAT,,UNFAVORABLE,FAVORABLE,UNFAVORABLE,,GOOD,,,YES,YES,,,,,NO,YES,,0.418
30.0,32.0,16.0,,18-64,18-74,DEMOCRAT,COMPLETE,CONCORD AND CONNECTICUT VALLEY,30-44,30-39,30-39,30-39,,,,CALL 3,30-39,MALE,BRADLEY,,SATISFIED WITH CANDS,WILL RISE,TAXES,STANDS UP FOR BELIEFS,,APPROVE,BOTH,BOTH ABOUT THE SAME,NOT IMPORTANT AT ALL,CAND'S PERSONAL QUALITIES,,,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,,,"$30,000-$49,000",,SOMEWHAT CONSERVATIVE,CONSERVATIVE,DEMOCRAT,,FAVORABLE,FAVORABLE,FAVORABLE,,GOOD,,,NO,NO,,,,,NO,YES,,0.418
30.0,32.0,17.0,,18-64,18-74,DEMOCRAT,COMPLETE,CONCORD AND CONNECTICUT VALLEY,30-44,40-49,40-49,40-49,,,,CALL 3,40-44,MALE,BRADLEY,,SATISFIED WITH CANDS,WILL FALL,HEALTH CARE,STANDS UP FOR BELIEFS,,APPROVE,BRADLEY,BRADLEY'S PLAN,VERY IMPORTANT,CAND'S PERSONAL QUALITIES,,,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,,,"$30,000-$49,000",,VERY LIBERAL,LIBERAL,DEMOCRAT,,UNFAVORABLE,FAVORABLE,UNFAVORABLE,,EXCELLENT,,,NO,NO,,,,,NO,YES,,0.418
30.0,32.0,18.0,,18-64,18-74,DEMOCRAT,COMPLETE,CONCORD AND CONNECTICUT VALLEY,45-59,40-49,40-49,40-49,,,,CALL 3,45-49,FEMALE,BRADLEY,,SATISFIED WITH CANDS,WILL RISE,HEALTH CARE,STANDS UP FOR BELIEFS,,DISAPPROVE,NEITHER,BRADLEY'S PLAN,VERY IMPORTANT,CAND'S PERSONAL QUALITIES,,,WORSE,YES,DEMOCRAT,POST GRADUATE STUDY,,,"$100,000 OR MORE",,VERY LIBERAL,LIBERAL,DEMOCRAT,,UNFAVORABLE,FAVORABLE,UNFAVORABLE,,GOOD,,,YES,NO,,,,,NO,YES,,0.41200000000000003
30.0,32.0,19.0,,18-64,18-74,DEMOCRAT,COMPLETE,CONCORD AND CONNECTICUT VALLEY,45-59,40-49,40-49,40-49,"YES, FOR MCCAIN",NO,GORE,CALL 3,45-49,MALE,GORE,WITHIN LAST WEEK,,,,,NO,APPROVE,,,,,NO,THREE OR MORE,,,DEMOCRAT,SOME COLLEGE/ASSOCIATE,CATHOLIC,YES,"$50,000-$74,999",NO,MODERATE,MODERATE,DEMOCRAT,VERY CLOSELY,,,FAVORABLE,YES,,NO,NEW WAYS,YES,YES,KEEP TO THEMSELVES,STRONGLY FAVOR MY CAND,INTERNET,GREAT DEAL,,,CATHOLIC,0.497
30.0,32.0,20.0,NO,18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,CONCORD AND CONNECTICUT VALLEY,45-59,50-59,50-64,50-64,NO,NO,OMITS,CALL 3,50-59,,BRADLEY,BEFORE THAT,,,,,NO,APPROVE,,,,,YES,THREE OR MORE,,,DEMOCRAT,COLLEGE GRADUATE,NONE,NO,"$15,000-$29,999",YES,SOMEWHAT LIBERAL,LIBERAL,DEMOCRAT,VERY CLOSELY,,,FAVORABLE,NO,,NO,NEW WAYS,NO,YES,KEEP TO THEMSELVES,DISLIKE OTHER CANDIDATE,TELEVISION,GREAT DEAL,,,NONE,0.418
30.0,32.0,21.0,NO,18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,CONCORD AND CONNECTICUT VALLEY,18-29,18-24,18-24,18-24,NO,NO,BRADLEY,CALL 3,18-24,MALE,BRADLEY,THIS YEAR,,,,,NO,APPROVE,,,,,YES,ONE,,,DEMOCRAT,POST GRADUATE STUDY,NONE,NO,"$15,000-$29,999",YES,SOMEWHAT LIBERAL,LIBERAL,DEMOCRAT,SOMEWHAT CLOSELY,,,FAVORABLE,YES,,YES,NEW WAYS,NO,NO,PUBLICLY DISCUSSED,STRONGLY FAVOR MY CAND,INTERNET,GREAT DEAL,,,NONE,0.47400000000000003
30.0,32.0,22.0,,18-64,18-74,DEMOCRAT,COMPLETE,CONCORD AND CONNECTICUT VALLEY,60+,60+,50-64,50-64,NO,NO,GORE,CALL 3,60-64,FEMALE,BRADLEY,WITHIN LAST WEEK,,,,,YES,DISAPPROVE,,,,,YES,THREE OR MORE,,,INDEPENDENT,HIGH SCHOOL GRADUATE,PROTESTANT,NO,"$15,000-$29,999",NO,MODERATE,MODERATE,INDEPENDENT/OTHER,SOMEWHAT CLOSELY,,,UNFAVORABLE,NO,,NO,NEW WAYS,NO,NO,KEEP TO THEMSELVES,STRONGLY FAVOR MY CAND,,LITTLE,,,PROTESTANT/OTHER CHRISTIAN,0.449
30.0,32.0,23.0,"YES, FOR MCCAIN",18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,CONCORD AND CONNECTICUT VALLEY,45-59,50-59,50-64,50-64,"YES, FOR MCCAIN",NO,GORE,CALL 3,50-59,FEMALE,GORE,TODAY,,,,,YES,,,,,,YES,THREE OR MORE,,,,,,,,,,,,,,,,,,,,,,,STRONGLY FAVOR MY CAND,,,,,,0.49
30.0,32.0,24.0,NO,18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,CONCORD AND CONNECTICUT VALLEY,30-44,40-49,40-49,40-49,NO,NO,GORE,CALL 3,40-44,FEMALE,GORE,WITHIN LAST WEEK,,,,,YES,APPROVE,,,,,NO,THREE OR MORE,,,DEMOCRAT,COLLEGE GRADUATE,NONE,YES,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,DEMOCRAT,SOMEWHAT CLOSELY,,,FAVORABLE,YES,,NO,NEW WAYS,NO,NO,KEEP TO THEMSELVES,LIKE MY CAND WITH RESERVATIONS,NEWSPAPERS,GREAT DEAL,,,NONE,0.49
30.0,34.0,1.0,,65+,75+,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,60+,60+,65+,75+,,,,CALL 1,75+,FEMALE,BRADLEY,,SATISFIED WITH CANDS,,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,,APPROVE,BRADLEY,BRADLEY'S PLAN,NOT TOO IMPORTANT,CAND'S POSITIONS ON ISSUES,,,BETTER,NO,INDEPENDENT,POST GRADUATE STUDY,,,"$30,000-$49,000",,SOMEWHAT LIBERAL,LIBERAL,INDEPENDENT/OTHER,,,FAVORABLE,FAVORABLE,,GOOD,,,YES,NO,,,,,NO,YES,,0.669
30.0,34.0,2.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,30-44,30-39,30-39,30-39,,,,CALL 1,30-39,FEMALE,GORE,,WOULD LIKE SOMEONE ELSE,WILL FALL,ECONOMY/JOBS,HAS THE RIGHT EXPERIENCE,,APPROVE,GORE,BOTH ABOUT THE SAME,SOMEWHAT IMPORTANT,CAND'S PERSONAL QUALITIES,,,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,,,"$30,000-$49,000",,SOMEWHAT LIBERAL,LIBERAL,DEMOCRAT,,FAVORABLE,FAVORABLE,FAVORABLE,,GOOD,,,YES,YES,,,,,YES,NO,,0.637
30.0,34.0,3.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,30-44,40-49,40-49,40-49,,,,CALL 1,40-44,MALE,BRADLEY,,SATISFIED WITH CANDS,WILL FALL,ECONOMY/JOBS,STRONG LEADER,,APPROVE,NEITHER,BRADLEY'S PLAN,NOT TOO IMPORTANT,CAND'S POSITIONS ON ISSUES,,,WORSE,YES,DEMOCRAT,COLLEGE GRADUATE,,,"$50,000-$74,999",,MODERATE,MODERATE,DEMOCRAT,,UNFAVORABLE,FAVORABLE,UNFAVORABLE,,GOOD,,,YES,YES,,,,,NO,YES,,0.522
30.0,34.0,4.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,30-44,30-39,30-39,30-39,,,,CALL 1,30-39,FEMALE,GORE,,SATISFIED WITH CANDS,WILL RISE,EDUCATION,HAS THE RIGHT EXPERIENCE,,APPROVE,BOTH,BOTH ABOUT THE SAME,SOMEWHAT IMPORTANT,CAND'S POSITIONS ON ISSUES,,,BETTER,NO,INDEPENDENT,SOME COLLEGE/ASSOCIATE,,,"$50,000-$74,999",,SOMEWHAT LIBERAL,LIBERAL,INDEPENDENT/OTHER,,FAVORABLE,FAVORABLE,UNFAVORABLE,,EXCELLENT,,,YES,YES,,,,,YES,YES,,0.637
30.0,34.0,5.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,30-44,40-49,40-49,40-49,,,,CALL 1,40-44,FEMALE,GORE,,SATISFIED WITH CANDS,WILL RISE,EDUCATION,,,APPROVE,BOTH,BOTH ABOUT THE SAME,NOT TOO IMPORTANT,CAND'S POSITIONS ON ISSUES,,,BETTER,YES,DEMOCRAT,SOME COLLEGE/ASSOCIATE,,,"$50,000-$74,999",,SOMEWHAT LIBERAL,LIBERAL,DEMOCRAT,,FAVORABLE,FAVORABLE,FAVORABLE,,GOOD,,,YES,YES,,,,,YES,YES,,0.637
30.0,34.0,6.0,,18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,45-59,50-59,50-64,50-64,,,,CALL 1,50-59,FEMALE,BRADLEY,,SATISFIED WITH CANDS,WILL RISE,HEALTH CARE,,,APPROVE,,BRADLEY'S PLAN,,,,,BETTER,,INDEPENDENT,POST GRADUATE STUDY,,,,,SOMEWHAT LIBERAL,LIBERAL,INDEPENDENT/OTHER,,,FAVORABLE,,,EXCELLENT,,,YES,NO,,,,,NO,YES,,0.49
30.0,34.0,7.0,,18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,60+,60+,50-64,50-64,,,,CALL 1,60-64,MALE,BRADLEY,,SATISFIED WITH CANDS,WILL RISE,HEALTH CARE,NOT A TYPICAL POLITICIAN,,APPROVE,BOTH,GORE'S PLAN,NOT IMPORTANT AT ALL,CAND'S POSITIONS ON ISSUES,,,BETTER,NO,INDEPENDENT,POST GRADUATE STUDY,,,"$50,000-$74,999",,SOMEWHAT LIBERAL,LIBERAL,INDEPENDENT/OTHER,,FAVORABLE,FAVORABLE,UNFAVORABLE,,GOOD,,,YES,NO,,,,,NO,YES,,0.713
30.0,34.0,8.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,45-59,50-59,50-64,50-64,,,,CALL 1,50-59,MALE,GORE,,SATISFIED WITH CANDS,WILL RISE,WORLD AFFAIRS,BEST CHANCE TO WIN,,APPROVE,GORE,BOTH ABOUT THE SAME,VERY IMPORTANT,CAND'S POSITIONS ON ISSUES,,,SAME,YES,DEMOCRAT,POST GRADUATE STUDY,,,"$30,000-$49,000",,VERY LIBERAL,LIBERAL,DEMOCRAT,,FAVORABLE,FAVORABLE,FAVORABLE,,GOOD,,,NO,NO,,,,,YES,YES,,0.679
30.0,34.0,9.0,,18-64,18-74,NOT REGISTERED,COMPLETE,RURAL NORTH,18-29,18-24,18-24,18-24,,,,CALL 1,18-24,MALE,GORE,,SATISFIED WITH CANDS,WILL RISE,ECONOMY/JOBS,STANDS UP FOR BELIEFS,,APPROVE,GORE,BOTH ABOUT THE SAME,VERY IMPORTANT,CAND'S POSITIONS ON ISSUES,,,BETTER,NO,DEMOCRAT,SOME COLLEGE/ASSOCIATE,,,"$50,000-$74,999",,SOMEWHAT LIBERAL,LIBERAL,DEMOCRAT,,FAVORABLE,FAVORABLE,FAVORABLE,,NOT SO GOOD,,,NO,YES,,,,,NO,YES,,0.716
30.0,34.0,10.0,,65+,75+,,COMPLETE,RURAL NORTH,60+,60+,65+,75+,,,,CALL 1,75+,FEMALE,GORE,,SATISFIED WITH CANDS,WILL RISE,WORLD AFFAIRS,BEST CHANCE TO WIN,,APPROVE,BOTH,GORE'S PLAN,SOMEWHAT IMPORTANT,CAND'S PERSONAL QUALITIES,,,SAME,NO,INDEPENDENT,SOME COLLEGE/ASSOCIATE,,,"$30,000-$49,000",,SOMEWHAT LIBERAL,LIBERAL,INDEPENDENT/OTHER,,FAVORABLE,FAVORABLE,FAVORABLE,,GOOD,,,YES,NO,,,,,NO,YES,,0.869
30.0,34.0,11.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,45-59,40-49,40-49,40-49,,,,CALL 1,45-49,FEMALE,GORE,,WOULD LIKE SOMEONE ELSE,WILL FALL,HEALTH CARE,BEST CHANCE TO WIN,,APPROVE,NEITHER,BOTH ABOUT THE SAME,NOT IMPORTANT AT ALL,CAND'S PERSONAL QUALITIES,,,SAME,YES,DEMOCRAT,COLLEGE GRADUATE,,,"$15,000-$29,999",,MODERATE,MODERATE,DEMOCRAT,,FAVORABLE,FAVORABLE,FAVORABLE,,GOOD,,,YES,NO,,,,,NO,NO,,0.637
30.0,34.0,12.0,,18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,45-59,50-59,50-64,50-64,,,,CALL 1,50-59,FEMALE,BRADLEY,,SATISFIED WITH CANDS,WILL RISE,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,,APPROVE,BRADLEY,BOTH ABOUT THE SAME,SOMEWHAT IMPORTANT,CAND'S PERSONAL QUALITIES,,,WORSE,NO,DEMOCRAT,SOME COLLEGE/ASSOCIATE,,,"$15,000-$29,999",,VERY LIBERAL,LIBERAL,DEMOCRAT,,FAVORABLE,FAVORABLE,UNFAVORABLE,,GOOD,,,NO,NO,,,,,NO,YES,,0.49
30.0,34.0,13.0,,18-64,18-74,,NOT COMPLETE,RURAL NORTH,60+,60+,50-64,50-64,,,,CALL 1,60-64,,BRADLEY,,SATISFIED WITH CANDS,,,,,,,BRADLEY'S PLAN,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,YES,,,0.669
30.0,34.0,14.0,,65+,75+,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,60+,60+,65+,75+,,,,CALL 1,75+,FEMALE,BRADLEY,,SATISFIED WITH CANDS,WILL FALL,,,,APPROVE,NEITHER,BRADLEY'S PLAN,VERY IMPORTANT,CAND'S PERSONAL QUALITIES,,,SAME,NO,INDEPENDENT,SOME COLLEGE/ASSOCIATE,,,"UNDER $15,000",,SOMEWHAT CONSERVATIVE,CONSERVATIVE,INDEPENDENT/OTHER,,UNFAVORABLE,FAVORABLE,UNFAVORABLE,,NOT SO GOOD,,,NO,NO,,,,,NO,YES,,0.669
30.0,34.0,15.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,45-59,50-59,50-64,50-64,NO,NO,GORE,CALL 1,50-59,FEMALE,GORE,THIS YEAR,,,,,NO,APPROVE,,,,,NO,THREE OR MORE,,,DEMOCRAT,COLLEGE GRADUATE,NONE,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,DEMOCRAT,NOT TOO CLOSELY,,,UNFAVORABLE,YES,,NO,NEW WAYS,YES,NO,KEEP TO THEMSELVES,STRONGLY FAVOR MY CAND,CANDIDATE CONTACT,GOOD AMOUNT,,,NONE,0.637
30.0,34.0,16.0,,65+,75+,DEMOCRAT,COMPLETE,RURAL NORTH,60+,60+,65+,75+,"YES, FOR MCCAIN",NO,GORE,CALL 1,75+,MALE,BRADLEY,BEFORE THAT,,,,,YES,APPROVE,,,,,YES,ONE,,,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,,"$30,000-$49,000",,VERY LIBERAL,LIBERAL,DEMOCRAT,SOMEWHAT CLOSELY,,,FAVORABLE,NO,,,NEW WAYS,YES,NO,KEEP TO THEMSELVES,STRONGLY FAVOR MY CAND,CANDIDATE CONTACT,NOT AT ALL,,,PROTESTANT/OTHER CHRISTIAN,0.713
30.0,34.0,17.0,,65+,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,60+,60+,65+,65-74,NO,NO,BRADLEY,CALL 1,65-74,MALE,BRADLEY,THIS YEAR,,,,,YES,DISAPPROVE,,,,,YES,THREE OR MORE,,,INDEPENDENT,HIGH SCHOOL GRADUATE,CATHOLIC,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,INDEPENDENT/OTHER,SOMEWHAT CLOSELY,,,UNFAVORABLE,NO,,YES,NEW WAYS,YES,NO,PUBLICLY DISCUSSED,STRONGLY FAVOR MY CAND,TELEVISION,GREAT DEAL,,,CATHOLIC,0.713
30.0,34.0,18.0,"YES, FOR MCCAIN",65+,75+,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,60+,60+,65+,75+,"YES, FOR MCCAIN",NO,GORE,CALL 1,75+,FEMALE,BRADLEY,THIS YEAR,,,,,YES,APPROVE,,,,,YES,THREE OR MORE,,,INDEPENDENT,HIGH SCHOOL GRADUATE,PROTESTANT,YES,"UNDER $15,000",NO,MODERATE,MODERATE,INDEPENDENT/OTHER,VERY CLOSELY,,,FAVORABLE,NO,,YES,FAMILIAR APPROACH,NO,NO,KEEP TO THEMSELVES,LIKE MY CAND WITH RESERVATIONS,TELEVISION,NOT AT ALL,,,PROTESTANT/OTHER CHRISTIAN,0.669
30.0,34.0,19.0,"YES, FOR ANOTHER CANDIDATE",18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,60+,60+,50-64,50-64,"YES, FOR ANOTHER CANDIDATE",YES,BRADLEY,CALL 1,60-64,MALE,BRADLEY,WITHIN 3 DAYS,,,,,YES,APPROVE,,,,,YES,THREE OR MORE,,,INDEPENDENT,SOME COLLEGE/ASSOCIATE,CATHOLIC,YES,"$30,000-$49,000",NO,MODERATE,MODERATE,INDEPENDENT/OTHER,VERY CLOSELY,,,UNFAVORABLE,NO,,YES,NEW WAYS,YES,NO,PUBLICLY DISCUSSED,DISLIKE OTHER CANDIDATE,TELEVISION,GOOD AMOUNT,,,CATHOLIC,0.713
30.0,34.0,20.0,,65+,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,60+,60+,65+,65-74,"YES, FOR MCCAIN",NO,GORE,CALL 1,65-74,MALE,BRADLEY,WITHIN 3 DAYS,,,,,NO,APPROVE,,,,,NO,ONE,,,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,NO,"$30,000-$49,000",YES,MODERATE,MODERATE,DEMOCRAT,SOMEWHAT CLOSELY,,,UNFAVORABLE,NO,,YES,NEW WAYS,YES,NO,PUBLICLY DISCUSSED,LIKE MY CAND WITH RESERVATIONS,CANDIDATE CONTACT,GOOD AMOUNT,,,PROTESTANT/OTHER CHRISTIAN,0.713
30.0,34.0,21.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,18-29,18-24,18-24,18-24,"YES, FOR MCCAIN",NO,GORE,CALL 1,18-24,MALE,GORE,WITHIN 3 DAYS,,,,,YES,APPROVE,,,,,NO,THREE OR MORE,,,DEMOCRAT,SOME COLLEGE/ASSOCIATE,CATHOLIC,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,DEMOCRAT,VERY CLOSELY,,,FAVORABLE,NO,,NO,FAMILIAR APPROACH,NO,NO,KEEP TO THEMSELVES,STRONGLY FAVOR MY CAND,TELEVISION,NOT AT ALL,,,CATHOLIC,0.716
30.0,34.0,22.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,45-59,50-59,50-64,50-64,"YES, FOR MCCAIN",YES,BRADLEY,CALL 1,50-59,FEMALE,GORE,TODAY,,,,,YES,APPROVE,,,,,NO,THREE OR MORE,,,DEMOCRAT,SOME COLLEGE/ASSOCIATE,CATHOLIC,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,DEMOCRAT,SOMEWHAT CLOSELY,,,FAVORABLE,NO,,YES,NEW WAYS,YES,YES,KEEP TO THEMSELVES,LIKE MY CAND WITH RESERVATIONS,TELEVISION,LITTLE,,,CATHOLIC,0.637
30.0,34.0,23.0,,18-64,18-74,DEMOCRAT,COMPLETE,RURAL NORTH,18-29,18-24,18-24,18-24,NO,NO,GORE,CALL 1,18-24,MALE,GORE,THIS YEAR,,,,,NO,APPROVE,,,,,YES,NONE,,,REPUBLICAN,DID NOT COMPLETE HIGH SCHOOL,CATHOLIC,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,REPUBLICAN,SOMEWHAT CLOSELY,,,FAVORABLE,YES,,YES,NEW WAYS,NO,NO,KEEP TO THEMSELVES,STRONGLY FAVOR MY CAND,FRIENDS/FAMILY,GREAT DEAL,,,CATHOLIC,0.716
30.0,34.0,24.0,"YES, FOR BUSH",18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,30-44,30-39,30-39,30-39,"YES, FOR BUSH",NO,BRADLEY,CALL 1,30-39,MALE,BRADLEY,TODAY,,,,,YES,DISAPPROVE,,,,,YES,TWO,,,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,NO,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,REPUBLICAN,SOMEWHAT CLOSELY,,,UNFAVORABLE,YES,,NO,FAMILIAR APPROACH,YES,NO,KEEP TO THEMSELVES,DISLIKE OTHER CANDIDATE,TELEVISION,GOOD AMOUNT,,,CATHOLIC,0.522
30.0,34.0,25.0,NO,18-64,18-74,UNDECLARED/INDEPENDENT,COMPLETE,RURAL NORTH,30-44,40-49,40-49,40-49,NO,NO,GORE,CALL 1,40-44,FEMALE,GORE,BEFORE THAT,,,,,NO,APPROVE,,,,,NO,NONE,,,DEMOCRAT,POST GRADUATE STUDY,NONE,NO,"$100,000 OR MORE",NO,MODERATE,MODERATE,DEMOCRAT,SOMEWHAT CLOSELY,,,FAVORABLE,YES,,YES,FAMILIAR APPROACH,YES,YES,KEEP TO THEMSELVES,STRONGLY FAVOR MY CAND,NEWSPAPERS,GREAT DEAL,,,NONE,0.637
