BUSHUNFR,VETVOTER,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,TIME,NONPVOTE,CLINTON,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,FINSIT,SSTAX,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,GORE2LIB,BRAD2LIB,QTYPE,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,REFORMER,PREVPRIN,MCRRIGHT,VERSION,ONLYDEMS,ONLYREPS,REALWIN,GORE,BRADLEY,BCPERSON,BEATDEM,GAY,SENCA,PROP22,HISPANIC,QRACE,REL5,REGCA,NOVCHOIC,WEIGHT
YES,NO,5.0,17.0,99.0,THIRD CALL,75+,WHITE,FEMALE,,GORE,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,,STRENGTHEN SOCIAL SECURITY,,DEMOCRAT,HIGH SCHOOL GRADUATE,JEWISH,,"$50,000-$74,999",,NO,MODERATE,MODERATE,65+,75+,,,STATE,COMPLETED,LOS ANGELES,60+,60+,DEMOCRAT,65+,75+,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,,,TOO CONSERVATIVE,,,,GREAT DEAL,WHITE,,,,FAVORABLE,FAVORABLE,,MCCAIN,NO,FEINSTEIN,NO,NO,WHITE,JEWISH,DEMOCRAT,,1.05
NO,NO,5.0,17.0,100.0,THIRD CALL,30-39,WHITE,FEMALE,,BUSH,,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,,TAX CUT,,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,,"$30,000-$49,000",,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,,STATE,COMPLETED,LOS ANGELES,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,GREAT DEAL,WHITE,,,,UNFAVORABLE,UNFAVORABLE,,BUSH,NO,HAYNES,YES,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,1.025
NO,NO,5.0,17.0,101.0,THIRD CALL,50-59,HISPANIC/LATINO,MALE,,BUSH,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,,STRENGTHEN SOCIAL SECURITY,,REPUBLICAN,HIGH SCHOOL GRADUATE,CATHOLIC,,"$30,000-$49,000",,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,,STATE,COMPLETED,LOS ANGELES,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,ABOUT RIGHT,,,,NOT AT ALL,WHITE,,,,UNFAVORABLE,UNFAVORABLE,,BUSH,NO,HORN,YES,YES,HISPANIC/LATINO,CATHOLIC,REPUBLICAN,,0.5700000000000001
YES,YES,5.0,17.0,102.0,THIRD CALL,75+,HISPANIC/LATINO,MALE,,GORE,,CANDS POSITIONS ON ISSUES,YES,LEGAL IN MOST CASES,NO,,STRENGTHEN SOCIAL SECURITY,,DEMOCRAT,COLLEGE GRADUATE,CATHOLIC,,"$30,000-$49,000",,YES,MODERATE,MODERATE,65+,75+,,,STATE,COMPLETED,LOS ANGELES,60+,60+,DEMOCRAT,65+,75+,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,,,TOO CONSERVATIVE,,,,SOMEWHAT,WHITE,,,,FAVORABLE,UNFAVORABLE,,MCCAIN,NO,FEINSTEIN,NO,NO,HISPANIC/LATINO,CATHOLIC,DEMOCRAT,,0.812
NO,NO,5.0,17.0,103.0,THIRD CALL,60-64,WHITE,MALE,,GORE,,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,NO,,STRENGTHEN SOCIAL SECURITY,,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,,"UNDER $15,000",,YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,,,STATE,COMPLETED,LOS ANGELES,60+,60+,DEMOCRAT,50-64,50-64,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,,,TOO CONSERVATIVE,,,,GREAT DEAL,WHITE,,,,FAVORABLE,UNFAVORABLE,,BUSH,NO,FEINSTEIN,YES,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,DEMOCRAT,,1.024
NO,NO,5.0,17.0,104.0,THIRD CALL,30-39,HISPANIC/LATINO,FEMALE,,GORE,,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,NO,,STRENGTHEN SOCIAL SECURITY,,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,,"$15,000-$29,000",,NO,MODERATE,MODERATE,18-64,18-74,,,STATE,COMPLETED,LOS ANGELES,30-44,30-39,DEMOCRAT,30-39,30-39,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,UNFAVORABLE,,,NOT CONSERVATIVE ENOUGH,,,,NOT AT ALL,WHITE,,,,FAVORABLE,UNFAVORABLE,,BUSH,NO,FEINSTEIN,NO,YES,HISPANIC/LATINO,CATHOLIC,DEMOCRAT,,0.6990000000000001
NO,NO,5.0,17.0,105.0,THIRD CALL,65-74,WHITE,MALE,,GORE,,CANDS PERSONAL QUALITIES,YES,LEGAL IN MOST CASES,NO,,STRENGTHEN SOCIAL SECURITY,,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,CATHOLIC,,"$15,000-$29,000",,NO,MODERATE,MODERATE,65+,18-74,,,STATE,COMPLETED,LOS ANGELES,60+,60+,DEMOCRAT,65+,65-74,TOO CONSERVATIVE,UNFAVORABLE,UNFAVORABLE,,,TOO CONSERVATIVE,,,,NOT AT ALL,WHITE,,,,FAVORABLE,UNFAVORABLE,,OMITS,NO,HAYNES,NO,NO,WHITE,CATHOLIC,DEMOCRAT,,1.164
YES,NO,5.0,17.0,106.0,THIRD CALL,75+,WHITE,FEMALE,,MCCAIN,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,,STRENGTHEN SOCIAL SECURITY,,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,,"$75,000-$99,999",,NO,SOMEWHAT LIBERAL,LIBERAL,65+,75+,,,STATE,COMPLETED,LOS ANGELES,60+,60+,DEMOCRAT,65+,75+,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,GREAT DEAL,WHITE,,,,FAVORABLE,FAVORABLE,,MCCAIN,NO,FEINSTEIN,NO,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,DEMOCRAT,,1.0050000000000001
YES,,5.0,19.0,1.0,FIRST CALL,18-24,HISPANIC/LATINO,FEMALE,WITHIN LAST WEEK,GORE,APPROVE,CANDS PERSONAL QUALITIES,,,,SAME,,YES,DEMOCRAT,,,NO,"$50,000-$74,999",NO,YES,VERY LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETED,LOS ANGELES,18-29,18-24,DEMOCRAT,18-24,18-24,,,,GORE,GORE,,MCCAIN,MCCAIN,YES,,YELLOW,GORE,MCCAIN,AMONG ALL VOTERS,,,UNFAVORABLE,,NO,,,YES,HISPANIC/LATINO,,DEMOCRAT,SATISFIED,0.5690000000000001
OMITS,,5.0,19.0,2.0,FIRST CALL,40-44,WHITE,MALE,WITHIN LAST 3 DAYS,BUSH,DISAPPROVE,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,INDEPENDENT,,,OMITS,"$50,000-$74,999",OMITS,OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,TOO LIBERAL,TOO LIBERAL,STATE,COMPLETED,LOS ANGELES,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,,,,BUSH,MCCAIN,,BOTH,BOTH,YES,,YELLOW,BRADLEY,BUSH,AMONG PARTY REGISTERED VOTERS,,,UNFAVORABLE,,NO,,,NO,WHITE,,OTHER,SATISFIED,0.607
NO,,5.0,19.0,3.0,FIRST CALL,25-29,HISPANIC/LATINO,FEMALE,WITHIN LAST WEEK,GORE,APPROVE,CANDS POSITIONS ON ISSUES,,,,SAME,,NO,DEMOCRAT,,,NO,"UNDER $15,000",NO,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETED,LOS ANGELES,18-29,25-29,DEMOCRAT,25-29,25-29,,,,GORE,GORE,,BOTH,BUSH,YES,,YELLOW,GORE,BUSH,AMONG ALL VOTERS,,,UNFAVORABLE,,NO,,,YES,HISPANIC/LATINO,,DEMOCRAT,SATISFIED,0.5690000000000001
YES,,5.0,19.0,4.0,FIRST CALL,40-44,WHITE,MALE,THIS YEAR,GORE,APPROVE,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,DEMOCRAT,,,NO,"$100,000 OR MORE",NO,YES,VERY LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETED,LOS ANGELES,30-44,40-49,DEMOCRAT,40-49,40-49,,,,GORE,GORE,,NEITHER,BOTH,YES,,YELLOW,GORE,MCCAIN,AMONG ALL VOTERS,,,UNFAVORABLE,,YES,,,NO,WHITE,,DEMOCRAT,SATISFIED,0.647
NO,,5.0,19.0,5.0,FIRST CALL,18-24,HISPANIC/LATINO,MALE,WITHIN LAST WEEK,GORE,APPROVE,CANDS PERSONAL QUALITIES,,,,SAME,,NO,DEMOCRAT,,,NO,"UNDER $15,000",NO,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,TOO LIBERAL,TOO LIBERAL,STATE,COMPLETED,LOS ANGELES,18-29,18-24,DEMOCRAT,18-24,18-24,,,,GORE,GORE,,BOTH,BOTH,NO,,YELLOW,BRADLEY,BUSH,AMONG ALL VOTERS,,,UNFAVORABLE,,NO,,,YES,HISPANIC/LATINO,,DEMOCRAT,SATISFIED,0.51
YES,,5.0,19.0,6.0,FIRST CALL,30-39,WHITE,MALE,THIS YEAR,GORE,APPROVE,CANDS POSITIONS ON ISSUES,,,,SAME,,NO,DEMOCRAT,,,NO,"$100,000 OR MORE",NO,NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETED,LOS ANGELES,30-44,30-39,DEMOCRAT,30-39,30-39,,,,GORE,GORE,,MCCAIN,NEITHER,YES,,YELLOW,GORE,MCCAIN,AMONG ALL VOTERS,,,FAVORABLE,,YES,,,NO,WHITE,,DEMOCRAT,SATISFIED,0.647
YES,,5.0,19.0,7.0,FIRST CALL,45-49,OTHER,MALE,BEFORE THAT,GORE,APPROVE,CANDS POSITIONS ON ISSUES,,,,BETTER,,YES,DEMOCRAT,,,YES,"$75,000-$99,999",YES,NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETED,LOS ANGELES,45-59,40-49,DEMOCRAT,40-49,40-49,,,,GORE,GORE,,MCCAIN,MCCAIN,YES,,YELLOW,GORE,MCCAIN,AMONG ALL VOTERS,,,FAVORABLE,,NO,,,NO,OTHER,,DEMOCRAT,SATISFIED,0.647
OMITS,,5.0,19.0,8.0,FIRST CALL,40-44,WHITE,FEMALE,THIS YEAR,BUSH,DISAPPROVE,CANDS POSITIONS ON ISSUES,,,,WORSE,,NO,INDEPENDENT,,,OMITS,"$50,000-$74,999",OMITS,OMITS,MODERATE,MODERATE,18-64,18-74,TOO LIBERAL,TOO LIBERAL,STATE,COMPLETED,LOS ANGELES,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,,,,BUSH,MCCAIN,,BOTH,OMITS,YES,,YELLOW,GORE,BUSH,OMITS,,,UNFAVORABLE,,NO,,,NO,WHITE,,REPUBLICAN,SATISFIED,0.678
NO,,5.0,19.0,9.0,FIRST CALL,45-49,WHITE,FEMALE,BEFORE THAT,BUSH,APPROVE,CANDS POSITIONS ON ISSUES,,,,BETTER,,YES,REPUBLICAN,,,NO,"$50,000-$74,999",YES,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,TOO LIBERAL,TOO LIBERAL,STATE,COMPLETED,LOS ANGELES,45-59,40-49,REPUBLICAN,40-49,40-49,,,,BUSH,GORE,,BUSH,BOTH,YES,,YELLOW,WOULD NOT VOTE,BUSH,AMONG PARTY REGISTERED VOTERS,,,UNFAVORABLE,,NO,,,NO,WHITE,,REPUBLICAN,SATISFIED,0.678
NO,,5.0,19.0,10.0,FIRST CALL,30-39,ASIAN,MALE,THIS YEAR,GORE,APPROVE,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,DEMOCRAT,,,YES,"$50,000-$74,999",NO,YES,VERY LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETED,LOS ANGELES,30-44,30-39,DEMOCRAT,30-39,30-39,,,,GORE,GORE,,MCCAIN,NEITHER,YES,,YELLOW,GORE,BUSH,AMONG PARTY REGISTERED VOTERS,,,FAVORABLE,,NO,,,NO,ASIAN,,DEMOCRAT,SATISFIED,0.647
NO,NO,5.0,19.0,11.0,FIRST CALL,60-64,WHITE,MALE,,MCCAIN,,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,NO,,TAX CUT,,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,,"$50,000-$74,999",,NO,MODERATE,MODERATE,18-64,18-74,,,STATE,COMPLETED,LOS ANGELES,60+,60+,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NOT MUCH,WHITE,,,,UNFAVORABLE,UNFAVORABLE,,MCCAIN,NO,CAMPBELL,YES,NO,WHITE,CATHOLIC,OTHER,,0.771
YES,NO,5.0,19.0,12.0,FIRST CALL,40-44,WHITE,MALE,,GORE,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,,STRENGTHEN SOCIAL SECURITY,,DEMOCRAT,COLLEGE GRADUATE,OTHER CHRISTIAN,,"$50,000-$74,999",,YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,STATE,COMPLETED,LOS ANGELES,30-44,40-49,DEMOCRAT,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,UNFAVORABLE,,,TOO CONSERVATIVE,,,,NOT AT ALL,WHITE,,,,FAVORABLE,FAVORABLE,,OMITS,NO,FEINSTEIN,NO,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,DEMOCRAT,,0.58
YES,YES,5.0,19.0,13.0,FIRST CALL,40-44,WHITE,MALE,,MCCAIN,,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,,STRENGTHEN SOCIAL SECURITY,,DEMOCRAT,POST GRADUATE STUDY,JEWISH,,"$100,000 OR MORE",,NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,STATE,COMPLETED,LOS ANGELES,30-44,40-49,DEMOCRAT,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,GREAT DEAL,WHITE,,,,FAVORABLE,FAVORABLE,,MCCAIN,YES,FEINSTEIN,NO,NO,WHITE,JEWISH,DEMOCRAT,,0.554
NO,NO,5.0,19.0,14.0,FIRST CALL,45-49,HISPANIC/LATINO,FEMALE,,GORE,,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,,STRENGTHEN SOCIAL SECURITY,,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,CATHOLIC,,"UNDER $15,000",,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,,STATE,COMPLETED,LOS ANGELES,45-59,40-49,DEMOCRAT,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,ABOUT RIGHT,,,,NOT AT ALL,WHITE,,,,FAVORABLE,UNFAVORABLE,,BUSH,NO,,NO,YES,OTHER,CATHOLIC,DEMOCRAT,,0.593
NO,NO,5.0,19.0,15.0,FIRST CALL,30-39,WHITE,FEMALE,,GORE,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,,TAX CUT,,DEMOCRAT,POST GRADUATE STUDY,JEWISH,,"$100,000 OR MORE",,NO,VERY LIBERAL,LIBERAL,18-64,18-74,,,STATE,COMPLETED,LOS ANGELES,30-44,30-39,DEMOCRAT,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,UNFAVORABLE,,,TOO CONSERVATIVE,,,,NOT AT ALL,WHITE,,,,FAVORABLE,FAVORABLE,,MCCAIN,YES,FEINSTEIN,NO,NO,WHITE,JEWISH,DEMOCRAT,,0.648
NO,NO,5.0,19.0,16.0,FIRST CALL,30-39,WHITE,FEMALE,,BRADLEY,,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,,STRENGTHEN SOCIAL SECURITY,,DEMOCRAT,COLLEGE GRADUATE,SOMETHING ELSE,,"$30,000-$49,000",,NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,STATE,COMPLETED,LOS ANGELES,30-44,30-39,DEMOCRAT,30-39,30-39,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NOT AT ALL,WHITE,,,,UNFAVORABLE,FAVORABLE,,BUSH,YES,FEINSTEIN,NO,NO,WHITE,SOMETHING ELSE,DEMOCRAT,,0.5650000000000001
YES,NO,5.0,19.0,17.0,FIRST CALL,45-49,WHITE,MALE,,NADER,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,,TAX CUT,,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,,"$100,000 OR MORE",,YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,STATE,COMPLETED,LOS ANGELES,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,ABOUT RIGHT,UNFAVORABLE,UNFAVORABLE,,,ABOUT RIGHT,,,,NOT AT ALL,WHITE,,,,UNFAVORABLE,UNFAVORABLE,,BUSH,NO,HAYNES,NO,NO,WHITE,CATHOLIC,OTHER,,0.34600000000000003
NO,NO,5.0,19.0,18.0,FIRST CALL,75+,WHITE,FEMALE,,BUSH,,CANDS POSITIONS ON ISSUES,YES,OMITS,YES,,TAX CUT,,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,,,,YES,VERY LIBERAL,LIBERAL,65+,75+,,,STATE,COMPLETED,LOS ANGELES,60+,60+,REPUBLICAN,65+,75+,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,,,OMITS,,,,NOT AT ALL,WHITE,,,,OMITS,OMITS,,BUSH,NO,CAMPBELL,YES,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.845
YES,YES,5.0,19.0,19.0,FIRST CALL,65-74,HISPANIC/LATINO,MALE,,MCCAIN,,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,,OMITS,,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,,"$75,000-$99,999",,NO,MODERATE,MODERATE,65+,18-74,,,STATE,COMPLETED,LOS ANGELES,60+,60+,INDEPENDENT/OTHER,65+,65-74,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NOT AT ALL,WHITE,,,,FAVORABLE,FAVORABLE,,MCCAIN,NO,FEINSTEIN,NO,YES,HISPANIC/LATINO,CATHOLIC,DEMOCRAT,,0.624
YES,,5.0,19.0,20.0,SECOND CALL,60-64,WHITE,FEMALE,WITHIN LAST WEEK,BUSH,APPROVE,CANDS POSITIONS ON ISSUES,,,,BETTER,,YES,REPUBLICAN,,,YES,"$15,000-$29,000",YES,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETED,LOS ANGELES,60+,60+,REPUBLICAN,50-64,50-64,,,,BUSH,OMITS,,BUSH,BUSH,NO,,YELLOW,BRADLEY,BUSH,AMONG ALL VOTERS,,,FAVORABLE,,NO,,,NO,WHITE,,REPUBLICAN,SATISFIED,0.881
YES,,5.0,19.0,21.0,SECOND CALL,65-74,WHITE,MALE,BEFORE THAT,GORE,APPROVE,CANDS POSITIONS ON ISSUES,,,,SAME,,YES,DEMOCRAT,,,NO,"$75,000-$99,999",NO,YES,VERY LIBERAL,LIBERAL,65+,18-74,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETED,LOS ANGELES,60+,60+,DEMOCRAT,65+,65-74,,,,GORE,GORE,,NEITHER,NEITHER,YES,,YELLOW,GORE,WOULD NOT VOTE,AMONG PARTY REGISTERED VOTERS,,,FAVORABLE,,NO,,,NO,WHITE,,DEMOCRAT,SATISFIED,0.839
OMITS,,5.0,19.0,22.0,SECOND CALL,50-59,ASIAN,FEMALE,TODAY,BUSH,OMITS,OMITS,,,,OMITS,,,,,,OMITS,,OMITS,OMITS,,,18-64,18-74,OMITS,OMITS,STATE,NOT COMPLETED,LOS ANGELES,45-59,50-59,,50-64,50-64,,,,BUSH,GORE,,OMITS,BUSH,YES,,YELLOW,OMITS,OMITS,OMITS,,,OMITS,,,,,,ASIAN,,REPUBLICAN,OMITS,0.678
NO,,5.0,19.0,23.0,SECOND CALL,60-64,WHITE,MALE,THIS YEAR,GORE,APPROVE,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,DEMOCRAT,,,NO,"$100,000 OR MORE",NO,NO,VERY LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETED,LOS ANGELES,60+,60+,DEMOCRAT,50-64,50-64,,,,GORE,GORE,,NEITHER,NEITHER,YES,,YELLOW,GORE,WOULD NOT VOTE,OMITS,,,FAVORABLE,,YES,,,NO,WHITE,,DEMOCRAT,SATISFIED,0.839
NO,,5.0,19.0,24.0,SECOND CALL,25-29,BLACK,MALE,THIS YEAR,GORE,APPROVE,CANDS POSITIONS ON ISSUES,,,,BETTER,,YES,INDEPENDENT,,,NO,"$30,000-$49,000",NO,NO,VERY LIBERAL,LIBERAL,18-64,18-74,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,STATE,COMPLETED,LOS ANGELES,18-29,25-29,INDEPENDENT/OTHER,25-29,25-29,,,,GORE,GORE,,NEITHER,NEITHER,YES,,YELLOW,GORE,KEYES,AMONG ALL VOTERS,,,FAVORABLE,,NO,,,NO,BLACK,,DEMOCRAT,SATISFIED,0.51
YES,,5.0,19.0,25.0,SECOND CALL,60-64,HISPANIC/LATINO,MALE,BEFORE THAT,OTHER,DISAPPROVE,CANDS PERSONAL QUALITIES,,,,SAME,,NO,REPUBLICAN,,,YES,"$50,000-$74,999",YES,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,TOO LIBERAL,TOO LIBERAL,STATE,COMPLETED,LOS ANGELES,60+,60+,REPUBLICAN,50-64,50-64,,,,OMITS,OMITS,,NEITHER,NEITHER,YES,,YELLOW,WOULD NOT VOTE,KEYES,AMONG ALL VOTERS,,,UNFAVORABLE,,NO,,,YES,OTHER,,REPUBLICAN,NOT SATISFIED,0.888
NO,,5.0,19.0,26.0,SECOND CALL,25-29,WHITE,MALE,TODAY,OTHER,APPROVE,CANDS POSITIONS ON ISSUES,,,,WORSE,,YES,SOMETHING ELSE,,,NO,"$75,000-$99,999",NO,NO,MODERATE,MODERATE,18-64,18-74,NOT LIBERAL ENOUGH,TOO LIBERAL,STATE,COMPLETED,LOS ANGELES,18-29,25-29,INDEPENDENT/OTHER,25-29,25-29,,,,BUSH,MCCAIN,,BUSH,BOTH,YES,,YELLOW,BRADLEY,BUSH,AMONG ALL VOTERS,,,FAVORABLE,,NO,,,NO,WHITE,,OTHER,SATISFIED,0.888
YES,,5.0,19.0,27.0,SECOND CALL,45-49,ASIAN,FEMALE,WITHIN LAST WEEK,GORE,APPROVE,CANDS PERSONAL QUALITIES,,,,SAME,,YES,DEMOCRAT,,,NO,"$30,000-$49,000",NO,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETED,LOS ANGELES,45-59,40-49,DEMOCRAT,40-49,40-49,,,,GORE,GORE,,NEITHER,NEITHER,YES,,YELLOW,BRADLEY,MCCAIN,AMONG ALL VOTERS,,,FAVORABLE,,NO,,,NO,ASIAN,,DEMOCRAT,SATISFIED,0.72
OMITS,,5.0,19.0,28.0,SECOND CALL,75+,WHITE,MALE,BEFORE THAT,GORE,OMITS,OMITS,,,,OMITS,,,,,,OMITS,,OMITS,OMITS,,,65+,75+,OMITS,OMITS,STATE,NOT COMPLETED,LOS ANGELES,60+,60+,,65+,75+,,,,GORE,GORE,,OMITS,BOTH,,,YELLOW,OMITS,OMITS,AMONG ALL VOTERS,,,OMITS,,,,,,WHITE,,DEMOCRAT,OMITS,0.839
YES,,5.0,19.0,29.0,SECOND CALL,30-39,HISPANIC/LATINO,FEMALE,WITHIN LAST WEEK,OTHER,DISAPPROVE,CANDS POSITIONS ON ISSUES,,,,WORSE,,NO,INDEPENDENT,,,NO,"$30,000-$49,000",NO,NO,MODERATE,MODERATE,18-64,18-74,TOO LIBERAL,NOT LIBERAL ENOUGH,STATE,COMPLETED,LOS ANGELES,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,,,,GORE,MCCAIN,,MCCAIN,BOTH,YES,,YELLOW,BRADLEY,WOULD NOT VOTE,AMONG ALL VOTERS,,,UNFAVORABLE,,NO,,,YES,HISPANIC/LATINO,,REPUBLICAN,NOT SATISFIED,0.888
YES,,5.0,19.0,30.0,SECOND CALL,75+,WHITE,FEMALE,THIS YEAR,BUSH,APPROVE,CANDS PERSONAL QUALITIES,,,,SAME,,YES,REPUBLICAN,,,YES,,YES,YES,MODERATE,MODERATE,65+,75+,OMITS,ABOUT RIGHT,STATE,COMPLETED,LOS ANGELES,60+,60+,REPUBLICAN,65+,75+,,,,BUSH,MCCAIN,,NEITHER,NEITHER,YES,,YELLOW,GORE,BUSH,AMONG ALL VOTERS,,,UNFAVORABLE,,NO,,,NO,WHITE,,REPUBLICAN,SATISFIED,0.881
YES,,5.0,19.0,31.0,SECOND CALL,30-39,WHITE,FEMALE,THIS YEAR,BRADLEY,APPROVE,CANDS POSITIONS ON ISSUES,,,,BETTER,,YES,DEMOCRAT,,,NO,"$75,000-$99,999",NO,NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETED,LOS ANGELES,30-44,30-39,DEMOCRAT,30-39,30-39,,,,GORE,GORE,,MCCAIN,NEITHER,YES,,YELLOW,BRADLEY,WOULD NOT VOTE,AMONG ALL VOTERS,,,FAVORABLE,,NO,,,NO,WHITE,,DEMOCRAT,NOT SATISFIED,0.629
YES,,5.0,19.0,32.0,SECOND CALL,45-49,HISPANIC/LATINO,MALE,THIS YEAR,GORE,APPROVE,CANDS PERSONAL QUALITIES,,,,BETTER,,NO,DEMOCRAT,,,YES,"$15,000-$29,000",NO,NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETED,LOS ANGELES,45-59,40-49,DEMOCRAT,40-49,40-49,,,,GORE,GORE,,MCCAIN,BOTH,YES,,YELLOW,GORE,MCCAIN,AMONG ALL VOTERS,,,FAVORABLE,,NO,,,YES,WHITE,,DEMOCRAT,NOT SATISFIED,0.558
