QTYPE,VETVOTER,GEOCODE,BUSHUNFR,STR8TALK,BEATDEM,REFORMER,MCSAYDO,INTERNET,LOYALREP,MCCONSRV,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,FINSIT,SSTAX,PARTYID,EDUC,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,BACKSIDE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,ALLOWVOT,GOREBUSH,GOREMCAN,WEIGHT
STATE,NO,D.C. SUBURBS,NO,BUSH,BUSH,BOTH,NO,YES,LOYAL REPUBLICAN,ABOUT RIGHT,47.0,29.0,9.0,FIRST CALL,40-44,WHITE,MALE,BUSH,THIS YEAR,TAXES,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,OMITS,YES,BETTER,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,"$100,000 OR MORE",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,1.743
STATE,YES,D.C. SUBURBS,NO,MCCAIN,MCCAIN,BUSH,NO,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,29.0,10.0,FIRST CALL,50-59,WHITE,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,POST GRADUATE STUDY,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,1.899
STATE,YES,D.C. SUBURBS,NO,MCCAIN,MCCAIN,BOTH,NO,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,29.0,11.0,FIRST CALL,50-59,WHITE,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,POST GRADUATE STUDY,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,ALL VOTERS,OMITS,MCCAIN,1.899
STATE,YES,D.C. SUBURBS,NO,MCCAIN,MCCAIN,MCCAIN,NO,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,29.0,12.0,FIRST CALL,50-59,WHITE,MALE,MCCAIN,THIS YEAR,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,WORSE,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,COLLEGE GRADUATE,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,GORE,1.899
STATE,NO,D.C. SUBURBS,YES,MCCAIN,MCCAIN,BOTH,NO,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,29.0,13.0,FIRST CALL,45-49,WHITE,MALE,MCCAIN,THIS YEAR,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,POST GRADUATE STUDY,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,1.899
STATE,NO,D.C. SUBURBS,YES,MCCAIN,MCCAIN,MCCAIN,NO,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,29.0,14.0,FIRST CALL,45-49,WHITE,MALE,KEYES,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,1.425
STATE,YES,D.C. SUBURBS,NO,BUSH,BUSH,BOTH,NO,YES,LOYAL REPUBLICAN,OMITS,47.0,29.0,15.0,FIRST CALL,60-64,WHITE,MALE,BUSH,THIS YEAR,OMITS,CAN WIN IN NOVEMBER,OMITS,OMITS,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,60+,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,1.957
STATE,NO,D.C. SUBURBS,NO,BUSH,BUSH,BUSH,YES,NO,LOYAL REPUBLICAN,NOT CONSERVATIVE ENOUGH,47.0,29.0,16.0,FIRST CALL,25-29,WHITE,FEMALE,BUSH,THIS YEAR,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,COLLEGE GRADUATE,"$15,000-$29,000",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,18-29,25-29,INDEPENDENT/OTHER,25-29,25-29,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,GORE,2.14
STATE,NO,D.C. SUBURBS,NO,NEITHER,BUSH,BUSH,YES,YES,LOYAL REPUBLICAN,NOT CONSERVATIVE ENOUGH,47.0,29.0,17.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,THIS YEAR,MORAL VALUES,MORAL VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,COLLEGE GRADUATE,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,GORE,1.743
STATE,NO,D.C. SUBURBS,YES,MCCAIN,MCCAIN,MCCAIN,NO,YES,NOT TIED TO PARTY LEADERS,TOO CONSERVATIVE,47.0,29.0,18.0,FIRST CALL,45-49,WHITE,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,POST GRADUATE STUDY,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,1.899
STATE,YES,D.C. SUBURBS,YES,NEITHER,OMITS,BOTH,NO,YES,OMITS,ABOUT RIGHT,47.0,29.0,19.0,FIRST CALL,50-59,WHITE,MALE,MCCAIN,THIS YEAR,TAXES,MORAL VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,BETTER,TAX CUT,INDEPENDENT,POST GRADUATE STUDY,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,1.899
STATE,NO,D.C. SUBURBS,NO,OMITS,MCCAIN,MCCAIN,YES,NO,LOYAL REPUBLICAN,ABOUT RIGHT,47.0,29.0,20.0,FIRST CALL,75+,WHITE,,MCCAIN,WITHIN LAST WEEK,OMITS,STANDS UP FOR BELIEFS,OMITS,YES,LEGAL IN ALL CASES,NO,WORSE,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,HIGH SCHOOL GRADUATE,,NO,VERY LIBERAL,LIBERAL,65+,75+,COMPLETE,60+,60+,REPUBLICAN,65+,75+,UNFAVORABLE,FAVORABLE,ONLY REPUBLICANS,OMITS,MCCAIN,2.132
STATE,YES,D.C. SUBURBS,OMITS,OMITS,MCCAIN,OMITS,NO,NO,LOYAL REPUBLICAN,OMITS,47.0,29.0,21.0,SECOND CALL,75+,WHITE,MALE,BUSH,WITHIN LAST WEEK,CAMPAIGN FINANCE REFORM,MORAL VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,,OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,60+,60+,REPUBLICAN,65+,75+,OMITS,OMITS,ONLY REPUBLICANS,BUSH,MCCAIN,1.957
STATE,NO,D.C. SUBURBS,YES,MCCAIN,MCCAIN,BOTH,NO,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,29.0,22.0,SECOND CALL,75+,WHITE,FEMALE,MCCAIN,TODAY,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,OMITS,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,60+,60+,REPUBLICAN,65+,75+,UNFAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,2.1310000000000002
STATE,YES,D.C. SUBURBS,NO,BOTH,MCCAIN,BOTH,NO,YES,LOYAL REPUBLICAN,ABOUT RIGHT,47.0,29.0,23.0,SECOND CALL,60-64,WHITE,MALE,MCCAIN,THIS YEAR,OMITS,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,WORSE,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,POST GRADUATE STUDY,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,2.132
STATE,NO,D.C. SUBURBS,NO,NEITHER,BUSH,BUSH,YES,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,29.0,24.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,THIS YEAR,SOCIAL SECURITY/MEDICARE,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,COLLEGE GRADUATE,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,1.743
STATE,YES,D.C. SUBURBS,NO,BOTH,BUSH,BOTH,NO,NO,LOYAL REPUBLICAN,ABOUT RIGHT,47.0,29.0,25.0,SECOND CALL,65-74,WHITE,MALE,BUSH,BEFORE THAT,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,60+,60+,REPUBLICAN,65+,65-74,FAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,1.957
STATE,YES,D.C. SUBURBS,NO,BUSH,BUSH,BUSH,YES,NO,LOYAL REPUBLICAN,NOT CONSERVATIVE ENOUGH,47.0,29.0,26.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,THIS YEAR,OMITS,OMITS,OMITS,NO,ILLEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,"$15,000-$29,000",YES,VERY CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,60+,60+,REPUBLICAN,65+,75+,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,OMITS,1.957
STATE,NO,D.C. SUBURBS,NO,MCCAIN,MCCAIN,MCCAIN,NO,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,29.0,27.0,SECOND CALL,45-49,WHITE,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,COLLEGE GRADUATE,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,1.899
STATE,NO,D.C. SUBURBS,OMITS,MCCAIN,MCCAIN,NEITHER,NO,YES,NOT TIED TO PARTY LEADERS,TOO CONSERVATIVE,47.0,29.0,28.0,SECOND CALL,40-44,WHITE,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,OMITS,SAME,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,COLLEGE GRADUATE,"$50,000-$74,999",OMITS,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,FAVORABLE,ALL VOTERS,OMITS,MCCAIN,1.899
STATE,NO,D.C. SUBURBS,NO,BUSH,BUSH,BUSH,YES,NO,LOYAL REPUBLICAN,NOT CONSERVATIVE ENOUGH,47.0,29.0,29.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,THIS YEAR,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,POST GRADUATE STUDY,"$100,000 OR MORE",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,60+,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,OMITS,1.957
STATE,NO,D.C. SUBURBS,NO,BUSH,BUSH,BUSH,YES,NO,LOYAL REPUBLICAN,NOT CONSERVATIVE ENOUGH,47.0,29.0,30.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,BEFORE THAT,ABORTION,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,1.743
STATE,NO,D.C. SUBURBS,YES,MCCAIN,BUSH,BOTH,NO,NO,LOYAL REPUBLICAN,NOT CONSERVATIVE ENOUGH,47.0,29.0,31.0,SECOND CALL,75+,WHITE,FEMALE,MCCAIN,WITHIN LAST WEEK,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,HIGH SCHOOL GRADUATE,"UNDER $15,000",NO,MODERATE,MODERATE,65+,75+,COMPLETE,60+,60+,REPUBLICAN,65+,75+,FAVORABLE,FAVORABLE,OMITS,BUSH,MCCAIN,2.1310000000000002
STATE,NO,D.C. SUBURBS,YES,MCCAIN,MCCAIN,MCCAIN,NO,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,29.0,32.0,SECOND CALL,50-59,WHITE,FEMALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,DEMOCRAT,POST GRADUATE STUDY,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,1.8980000000000001
STATE,NO,D.C. SUBURBS,NO,BOTH,BUSH,NEITHER,YES,YES,LOYAL REPUBLICAN,ABOUT RIGHT,47.0,29.0,33.0,THIRD CALL,40-44,WHITE,MALE,BUSH,WITHIN LAST WEEK,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,POST GRADUATE STUDY,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,1.743
STATE,NO,D.C. SUBURBS,NO,BUSH,BUSH,BUSH,YES,NO,LOYAL REPUBLICAN,OMITS,47.0,29.0,34.0,THIRD CALL,25-29,WHITE,FEMALE,BUSH,TODAY,CAMPAIGN FINANCE REFORM,REPRESENTS CONSERVATIVE VALUES,OMITS,OMITS,OMITS,YES,SAME,OMITS,INDEPENDENT,HIGH SCHOOL GRADUATE,,OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,18-29,25-29,INDEPENDENT/OTHER,25-29,25-29,FAVORABLE,UNFAVORABLE,OMITS,BUSH,OMITS,2.14
STATE,,D.C. SUBURBS,NO,BUSH,BUSH,BOTH,YES,,LOYAL REPUBLICAN,OMITS,47.0,29.0,35.0,THIRD CALL,75+,WHITE,MALE,BUSH,BEFORE THAT,OMITS,MORAL VALUES,OMITS,NO,LEGAL IN MOST CASES,YES,OMITS,OMITS,,,,YES,,,65+,75+,COMPLETE,60+,60+,,65+,75+,FAVORABLE,UNFAVORABLE,ALL VOTERS,BUSH,MCCAIN,1.957
STATE,YES,D.C. SUBURBS,NO,MCCAIN,MCCAIN,MCCAIN,YES,YES,NOT TIED TO PARTY LEADERS,NOT CONSERVATIVE ENOUGH,47.0,29.0,36.0,THIRD CALL,30-39,WHITE,MALE,MCCAIN,TODAY,OMITS,CAN WIN IN NOVEMBER,OMITS,NO,ILLEGAL IN MOST CASES,YES,WORSE,TAX CUT,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,"$75,000-$99,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,1.899
STATE,NO,D.C. SUBURBS,NO,NEITHER,BUSH,BOTH,YES,NO,LOYAL REPUBLICAN,NOT CONSERVATIVE ENOUGH,47.0,29.0,37.0,THIRD CALL,65-74,WHITE,FEMALE,BUSH,BEFORE THAT,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,"$50,000-$74,999",YES,MODERATE,MODERATE,65+,18-74,COMPLETE,60+,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,1.957
STATE,,D.C. SUBURBS,OMITS,OMITS,OMITS,OMITS,NO,,NOT TIED TO PARTY LEADERS,OMITS,47.0,29.0,38.0,THIRD CALL,40-44,WHITE,FEMALE,MCCAIN,WITHIN LAST WEEK,ABORTION,STANDS UP FOR BELIEFS,OMITS,NO,LEGAL IN ALL CASES,YES,OMITS,OMITS,,,,OMITS,,,18-64,18-74,NOT COMPLETE,30-44,40-49,,40-49,40-49,OMITS,OMITS,ALL VOTERS,OMITS,OMITS,1.8980000000000001
STATE,NO,D.C. SUBURBS,YES,MCCAIN,BUSH,MCCAIN,NO,NO,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,29.0,39.0,THIRD CALL,50-59,WHITE,FEMALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,SAME,OMITS,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,1.8980000000000001
STATE,NO,D.C. SUBURBS,YES,BOTH,OMITS,NEITHER,NO,YES,LOYAL REPUBLICAN,TOO CONSERVATIVE,47.0,29.0,40.0,THIRD CALL,18-24,WHITE,MALE,OTHER,TODAY,OMITS,MORAL VALUES,CANDS POSITIONS ON ISSUES,YES,LEGAL IN ALL CASES,YES,WORSE,STRENGTHEN SOCIAL SECURITY,SOMETHING ELSE,SOME COLLEGE OR ASSOCIATES,"$100,000 OR MORE",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,18-29,18-24,INDEPENDENT/OTHER,18-24,18-24,FAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,2.224
STATE,NO,D.C. SUBURBS,OMITS,BOTH,BUSH,OMITS,YES,YES,LOYAL REPUBLICAN,NOT CONSERVATIVE ENOUGH,47.0,29.0,41.0,THIRD CALL,25-29,WHITE,MALE,BUSH,THIS YEAR,OMITS,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,OMITS,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,"$50,000-$74,999",OMITS,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,18-29,25-29,REPUBLICAN,25-29,25-29,OMITS,UNFAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,2.141
STATE,NO,D.C. SUBURBS,NO,BUSH,BUSH,BOTH,YES,YES,LOYAL REPUBLICAN,NOT CONSERVATIVE ENOUGH,47.0,29.0,42.0,THIRD CALL,40-44,WHITE,MALE,BUSH,BEFORE THAT,ABORTION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,"$75,000-$99,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,1.743
STATE,NO,D.C. SUBURBS,YES,MCCAIN,MCCAIN,MCCAIN,YES,YES,LOYAL REPUBLICAN,TOO CONSERVATIVE,47.0,29.0,43.0,THIRD CALL,50-59,WHITE,MALE,KEYES,TODAY,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,POST GRADUATE STUDY,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,ONLY REPUBLICANS,GORE,MCCAIN,1.425
STATE,NO,D.C. SUBURBS,YES,MCCAIN,MCCAIN,MCCAIN,NO,YES,NOT TIED TO PARTY LEADERS,TOO CONSERVATIVE,47.0,29.0,44.0,THIRD CALL,45-49,ASIAN,FEMALE,MCCAIN,THIS YEAR,TAXES,MORAL VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,DEMOCRAT,POST GRADUATE STUDY,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,1.8980000000000001
STATE,NO,D.C. SUBURBS,YES,MCCAIN,MCCAIN,MCCAIN,NO,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,29.0,45.0,THIRD CALL,50-59,WHITE,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,POST GRADUATE STUDY,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,GORE,1.899
STATE,YES,D.C. SUBURBS,YES,MCCAIN,MCCAIN,NEITHER,NO,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,29.0,46.0,THIRD CALL,30-39,HISPANIC/LATINO,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,MORAL VALUES,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,NO,BETTER,TAX CUT,SOMETHING ELSE,POST GRADUATE STUDY,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,2.5140000000000002
STATE,NO,D.C. SUBURBS,YES,MCCAIN,MCCAIN,MCCAIN,NO,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,29.0,47.0,THIRD CALL,30-39,WHITE,MALE,MCCAIN,THIS YEAR,OMITS,MORAL VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,POST GRADUATE STUDY,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,FAVORABLE,ALL VOTERS,OMITS,MCCAIN,1.899
STATE,NO,D.C. SUBURBS,NO,MCCAIN,MCCAIN,NEITHER,NO,YES,NOT TIED TO PARTY LEADERS,TOO CONSERVATIVE,47.0,29.0,48.0,THIRD CALL,45-49,WHITE,FEMALE,MCCAIN,THIS YEAR,ABORTION,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,DEMOCRAT,POST GRADUATE STUDY,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,ALL VOTERS,GORE,GORE,1.8980000000000001
