MCRRIGHT,HISPANIC,BACKSIDE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,REFORMER,PREVPRI,VETVOTER,BEATDEM,REL5,HILLARY,GIULIANI,BUSHPATA,CDAREA,CDPAST,WEIGHT
SOMEWHAT,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,4.0,FIRST CALL,45-49,MALE,BUSH,WITHIN LAST WEEK,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,BUSH,NO,NO,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.607
NOT AT ALL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,5.0,FIRST CALL,18-24,MALE,KEYES,WITHIN LAST WEEK,OMITS,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,TAX CUT,YES,REPUBLICAN,COLLEGE GRADUATE,OTHER CHRISTIAN,"$30,000-$49,000",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,18-29,18-24,REPUBLICAN,18-24,18-24,OMITS,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,ABOUT RIGHT,MCCAIN,OMITS,NO,NO,MCCAIN,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.632
SOMEWHAT,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,6.0,FIRST CALL,60-64,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,BOTH,YES,YES,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,SOMEWHAT,UPSTATE RURAL,MID HI REP,0.646
NOT AT ALL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,7.0,FIRST CALL,60-64,FEMALE,MCCAIN,WITHIN LAST 3 DAYS,OMITS,OMITS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,NO,NO,MCCAIN,CATHOLIC,FAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.607
GREAT DEAL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,8.0,FIRST CALL,60-64,FEMALE,BUSH,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,BOTH,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.8140000000000001
NOT MUCH,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,9.0,FIRST CALL,45-49,MALE,MCCAIN,THIS YEAR,OMITS,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,NO,NO,MCCAIN,CATHOLIC,UNFAVORABLE,UNFAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.453
GREAT DEAL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,10.0,FIRST CALL,30-39,MALE,BUSH,BEFORE THAT,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,MCCAIN,NO,NO,MCCAIN,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,MID HI REP,0.607
NOT MUCH,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,11.0,SECOND CALL,50-59,MALE,BUSH,WITHIN LAST WEEK,EDUCATION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BOTH,BOTH,YES,YES,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,MID HI REP,0.607
GREAT DEAL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,12.0,SECOND CALL,50-59,FEMALE,BUSH,WITHIN LAST WEEK,OMITS,STRONG LEADER,CANDS POSITIONS ON ISSUES,YES,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,TOO CONSERVATIVE,FAVORABLE,UNFAVORABLE,BUSH,GORE,TOO CONSERVATIVE,BUSH,MCCAIN,,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,SOMEWHAT,UPSTATE RURAL,MID HI REP,0.5710000000000001
NOT AT ALL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,13.0,SECOND CALL,50-59,MALE,MCCAIN,THIS YEAR,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,DEMOCRAT,50-64,50-64,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,BOTH,YES,NO,MCCAIN,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,MID HI REP,0.453
NOT MUCH,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,14.0,SECOND CALL,40-44,MALE,MCCAIN,TODAY,CAMPAIGN FINANCE REFORM,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,SOMETHING ELSE,COLLEGE GRADUATE,PROTESTANT,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,NEITHER,BOTH,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.453
NOT MUCH,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,15.0,SECOND CALL,40-44,MALE,MCCAIN,TODAY,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,NO,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,SOMEWHAT,UPSTATE RURAL,MID HI REP,0.453
SOMEWHAT,YES,COMPLETED,URBAN UPSTATE,33.0,60.0,16.0,SECOND CALL,18-24,FEMALE,MCCAIN,WITHIN LAST 3 DAYS,EDUCATION,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,DEMOCRAT,POST GRADUATE STUDY,OTHER CHRISTIAN,"UNDER $15,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,18-29,18-24,DEMOCRAT,18-24,18-24,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,GORE,GORE,TOO CONSERVATIVE,NEITHER,NEITHER,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,FAVORABLE,OMITS,NOT MUCH,UPSTATE RURAL,MID HI REP,0.5750000000000001
GREAT DEAL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,17.0,SECOND CALL,30-39,MALE,KEYES,THIS YEAR,ABORTION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,NEITHER,YES,YES,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.514
GREAT DEAL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,18.0,SECOND CALL,25-29,FEMALE,MORE THAN ONE CANDIDATE,WITHIN LAST WEEK,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$75,000-$99,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,NEITHER,NO,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.611
NOT MUCH,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,19.0,SECOND CALL,40-44,FEMALE,BUSH,WITHIN LAST WEEK,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BOTH,BOTH,YES,NO,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.5710000000000001
NOT MUCH,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,20.0,SECOND CALL,30-39,MALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,TOO CONSERVATIVE,BUSH,NEITHER,YES,NO,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,SOMEWHAT,UPSTATE RURAL,MID HI REP,0.607
NOT MUCH,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,21.0,SECOND CALL,40-44,MALE,BUSH,BEFORE THAT,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,NEITHER,BOTH,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.607
NOT MUCH,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,22.0,SECOND CALL,40-44,MALE,BUSH,TODAY,TAXES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,TOO CONSERVATIVE,MCCAIN,BOTH,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,MID HI REP,0.607
NOT MUCH,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,23.0,SECOND CALL,40-44,FEMALE,MCCAIN,WITHIN LAST WEEK,WORLD AFFAIRS,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,BOTH,NO,NO,OMITS,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,MID HI REP,0.426
NOT AT ALL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,24.0,SECOND CALL,50-59,MALE,MCCAIN,THIS YEAR,TAXES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,TAX CUT,YES,INDEPENDENT,COLLEGE GRADUATE,JEWISH,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,OMITS,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,YES,BUSH,JEWISH,FAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.453
NOT AT ALL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,25.0,SECOND CALL,40-44,MALE,MCCAIN,WITHIN LAST WEEK,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,NO,NO,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.453
NOT AT ALL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,26.0,SECOND CALL,30-39,FEMALE,MCCAIN,THIS YEAR,TAXES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,BOTH,YES,NO,BUSH,CATHOLIC,UNFAVORABLE,UNFAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.426
NOT AT ALL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,27.0,SECOND CALL,45-49,FEMALE,MCCAIN,WITHIN LAST WEEK,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$75,000-$99,999",YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,BOTH,NO,NO,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,MID HI REP,0.426
NOT AT ALL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,28.0,SECOND CALL,50-59,FEMALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,MCCAIN,NO,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,MID HI REP,0.5710000000000001
NOT MUCH,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,29.0,SECOND CALL,30-39,FEMALE,BUSH,WITHIN LAST WEEK,TAXES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,SOMETHING ELSE,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,BOTH,YES,NO,BUSH,SOMETHING ELSE,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,MID HI REP,0.5710000000000001
GREAT DEAL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,30.0,SECOND CALL,40-44,FEMALE,BUSH,BEFORE THAT,WORLD AFFAIRS,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,GORE,NOT CONSERVATIVE ENOUGH,BUSH,NEITHER,YES,NO,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.5710000000000001
SOMEWHAT,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,31.0,SECOND CALL,60-64,MALE,BUSH,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,NEITHER,NO,YES,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.866
NOT AT ALL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,32.0,SECOND CALL,50-59,FEMALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NEITHER,YES,NO,MCCAIN,PROTESTANT/OTHER CHRISTIAN,FAVORABLE,UNFAVORABLE,NOT AT ALL,UPSTATE RURAL,MID HI REP,0.426
NOT MUCH,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,33.0,SECOND CALL,50-59,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,NO,YES,MCCAIN,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,GREAT DEAL,UPSTATE RURAL,MID HI REP,0.453
NOT MUCH,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,34.0,SECOND CALL,25-29,FEMALE,KEYES,WITHIN LAST WEEK,ABORTION,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$75,000-$99,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,BOTH,NO,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,MID HI REP,0.594
GREAT DEAL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,35.0,SECOND CALL,30-39,FEMALE,KEYES,BEFORE THAT,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$75,000-$99,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,NEITHER,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,UNFAVORABLE,NOT MUCH,UPSTATE RURAL,MID HI REP,0.483
GREAT DEAL,NO,COMPLETED,URBAN UPSTATE,33.0,60.0,36.0,SECOND CALL,25-29,MALE,KEYES,THIS YEAR,ABORTION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$75,000-$99,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,NEITHER,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,MID HI REP,0.632
