BACKSIDE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,ALLOWVOT,GOREBUSH,GOREMCAN,MCCONSRV,SSMARRY,STR8TALK,MCSAYDO,REFORMER,PREVPRI,VETVOTER,SSPART,BEATDEM,REL5,WEIGHT
COMPLETED,BURLINGTON,46.0,19.0,6.0,FIRST CALL,60-64,MALE,MCCAIN,THIS YEAR,OMITS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,OMITS,NO,REPUBLICAN,POST GRADUATE STUDY,JEWISH,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,ONLY REPUBLICANS,OMITS,MCCAIN,ABOUT RIGHT,NO,MCCAIN,NO,BOTH,YES,YES,YES,MCCAIN,JEWISH,0.6920000000000001
COMPLETED,BURLINGTON,46.0,19.0,7.0,FIRST CALL,30-39,FEMALE,MCCAIN,TODAY,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,YES,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,OMITS,TOO CONSERVATIVE,YES,MCCAIN,NO,OMITS,YES,NO,YES,MCCAIN,CATHOLIC,0.58
COMPLETED,BURLINGTON,46.0,19.0,8.0,FIRST CALL,30-39,MALE,MCCAIN,WITHIN LAST WEEK,OMITS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,YES,MCCAIN,NO,NEITHER,YES,NO,YES,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.5740000000000001
COMPLETED,BURLINGTON,46.0,19.0,9.0,FIRST CALL,30-39,MALE,KEYES,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,YES,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,NO,BUSH,NO,MCCAIN,YES,NO,YES,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.366
COMPLETED,BURLINGTON,46.0,19.0,10.0,FIRST CALL,50-59,MALE,BUSH,THIS YEAR,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,NO,BUSH,NO,NEITHER,YES,YES,NO,BUSH,CATHOLIC,0.669
COMPLETED,BURLINGTON,46.0,19.0,11.0,FIRST CALL,60-64,,BUSH,TODAY,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NO,BUSH,YES,BUSH,YES,YES,NO,BUSH,CATHOLIC,0.8160000000000001
COMPLETED,BURLINGTON,46.0,19.0,12.0,FIRST CALL,50-59,FEMALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NO,BUSH,YES,BUSH,YES,NO,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,0.675
NOT COMPLETED,BURLINGTON,46.0,19.0,13.0,FIRST CALL,45-49,MALE,MCCAIN,BEFORE THAT,OMITS,STRONG LEADER,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,,OMITS,,,18-64,18-74,STATE,45-59,40-49,,40-49,40-49,OMITS,OMITS,OMITS,ALL VOTERS,GORE,MCCAIN,OMITS,OMITS,OMITS,NO,OMITS,YES,,OMITS,OMITS,,0.5740000000000001
COMPLETED,BURLINGTON,46.0,19.0,14.0,FIRST CALL,50-59,MALE,BUSH,THIS YEAR,TAXES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NO,BUSH,YES,BUSH,YES,YES,NO,BUSH,CATHOLIC,0.669
COMPLETED,BURLINGTON,46.0,19.0,15.0,FIRST CALL,60-64,MALE,BUSH,BEFORE THAT,TAXES,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,TOO CONSERVATIVE,NO,BUSH,YES,BOTH,YES,NO,YES,BUSH,PROTESTANT/OTHER CHRISTIAN,0.807
COMPLETED,BURLINGTON,46.0,19.0,16.0,FIRST CALL,30-39,MALE,MCCAIN,TODAY,CAMPAIGN FINANCE REFORM,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,TOO CONSERVATIVE,OMITS,MCCAIN,NO,NEITHER,YES,NO,OMITS,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.5740000000000001
COMPLETED,BURLINGTON,46.0,19.0,17.0,SECOND CALL,50-59,FEMALE,MCCAIN,WITHIN LAST 3 DAYS,OMITS,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,YES,MCCAIN,NO,MCCAIN,YES,NO,YES,BUSH,CATHOLIC,0.58
COMPLETED,BURLINGTON,46.0,19.0,18.0,SECOND CALL,60-64,MALE,MCCAIN,WITHIN LAST WEEK,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,ABOUT RIGHT,NO,MCCAIN,NO,NEITHER,YES,NO,NO,BUSH,CATHOLIC,0.6920000000000001
COMPLETED,BURLINGTON,46.0,19.0,19.0,SECOND CALL,25-29,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,SOMETHING ELSE,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,18-29,25-29,INDEPENDENT/OTHER,25-29,25-29,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,YES,OMITS,NO,OMITS,NO,NO,YES,BUSH,SOMETHING ELSE,0.654
COMPLETED,BURLINGTON,46.0,19.0,20.0,SECOND CALL,45-49,,MCCAIN,THIS YEAR,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,TAX CUT,OMITS,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$75,000-$99,999",OMITS,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,NO,MCCAIN,OMITS,OMITS,YES,NO,NO,BUSH,CATHOLIC,0.5740000000000001
COMPLETED,BURLINGTON,46.0,19.0,21.0,SECOND CALL,45-49,FEMALE,MCCAIN,THIS YEAR,WORLD AFFAIRS,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,DEMOCRAT,COLLEGE GRADUATE,NONE,"$100,000 OR MORE",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,40-49,DEMOCRAT,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,YES,MCCAIN,NO,MCCAIN,NO,NO,YES,MCCAIN,NONE,0.58
COMPLETED,BURLINGTON,46.0,19.0,22.0,SECOND CALL,50-59,FEMALE,BUSH,THIS YEAR,TAXES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,NONE,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,OMITS,NOT CONSERVATIVE ENOUGH,NO,BUSH,YES,NEITHER,YES,NO,NO,BUSH,NONE,0.675
COMPLETED,BURLINGTON,46.0,19.0,23.0,SECOND CALL,18-24,MALE,BUSH,WITHIN LAST WEEK,TAXES,OMITS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,JEWISH,"UNDER $15,000",YES,VERY LIBERAL,LIBERAL,18-64,18-74,STATE,18-29,18-24,INDEPENDENT/OTHER,18-24,18-24,TOO CONSERVATIVE,UNFAVORABLE,UNFAVORABLE,ALL VOTERS,GORE,GORE,TOO CONSERVATIVE,YES,NEITHER,YES,NEITHER,NO,NO,YES,MCCAIN,JEWISH,0.755
COMPLETED,BURLINGTON,46.0,19.0,24.0,SECOND CALL,18-24,MALE,MCCAIN,BEFORE THAT,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,18-29,18-24,REPUBLICAN,18-24,18-24,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,OMITS,MCCAIN,ABOUT RIGHT,YES,MCCAIN,NO,MCCAIN,YES,NO,YES,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.647
COMPLETED,BURLINGTON,46.0,19.0,25.0,SECOND CALL,75+,MALE,MCCAIN,THIS YEAR,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",NO,MODERATE,MODERATE,65+,75+,STATE,60+,60+,INDEPENDENT/OTHER,65+,75+,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,NO,MCCAIN,NO,MCCAIN,YES,YES,NO,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.6920000000000001
COMPLETED,BURLINGTON,46.0,19.0,26.0,SECOND CALL,30-39,MALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,YES,MCCAIN,YES,MCCAIN,YES,NO,YES,MCCAIN,CATHOLIC,0.5740000000000001
COMPLETED,BURLINGTON,46.0,19.0,27.0,SECOND CALL,18-24,FEMALE,MCCAIN,THIS YEAR,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,TAX CUT,YES,REPUBLICAN,,NONE,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,18-24,REPUBLICAN,18-24,18-24,OMITS,UNFAVORABLE,FAVORABLE,ONLY REPUBLICANS,GORE,MCCAIN,ABOUT RIGHT,NO,MCCAIN,NO,MCCAIN,YES,NO,YES,MCCAIN,NONE,0.654
COMPLETED,BURLINGTON,46.0,19.0,28.0,SECOND CALL,60-64,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NO,MCCAIN,NO,BUSH,YES,NO,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,0.7000000000000001
COMPLETED,BURLINGTON,46.0,19.0,29.0,SECOND CALL,50-59,FEMALE,KEYES,TODAY,ABORTION,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,OMITS,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,,OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,NO,BOTH,NO,BOTH,YES,NO,NO,MCCAIN,CATHOLIC,0.37
COMPLETED,BURLINGTON,46.0,19.0,30.0,SECOND CALL,30-39,FEMALE,MCCAIN,THIS YEAR,OMITS,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,OMITS,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,DEMOCRAT,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,YES,MCCAIN,NO,MCCAIN,NO,NO,YES,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.58
COMPLETED,BURLINGTON,46.0,19.0,31.0,SECOND CALL,25-29,FEMALE,MCCAIN,TODAY,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,18-29,25-29,DEMOCRAT,25-29,25-29,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,YES,MCCAIN,NO,MCCAIN,NO,NO,YES,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.654
COMPLETED,BURLINGTON,46.0,19.0,32.0,THIRD CALL,50-59,MALE,MCCAIN,WITHIN LAST WEEK,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,DEMOCRAT,POST GRADUATE STUDY,JEWISH,"$100,000 OR MORE",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,50-59,DEMOCRAT,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,GORE,ABOUT RIGHT,YES,MCCAIN,NO,MCCAIN,NO,YES,YES,MCCAIN,JEWISH,0.5740000000000001
COMPLETED,BURLINGTON,46.0,19.0,33.0,THIRD CALL,40-44,MALE,MCCAIN,TODAY,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$15,000-$29,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,STATE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,OMITS,TOO CONSERVATIVE,YES,MCCAIN,NO,MCCAIN,YES,NO,NO,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.5740000000000001
COMPLETED,BURLINGTON,46.0,19.0,34.0,THIRD CALL,75+,MALE,BUSH,WITHIN LAST WEEK,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,YES,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,ABOUT RIGHT,FAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NO,BOTH,NO,BOTH,YES,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,0.807
COMPLETED,BURLINGTON,46.0,19.0,35.0,THIRD CALL,25-29,FEMALE,MCCAIN,TODAY,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,,CATHOLIC,"UNDER $15,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,YES,MCCAIN,YES,BOTH,YES,NO,YES,MCCAIN,CATHOLIC,0.654
COMPLETED,BURLINGTON,46.0,19.0,36.0,THIRD CALL,75+,FEMALE,BUSH,WITHIN LAST WEEK,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,YES,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,ABOUT RIGHT,FAVORABLE,OMITS,ONLY REPUBLICANS,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NO,BUSH,OMITS,BOTH,YES,NO,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,0.8160000000000001
COMPLETED,BURLINGTON,46.0,19.0,37.0,THIRD CALL,40-44,FEMALE,MCCAIN,WITHIN LAST 3 DAYS,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"UNDER $15,000",YES,MODERATE,MODERATE,18-64,18-74,STATE,30-44,40-49,DEMOCRAT,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,NO,MCCAIN,NO,BOTH,NO,NO,YES,BUSH,PROTESTANT/OTHER CHRISTIAN,0.58
COMPLETED,BURLINGTON,46.0,19.0,38.0,THIRD CALL,50-59,FEMALE,MCCAIN,TODAY,OMITS,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,COLLEGE GRADUATE,SOMETHING ELSE,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,OMITS,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,YES,MCCAIN,NO,MCCAIN,YES,NO,YES,MCCAIN,SOMETHING ELSE,0.58
COMPLETED,BURLINGTON,46.0,19.0,39.0,THIRD CALL,30-39,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,OMITS,YES,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$15,000-$29,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,OMITS,UNFAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,OMITS,YES,MCCAIN,NO,MCCAIN,YES,YES,YES,MCCAIN,CATHOLIC,0.5740000000000001
COMPLETED,BURLINGTON,46.0,19.0,40.0,THIRD CALL,40-44,FEMALE,MCCAIN,TODAY,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,POST GRADUATE STUDY,OTHER CHRISTIAN,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,OMITS,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,NO,MCCAIN,NO,MCCAIN,YES,NO,YES,BUSH,PROTESTANT/OTHER CHRISTIAN,0.58
COMPLETED,BURLINGTON,46.0,19.0,41.0,THIRD CALL,50-59,MALE,MCCAIN,THIS YEAR,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,DEMOCRAT,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,NO,MCCAIN,NO,MCCAIN,YES,YES,NO,MCCAIN,CATHOLIC,0.5740000000000001
COMPLETED,BURLINGTON,46.0,19.0,42.0,THIRD CALL,18-24,FEMALE,MCCAIN,BEFORE THAT,MORAL VALUES,OMITS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,DEMOCRAT,COLLEGE GRADUATE,SOMETHING ELSE,"$30,000-$49,000",YES,VERY LIBERAL,LIBERAL,18-64,18-74,STATE,18-29,18-24,DEMOCRAT,18-24,18-24,TOO CONSERVATIVE,UNFAVORABLE,UNFAVORABLE,ALL VOTERS,GORE,GORE,TOO CONSERVATIVE,YES,NEITHER,YES,NEITHER,NO,NO,NO,MCCAIN,SOMETHING ELSE,0.654
COMPLETED,BURLINGTON,46.0,20.0,1.0,FIRST CALL,50-59,MALE,MCCAIN,THIS YEAR,TAXES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,TAX CUT,YES,REPUBLICAN,COLLEGE GRADUATE,OTHER CHRISTIAN,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,ALL VOTERS,GORE,GORE,ABOUT RIGHT,YES,MCCAIN,NO,MCCAIN,YES,YES,YES,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.383
