STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,STANDLIV,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,VOTE96,ABORTION,BUSHKNOW,FINSIT,SSTAX,PARTYID,MCAINVET,EDUC,BUSHUNFR,INCOME,FORBUNFR,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,VETERAN,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,INTERNET,DESTEC,STR8TALK,BEATDEM,CAMPFIN,WEIGHT
8.0,205.0,29.0,THIRD CALL,65-74,MALE,BUSH,THIS YEAR,WILL FALL,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,3,ILLEGAL IN MOST CASES,YES,SAME,OMITS,REPUBLICAN,SOMEWHAT IMPORTANT,SOME COLLEGE OR ASSOCIATES,NO,"$50,000-$74,999",YES,NO,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,YES,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,65+,65-74,YES,GOOD,BUSH,BUSH,HELP THE POLITICAL PROCESS,0.41400000000000003
8.0,205.0,30.0,THIRD CALL,65-74,FEMALE,BUSH,BEFORE THAT,WILL RISE,TAXES,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,3,LEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,NOT IMPORTANT AT ALL,SOME COLLEGE OR ASSOCIATES,NO,"$30,000-$49,000",NO,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,NO,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,65+,65-74,NO,EXCELLENT,BUSH,BUSH,HURT THE POLITICAL PROCESS,0.419
8.0,205.0,31.0,THIRD CALL,65-74,FEMALE,BUSH,WITHIN LAST 3 DAYS,WILL FALL,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,4,LEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,NOT TOO IMPORTANT,COLLEGE GRADUATE,NO,"$50,000-$74,999",NO,NO,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,NO,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,65+,65-74,NO,EXCELLENT,NEITHER,BUSH,HURT THE POLITICAL PROCESS,0.419
8.0,205.0,32.0,THIRD CALL,75+,FEMALE,MCCAIN,WITHIN LAST WEEK,OMITS,OMITS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,,ILLEGAL IN MOST CASES,OMITS,SAME,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,NOT TOO IMPORTANT,SOME COLLEGE OR ASSOCIATES,OMITS,"$50,000-$74,999",OMITS,OMITS,MODERATE,MODERATE,65+,75+,NO,COMPLETE,NEW CASTLE COUNTY,60+,60+,INDEPENDENT/OTHER,65+,75+,NO,GOOD,MCCAIN,MCCAIN,HELP THE POLITICAL PROCESS,0.372
8.0,205.0,33.0,THIRD CALL,50-59,MALE,MCCAIN,THIS YEAR,WILL FALL,SOCIAL SECURTY/MEDICARE,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,3,LEGAL IN ALL CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,NOT TOO IMPORTANT,POST GRADUATE STUDY,YES,"$100,000 OR MORE",YES,NO,MODERATE,MODERATE,18-64,18-74,YES,COMPLETE,NEW CASTLE COUNTY,45-59,50-59,REPUBLICAN,50-64,50-64,YES,GOOD,MCCAIN,MCCAIN,HELP THE POLITICAL PROCESS,0.311
8.0,205.0,34.0,THIRD CALL,75+,,BUSH,BEFORE THAT,WILL RISE,EDUCATION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,3,LEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,NOT IMPORTANT AT ALL,COLLEGE GRADUATE,YES,"$100,000 OR MORE",YES,YES,SOMEWHAT LIBERAL,LIBERAL,65+,75+,NO,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,65+,75+,NO,GOOD,BOTH,BUSH,HELP THE POLITICAL PROCESS,0.41400000000000003
8.0,205.0,35.0,THIRD CALL,65-74,MALE,MCCAIN,WITHIN LAST WEEK,WILL RISE,SOCIAL SECURTY/MEDICARE,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,6,LEGAL IN ALL CASES,YES,WORSE,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOMEWHAT IMPORTANT,POST GRADUATE STUDY,NO,"$75,000-$99,999",NO,NO,MODERATE,MODERATE,65+,18-74,YES,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,65+,65-74,YES,EXCELLENT,MCCAIN,BUSH,HELP THE POLITICAL PROCESS,0.369
8.0,205.0,36.0,THIRD CALL,65-74,FEMALE,MCCAIN,THIS YEAR,OMITS,OMITS,OMITS,CANDS POSITIONS ON ISSUES,NO,3,LEGAL IN ALL CASES,NO,SAME,OMITS,INDEPENDENT,SOMEWHAT IMPORTANT,COLLEGE GRADUATE,OMITS,"$100,000 OR MORE",OMITS,OMITS,MODERATE,MODERATE,65+,18-74,NO,COMPLETE,NEW CASTLE COUNTY,60+,60+,INDEPENDENT/OTHER,65+,65-74,NO,EXCELLENT,MCCAIN,MCCAIN,HELP THE POLITICAL PROCESS,0.372
8.0,205.0,37.0,THIRD CALL,30-39,MALE,FORBES,TODAY,WILL RISE,EDUCATION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,4,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,NOT IMPORTANT AT ALL,COLLEGE GRADUATE,NO,"$100,000 OR MORE",NO,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,COMPLETE,NEW CASTLE COUNTY,30-44,30-39,REPUBLICAN,30-39,30-39,YES,GOOD,MCCAIN,BUSH,HURT THE POLITICAL PROCESS,0.305
8.0,205.0,38.0,THIRD CALL,75+,FEMALE,MCCAIN,THIS YEAR,WILL RISE,WORLD AFFAIRS,STRONG LEADER,OMITS,NO,3,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOMEWHAT IMPORTANT,SOME COLLEGE OR ASSOCIATES,NO,"$100,000 OR MORE",NO,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,NO,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,65+,75+,NO,GOOD,BOTH,MCCAIN,HELP THE POLITICAL PROCESS,0.372
8.0,205.0,39.0,THIRD CALL,65-74,MALE,FORBES,THIS YEAR,WILL RISE,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,3,LEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,SOMEWHAT IMPORTANT,COLLEGE GRADUATE,NO,"$100,000 OR MORE",NO,NO,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,YES,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,65+,65-74,NO,EXCELLENT,MCCAIN,MCCAIN,HELP THE POLITICAL PROCESS,0.362
8.0,205.0,40.0,THIRD CALL,30-39,MALE,FORBES,WITHIN LAST WEEK,WILL RISE,TAXES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,1,ILLEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,NOT TOO IMPORTANT,HIGH SCHOOL GRADUATE,NO,"$75,000-$99,999",YES,NO,MODERATE,MODERATE,18-64,18-74,NO,COMPLETE,NEW CASTLE COUNTY,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,YES,POOR,BUSH,BUSH,HELP THE POLITICAL PROCESS,0.305
8.0,205.0,41.0,THIRD CALL,75+,MALE,BUSH,THIS YEAR,WILL RISE,EDUCATION,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,3,ILLEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,NOT IMPORTANT AT ALL,POST GRADUATE STUDY,NO,"$50,000-$74,999",YES,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,NO,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,65+,75+,NO,EXCELLENT,BUSH,BUSH,HELP THE POLITICAL PROCESS,0.41400000000000003
8.0,205.0,42.0,THIRD CALL,60-64,MALE,MCCAIN,THIS YEAR,WILL RISE,TAXES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,4,LEGAL IN ALL CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,NOT TOO IMPORTANT,POST GRADUATE STUDY,YES,"$100,000 OR MORE",OMITS,YES,MODERATE,MODERATE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,50-64,50-64,YES,EXCELLENT,MCCAIN,MCCAIN,HELP THE POLITICAL PROCESS,0.369
8.0,205.0,43.0,THIRD CALL,45-49,MALE,BUSH,THIS YEAR,WILL RISE,TAXES,HAS THE RIGHT EXPERIENCE,CANDS POSITIONS ON ISSUES,NO,2,LEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,VERY IMPORTANT,POST GRADUATE STUDY,NO,"$50,000-$74,999",YES,NO,MODERATE,MODERATE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,45-59,40-49,REPUBLICAN,40-49,40-49,YES,NOT GOOD,NEITHER,BUSH,HELP THE POLITICAL PROCESS,0.34900000000000003
8.0,205.0,44.0,THIRD CALL,50-59,FEMALE,MCCAIN,WITHIN LAST WEEK,WILL FALL,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,3,ILLEGAL IN MOST CASES,YES,SAME,OMITS,REPUBLICAN,VERY IMPORTANT,COLLEGE GRADUATE,NO,"$100,000 OR MORE",YES,NO,MODERATE,MODERATE,18-64,18-74,NO,COMPLETE,NEW CASTLE COUNTY,45-59,50-59,REPUBLICAN,50-64,50-64,YES,GOOD,MCCAIN,MCCAIN,HELP THE POLITICAL PROCESS,0.314
8.0,205.0,45.0,THIRD CALL,50-59,MALE,MCCAIN,TODAY,WILL RISE,CAMPAIGN FINANCE REFORM,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,6,LEGAL IN MOST CASES,YES,BETTER,TAX CUT,INDEPENDENT,SOMEWHAT IMPORTANT,POST GRADUATE STUDY,NO,"$100,000 OR MORE",NO,NO,MODERATE,MODERATE,18-64,18-74,YES,COMPLETE,NEW CASTLE COUNTY,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,YES,EXCELLENT,MCCAIN,BUSH,HELP THE POLITICAL PROCESS,0.311
8.0,205.0,46.0,THIRD CALL,50-59,FEMALE,BUSH,TODAY,WILL RISE,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,3,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOMEWHAT IMPORTANT,POST GRADUATE STUDY,NO,"$50,000-$74,999",NO,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,COMPLETE,NEW CASTLE COUNTY,45-59,50-59,REPUBLICAN,50-64,50-64,YES,EXCELLENT,BOTH,BUSH,HELP THE POLITICAL PROCESS,0.353
8.0,205.0,47.0,THIRD CALL,45-49,FEMALE,BUSH,TODAY,WILL RISE,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,OMITS,3,LEGAL IN ALL CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,NOT TOO IMPORTANT,SOME COLLEGE OR ASSOCIATES,NO,"$75,000-$99,999",NO,NO,MODERATE,MODERATE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,45-59,40-49,REPUBLICAN,40-49,40-49,NO,EXCELLENT,BOTH,BUSH,HELP THE POLITICAL PROCESS,0.353
8.0,205.0,48.0,THIRD CALL,50-59,MALE,BUSH,BEFORE THAT,WILL RISE,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,3,LEGAL IN ALL CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOMEWHAT IMPORTANT,COLLEGE GRADUATE,NO,"$100,000 OR MORE",YES,YES,MODERATE,MODERATE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,45-59,50-59,REPUBLICAN,50-64,50-64,YES,EXCELLENT,MCCAIN,BUSH,HELP THE POLITICAL PROCESS,0.34900000000000003
8.0,205.0,49.0,THIRD CALL,45-49,FEMALE,BAUER,TODAY,WILL FALL,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,3,ILLEGAL IN ALL CASES,YES,WORSE,TAX CUT,REPUBLICAN,NOT TOO IMPORTANT,COLLEGE GRADUATE,NO,"$50,000-$74,999",YES,NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,45-59,40-49,REPUBLICAN,40-49,40-49,YES,EXCELLENT,NEITHER,BUSH,HELP THE POLITICAL PROCESS,0.301
8.0,205.0,50.0,THIRD CALL,50-59,MALE,BUSH,TODAY,WILL FALL,TAXES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,6,LEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOMEWHAT IMPORTANT,POST GRADUATE STUDY,NO,"$100,000 OR MORE",YES,NO,MODERATE,MODERATE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,45-59,50-59,REPUBLICAN,50-64,50-64,YES,EXCELLENT,BUSH,BUSH,HELP THE POLITICAL PROCESS,0.34900000000000003
8.0,205.0,51.0,THIRD CALL,75+,MALE,BUSH,THIS YEAR,WILL RISE,OMITS,OMITS,CANDS PERSONAL QUALITIES,NO,3,ILLEGAL IN ALL CASES,YES,SAME,OMITS,REPUBLICAN,SOMEWHAT IMPORTANT,SOME COLLEGE OR ASSOCIATES,NO,"$100,000 OR MORE",NO,NO,MODERATE,MODERATE,65+,75+,YES,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,65+,75+,YES,GOOD,BUSH,BUSH,HELP THE POLITICAL PROCESS,0.41400000000000003
8.0,205.0,52.0,THIRD CALL,18-24,MALE,FORBES,THIS YEAR,WILL RISE,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,6,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,NOT IMPORTANT AT ALL,POST GRADUATE STUDY,YES,"$30,000-$49,000",NO,NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,COMPLETE,NEW CASTLE COUNTY,18-29,18-24,REPUBLICAN,18-24,18-24,YES,EXCELLENT,NEITHER,,HELP THE POLITICAL PROCESS,0.297
8.0,205.0,53.0,THIRD CALL,30-39,MALE,MCCAIN,BEFORE THAT,WILL RISE,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,6,LEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,VERY IMPORTANT,POST GRADUATE STUDY,NO,"$30,000-$49,000",NO,NO,MODERATE,MODERATE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,YES,EXCELLENT,MCCAIN,MCCAIN,HELP THE POLITICAL PROCESS,0.311
8.0,205.0,54.0,THIRD CALL,30-39,MALE,FORBES,TODAY,WILL RISE,OMITS,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,3,OMITS,YES,BETTER,OMITS,REPUBLICAN,VERY IMPORTANT,POST GRADUATE STUDY,NO,"$75,000-$99,999",NO,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,30-44,30-39,REPUBLICAN,30-39,30-39,YES,GOOD,BOTH,BUSH,OMITS,0.305
8.0,205.0,55.0,THIRD CALL,30-39,MALE,BUSH,THIS YEAR,WILL FALL,MORAL VALUES,UNDERSTANDS COMPLEX ISSUES,CANDS PERSONAL QUALITIES,NO,3,ILLEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,NOT IMPORTANT AT ALL,COLLEGE GRADUATE,NO,"$100,000 OR MORE",NO,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,30-44,30-39,REPUBLICAN,30-39,30-39,YES,GOOD,BOTH,BUSH,HELP THE POLITICAL PROCESS,0.34900000000000003
8.0,206.0,1.0,FIRST CALL,45-49,FEMALE,FORBES,BEFORE THAT,WILL RISE,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,4,LEGAL IN MOST CASES,NO,BETTER,TAX CUT,INDEPENDENT,SOMEWHAT IMPORTANT,COLLEGE GRADUATE,YES,"$100,000 OR MORE",NO,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,COMPLETE,NEW CASTLE COUNTY,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,NO,EXCELLENT,NEITHER,MCCAIN,HELP THE POLITICAL PROCESS,0.786
8.0,206.0,2.0,FIRST CALL,65-74,MALE,FORBES,WITHIN LAST WEEK,WILL RISE,MORAL VALUES,CARES ABOUT AVERAGE AMERICAN,CANDS PERSONAL QUALITIES,NO,4,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,INDEPENDENT,NOT TOO IMPORTANT,HIGH SCHOOL GRADUATE,YES,"$50,000-$74,999",NO,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,YES,COMPLETE,NEW CASTLE COUNTY,60+,60+,INDEPENDENT/OTHER,65+,65-74,NO,GOOD,BOTH,BUSH,HELP THE POLITICAL PROCESS,0.92
8.0,206.0,3.0,FIRST CALL,75+,FEMALE,BUSH,WITHIN LAST WEEK,WILL RISE,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,3,ILLEGAL IN ALL CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOMEWHAT IMPORTANT,COLLEGE GRADUATE,NO,"$50,000-$74,999",NO,NO,MODERATE,MODERATE,65+,75+,NO,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,65+,75+,NO,EXCELLENT,BOTH,BUSH,HELP THE POLITICAL PROCESS,1.064
8.0,206.0,4.0,FIRST CALL,60-64,MALE,MCCAIN,THIS YEAR,WILL RISE,CAMPAIGN FINANCE REFORM,HAS THE RIGHT EXPERIENCE,CANDS PERSONAL QUALITIES,NO,5,ILLEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,NOT TOO IMPORTANT,POST GRADUATE STUDY,OMITS,"$75,000-$99,999",OMITS,OMITS,MODERATE,MODERATE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,60+,60+,INDEPENDENT/OTHER,50-64,50-64,NO,GOOD,MCCAIN,MCCAIN,HELP THE POLITICAL PROCESS,0.937
8.0,206.0,5.0,FIRST CALL,30-39,FEMALE,BUSH,THIS YEAR,WILL FALL,OMITS,HAS THE RIGHT EXPERIENCE,CANDS PERSONAL QUALITIES,NO,6,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,NOT IMPORTANT AT ALL,POST GRADUATE STUDY,NO,,NO,NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,30-44,30-39,REPUBLICAN,30-39,30-39,YES,EXCELLENT,BUSH,BUSH,HELP THE POLITICAL PROCESS,0.897
8.0,206.0,6.0,FIRST CALL,65-74,MALE,MCCAIN,THIS YEAR,OMITS,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,OMITS,NO,,LEGAL IN ALL CASES,NO,OMITS,OMITS,,NOT TOO IMPORTANT,,OMITS,,OMITS,OMITS,,,65+,18-74,OMITS,NOT COMPLETE,NEW CASTLE COUNTY,60+,60+,,65+,65-74,,,OMITS,OMITS,HELP THE POLITICAL PROCESS,0.937
8.0,206.0,7.0,FIRST CALL,30-39,FEMALE,BUSH,WITHIN LAST WEEK,WILL RISE,WORLD AFFAIRS,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,6,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,NOT IMPORTANT AT ALL,COLLEGE GRADUATE,NO,"$30,000-$49,000",YES,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,30-44,30-39,REPUBLICAN,30-39,30-39,NO,GOOD,BUSH,BUSH,HURT THE POLITICAL PROCESS,0.897
8.0,206.0,8.0,FIRST CALL,50-59,MALE,BUSH,BEFORE THAT,WILL RISE,SOCIAL SECURTY/MEDICARE,CARES ABOUT AVERAGE AMERICAN,CANDS POSITIONS ON ISSUES,NO,3,ILLEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,NOT IMPORTANT AT ALL,DID NOT COMPLETE HIGH SCHOOL,NO,"$30,000-$49,000",NO,NO,MODERATE,MODERATE,18-64,18-74,YES,COMPLETE,NEW CASTLE COUNTY,45-59,50-59,REPUBLICAN,50-64,50-64,YES,GOOD,BUSH,BUSH,HELP THE POLITICAL PROCESS,0.886
8.0,206.0,9.0,FIRST CALL,30-39,FEMALE,FORBES,THIS YEAR,WILL RISE,ABORTION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,3,ILLEGAL IN ALL CASES,NO,BETTER,TAX CUT,REPUBLICAN,SOMEWHAT IMPORTANT,COLLEGE GRADUATE,YES,"$100,000 OR MORE",NO,NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,30-44,30-39,REPUBLICAN,30-39,30-39,NO,GOOD,MCCAIN,,HELP THE POLITICAL PROCESS,0.786
8.0,206.0,10.0,FIRST CALL,30-39,MALE,FORBES,THIS YEAR,WILL RISE,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,4,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,NOT IMPORTANT AT ALL,SOME COLLEGE OR ASSOCIATES,NO,"$75,000-$99,999",NO,NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,OMITS,COMPLETE,NEW CASTLE COUNTY,30-44,30-39,REPUBLICAN,30-39,30-39,YES,GOOD,BUSH,,HELP THE POLITICAL PROCESS,0.777
8.0,206.0,11.0,FIRST CALL,25-29,MALE,BUSH,TODAY,WILL RISE,SOCIAL SECURTY/MEDICARE,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,4,LEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,SOMEWHAT IMPORTANT,POST GRADUATE STUDY,NO,"$100,000 OR MORE",NO,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NO,COMPLETE,NEW CASTLE COUNTY,18-29,25-29,REPUBLICAN,25-29,25-29,YES,GOOD,MCCAIN,BUSH,HELP THE POLITICAL PROCESS,0.864
8.0,206.0,12.0,FIRST CALL,75+,FEMALE,BUSH,WITHIN LAST WEEK,WILL FALL,SOCIAL SECURTY/MEDICARE,CAN WIN IN NOVEMBER,OMITS,NO,,LEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,NOT IMPORTANT AT ALL,SOME COLLEGE OR ASSOCIATES,OMITS,,OMITS,OMITS,MODERATE,MODERATE,65+,75+,,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,65+,75+,YES,GOOD,BUSH,BUSH,HELP THE POLITICAL PROCESS,1.064
8.0,206.0,13.0,FIRST CALL,65-74,FEMALE,BUSH,TODAY,WILL RISE,SOCIAL SECURTY/MEDICARE,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,3,LEGAL IN ALL CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,VERY IMPORTANT,HIGH SCHOOL GRADUATE,YES,"$30,000-$49,000",YES,YES,MODERATE,MODERATE,65+,18-74,NO,COMPLETE,NEW CASTLE COUNTY,60+,60+,REPUBLICAN,65+,65-74,NO,EXCELLENT,BUSH,BUSH,HELP THE POLITICAL PROCESS,1.064
8.0,206.0,14.0,FIRST CALL,65-74,MALE,BUSH,THIS YEAR,OMITS,MORAL VALUES,CAN WIN IN NOVEMBER,OMITS,YES,,ILLEGAL IN MOST CASES,YES,OMITS,OMITS,,SOMEWHAT IMPORTANT,,OMITS,,OMITS,OMITS,,,65+,18-74,OMITS,NOT COMPLETE,NEW CASTLE COUNTY,60+,60+,,65+,65-74,,,OMITS,OMITS,HURT THE POLITICAL PROCESS,1.051
8.0,206.0,15.0,FIRST CALL,50-59,MALE,BUSH,THIS YEAR,WILL RISE,TAXES,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,3,ILLEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,NOT IMPORTANT AT ALL,SOME COLLEGE OR ASSOCIATES,NO,"$75,000-$99,999",NO,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,YES,COMPLETE,NEW CASTLE COUNTY,45-59,50-59,REPUBLICAN,50-64,50-64,YES,GOOD,BUSH,BUSH,HELP THE POLITICAL PROCESS,0.886
8.0,206.0,16.0,FIRST CALL,25-29,MALE,MCCAIN,THIS YEAR,WILL RISE,SOCIAL SECURTY/MEDICARE,UNDERSTANDS COMPLEX ISSUES,CANDS POSITIONS ON ISSUES,NO,6,LEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,SOMEWHAT IMPORTANT,DID NOT COMPLETE HIGH SCHOOL,YES,"$75,000-$99,999",NO,NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,18-29,25-29,INDEPENDENT/OTHER,25-29,25-29,YES,GOOD,MCCAIN,MCCAIN,HELP THE POLITICAL PROCESS,0.769
8.0,206.0,17.0,FIRST CALL,45-49,MALE,FORBES,WITHIN LAST WEEK,WILL RISE,TAXES,UNDERSTANDS COMPLEX ISSUES,CANDS POSITIONS ON ISSUES,NO,4,ILLEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,SOMEWHAT IMPORTANT,POST GRADUATE STUDY,YES,"$75,000-$99,999",OMITS,OMITS,MODERATE,MODERATE,18-64,18-74,,COMPLETE,NEW CASTLE COUNTY,45-59,40-49,REPUBLICAN,40-49,40-49,YES,GOOD,MCCAIN,MCCAIN,HELP THE POLITICAL PROCESS,0.777
