STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,TIME,ISSUE,QUALITY,CLINTON,HLTHPLAN,ISSVQUAL,ABORTION,FINSIT,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,STR8DEMS,GORE2LIB,BRAD2LIB,QTYPE,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,WGT,BUSH,MCCAIN,GOREBUSH,GOREMCAN,PREVPRID,GORE,BRADLEY,BCPERSON,REGDEMRI,REL5,WEIGHT
40.0,11.0,10.0,SECOND CALL,50-59,WHITE,MALE,GORE,THIS YEAR,HEALTH CARE,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,YES,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,GORE,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,45-59,50-59,DEMOCRAT,50-64,50-64,493.0,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,DEMOCRAT,CATHOLIC,0.493
40.0,11.0,11.0,THIRD CALL,40-44,WHITE,MALE,BRADLEY,THIS YEAR,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,WORSE,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,BRADLEY,TOO LIBERAL,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,30-44,40-49,DEMOCRAT,40-49,40-49,419.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,CATHOLIC,0.419
40.0,11.0,12.0,THIRD CALL,30-39,WHITE,FEMALE,BRADLEY,WITHIN LAST WEEK,ECONOMY/JOBS,NOT TYPICAL POLITICIAN,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,NO,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,NEITHER,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,435.0,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,NO,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,DEMOCRAT,PROTESTANT/OTHER CHRISTIAN,0.435
40.0,11.0,13.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,DISAPPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,SAME,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,YES,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,30-44,30-39,DEMOCRAT,30-39,30-39,510.0,FAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,UNFAVORABLE,DEMOCRAT,CATHOLIC,0.51
40.0,11.0,14.0,THIRD CALL,50-59,WHITE,MALE,GORE,WITHIN LAST WEEK,HEALTH CARE,CAN WIN IN NOVEMBER,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,NO,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,45-59,50-59,DEMOCRAT,50-64,50-64,493.0,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,CATHOLIC,0.493
40.0,11.0,15.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,BEFORE THAT,HEALTH CARE,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,YES,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,GORE,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,60+,60+,DEMOCRAT,65+,65-74,635.0,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,CATHOLIC,0.635
40.0,11.0,16.0,THIRD CALL,45-49,WHITE,FEMALE,BRADLEY,THIS YEAR,ABORTION,STANDS UP FOR BELIEFS,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,INDEPENDENT,COLLEGE GRADUATE,NONE,NO,"$75,000-$99,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,OMITS,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,435.0,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,UNDECLARED/INDEPENDENT,NONE,0.435
40.0,11.0,17.0,THIRD CALL,65-74,WHITE,FEMALE,BRADLEY,BEFORE THAT,EDUCATION,STANDS UP FOR BELIEFS,DISAPPROVE,BOTH THE SAME,OMITS,LEGAL IN MOST CASES,BETTER,NO,INDEPENDENT,POST GRADUATE STUDY,SOMETHING ELSE,NO,"$30,000-$49,000",YES,MODERATE,MODERATE,65+,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,60+,60+,INDEPENDENT/OTHER,65+,65-74,541.0,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNDECLARED/INDEPENDENT,SOMETHING ELSE,0.541
40.0,11.0,18.0,THIRD CALL,50-59,WHITE,MALE,BRADLEY,THIS YEAR,ECONOMY/JOBS,NEW IDEAS,DISAPPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,BETTER,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,NO,,YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,TOO LIBERAL,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,419.0,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,CATHOLIC,0.419
40.0,11.0,19.0,THIRD CALL,40-44,WHITE,FEMALE,BRADLEY,TODAY,OMITS,STANDS UP FOR BELIEFS,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,PROTESTANT,NO,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,OMITS,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,435.0,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNDECLARED/INDEPENDENT,PROTESTANT/OTHER CHRISTIAN,0.435
40.0,11.0,20.0,THIRD CALL,45-49,WHITE,MALE,BRADLEY,THIS YEAR,EDUCATION,HAS RIGHT EXPERIENCE,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,WORSE,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,PROTESTANT,NO,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,BRADLEY,TOO LIBERAL,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,419.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,YES,UNFAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,PROTESTANT/OTHER CHRISTIAN,0.419
40.0,11.0,21.0,THIRD CALL,45-49,WHITE,MALE,BRADLEY,THIS YEAR,EDUCATION,STANDS UP FOR BELIEFS,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,YES,INDEPENDENT,POST GRADUATE STUDY,SOMETHING ELSE,NO,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,419.0,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,SOMETHING ELSE,0.419
40.0,11.0,22.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,WITHIN LAST WEEK,EDUCATION,HAS RIGHT EXPERIENCE,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,ILLEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,NO,"$75,000-$99,999",YES,MODERATE,MODERATE,18-64,18-74,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,45-59,50-59,DEMOCRAT,50-64,50-64,510.0,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,CATHOLIC,0.51
40.0,11.0,23.0,THIRD CALL,25-29,WHITE,MALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,YES,"$75,000-$99,999",YES,MODERATE,MODERATE,18-64,18-74,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,18-29,25-29,DEMOCRAT,25-29,25-29,351.0,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,CATHOLIC,0.35100000000000003
40.0,11.0,24.0,THIRD CALL,50-59,WHITE,FEMALE,BRADLEY,TODAY,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,NO,"$100,000 OR MORE",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,45-59,50-59,DEMOCRAT,50-64,50-64,435.0,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,CATHOLIC,0.435
40.0,11.0,25.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,THIS YEAR,CAMPAIGN FINANCE REFORM,HAS RIGHT EXPERIENCE,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,YES,,NO,MODERATE,MODERATE,65+,18-74,GORE,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,60+,60+,DEMOCRAT,65+,65-74,635.0,FAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,UNDECLARED/INDEPENDENT,CATHOLIC,0.635
40.0,11.0,26.0,THIRD CALL,50-59,WHITE,MALE,BRADLEY,WITHIN LAST WEEK,HEALTH CARE,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,SAME,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,NO,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,BRADLEY,TOO LIBERAL,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,419.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,PROTESTANT/OTHER CHRISTIAN,0.419
40.0,11.0,27.0,THIRD CALL,45-49,WHITE,MALE,BRADLEY,THIS YEAR,HEALTH CARE,NOT TYPICAL POLITICIAN,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,COLLEGE GRADUATE,CATHOLIC,NO,"$30,000-$49,000",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,45-59,40-49,DEMOCRAT,40-49,40-49,419.0,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,CATHOLIC,0.419
40.0,11.0,28.0,THIRD CALL,75+,WHITE,FEMALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,NO,,NO,MODERATE,MODERATE,65+,75+,BOTH,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,60+,60+,DEMOCRAT,65+,75+,635.0,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,UNFAVORABLE,DEMOCRAT,CATHOLIC,0.635
40.0,11.0,29.0,THIRD CALL,25-29,WHITE,MALE,BRADLEY,THIS YEAR,OMITS,STANDS UP FOR BELIEFS,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,NONE,NO,"$30,000-$49,000",YES,VERY LIBERAL,LIBERAL,18-64,18-74,BRADLEY,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,18-29,25-29,DEMOCRAT,25-29,25-29,298.0,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,NONE,0.298
40.0,14.0,1.0,FIRST CALL,65-74,WHITE,MALE,GORE,TODAY,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,NO,"$15,000-$29,000",NO,MODERATE,MODERATE,65+,18-74,GORE,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,60+,60+,DEMOCRAT,65+,65-74,675.0,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,UNFAVORABLE,DEMOCRAT,CATHOLIC,0.675
40.0,14.0,2.0,FIRST CALL,65-74,WHITE,MALE,GORE,BEFORE THAT,OMITS,HAS RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,BETTER,,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,NO,"$100,000 OR MORE",NO,MODERATE,MODERATE,65+,18-74,GORE,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,60+,60+,DEMOCRAT,65+,65-74,675.0,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,CATHOLIC,0.675
40.0,14.0,3.0,FIRST CALL,65-74,WHITE,FEMALE,BRADLEY,THIS YEAR,RACE RELATIONS,STANDS UP FOR BELIEFS,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,ILLEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,NO,"$100,000 OR MORE",YES,MODERATE,MODERATE,65+,18-74,BRADLEY,OMITS,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,60+,60+,DEMOCRAT,65+,65-74,596.0,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,CATHOLIC,0.596
40.0,14.0,4.0,FIRST CALL,65-74,WHITE,MALE,BRADLEY,BEFORE THAT,HEALTH CARE,HAS RIGHT EXPERIENCE,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,NO,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,CATHOLIC,NO,"$30,000-$49,000",YES,,,65+,18-74,BRADLEY,OMITS,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,60+,60+,DEMOCRAT,65+,65-74,575.0,UNFAVORABLE,UNFAVORABLE,OMITS,OMITS,YES,UNFAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,CATHOLIC,0.5750000000000001
40.0,14.0,5.0,FIRST CALL,65-74,WHITE,FEMALE,BRADLEY,WITHIN LAST 3 DAYS,SOCIAL SECURITY/MEDICARE,NOT TYPICAL POLITICIAN,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,NO,INDEPENDENT,COLLEGE GRADUATE,JEWISH,YES,"$15,000-$29,000",YES,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,60+,60+,INDEPENDENT/OTHER,65+,65-74,596.0,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,JEWISH,0.596
40.0,14.0,6.0,FIRST CALL,40-44,WHITE,FEMALE,BRADLEY,TODAY,EDUCATION,STRONG LEADER,DISAPPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,YES,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NEITHER,TOO LIBERAL,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,478.0,UNFAVORABLE,UNFAVORABLE,GORE,MCCAIN,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,CATHOLIC,0.47800000000000004
40.0,14.0,7.0,FIRST CALL,60-64,WHITE,MALE,GORE,WITHIN LAST WEEK,OMITS,CAN WIN IN NOVEMBER,APPROVE,BOTH THE SAME,OMITS,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,JEWISH,NO,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,60+,60+,DEMOCRAT,50-64,50-64,675.0,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,JEWISH,0.675
40.0,14.0,8.0,FIRST CALL,30-39,WHITE,FEMALE,BRADLEY,WITHIN LAST 3 DAYS,RACE RELATIONS,NOT TYPICAL POLITICIAN,APPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,SAME,NO,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,NO,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,478.0,FAVORABLE,UNFAVORABLE,GORE,GORE,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNDECLARED/INDEPENDENT,PROTESTANT/OTHER CHRISTIAN,0.47800000000000004
40.0,14.0,9.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,TODAY,SOCIAL SECURITY/MEDICARE,CAN WIN IN NOVEMBER,DISAPPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,YES,,NO,,,65+,18-74,GORE,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,60+,60+,INDEPENDENT/OTHER,65+,65-74,700.0,UNFAVORABLE,OMITS,GORE,GORE,NO,FAVORABLE,FAVORABLE,OMITS,UNDECLARED/INDEPENDENT,PROTESTANT/OTHER CHRISTIAN,0.7000000000000001
40.0,14.0,10.0,FIRST CALL,45-49,WHITE,FEMALE,BRADLEY,BEFORE THAT,HEALTH CARE,HAS RIGHT EXPERIENCE,APPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,45-59,40-49,DEMOCRAT,40-49,40-49,478.0,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,UNFAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,PROTESTANT/OTHER CHRISTIAN,0.47800000000000004
40.0,14.0,11.0,FIRST CALL,75+,WHITE,MALE,GORE,TODAY,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,INDEPENDENT,DID NOT COMPLETE HIGH SCHOOL,PROTESTANT,YES,"UNDER $15,000",NO,MODERATE,MODERATE,65+,75+,GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,60+,60+,INDEPENDENT/OTHER,65+,75+,675.0,UNFAVORABLE,UNFAVORABLE,GORE,GORE,NO,FAVORABLE,UNFAVORABLE,UNFAVORABLE,DEMOCRAT,PROTESTANT/OTHER CHRISTIAN,0.675
40.0,14.0,12.0,FIRST CALL,75+,WHITE,FEMALE,BRADLEY,BEFORE THAT,CAMPAIGN FINANCE REFORM,STRONG LEADER,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,65+,75+,OMITS,ABOUT RIGHT,ABOUT RIGHT,STATE,NOT COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,60+,60+,,65+,75+,596.0,OMITS,OMITS,GORE,MCCAIN,,OMITS,OMITS,OMITS,DEMOCRAT,,0.596
40.0,14.0,13.0,FIRST CALL,50-59,WHITE,MALE,BRADLEY,WITHIN LAST WEEK,RACE RELATIONS,STANDS UP FOR BELIEFS,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,NO,"$100,000 OR MORE",NO,VERY LIBERAL,LIBERAL,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,45-59,50-59,DEMOCRAT,50-64,50-64,462.0,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,CATHOLIC,0.462
40.0,14.0,14.0,FIRST CALL,50-59,WHITE,FEMALE,BRADLEY,THIS YEAR,HEALTH CARE,STANDS UP FOR BELIEFS,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,NO,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,45-59,50-59,DEMOCRAT,50-64,50-64,478.0,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,DEMOCRAT,CATHOLIC,0.47800000000000004
40.0,14.0,15.0,SECOND CALL,40-44,WHITE,MALE,UNCOMITTED,BEFORE THAT,RACE RELATIONS,NOT TYPICAL POLITICIAN,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,30-44,40-49,DEMOCRAT,40-49,40-49,433.0,FAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,DEMOCRAT,CATHOLIC,0.433
40.0,14.0,16.0,SECOND CALL,60-64,WHITE,MALE,GORE,WITHIN LAST WEEK,OMITS,CAN WIN IN NOVEMBER,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,NOT COMPLETE,WARWICK/MIDDLE CLASS SUBURBS,60+,60+,,50-64,50-64,675.0,OMITS,OMITS,GORE,MCCAIN,,OMITS,OMITS,OMITS,DEMOCRAT,,0.675
