STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,TIME,ISSUE,QUALITY,CLINTON,HLTHPLAN,ISSVQUAL,ABORTION,FINSIT,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,STR8DEMS,GORE2LIB,BRAD2LIB,QTYPE,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,GOREBUSH,GOREMCAN,SSMARRY,PREVPRID,SSPART,GORE,BRADLEY,BCPERSON,REL5,WEIGHT
46.0,14.0,22.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,TODAY,ECONOMY/JOBS,CAN WIN IN NOVEMBER,DISAPPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,NO,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NEITHER,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,GREEN MOUNTAINS,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,YES,YES,FAVORABLE,UNFAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,1.1280000000000001
46.0,15.0,1.0,FIRST CALL,40-44,,FEMALE,GORE,TODAY,OMITS,OMITS,DISAPPROVE,OMITS,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,WORSE,NO,DEMOCRAT,POST GRADUATE STUDY,NONE,OMITS,"$30,000-$49,000",OMITS,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NEITHER,OMITS,OMITS,STATE,COMPLETE,GREEN MOUNTAINS,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,YES,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,NONE,3.371
46.0,15.0,2.0,FIRST CALL,45-49,WHITE,MALE,BRADLEY,TODAY,EDUCATION,HAS NEW IDEAS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,NOT COMPLETE,GREEN MOUNTAINS,45-59,40-49,,40-49,40-49,OMITS,OMITS,GORE,MCCAIN,YES,,YES,OMITS,OMITS,OMITS,,2.513
46.0,15.0,3.0,FIRST CALL,18-24,WHITE,MALE,GORE,THIS YEAR,OMITS,CAN WIN IN NOVEMBER,APPROVE,OMITS,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,YES,,NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,GREEN MOUNTAINS,18-29,18-24,INDEPENDENT/OTHER,18-24,18-24,UNFAVORABLE,UNFAVORABLE,GORE,GORE,NO,NO,YES,FAVORABLE,FAVORABLE,FAVORABLE,CATHOLIC,3.053
46.0,15.0,4.0,FIRST CALL,40-44,WHITE,MALE,GORE,THIS YEAR,EDUCATION,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,WORSE,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,NONE,YES,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,GORE,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,GREEN MOUNTAINS,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,NO,YES,NO,FAVORABLE,UNFAVORABLE,FAVORABLE,NONE,3.556
46.0,15.0,5.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,THIS YEAR,OMITS,STRONG LEADER,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,SAME,NO,DEMOCRAT,POST GRADUATE STUDY,SOMETHING ELSE,YES,"UNDER $15,000",YES,,,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,GREEN MOUNTAINS,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,YES,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,SOMETHING ELSE,3.371
46.0,15.0,6.0,FIRST CALL,18-24,WHITE,MALE,BRADLEY,THIS YEAR,EDUCATION,NOT TYPICAL POLITICAN,DISAPPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,NO,"$50,000-$74,999",NO,VERY LIBERAL,LIBERAL,18-64,18-74,BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,GREEN MOUNTAINS,18-29,18-24,DEMOCRAT,18-24,18-24,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,YES,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,2.157
46.0,15.0,7.0,FIRST CALL,30-39,WHITE,MALE,BRADLEY,THIS YEAR,EDUCATION,HAS THE RIGHT EXPERIENCE,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,YES,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,NEITHER,TOO LIBERAL,ABOUT RIGHT,STATE,COMPLETE,GREEN MOUNTAINS,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,FAVORABLE,FAVORABLE,BUSH,GORE,NO,NO,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,2.513
46.0,15.0,8.0,FIRST CALL,45-49,,MALE,BRADLEY,TODAY,OMITS,STANDS UP FOR BELIEFS,APPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,NONE,OMITS,"$15,000-$29,000",OMITS,VERY LIBERAL,LIBERAL,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,GREEN MOUNTAINS,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,OMITS,GORE,GORE,NO,YES,YES,FAVORABLE,FAVORABLE,FAVORABLE,NONE,2.513
46.0,15.0,9.0,FIRST CALL,75+,WHITE,,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,HAS THE RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,NO,INDEPENDENT,DID NOT COMPLETE HIGH SCHOOL,CATHOLIC,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,65+,75+,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,GREEN MOUNTAINS,60+,60+,INDEPENDENT/OTHER,65+,75+,UNFAVORABLE,FAVORABLE,GORE,GORE,NO,YES,NO,FAVORABLE,FAVORABLE,FAVORABLE,CATHOLIC,3.754
46.0,15.0,10.0,SECOND CALL,45-49,WHITE,FEMALE,OTHER,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,DISAPPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,SOMETHING ELSE,NO,"$15,000-$29,000",YES,VERY LIBERAL,LIBERAL,18-64,18-74,BOTH,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,GREEN MOUNTAINS,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,YES,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,SOMETHING ELSE,1.609
46.0,15.0,11.0,SECOND CALL,25-29,WHITE,MALE,GORE,TODAY,ABORTION,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,WORSE,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,NO,"$15,000-$29,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,NEITHER,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,GREEN MOUNTAINS,18-29,25-29,DEMOCRAT,25-29,25-29,UNFAVORABLE,UNFAVORABLE,GORE,GORE,NO,NO,NO,FAVORABLE,UNFAVORABLE,FAVORABLE,CATHOLIC,3.053
46.0,15.0,12.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,BEFORE THAT,ABORTION,HAS NEW IDEAS,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,NO,"$50,000-$74,999",NO,VERY LIBERAL,LIBERAL,18-64,18-74,NEITHER,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,STATE,COMPLETE,GREEN MOUNTAINS,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,YES,YES,FAVORABLE,FAVORABLE,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,3.371
46.0,15.0,13.0,SECOND CALL,30-39,WHITE,MALE,BRADLEY,TODAY,OMITS,STANDS UP FOR BELIEFS,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,NO,SOMETHING ELSE,HIGH SCHOOL GRADUATE,SOMETHING ELSE,NO,"$15,000-$29,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,NEITHER,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,STATE,COMPLETE,GREEN MOUNTAINS,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,YES,YES,FAVORABLE,FAVORABLE,FAVORABLE,SOMETHING ELSE,2.513
46.0,15.0,14.0,SECOND CALL,40-44,WHITE,FEMALE,BRADLEY,TODAY,OMITS,OMITS,OMITS,OMITS,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,WORSE,NO,DEMOCRAT,COLLEGE GRADUATE,OTHER CHRISTIAN,OMITS,"$50,000-$74,999",OMITS,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,OMITS,OMITS,OMITS,STATE,COMPLETE,GREEN MOUNTAINS,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,OMITS,OMITS,OMITS,YES,OMITS,UNFAVORABLE,FAVORABLE,OMITS,PROTESTANT/OTHER CHRISTIAN,2.382
46.0,15.0,15.0,SECOND CALL,40-44,WHITE,FEMALE,BRADLEY,THIS YEAR,OMITS,STANDS UP FOR BELIEFS,APPROVE,OMITS,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,YES,INDEPENDENT,COLLEGE GRADUATE,SOMETHING ELSE,OMITS,"$30,000-$49,000",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,OMITS,OMITS,STATE,COMPLETE,GREEN MOUNTAINS,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,YES,YES,OMITS,FAVORABLE,UNFAVORABLE,SOMETHING ELSE,2.382
46.0,15.0,16.0,SECOND CALL,30-39,WHITE,FEMALE,BRADLEY,WITHIN LAST 3 DAYS,EDUCATION,STANDS UP FOR BELIEFS,DISAPPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,WORSE,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,NO,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,BRADLEY,TOO LIBERAL,NOT LIBERAL ENOUGH,STATE,COMPLETE,GREEN MOUNTAINS,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,NO,NO,NO,UNFAVORABLE,FAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,2.382
46.0,15.0,17.0,SECOND CALL,45-49,WHITE,FEMALE,BRADLEY,TODAY,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICAN,APPROVE,OMITS,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,WORSE,NO,DEMOCRAT,COLLEGE GRADUATE,SOMETHING ELSE,OMITS,"$15,000-$29,000",OMITS,VERY LIBERAL,LIBERAL,18-64,18-74,BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,GREEN MOUNTAINS,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,OMITS,YES,YES,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,SOMETHING ELSE,2.382
46.0,15.0,18.0,SECOND CALL,25-29,WHITE,FEMALE,BRADLEY,THIS YEAR,ECONOMY/JOBS,CAN WIN IN NOVEMBER,DISAPPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,NO,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,YES,"$75,000-$99,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,GREEN MOUNTAINS,18-29,25-29,INDEPENDENT/OTHER,25-29,25-29,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NO,NO,NO,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,CATHOLIC,2.045
46.0,16.0,1.0,FIRST CALL,30-39,WHITE,MALE,GORE,THIS YEAR,HEALTH CARE,STRONG LEADER,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,YES,"$75,000-$99,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NEITHER,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,BURLINGTON,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,YES,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,CATHOLIC,1.674
46.0,16.0,2.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,THIS YEAR,EDUCATION,HAS THE RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,SOMETHING ELSE,NO,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NEITHER,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,BURLINGTON,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,GORE,NO,YES,YES,FAVORABLE,FAVORABLE,FAVORABLE,SOMETHING ELSE,1.782
46.0,16.0,3.0,FIRST CALL,50-59,WHITE,FEMALE,BRADLEY,BEFORE THAT,OMITS,STANDS UP FOR BELIEFS,APPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,NO,INDEPENDENT,POST GRADUATE STUDY,SOMETHING ELSE,NO,"$30,000-$49,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,BURLINGTON,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,UNFAVORABLE,OMITS,OMITS,YES,YES,YES,UNFAVORABLE,FAVORABLE,FAVORABLE,SOMETHING ELSE,1.556
46.0,16.0,4.0,FIRST CALL,50-59,WHITE,FEMALE,BRADLEY,THIS YEAR,HEALTH CARE,STANDS UP FOR BELIEFS,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,NO,"$75,000-$99,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,BURLINGTON,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,NO,YES,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,1.556
46.0,16.0,5.0,FIRST CALL,45-49,WHITE,MALE,GORE,WITHIN LAST 3 DAYS,CAMPAIGN FINANCE REFORM,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,NO,"$100,000 OR MORE",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,BURLINGTON,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,NO,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,1.674
46.0,16.0,6.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,THIS YEAR,ECONOMY/JOBS,NOT TYPICAL POLITICAN,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,BURLINGTON,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,NO,YES,YES,FAVORABLE,FAVORABLE,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,1.782
46.0,16.0,7.0,FIRST CALL,30-39,WHITE,MALE,GORE,BEFORE THAT,ABORTION,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,JEWISH,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,GORE,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,BURLINGTON,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,YES,YES,FAVORABLE,FAVORABLE,FAVORABLE,JEWISH,1.674
46.0,16.0,8.0,FIRST CALL,40-44,OTHER,MALE,GORE,WITHIN LAST WEEK,CAMPAIGN FINANCE REFORM,CAN WIN IN NOVEMBER,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,NONE,YES,"$50,000-$74,999",YES,VERY LIBERAL,LIBERAL,18-64,18-74,NEITHER,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,STATE,COMPLETE,BURLINGTON,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,YES,YES,FAVORABLE,FAVORABLE,FAVORABLE,NONE,1.674
46.0,16.0,9.0,FIRST CALL,40-44,WHITE,MALE,GORE,TODAY,HEALTH CARE,CAN WIN IN NOVEMBER,OMITS,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,INDEPENDENT,POST GRADUATE STUDY,SOMETHING ELSE,OMITS,"$100,000 OR MORE",OMITS,VERY LIBERAL,LIBERAL,18-64,18-74,NEITHER,ABOUT RIGHT,OMITS,STATE,COMPLETE,BURLINGTON,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,OMITS,GORE,GORE,YES,YES,OMITS,FAVORABLE,FAVORABLE,OMITS,SOMETHING ELSE,1.674
46.0,16.0,10.0,FIRST CALL,65-74,WHITE,MALE,BRADLEY,THIS YEAR,OMITS,NOT TYPICAL POLITICAN,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,NO,INDEPENDENT,,JEWISH,NO,"$100,000 OR MORE",NO,MODERATE,MODERATE,65+,18-74,BRADLEY,OMITS,ABOUT RIGHT,STATE,COMPLETE,BURLINGTON,60+,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,FAVORABLE,GORE,GORE,NO,YES,NO,FAVORABLE,FAVORABLE,UNFAVORABLE,JEWISH,1.7610000000000001
46.0,16.0,11.0,FIRST CALL,30-39,WHITE,FEMALE,BRADLEY,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,NO,"$75,000-$99,999",YES,MODERATE,MODERATE,18-64,18-74,BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,BURLINGTON,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,YES,YES,FAVORABLE,FAVORABLE,FAVORABLE,CATHOLIC,1.556
46.0,16.0,12.0,FIRST CALL,40-44,WHITE,FEMALE,BRADLEY,THIS YEAR,EDUCATION,NOT TYPICAL POLITICAN,DISAPPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,NO,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,NO,"$100,000 OR MORE",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,GORE,OMITS,ABOUT RIGHT,STATE,COMPLETE,BURLINGTON,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,NO,YES,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,1.556
46.0,16.0,13.0,FIRST CALL,60-64,WHITE,MALE,OTHER,THIS YEAR,SOCIAL SECURITY/MEDICARE,STRONG LEADER,DISAPPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,YES,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,BOTH,TOO LIBERAL,TOO LIBERAL,STATE,COMPLETE,BURLINGTON,60+,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,NO,YES,NO,UNFAVORABLE,FAVORABLE,UNFAVORABLE,CATHOLIC,1.076
46.0,16.0,14.0,FIRST CALL,75+,WHITE,,BRADLEY,THIS YEAR,HEALTH CARE,NOT TYPICAL POLITICAN,APPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,NO,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,65+,75+,BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,BURLINGTON,60+,60+,DEMOCRAT,65+,75+,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NO,YES,NO,UNFAVORABLE,FAVORABLE,UNFAVORABLE,CATHOLIC,1.7610000000000001
46.0,16.0,15.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,CAN WIN IN NOVEMBER,DISAPPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,NO,"$15,000-$29,000",NO,VERY LIBERAL,LIBERAL,65+,18-74,GORE,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,BURLINGTON,60+,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,YES,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,2.148
46.0,16.0,16.0,SECOND CALL,45-49,WHITE,MALE,BRADLEY,TODAY,EDUCATION,NOT TYPICAL POLITICAN,DISAPPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,SAME,YES,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,NO,"$100,000 OR MORE",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,BURLINGTON,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,YES,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,CATHOLIC,1.462
46.0,16.0,17.0,SECOND CALL,45-49,WHITE,FEMALE,BRADLEY,THIS YEAR,HEALTH CARE,STANDS UP FOR BELIEFS,DISAPPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,NO,"$100,000 OR MORE",YES,VERY LIBERAL,LIBERAL,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,BURLINGTON,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,YES,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,1.556
46.0,16.0,18.0,SECOND CALL,60-64,WHITE,FEMALE,BRADLEY,THIS YEAR,HEALTH CARE,STANDS UP FOR BELIEFS,APPROVE,OMITS,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,OMITS,"$100,000 OR MORE",OMITS,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,BURLINGTON,60+,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,OMITS,GORE,OMITS,YES,YES,YES,FAVORABLE,OMITS,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,1.874
46.0,16.0,19.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,THIS YEAR,EDUCATION,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,NO,"$30,000-$49,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,BURLINGTON,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,NO,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,CATHOLIC,1.782
