QTYPE,STATE,PCT,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,BUSHUNFR,PARTYID,EDUC,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,GWCONSRV,WGT,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,PREVPRI,VETVOTER,RELUTAH7,THRDCAND,WARWEST,RELUTAH6,MCRRIGHT,BEATDEM,REGREPUT,WEIGHT
STATE,45.0,5.0,55.0,THIRD CALL,75+,MALE,BUSH,THIS YEAR,SOCIAL SECURITY/MEDICARE,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,EAST/OGDEN AREA,60+,60+,REPUBLICAN,ABOUT RIGHT,302.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,YES,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,SOMEWHAT,BUSH,REPUBLICAN,0.302
STATE,45.0,5.0,56.0,THIRD CALL,50-59,FEMALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,OMITS,OMITS,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,"$30,000-$49,000",OMITS,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,45-59,50-59,INDEPENDENT/OTHER,ABOUT RIGHT,301.0,FAVORABLE,UNFAVORABLE,BUSH,OMITS,OMITS,BUSH,NO,NO,MORMON/LATTER DAY SAINTS,SATISFIED,OMITS,MORMON/LATTER DAY SAINTS,NOT AT ALL,BUSH,UNDECLARED/INDEPENDENT,0.301
STATE,45.0,9.0,1.0,FIRST CALL,40-44,MALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,30-44,40-49,REPUBLICAN,ABOUT RIGHT,304.0,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BUSH,NO,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,SOMEWHAT,BUSH,UNDECLARED/INDEPENDENT,0.304
STATE,45.0,9.0,2.0,FIRST CALL,40-44,FEMALE,BUSH,WITHIN LAST WEEK,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,30-44,40-49,REPUBLICAN,ABOUT RIGHT,321.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,NO,MORMON/LATTER DAY SAINTS,SATISFIED,OMITS,MORMON/LATTER DAY SAINTS,SOMEWHAT,BUSH,REPUBLICAN,0.321
STATE,45.0,9.0,3.0,FIRST CALL,30-39,FEMALE,BUSH,WITHIN LAST WEEK,EDUCATION,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,YES,REPUBLICAN,COLLEGE GRADUATE,"$15,000-$29,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,30-44,30-39,REPUBLICAN,ABOUT RIGHT,321.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,NEITHER,NO,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,NOT AT ALL,BUSH,UNDECLARED/INDEPENDENT,0.321
STATE,45.0,9.0,4.0,FIRST CALL,30-39,MALE,BUSH,THIS YEAR,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,30-44,30-39,REPUBLICAN,ABOUT RIGHT,304.0,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,NO,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,GREAT DEAL,BUSH,REPUBLICAN,0.304
STATE,45.0,9.0,5.0,FIRST CALL,50-59,FEMALE,KEYES,WITHIN LAST WEEK,OMITS,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,OMITS,,,18-64,18-74,NOT COMPLETE,EAST/OGDEN AREA,45-59,50-59,,OMITS,318.0,OMITS,OMITS,BUSH,MCCAIN,OMITS,BOTH,NO,,,OMITS,OMITS,,NOT AT ALL,OMITS,REPUBLICAN,0.318
STATE,45.0,9.0,6.0,FIRST CALL,50-59,FEMALE,KEYES,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,NO,OMITS,OMITS,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,"$15,000-$29,000",OMITS,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,45-59,50-59,REPUBLICAN,NOT CONSERVATIVE ENOUGH,318.0,UNFAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,NO,NO,MORMON/LATTER DAY SAINTS,WOULD CONSIDER THIRD PARTY CANDIDATE,HURTS STATE,MORMON/LATTER DAY SAINTS,SOMEWHAT,BUSH,REPUBLICAN,0.318
STATE,45.0,9.0,7.0,FIRST CALL,50-59,MALE,KEYES,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,OMITS,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,"$15,000-$29,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,45-59,50-59,REPUBLICAN,NOT CONSERVATIVE ENOUGH,300.0,UNFAVORABLE,UNFAVORABLE,OMITS,OMITS,NOT CONSERVATIVE ENOUGH,NEITHER,NO,NO,MORMON/LATTER DAY SAINTS,WOULD CONSIDER THIRD PARTY CANDIDATE,HURTS STATE,MORMON/LATTER DAY SAINTS,NOT AT ALL,BUSH,REPUBLICAN,0.3
STATE,45.0,9.0,8.0,FIRST CALL,50-59,MALE,MCCAIN,WITHIN LAST 3 DAYS,TAXES,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,TAX CUT,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,45-59,50-59,INDEPENDENT/OTHER,TOO CONSERVATIVE,349.0,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,BOTH,YES,NO,MORMON/LATTER DAY SAINTS,OMITS,DOES NOT AFFECT STATE,MORMON/LATTER DAY SAINTS,NOT AT ALL,BUSH,UNDECLARED/INDEPENDENT,0.34900000000000003
STATE,45.0,9.0,18.0,SECOND CALL,25-29,MALE,BUSH,THIS YEAR,TAXES,STRONG LEADER,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,18-29,25-29,REPUBLICAN,ABOUT RIGHT,458.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BUSH,YES,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,GREAT DEAL,BUSH,REPUBLICAN,0.458
STATE,45.0,9.0,19.0,SECOND CALL,40-44,MALE,BUSH,BEFORE THAT,MORAL VALUES,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,30-44,40-49,REPUBLICAN,ABOUT RIGHT,304.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,TOO CONSERVATIVE,BUSH,YES,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,NOT MUCH,BUSH,UNDECLARED/INDEPENDENT,0.304
STATE,45.0,9.0,20.0,SECOND CALL,50-59,FEMALE,BUSH,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,COLLEGE GRADUATE,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,45-59,50-59,INDEPENDENT/OTHER,NOT CONSERVATIVE ENOUGH,321.0,FAVORABLE,UNFAVORABLE,BUSH,OMITS,NOT CONSERVATIVE ENOUGH,NEITHER,YES,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,GREAT DEAL,BUSH,REPUBLICAN,0.321
STATE,45.0,9.0,21.0,SECOND CALL,60-64,MALE,BUSH,TODAY,MORAL VALUES,OMITS,OMITS,YES,ILLEGAL IN MOST CASES,OMITS,STRENGTHEN SOCIAL SECURITY,OMITS,,POST GRADUATE STUDY,"$50,000-$74,999",OMITS,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,60+,60+,,NOT CONSERVATIVE ENOUGH,323.0,OMITS,UNFAVORABLE,BUSH,OMITS,NOT CONSERVATIVE ENOUGH,BUSH,YES,YES,MORMON/LATTER DAY SAINTS,SATISFIED,OMITS,MORMON/LATTER DAY SAINTS,GREAT DEAL,BUSH,UNDECLARED/INDEPENDENT,0.323
STATE,45.0,9.0,22.0,SECOND CALL,60-64,FEMALE,BUSH,THIS YEAR,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,POST GRADUATE STUDY,"$30,000-$49,000",YES,VERY LIBERAL,LIBERAL,18-64,18-74,COMPLETE,EAST/OGDEN AREA,60+,60+,REPUBLICAN,ABOUT RIGHT,340.0,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,NO,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,GREAT DEAL,BUSH,REPUBLICAN,0.34
STATE,45.0,9.0,23.0,SECOND CALL,40-44,MALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,30-44,40-49,REPUBLICAN,ABOUT RIGHT,304.0,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,SOMEWHAT,BUSH,REPUBLICAN,0.304
STATE,45.0,9.0,24.0,SECOND CALL,45-49,FEMALE,KEYES,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,POST GRADUATE STUDY,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,45-59,40-49,INDEPENDENT/OTHER,ABOUT RIGHT,318.0,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,YES,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,GREAT DEAL,BUSH,REPUBLICAN,0.318
STATE,45.0,9.0,25.0,SECOND CALL,50-59,,KEYES,WITHIN LAST 3 DAYS,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,INDEPENDENT,COLLEGE GRADUATE,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,45-59,50-59,INDEPENDENT/OTHER,ABOUT RIGHT,318.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,YES,YES,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,NOT AT ALL,MCCAIN,REPUBLICAN,0.318
STATE,45.0,9.0,26.0,SECOND CALL,50-59,FEMALE,KEYES,TODAY,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,TAX CUT,YES,INDEPENDENT,POST GRADUATE STUDY,"$15,000-$29,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,45-59,50-59,INDEPENDENT/OTHER,ABOUT RIGHT,318.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,NO,MORMON/LATTER DAY SAINTS,WOULD CONSIDER THIRD PARTY CANDIDATE,HURTS STATE,MORMON/LATTER DAY SAINTS,NOT AT ALL,BUSH,UNDECLARED/INDEPENDENT,0.318
STATE,45.0,9.0,27.0,SECOND CALL,25-29,FEMALE,BUSH,THIS YEAR,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,"$30,000-$49,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,18-29,25-29,REPUBLICAN,NOT CONSERVATIVE ENOUGH,484.0,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,NOT AT ALL,BUSH,,0.484
STATE,45.0,9.0,28.0,SECOND CALL,65-74,FEMALE,BUSH,BEFORE THAT,WORLD AFFAIRS,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,OMITS,,,65+,18-74,NOT COMPLETE,EAST/OGDEN AREA,60+,60+,,OMITS,340.0,OMITS,OMITS,BUSH,MCCAIN,OMITS,BUSH,YES,,,OMITS,OMITS,,NOT MUCH,OMITS,REPUBLICAN,0.34
STATE,45.0,9.0,29.0,SECOND CALL,65-74,MALE,BUSH,BEFORE THAT,OMITS,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,POST GRADUATE STUDY,"$30,000-$49,000",YES,MODERATE,MODERATE,65+,18-74,COMPLETE,EAST/OGDEN AREA,60+,60+,REPUBLICAN,ABOUT RIGHT,323.0,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,YES,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,NOT AT ALL,BUSH,REPUBLICAN,0.323
STATE,45.0,9.0,30.0,SECOND CALL,30-39,FEMALE,BUSH,THIS YEAR,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,"$75,000-$99,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,EAST/OGDEN AREA,30-44,30-39,REPUBLICAN,ABOUT RIGHT,321.0,FAVORABLE,UNFAVORABLE,BUSH,GORE,NOT CONSERVATIVE ENOUGH,BUSH,YES,NO,OTHER CHRISTIAN,SATISFIED,HURTS STATE,PROTESTANT/OTHER CHRISTIAN,NOT AT ALL,BUSH,REPUBLICAN,0.321
STATE,45.0,9.0,31.0,SECOND CALL,45-49,MALE,BUSH,TODAY,WORLD AFFAIRS,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,45-59,40-49,REPUBLICAN,ABOUT RIGHT,304.0,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,NO,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,NOT AT ALL,BUSH,REPUBLICAN,0.304
STATE,45.0,9.0,32.0,SECOND CALL,45-49,MALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,OMITS,REPUBLICAN,HIGH SCHOOL GRADUATE,"$15,000-$29,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,45-59,40-49,REPUBLICAN,NOT CONSERVATIVE ENOUGH,304.0,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,NO,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,NOT AT ALL,BUSH,REPUBLICAN,0.304
STATE,45.0,9.0,33.0,SECOND CALL,45-49,FEMALE,BUSH,WITHIN LAST 3 DAYS,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,OMITS,ILLEGAL IN MOST CASES,YES,TAX CUT,YES,SOMETHING ELSE,COLLEGE GRADUATE,"$15,000-$29,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,45-59,40-49,INDEPENDENT/OTHER,NOT CONSERVATIVE ENOUGH,321.0,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,NO,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,GREAT DEAL,BUSH,REPUBLICAN,0.321
STATE,45.0,9.0,34.0,SECOND CALL,65-74,FEMALE,MCCAIN,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,"$15,000-$29,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,EAST/OGDEN AREA,60+,60+,REPUBLICAN,ABOUT RIGHT,391.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,YES,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,NOT AT ALL,BUSH,REPUBLICAN,0.391
STATE,45.0,9.0,35.0,SECOND CALL,40-44,FEMALE,BUSH,TODAY,OMITS,OMITS,OMITS,NO,ILLEGAL IN MOST CASES,OMITS,OMITS,OMITS,REPUBLICAN,HIGH SCHOOL GRADUATE,"$50,000-$74,999",OMITS,MODERATE,MODERATE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,30-44,40-49,REPUBLICAN,ABOUT RIGHT,321.0,OMITS,OMITS,BUSH,MCCAIN,ABOUT RIGHT,BUSH,YES,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,OMITS,BUSH,REPUBLICAN,0.321
STATE,45.0,9.0,36.0,SECOND CALL,25-29,FEMALE,BUSH,WITHIN LAST WEEK,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,18-29,25-29,REPUBLICAN,ABOUT RIGHT,484.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,NO,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HELPS STATE,MORMON/LATTER DAY SAINTS,NOT MUCH,BUSH,REPUBLICAN,0.484
STATE,45.0,9.0,37.0,SECOND CALL,40-44,MALE,BUSH,THIS YEAR,EDUCATION,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,COMPLETE,EAST/OGDEN AREA,30-44,40-49,REPUBLICAN,ABOUT RIGHT,304.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BUSH,YES,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HELPS STATE,MORMON/LATTER DAY SAINTS,NOT MUCH,BUSH,REPUBLICAN,0.304
STATE,45.0,9.0,38.0,SECOND CALL,50-59,MALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,COLLEGE GRADUATE,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,45-59,50-59,REPUBLICAN,ABOUT RIGHT,304.0,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,NO,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,NOT MUCH,BUSH,REPUBLICAN,0.304
STATE,45.0,9.0,39.0,SECOND CALL,50-59,,BUSH,THIS YEAR,WORLD AFFAIRS,CAN WIN IN NOVEMBER,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,OMITS,,,18-64,18-74,NOT COMPLETE,EAST/OGDEN AREA,45-59,50-59,,OMITS,304.0,OMITS,OMITS,BUSH,MCCAIN,OMITS,BUSH,YES,,,OMITS,OMITS,,SOMEWHAT,OMITS,REPUBLICAN,0.304
STATE,45.0,9.0,40.0,THIRD CALL,30-39,MALE,BUSH,TODAY,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,30-44,30-39,REPUBLICAN,ABOUT RIGHT,304.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,NEITHER,YES,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,GREAT DEAL,BUSH,REPUBLICAN,0.304
STATE,45.0,9.0,41.0,THIRD CALL,30-39,FEMALE,MCCAIN,WITHIN LAST WEEK,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,"$30,000-$49,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,EAST/OGDEN AREA,30-44,30-39,REPUBLICAN,NOT CONSERVATIVE ENOUGH,369.0,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,NO,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,NOT MUCH,BUSH,REPUBLICAN,0.369
STATE,45.0,9.0,42.0,THIRD CALL,65-74,FEMALE,BUSH,WITHIN LAST WEEK,MORAL VALUES,OMITS,CANDS PERSONAL QUALITIES,OMITS,ILLEGAL IN MOST CASES,YES,TAX CUT,YES,REPUBLICAN,POST GRADUATE STUDY,"$15,000-$29,000",YES,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,EAST/OGDEN AREA,60+,60+,REPUBLICAN,OMITS,340.0,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BOTH,NO,NO,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,NOT MUCH,BUSH,REPUBLICAN,0.34
STATE,45.0,9.0,43.0,THIRD CALL,75+,MALE,BUSH,BEFORE THAT,OMITS,OMITS,OMITS,NO,ILLEGAL IN MOST CASES,OMITS,STRENGTHEN SOCIAL SECURITY,OMITS,REPUBLICAN,COLLEGE GRADUATE,"$15,000-$29,000",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,EAST/OGDEN AREA,60+,60+,REPUBLICAN,NOT CONSERVATIVE ENOUGH,323.0,OMITS,UNFAVORABLE,BUSH,MCCAIN,OMITS,NEITHER,YES,YES,MORMON/LATTER DAY SAINTS,SATISFIED,HURTS STATE,MORMON/LATTER DAY SAINTS,NOT AT ALL,BUSH,REPUBLICAN,0.323
