BACKSIDE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,MCSAYDO,REFORMER,PREVPRI,VETVOTER,PEROTME,BEATDEM,REGREPME,REL5,WEIGHT
COMPLETE,CD 1,20.0,26.0,13.0,SECOND CALL,75+,,BUSH,TODAY,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,,YES,SOMEWHAT LIBERAL,LIBERAL,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,OMITS,ABOUT RIGHT,BUSH,YES,BUSH,YES,YES,NO,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,1.978
COMPLETE,CD 1,20.0,26.0,14.0,SECOND CALL,65-74,,BUSH,THIS YEAR,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,OMITS,INDEPENDENT,HIGH SCHOOL GRADUATE,PROTESTANT,"UNDER $15,000",OMITS,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,ABOUT RIGHT,FAVORABLE,OMITS,BUSH,MCCAIN,OMITS,BUSH,OMITS,OMITS,YES,NO,NO,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,2.196
COMPLETE,CD 1,20.0,26.0,15.0,SECOND CALL,40-44,FEMALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,OMITS,NOT CONSERVATIVE ENOUGH,BUSH,YES,NEITHER,YES,NO,NO,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,1.555
COMPLETE,CD 1,20.0,26.0,16.0,SECOND CALL,,MALE,BUSH,THIS YEAR,ABORTION,OMITS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,,,STATE,,,REPUBLICAN,,,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,OMITS,NOT CONSERVATIVE ENOUGH,MCCAIN,YES,BUSH,YES,YES,NO,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,1.725
COMPLETE,CD 1,20.0,26.0,17.0,SECOND CALL,18-24,MALE,MCCAIN,TODAY,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,DID NOT COMPLETE HIGH SCHOOL,OTHER CHRISTIAN,,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,18-24,REPUBLICAN,18-24,18-24,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,OMITS,NO,NEITHER,NO,NO,YES,MCCAIN,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,1.77
COMPLETE,CD 1,20.0,26.0,18.0,SECOND CALL,65-74,,BUSH,WITHIN LAST 3 DAYS,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"UNDER $15,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,BUSH,YES,NO,NO,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,1.978
COMPLETE,CD 1,20.0,26.0,19.0,SECOND CALL,45-49,FEMALE,BUSH,WITHIN LAST 3 DAYS,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,YES,NEITHER,YES,NO,NO,MCCAIN,REPUBLICAN,CATHOLIC,1.555
COMPLETE,CD 1,20.0,26.0,20.0,SECOND CALL,40-44,FEMALE,MCCAIN,WITHIN LAST 3 DAYS,WORLD AFFAIRS,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,OMITS,YES,YES,NO,MCCAIN,REPUBLICAN,CATHOLIC,1.704
COMPLETE,CD 1,20.0,26.0,21.0,THIRD CALL,60-64,MALE,MCCAIN,THIS YEAR,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,ABOUT RIGHT,BOTH,NO,MCCAIN,YES,YES,YES,MCCAIN,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,2.408
COMPLETE,CD 1,20.0,26.0,22.0,THIRD CALL,75+,FEMALE,MCCAIN,WITHIN LAST WEEK,EDUCATION,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,CATHOLIC,"$15,000-$29,000",NO,MODERATE,MODERATE,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,OMITS,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,NO,NO,MCCAIN,REPUBLICAN,CATHOLIC,2.168
COMPLETE,CD 1,20.0,26.0,23.0,THIRD CALL,45-49,FEMALE,BUSH,THIS YEAR,TAXES,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,BOTH,YES,NO,NO,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,1.555
COMPLETE,CD 1,20.0,26.0,24.0,THIRD CALL,30-39,FEMALE,BUSH,THIS YEAR,OMITS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,GORE,NOT CONSERVATIVE ENOUGH,BOTH,NO,BOTH,NO,NO,NO,BUSH,UNENROLLED/INDEPENDENT,PROTESTANT/OTHER CHRISTIAN,1.555
COMPLETE,CD 1,20.0,26.0,25.0,THIRD CALL,45-49,FEMALE,BUSH,TODAY,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,YES,BUSH,YES,NO,NO,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,1.555
COMPLETE,CD 1,20.0,26.0,26.0,THIRD CALL,50-59,,MCCAIN,BEFORE THAT,OMITS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,OMITS,OMITS,NO,OMITS,OMITS,,,,,OMITS,,,18-64,18-74,STATE,45-59,50-59,,50-64,50-64,OMITS,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,OMITS,OMITS,NO,OMITS,YES,,OMITS,MCCAIN,REPUBLICAN,,1.8920000000000001
COMPLETE,CD 1,20.0,26.0,27.0,THIRD CALL,30-39,FEMALE,BUSH,WITHIN LAST WEEK,ABORTION,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,YES,LEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,CATHOLIC,"$30,000-$49,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BUSH,YES,NEITHER,YES,,YES,BUSH,REPUBLICAN,CATHOLIC,1.555
COMPLETE,CD 1,20.0,26.0,28.0,THIRD CALL,25-29,MALE,BUSH,WITHIN LAST WEEK,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$75,000-$99,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,NOT CONSERVATIVE ENOUGH,OMITS,UNFAVORABLE,OMITS,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,YES,NEITHER,YES,YES,NO,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,1.614
COMPLETE,CD 1,20.0,26.0,29.0,THIRD CALL,30-39,MALE,BUSH,WITHIN LAST WEEK,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,BOTH,NO,NO,NO,BUSH,REPUBLICAN,CATHOLIC,1.725
NOT COMPLETE,CD 1,20.0,26.0,30.0,THIRD CALL,30-39,FEMALE,KEYES,TODAY,EDUCATION,NOT TYPICAL POLITICIAN,OMITS,OMITS,OMITS,NO,OMITS,OMITS,,,,,OMITS,,,18-64,18-74,STATE,30-44,30-39,,30-39,30-39,OMITS,OMITS,OMITS,BUSH,MCCAIN,OMITS,OMITS,NO,OMITS,YES,,YES,OMITS,REPUBLICAN,,1.329
COMPLETE,CD 1,20.0,26.0,31.0,THIRD CALL,50-59,FEMALE,MCCAIN,TODAY,ABORTION,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,NO,TAX CUT,YES,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,OMITS,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,NEITHER,YES,NEITHER,YES,NO,NO,OMITS,REPUBLICAN,CATHOLIC,1.704
COMPLETE,CD 1,20.0,26.0,32.0,THIRD CALL,25-29,FEMALE,BUSH,THIS YEAR,SOCIAL SECURITY/MEDICARE,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,,DID NOT COMPLETE HIGH SCHOOL,PROTESTANT,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,25-29,,25-29,25-29,OMITS,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,OMITS,BUSH,YES,MCCAIN,YES,NO,YES,OMITS,UNENROLLED/INDEPENDENT,PROTESTANT/OTHER CHRISTIAN,1.454
COMPLETE,CD 1,20.0,26.0,33.0,THIRD CALL,50-59,MALE,BUSH,BEFORE THAT,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"UNDER $15,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BOTH,YES,BOTH,YES,YES,NO,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,1.725
COMPLETE,CD 1,20.0,26.0,34.0,THIRD CALL,25-29,FEMALE,MCCAIN,THIS YEAR,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,BUSH,GORE,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,YES,NO,MCCAIN,REPUBLICAN,CATHOLIC,1.594
COMPLETE,CD 1,20.0,26.0,35.0,THIRD CALL,18-24,MALE,MCCAIN,WITHIN LAST WEEK,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,18-24,REPUBLICAN,18-24,18-24,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,BOTH,YES,NO,NO,MCCAIN,REPUBLICAN,CATHOLIC,1.77
COMPLETE,CD 1,20.0,26.0,36.0,THIRD CALL,30-39,MALE,MCCAIN,WITHIN LAST WEEK,EDUCATION,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,OMITS,NO,INDEPENDENT,DID NOT COMPLETE HIGH SCHOOL,CATHOLIC,"$15,000-$29,000",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,OMITS,MCCAIN,YES,MCCAIN,NO,NO,NO,BUSH,UNENROLLED/INDEPENDENT,CATHOLIC,1.8920000000000001
COMPLETE,CD 1,20.0,26.0,37.0,THIRD CALL,50-59,FEMALE,BUSH,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,PROTESTANT,,NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,OMITS,TOO CONSERVATIVE,BOTH,NO,NEITHER,YES,NO,NO,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,1.555
COMPLETE,CD 1,20.0,26.0,38.0,THIRD CALL,50-59,FEMALE,BUSH,THIS YEAR,TAXES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,TOO CONSERVATIVE,MCCAIN,YES,BUSH,YES,NO,YES,MCCAIN,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,1.555
COMPLETE,CD 1,20.0,26.0,39.0,THIRD CALL,25-29,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,POST GRADUATE STUDY,NONE,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,NO,NO,MCCAIN,REPUBLICAN,NONE,1.77
COMPLETE,CD 1,20.0,26.0,40.0,THIRD CALL,30-39,FEMALE,BUSH,THIS YEAR,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,TAX CUT,YES,INDEPENDENT,HIGH SCHOOL GRADUATE,PROTESTANT,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,YES,NO,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,1.555
COMPLETE,CD 1,20.0,26.0,41.0,THIRD CALL,45-49,FEMALE,BUSH,TODAY,MORAL VALUES,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,,NO,,,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,BUSH,GORE,ABOUT RIGHT,BUSH,YES,BOTH,YES,NO,YES,BUSH,REPUBLICAN,CATHOLIC,1.555
COMPLETE,CD 1,20.0,26.0,42.0,THIRD CALL,25-29,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,"$15,000-$29,000",YES,MODERATE,MODERATE,18-64,18-74,STATE,18-29,25-29,INDEPENDENT/OTHER,25-29,25-29,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,YES,NEITHER,YES,NO,NO,MCCAIN,UNENROLLED/INDEPENDENT,PROTESTANT/OTHER CHRISTIAN,1.594
COMPLETE,CD 1,20.0,27.0,1.0,FIRST CALL,65-74,FEMALE,BUSH,THIS YEAR,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,OMITS,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"UNDER $15,000",YES,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,OMITS,NOT CONSERVATIVE ENOUGH,BUSH,YES,BUSH,YES,NO,NO,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,1.073
COMPLETE,CD 1,20.0,27.0,2.0,FIRST CALL,75+,,BUSH,BEFORE THAT,CAMPAIGN FINANCE REFORM,OMITS,CANDS PERSONAL QUALITIES,OMITS,OMITS,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"UNDER $15,000",YES,,,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,OMITS,TOO CONSERVATIVE,BUSH,NO,BUSH,,NO,NO,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,1.073
COMPLETE,CD 1,20.0,27.0,3.0,FIRST CALL,65-74,FEMALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,BOTH,YES,NO,NO,MCCAIN,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,1.073
COMPLETE,CD 1,20.0,27.0,4.0,FIRST CALL,30-39,MALE,BUSH,WITHIN LAST WEEK,TAXES,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BOTH,YES,NEITHER,YES,NO,NO,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,0.937
COMPLETE,CD 1,20.0,27.0,5.0,FIRST CALL,,,BUSH,THIS YEAR,OMITS,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,YES,OMITS,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,,YES,MODERATE,MODERATE,,,STATE,,,REPUBLICAN,,,ABOUT RIGHT,FAVORABLE,OMITS,OMITS,OMITS,OMITS,BUSH,NO,OMITS,NO,,NO,OMITS,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,0.937
COMPLETE,CD 1,20.0,27.0,6.0,FIRST CALL,60-64,MALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,"$100,000 OR MORE",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,NO,NO,YES,MCCAIN,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,1.306
COMPLETE,CD 1,20.0,27.0,7.0,FIRST CALL,40-44,MALE,BUSH,WITHIN LAST WEEK,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,GORE,NOT CONSERVATIVE ENOUGH,BUSH,NO,BUSH,YES,NO,NO,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,0.937
COMPLETE,CD 1,20.0,27.0,8.0,FIRST CALL,60-64,FEMALE,BUSH,OMITS,OMITS,STRONG LEADER,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,,YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,OMITS,BUSH,YES,BOTH,YES,NO,NO,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,1.073
COMPLETE,CD 1,20.0,27.0,9.0,FIRST CALL,,MALE,BUSH,WITHIN LAST WEEK,TAXES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,,,STATE,,,REPUBLICAN,,,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BOTH,NO,BOTH,YES,NO,YES,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,0.937
COMPLETE,CD 1,20.0,27.0,10.0,FIRST CALL,75+,MALE,BUSH,THIS YEAR,WORLD AFFAIRS,CAN WIN IN NOVEMBER,OMITS,OMITS,OMITS,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,,OMITS,MODERATE,MODERATE,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,ABOUT RIGHT,FAVORABLE,OMITS,BUSH,GORE,OMITS,BUSH,OMITS,OMITS,YES,YES,NO,BUSH,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,1.191
