STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,TIME,ISSUE,QUALITY,CLINTON,ISSVQUAL,ABORTION,BUSHKNOW,FINSIT,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,GORE2LIB,BRAD2LIB,BACKSIDE,AGE4,AGEABC,PARTY,AGE65,AGE75,WGT,BUSH,MCCAIN,GOREBUSH,GOREMCAN,PREVPRIN,VETVOTER,MCRRIGHT,VERSION,ONLYDEMS,GORE,BRADLEY,BCPERSON,BEATDEM,GAY,HISPANIC,QRACE,REL5,REGCA,NOVCHOIC,REGION,WEIGHT
5.0,26.0,45.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,BEFORE THAT,EDUCATION,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,,,BETTER,NO,DEMOCRAT,,,NO,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,18-29,25-29,DEMOCRAT,25-29,25-29,602.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,OMITS,,NO,NO,WHITE,,DEMOCRAT,SATISFIED,OTHERS,0.602
5.0,26.0,46.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,,,SAME,NO,DEMOCRAT,,,YES,,NO,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,ABOUT RIGHT,TOO LIBERAL,COMPLETE,60+,60+,DEMOCRAT,65+,65-74,734.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,NO,NO,WHITE,,DEMOCRAT,NOT SATISFIED,OTHERS,0.734
5.0,26.0,48.0,THIRD CALL,30-39,WHITE,MALE,GORE,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,NO,,,DEMOCRAT,COLLEGE GRADUATE,JEWISH,,"$50,000-$74,999",,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,736.0,UNFAVORABLE,FAVORABLE,,,,NO,NOT AT ALL,WHITE,,FAVORABLE,UNFAVORABLE,,MCCAIN,NO,NO,WHITE,JEWISH,DEMOCRAT,,OTHERS,0.736
5.0,26.0,49.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,NO,,,DEMOCRAT,POST GRADUATE STUDY,JEWISH,,"$50,000-$74,999",,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,734.0,UNFAVORABLE,FAVORABLE,,,,NO,NOT AT ALL,WHITE,,FAVORABLE,FAVORABLE,,MCCAIN,NO,NO,WHITE,JEWISH,DEMOCRAT,,OTHERS,0.734
5.0,26.0,50.0,THIRD CALL,50-59,WHITE,MALE,GORE,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,YES,,,INDEPENDENT,COLLEGE GRADUATE,NONE,,"$75,000-$99,999",,VERY LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,736.0,FAVORABLE,FAVORABLE,,,,NO,NOT AT ALL,WHITE,,FAVORABLE,FAVORABLE,,BUSH,NO,NO,WHITE,NONE,DEMOCRAT,,OTHERS,0.736
5.0,26.0,55.0,THIRD CALL,25-29,BLACK,FEMALE,GORE,,,,,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,YES,,,SOMETHING ELSE,POST GRADUATE STUDY,SOMETHING ELSE,,"$30,000-$49,000",,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,18-29,25-29,INDEPENDENT/OTHER,25-29,25-29,323.0,FAVORABLE,UNFAVORABLE,,,,NO,NOT MUCH,WHITE,,FAVORABLE,UNFAVORABLE,,BUSH,NO,NO,BLACK,SOMETHING ELSE,DEMOCRAT,,OTHERS,0.323
5.0,26.0,56.0,THIRD CALL,25-29,BLACK,FEMALE,GORE,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,NO,,,DEMOCRAT,POST GRADUATE STUDY,OTHER CHRISTIAN,,"$30,000-$49,000",,VERY LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,18-29,25-29,DEMOCRAT,25-29,25-29,323.0,UNFAVORABLE,FAVORABLE,,,,NO,NOT AT ALL,WHITE,,FAVORABLE,UNFAVORABLE,,BUSH,NO,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,DEMOCRAT,,OTHERS,0.323
5.0,26.0,57.0,THIRD CALL,25-29,BLACK,FEMALE,GORE,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,NO,,,REPUBLICAN,POST GRADUATE STUDY,OTHER CHRISTIAN,,"$30,000-$49,000",,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,18-29,25-29,REPUBLICAN,25-29,25-29,323.0,UNFAVORABLE,UNFAVORABLE,,,,NO,NOT AT ALL,WHITE,,FAVORABLE,FAVORABLE,,MCCAIN,NO,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,DEMOCRAT,,OTHERS,0.323
5.0,26.0,58.0,THIRD CALL,30-39,BLACK,MALE,BRADLEY,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,NO,,,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,JEWISH,,"$15,000-$29,000",,MODERATE,MODERATE,18-64,18-74,,,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,290.0,FAVORABLE,UNFAVORABLE,,,,NO,GREAT DEAL,WHITE,,FAVORABLE,FAVORABLE,,OMITS,NO,NO,BLACK,JEWISH,DEMOCRAT,,OTHERS,0.29
5.0,26.0,59.0,THIRD CALL,75+,WHITE,FEMALE,GORE,,,,,CANDS POSITIONS ON ISSUES,OMITS,NO,,,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,,,,,,65+,75+,,,COMPLETE,60+,60+,DEMOCRAT,65+,75+,734.0,UNFAVORABLE,OMITS,,,,,NOT AT ALL,WHITE,,FAVORABLE,OMITS,,MCCAIN,,NO,WHITE,CATHOLIC,DEMOCRAT,,OTHERS,0.734
5.0,26.0,60.0,THIRD CALL,40-44,WHITE,MALE,BRADLEY,,,,,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,YES,,,DEMOCRAT,COLLEGE GRADUATE,JEWISH,,,,MODERATE,MODERATE,18-64,18-74,,,COMPLETE,30-44,40-49,DEMOCRAT,40-49,40-49,543.0,FAVORABLE,FAVORABLE,,,,NO,NOT AT ALL,WHITE,,FAVORABLE,FAVORABLE,,MCCAIN,NO,NO,WHITE,JEWISH,DEMOCRAT,,OTHERS,0.543
5.0,26.0,61.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,NO,,,SOMETHING ELSE,COLLEGE GRADUATE,NONE,,"$15,000-$29,000",,VERY LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,734.0,UNFAVORABLE,UNFAVORABLE,,,,NO,NOT AT ALL,WHITE,,FAVORABLE,UNFAVORABLE,,BUSH,,NO,WHITE,NONE,DEMOCRAT,,OTHERS,0.734
5.0,26.0,63.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,NO,,,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,,"$50,000-$74,999",,VERY LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,18-29,18-24,DEMOCRAT,18-24,18-24,602.0,UNFAVORABLE,UNFAVORABLE,,,,NO,NOT MUCH,WHITE,,FAVORABLE,UNFAVORABLE,,MCCAIN,NO,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,DEMOCRAT,,OTHERS,0.602
5.0,26.0,64.0,THIRD CALL,30-39,HISPANIC/LATINO,MALE,BRADLEY,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,NO,,,DEMOCRAT,POST GRADUATE STUDY,JEWISH,,"$50,000-$74,999",,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,290.0,UNFAVORABLE,UNFAVORABLE,,,,NO,NOT AT ALL,WHITE,,FAVORABLE,FAVORABLE,,BUSH,NO,NO,HISPANIC/LATINO,JEWISH,DEMOCRAT,,OTHERS,0.29
5.0,29.0,2.0,FIRST CALL,25-29,WHITE,MALE,GORE,BEFORE THAT,OMITS,STRONG LEADER,APPROVE,CANDS PERSONAL QUALITIES,,,BETTER,NO,DEMOCRAT,,,NO,"$100,000 OR MORE",NO,VERY LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,18-29,25-29,DEMOCRAT,25-29,25-29,828.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,NO,NO,WHITE,,DEMOCRAT,SATISFIED,OTHERS,0.8280000000000001
5.0,29.0,3.0,FIRST CALL,30-39,BLACK,FEMALE,GORE,THIS YEAR,RACE RELATIONS,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,,,BETTER,NO,DEMOCRAT,,,NO,"$30,000-$49,000",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,345.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,UNFAVORABLE,,NO,NO,BLACK,,DEMOCRAT,SATISFIED,OTHERS,0.34500000000000003
5.0,29.0,4.0,FIRST CALL,65-74,WHITE,MALE,GORE,THIS YEAR,EDUCATION,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,,,BETTER,YES,DEMOCRAT,,,YES,"$30,000-$49,000",NO,VERY LIBERAL,LIBERAL,65+,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,60+,60+,DEMOCRAT,65+,65-74,873.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,NO,NO,WHITE,,DEMOCRAT,SATISFIED,OTHERS,0.873
5.0,29.0,6.0,FIRST CALL,50-59,BLACK,MALE,GORE,WITHIN LAST WEEK,ECONOMY/JOBS,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,,,SAME,NO,INDEPENDENT,,,NO,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,413.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,NO,NO,BLACK,,DEMOCRAT,NOT SATISFIED,OTHERS,0.41300000000000003
5.0,29.0,7.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,BEFORE THAT,EDUCATION,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,,,BETTER,YES,DEMOCRAT,,,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,30-44,40-49,DEMOCRAT,40-49,40-49,661.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,NO,NO,WHITE,,DEMOCRAT,SATISFIED,OTHERS,0.661
5.0,29.0,8.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,BEFORE THAT,OMITS,STRONG LEADER,OMITS,OMITS,,,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,OMITS,NOT COMPLETE,45-59,50-59,,50-64,50-64,661.0,,,GORE,GORE,YES,,,YELLOW,OMITS,,,OMITS,,,,WHITE,,DEMOCRAT,OMITS,OTHERS,0.661
5.0,29.0,11.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,NO,,,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,,"$50,000-$74,999",,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,30-44,40-49,DEMOCRAT,40-49,40-49,661.0,UNFAVORABLE,FAVORABLE,,,,NO,NOT AT ALL,WHITE,,FAVORABLE,UNFAVORABLE,,BUSH,NO,NO,WHITE,CATHOLIC,DEMOCRAT,,OTHERS,0.661
5.0,29.0,13.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,NO,,,DEMOCRAT,COLLEGE GRADUATE,SOMETHING ELSE,,"$30,000-$49,000",,VERY LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,45-59,50-59,DEMOCRAT,50-64,50-64,661.0,UNFAVORABLE,FAVORABLE,,,,NO,NOT MUCH,WHITE,,FAVORABLE,FAVORABLE,,BUSH,,NO,WHITE,SOMETHING ELSE,DEMOCRAT,,OTHERS,0.661
5.0,29.0,14.0,FIRST CALL,40-44,BLACK,MALE,BRADLEY,,,,,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,NO,,,DEMOCRAT,COLLEGE GRADUATE,OTHER CHRISTIAN,,"$30,000-$49,000",,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,30-44,40-49,DEMOCRAT,40-49,40-49,305.0,OMITS,OMITS,,,,NO,NOT AT ALL,WHITE,,OMITS,FAVORABLE,,MCCAIN,YES,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,DEMOCRAT,,OTHERS,0.305
5.0,29.0,15.0,FIRST CALL,40-44,WHITE,FEMALE,BRADLEY,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,OMITS,,,DEMOCRAT,POST GRADUATE STUDY,JEWISH,,"$75,000-$99,999",,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,30-44,40-49,DEMOCRAT,40-49,40-49,487.0,UNFAVORABLE,OMITS,,,,NO,NOT AT ALL,WHITE,,UNFAVORABLE,FAVORABLE,,BUSH,YES,NO,WHITE,JEWISH,DEMOCRAT,,OTHERS,0.487
5.0,29.0,16.0,FIRST CALL,40-44,WHITE,MALE,GORE,,,,,CANDS POSITIONS ON ISSUES,ILLEGAL IN ALL CASES,NO,,,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,,"$75,000-$99,999",,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,30-44,40-49,DEMOCRAT,40-49,40-49,792.0,UNFAVORABLE,UNFAVORABLE,,,,NO,NOT AT ALL,WHITE,,FAVORABLE,UNFAVORABLE,,BUSH,NO,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,DEMOCRAT,,OTHERS,0.792
5.0,29.0,21.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,BEFORE THAT,ECONOMY/JOBS,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS PERSONAL QUALITIES,,,BETTER,NO,DEMOCRAT,,,NO,"$15,000-$29,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,30-44,40-49,DEMOCRAT,40-49,40-49,661.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,NO,NO,WHITE,,DEMOCRAT,SATISFIED,OTHERS,0.661
5.0,29.0,23.0,SECOND CALL,18-24,BLACK,FEMALE,GORE,TODAY,ECONOMY/JOBS,STRONG LEADER,APPROVE,CANDS PERSONAL QUALITIES,,,BETTER,NO,DEMOCRAT,,,NO,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,18-29,18-24,DEMOCRAT,18-24,18-24,359.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,NO,NO,BLACK,,DEMOCRAT,SATISFIED,OTHERS,0.359
5.0,29.0,24.0,SECOND CALL,65-74,WHITE,FEMALE,BRADLEY,TODAY,RACE RELATIONS,STANDS UP FOR BELIEFS,APPROVE,CANDS POSITIONS ON ISSUES,,,SAME,NO,DEMOCRAT,,,OMITS,"$15,000-$29,000",OMITS,MODERATE,MODERATE,65+,18-74,TOO LIBERAL,ABOUT RIGHT,COMPLETE,60+,60+,DEMOCRAT,65+,65-74,536.0,,,GORE,GORE,YES,,,YELLOW,BRADLEY,,,FAVORABLE,,NO,NO,WHITE,,DEMOCRAT,SATISFIED,OTHERS,0.536
5.0,29.0,27.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,THIS YEAR,ABORTION,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS PERSONAL QUALITIES,,,WORSE,NO,REPUBLICAN,,,NO,"$50,000-$74,999",NO,VERY LIBERAL,LIBERAL,65+,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,60+,60+,REPUBLICAN,65+,65-74,728.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,NO,NO,WHITE,,DEMOCRAT,SATISFIED,OTHERS,0.728
5.0,29.0,31.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,BEFORE THAT,ABORTION,CAN WIN IN NOVEMBER,OMITS,OMITS,,,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,OMITS,NOT COMPLETE,45-59,50-59,,50-64,50-64,661.0,,,GORE,GORE,YES,,,YELLOW,OMITS,,,OMITS,,,,WHITE,,DEMOCRAT,OMITS,OTHERS,0.661
5.0,29.0,32.0,SECOND CALL,50-59,BLACK,FEMALE,GORE,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,NO,,,DEMOCRAT,POST GRADUATE STUDY,CATHOLIC,,"$50,000-$74,999",,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,45-59,50-59,DEMOCRAT,50-64,50-64,345.0,UNFAVORABLE,UNFAVORABLE,,,,NO,NOT AT ALL,WHITE,,FAVORABLE,UNFAVORABLE,,BUSH,NO,NO,BLACK,CATHOLIC,DEMOCRAT,,OTHERS,0.34500000000000003
5.0,29.0,33.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,,,,,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,NO,,,DEMOCRAT,COLLEGE GRADUATE,JEWISH,,"$50,000-$74,999",,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,,,COMPLETE,45-59,50-59,DEMOCRAT,50-64,50-64,661.0,UNFAVORABLE,FAVORABLE,,,,NO,SOMEWHAT,WHITE,,FAVORABLE,UNFAVORABLE,,MCCAIN,NO,NO,WHITE,JEWISH,DEMOCRAT,,OTHERS,0.661
5.0,29.0,35.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,NO,,,DEMOCRAT,POST GRADUATE STUDY,JEWISH,,"$75,000-$99,999",,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,661.0,UNFAVORABLE,FAVORABLE,,,,NO,NOT AT ALL,WHITE,,FAVORABLE,FAVORABLE,,BUSH,NO,NO,WHITE,JEWISH,DEMOCRAT,,OTHERS,0.661
5.0,29.0,37.0,SECOND CALL,75+,WHITE,FEMALE,GORE,,,,,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,NO,,,INDEPENDENT,DID NOT COMPLETE HIGH SCHOOL,CATHOLIC,,"$50,000-$74,999",,VERY LIBERAL,LIBERAL,65+,75+,,,COMPLETE,60+,60+,INDEPENDENT/OTHER,65+,75+,728.0,FAVORABLE,UNFAVORABLE,,,,NO,GREAT DEAL,WHITE,,FAVORABLE,UNFAVORABLE,,BUSH,NO,NO,WHITE,CATHOLIC,DEMOCRAT,,OTHERS,0.728
5.0,29.0,38.0,SECOND CALL,75+,WHITE,MALE,GORE,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,NO,,,DEMOCRAT,COLLEGE GRADUATE,JEWISH,,"$75,000-$99,999",,MODERATE,MODERATE,65+,75+,,,COMPLETE,60+,60+,DEMOCRAT,65+,75+,873.0,UNFAVORABLE,UNFAVORABLE,,,,YES,NOT AT ALL,WHITE,,FAVORABLE,FAVORABLE,,MCCAIN,NO,NO,WHITE,JEWISH,DEMOCRAT,,OTHERS,0.873
5.0,29.0,40.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,,,,,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,NO,,,DEMOCRAT,POST GRADUATE STUDY,JEWISH,,"$75,000-$99,999",,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,661.0,UNFAVORABLE,UNFAVORABLE,,,,NO,NOT AT ALL,WHITE,,FAVORABLE,FAVORABLE,,MCCAIN,NO,NO,WHITE,JEWISH,DEMOCRAT,,OTHERS,0.661
5.0,29.0,41.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,,,,,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,NO,,,DEMOCRAT,POST GRADUATE STUDY,NONE,,"$50,000-$74,999",,VERY LIBERAL,LIBERAL,18-64,18-74,,,COMPLETE,30-44,40-49,DEMOCRAT,40-49,40-49,661.0,UNFAVORABLE,FAVORABLE,,,,NO,NOT AT ALL,WHITE,,FAVORABLE,FAVORABLE,,BUSH,NO,NO,WHITE,NONE,DEMOCRAT,,OTHERS,0.661
5.0,29.0,44.0,THIRD CALL,40-44,WHITE,MALE,GORE,THIS YEAR,ECONOMY/JOBS,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,,,BETTER,NO,DEMOCRAT,,,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,30-44,40-49,DEMOCRAT,40-49,40-49,792.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,UNFAVORABLE,,YES,NO,WHITE,,DEMOCRAT,SATISFIED,OTHERS,0.792
5.0,29.0,45.0,THIRD CALL,40-44,BLACK,FEMALE,GORE,BEFORE THAT,ECONOMY/JOBS,OMITS,OMITS,OMITS,,,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,OMITS,NOT COMPLETE,30-44,40-49,,40-49,40-49,345.0,,,GORE,GORE,YES,,,YELLOW,OMITS,,,OMITS,,,,BLACK,,DEMOCRAT,OMITS,OTHERS,0.34500000000000003
5.0,29.0,49.0,THIRD CALL,45-49,OTHER,FEMALE,GORE,THIS YEAR,HEALTH CARE,HAS NEW IDEAS,APPROVE,CANDS PERSONAL QUALITIES,,,BETTER,NO,INDEPENDENT,,,NO,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,661.0,,,GORE,OMITS,YES,,,YELLOW,OMITS,,,FAVORABLE,,NO,NO,OTHER,,DEMOCRAT,NOT SATISFIED,OTHERS,0.661
5.0,29.0,50.0,THIRD CALL,40-44,WHITE,MALE,GORE,BEFORE THAT,HEALTH CARE,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,,,BETTER,NO,DEMOCRAT,,,YES,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,30-44,40-49,DEMOCRAT,40-49,40-49,792.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,YES,NO,WHITE,,DEMOCRAT,SATISFIED,OTHERS,0.792
5.0,29.0,51.0,THIRD CALL,30-39,BLACK,MALE,BRADLEY,THIS YEAR,EDUCATION,HAS NEW IDEAS,APPROVE,CANDS POSITIONS ON ISSUES,,,BETTER,YES,DEMOCRAT,,,NO,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,TOO LIBERAL,TOO LIBERAL,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,305.0,,,GORE,GORE,YES,,,YELLOW,BRADLEY,,,OMITS,,NO,NO,BLACK,,DEMOCRAT,SATISFIED,OTHERS,0.305
5.0,29.0,53.0,THIRD CALL,50-59,WHITE,MALE,GORE,WITHIN LAST WEEK,ECONOMY/JOBS,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,,,BETTER,YES,DEMOCRAT,,,OMITS,"$50,000-$74,999",OMITS,MODERATE,MODERATE,18-64,18-74,ABOUT RIGHT,OMITS,COMPLETE,45-59,50-59,DEMOCRAT,50-64,50-64,792.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,OMITS,,NO,NO,WHITE,,DEMOCRAT,SATISFIED,OTHERS,0.792
5.0,29.0,54.0,THIRD CALL,50-59,WHITE,MALE,GORE,THIS YEAR,ECONOMY/JOBS,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,,,BETTER,NO,DEMOCRAT,,,NO,"$75,000-$99,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,45-59,50-59,DEMOCRAT,50-64,50-64,792.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,UNFAVORABLE,,NO,NO,WHITE,,DEMOCRAT,SATISFIED,OTHERS,0.792
5.0,29.0,55.0,THIRD CALL,50-59,BLACK,MALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STRONG LEADER,APPROVE,CANDS PERSONAL QUALITIES,,,BETTER,NO,DEMOCRAT,,,NO,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,COMPLETE,45-59,50-59,DEMOCRAT,50-64,50-64,413.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,,,BLACK,,DEMOCRAT,SATISFIED,OTHERS,0.41300000000000003
5.0,29.0,56.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,THIS YEAR,ABORTION,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,,,BETTER,NO,DEMOCRAT,,,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,65+,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,60+,60+,DEMOCRAT,65+,65-74,728.0,,,GORE,GORE,YES,,,YELLOW,GORE,,,FAVORABLE,,NO,NO,WHITE,,DEMOCRAT,SATISFIED,OTHERS,0.728
5.0,29.0,57.0,THIRD CALL,65-74,WHITE,MALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,HAS THE RIGHT EXPERIENCE,APPROVE,CANDS POSITIONS ON ISSUES,,,BETTER,NO,DEMOCRAT,,,NO,"$50,000-$74,999",NO,VERY LIBERAL,LIBERAL,65+,18-74,ABOUT RIGHT,ABOUT RIGHT,COMPLETE,60+,60+,DEMOCRAT,65+,65-74,873.0,,,GORE,GORE,OMITS,,,YELLOW,GORE,,,FAVORABLE,,NO,NO,WHITE,,DEMOCRAT,SATISFIED,OTHERS,0.873
