STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,TIME,ISSUE,QUALITY,CLINTON,HLTHPLAN,ISSVQUAL,ABORTION,FINSIT,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,STR8DEMS,RACEREL,GORE2LIB,BRAD2LIB,QTYPE,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,GOREBUSH,GOREMCAN,GORE,BRADLEY,BCPERSON,REL5,WEIGHT,PREVPRID
11.0,30.0,1.0,FIRST CALL,40-44,WHITE,MALE,GORE,THIS YEAR,ECONOMY/JOBS,NOT TYPICAL POLITICAN,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,GORE,BOTH,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,SUBURBAN REPUBLICANS,30-44,40-49,DEMOCRAT,40-49,40-49,FAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.872,YES
11.0,30.0,2.0,FIRST CALL,30-39,,MALE,BRADLEY,THIS YEAR,ECONOMY/JOBS,STRONG LEADER,APPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,BRADLEY,BOTH,TOO LIBERAL,ABOUT RIGHT,STATE,COMPLETE,SUBURBAN REPUBLICANS,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,FAVORABLE,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,1.089,YES
11.0,30.0,3.0,SECOND CALL,40-44,WHITE,MALE,GORE,WITHIN LAST WEEK,ECONOMY/JOBS,HAS THE RIGHT EXPERIENCE,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,YES,INDEPENDENT,HIGH SCHOOL GRADUATE,SOMETHING ELSE,YES,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,GORE,BOTH,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,SUBURBAN REPUBLICANS,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,FAVORABLE,SOMETHING ELSE,0.872,YES
11.0,30.0,4.0,SECOND CALL,60-64,WHITE,FEMALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,HAS NEW IDEAS,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,OMITS,YES,,HIGH SCHOOL GRADUATE,,YES,,NO,,,18-64,18-74,GORE,OMITS,ABOUT RIGHT,OMITS,STATE,COMPLETE,SUBURBAN REPUBLICANS,60+,60+,,50-64,50-64,OMITS,FAVORABLE,GORE,GORE,FAVORABLE,OMITS,UNFAVORABLE,,1.079,YES
11.0,30.0,5.0,SECOND CALL,60-64,BLACK,FEMALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,STRONG LEADER,APPROVE,OMITS,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,OMITS,,OMITS,MODERATE,MODERATE,18-64,18-74,GORE,ONLY GORE,ABOUT RIGHT,OMITS,STATE,COMPLETE,SUBURBAN REPUBLICANS,60+,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,FAVORABLE,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,1.01,YES
11.0,30.0,6.0,SECOND CALL,60-64,BLACK,MALE,GORE,BEFORE THAT,RACE RELATIONS,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,YES,,NO,MODERATE,MODERATE,18-64,18-74,GORE,ONLY GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,SUBURBAN REPUBLICANS,60+,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,1.112,YES
11.0,30.0,7.0,SECOND CALL,60-64,BLACK,MALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,OMITS,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,YES,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,GORE,ONLY GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,SUBURBAN REPUBLICANS,60+,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,1.112,YES
11.0,31.0,1.0,FIRST CALL,65-74,BLACK,FEMALE,UNCOMITTED,BEFORE THAT,OMITS,STRONG LEADER,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,OMITS,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,NO,"UNDER $15,000",NO,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,BOTH,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,CENTRAL DEMOCRATS,60+,60+,DEMOCRAT,65+,65-74,FAVORABLE,FAVORABLE,OMITS,OMITS,FAVORABLE,FAVORABLE,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.0,YES
11.0,31.0,2.0,FIRST CALL,50-59,WHITE,FEMALE,BRADLEY,BEFORE THAT,OMITS,STANDS UP FOR BELIEFS,OMITS,OMITS,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,OMITS,"$75,000-$99,999",OMITS,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,CENTRAL DEMOCRATS,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,FAVORABLE,FAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,1.8940000000000001,YES
11.0,31.0,3.0,SECOND CALL,60-64,BLACK,FEMALE,GORE,BEFORE THAT,SOCIAL SECURITY/MEDICARE,STRONG LEADER,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,ILLEGAL IN ALL CASES,SAME,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,SOMETHING ELSE,OMITS,,OMITS,,,18-64,18-74,GORE,BOTH,OMITS,NOT LIBERAL ENOUGH,STATE,COMPLETE,CENTRAL DEMOCRATS,60+,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,FAVORABLE,SOMETHING ELSE,5.151,YES
11.0,31.0,4.0,SECOND CALL,50-59,WHITE,MALE,GORE,BEFORE THAT,HEALTH CARE,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,PROTESTANT,YES,,NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,CENTRAL DEMOCRATS,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,GORE,GORE,FAVORABLE,FAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,3.21,YES
11.0,31.0,5.0,SECOND CALL,30-39,WHITE,FEMALE,BRADLEY,THIS YEAR,ABORTION,HAS THE RIGHT EXPERIENCE,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,NONE,NO,"$75,000-$99,999",NO,VERY LIBERAL,LIBERAL,18-64,18-74,BOTH,BOTH,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,STATE,COMPLETE,CENTRAL DEMOCRATS,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,FAVORABLE,FAVORABLE,NONE,1.8940000000000001,YES
11.0,31.0,6.0,SECOND CALL,40-44,WHITE,FEMALE,BRADLEY,THIS YEAR,CAMPAIGN FINANCE REFORM,HAS THE RIGHT EXPERIENCE,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,CENTRAL DEMOCRATS,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,GORE,FAVORABLE,FAVORABLE,UNFAVORABLE,,1.8940000000000001,YES
11.0,31.0,7.0,THIRD CALL,50-59,HISPANIC/LATINO,FEMALE,GORE,THIS YEAR,SOCIAL SECURITY/MEDICARE,HAS THE RIGHT EXPERIENCE,DISAPPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,NO,INDEPENDENT,DID NOT COMPLETE HIGH SCHOOL,PROTESTANT,YES,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,GORE,ONLY GORE,ABOUT RIGHT,OMITS,STATE,COMPLETE,CENTRAL DEMOCRATS,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,5.151,YES
11.0,31.0,8.0,THIRD CALL,75+,WHITE,MALE,BRADLEY,WITHIN LAST WEEK,OMITS,STANDS UP FOR BELIEFS,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,PROTESTANT,NO,,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,BRADLEY,ONLY BRADLEY,OMITS,OMITS,STATE,COMPLETE,CENTRAL DEMOCRATS,60+,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,UNFAVORABLE,FAVORABLE,OMITS,PROTESTANT/OTHER CHRISTIAN,1.655,YES
11.0,31.0,9.0,THIRD CALL,40-44,WHITE,MALE,BRADLEY,WITHIN LAST WEEK,EDUCATION,HAS NEW IDEAS,DISAPPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,SAME,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,NO,"$30,000-$49,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,GORE,NEITHER,TOO LIBERAL,ABOUT RIGHT,STATE,COMPLETE,CENTRAL DEMOCRATS,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,FAVORABLE,OMITS,GORE,UNFAVORABLE,FAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,1.568,YES
11.0,31.0,10.0,THIRD CALL,75+,WHITE,FEMALE,BRADLEY,TODAY,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,DISAPPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,OMITS,NO,DEMOCRAT,,PROTESTANT,NO,,YES,,,65+,75+,BRADLEY,NEITHER,TOO LIBERAL,ABOUT RIGHT,STATE,COMPLETE,CENTRAL DEMOCRATS,60+,60+,DEMOCRAT,65+,75+,FAVORABLE,OMITS,BUSH,OMITS,OMITS,FAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,1.999,YES
11.0,32.0,1.0,FIRST CALL,25-29,BLACK,FEMALE,GORE,WITHIN LAST WEEK,RACE RELATIONS,HAS THE RIGHT EXPERIENCE,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,NO,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,BOTH,BOTH,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,ATLANTA AREA,18-29,25-29,DEMOCRAT,25-29,25-29,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.62,YES
11.0,32.0,2.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,BEFORE THAT,HEALTH CARE,OMITS,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,OTHER CHRISTIAN,NO,"$15,000-$29,000",NO,MODERATE,MODERATE,18-64,18-74,GORE,ONLY GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,ATLANTA AREA,60+,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,GORE,GORE,FAVORABLE,OMITS,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.676,YES
11.0,32.0,3.0,FIRST CALL,65-74,BLACK,MALE,GORE,BEFORE THAT,HEALTH CARE,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,OMITS,"$30,000-$49,000",NO,VERY LIBERAL,LIBERAL,65+,18-74,GORE,ONLY GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,ATLANTA AREA,60+,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,FAVORABLE,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.633,YES
11.0,32.0,4.0,FIRST CALL,65-74,BLACK,FEMALE,GORE,BEFORE THAT,OMITS,OMITS,APPROVE,GORE PLAN BETTER,OMITS,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,YES,"$50,000-$74,999",NO,MODERATE,MODERATE,65+,18-74,OMITS,ONLY GORE,ABOUT RIGHT,OMITS,STATE,COMPLETE,ATLANTA AREA,60+,60+,DEMOCRAT,65+,65-74,OMITS,OMITS,GORE,GORE,FAVORABLE,OMITS,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.648,YES
11.0,32.0,5.0,FIRST CALL,45-49,BLACK,FEMALE,GORE,WITHIN LAST 3 DAYS,HEALTH CARE,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,NO,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,GORE,ONLY GORE,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,ATLANTA AREA,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.656,YES
11.0,32.0,6.0,FIRST CALL,60-64,BLACK,FEMALE,GORE,THIS YEAR,HEALTH CARE,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,ILLEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,,OTHER CHRISTIAN,YES,"$15,000-$29,000",NO,MODERATE,MODERATE,18-64,18-74,GORE,ONLY GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,ATLANTA AREA,60+,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.648,YES
11.0,32.0,7.0,FIRST CALL,50-59,BLACK,FEMALE,GORE,THIS YEAR,ECONOMY/JOBS,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,NO,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,GORE,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,ATLANTA AREA,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,FAVORABLE,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.656,YES
11.0,32.0,8.0,FIRST CALL,40-44,BLACK,FEMALE,GORE,THIS YEAR,EDUCATION,STRONG LEADER,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,SAME,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,NO,"$15,000-$29,000",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BOTH,ONLY GORE,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,ATLANTA AREA,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,FAVORABLE,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.656,YES
11.0,32.0,9.0,FIRST CALL,25-29,BLACK,FEMALE,GORE,BEFORE THAT,ECONOMY/JOBS,NOT TYPICAL POLITICAN,APPROVE,BRADLEY PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,SOMETHING ELSE,OMITS,"$15,000-$29,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,GORE,ONLY GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,ATLANTA AREA,18-29,25-29,DEMOCRAT,25-29,25-29,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,FAVORABLE,SOMETHING ELSE,0.62,NO
11.0,32.0,10.0,FIRST CALL,50-59,BLACK,FEMALE,GORE,THIS YEAR,ECONOMY/JOBS,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,18-64,18-74,OMITS,ONLY GORE,ABOUT RIGHT,TOO LIBERAL,STATE,NOT COMPLETE,ATLANTA AREA,45-59,50-59,,50-64,50-64,OMITS,OMITS,GORE,GORE,OMITS,OMITS,OMITS,,0.656,
11.0,32.0,11.0,SECOND CALL,50-59,BLACK,MALE,BRADLEY,THIS YEAR,HEALTH CARE,STRONG LEADER,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,YES,DEMOCRAT,COLLEGE GRADUATE,JEWISH,YES,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,BRADLEY,BOTH,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,ATLANTA AREA,45-59,50-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,UNFAVORABLE,FAVORABLE,FAVORABLE,JEWISH,0.396,YES
11.0,32.0,12.0,SECOND CALL,45-49,BLACK,MALE,GORE,BEFORE THAT,ECONOMY/JOBS,STRONG LEADER,APPROVE,BOTH THE SAME,OMITS,LEGAL IN MOST CASES,WORSE,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,YES,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,NEITHER,ONLY GORE,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,ATLANTA AREA,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,FAVORABLE,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.64,NO
11.0,32.0,13.0,SECOND CALL,60-64,BLACK,MALE,GORE,BEFORE THAT,RACE RELATIONS,HAS THE RIGHT EXPERIENCE,APPROVE,BOTH THE SAME,CANDS POSITIONS ON ISSUES,LEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,NO,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,BOTH,ONLY GORE,ABOUT RIGHT,OMITS,STATE,COMPLETE,ATLANTA AREA,60+,60+,DEMOCRAT,50-64,50-64,OMITS,OMITS,GORE,GORE,FAVORABLE,OMITS,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.633,YES
11.0,32.0,14.0,SECOND CALL,40-44,BLACK,MALE,GORE,BEFORE THAT,ECONOMY/JOBS,HAS THE RIGHT EXPERIENCE,APPROVE,BRADLEY PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,SOMETHING ELSE,SOME COLLEGE OR ASSOCIATES,SOMETHING ELSE,YES,"UNDER $15,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,GORE,ONLY GORE,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,ATLANTA AREA,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,FAVORABLE,GORE,GORE,FAVORABLE,FAVORABLE,UNFAVORABLE,SOMETHING ELSE,0.64,NO
11.0,32.0,15.0,SECOND CALL,25-29,BLACK,MALE,GORE,THIS YEAR,ECONOMY/JOBS,HAS THE RIGHT EXPERIENCE,APPROVE,OMITS,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,OMITS,"$50,000-$74,999",OMITS,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NEITHER,BOTH,NOT LIBERAL ENOUGH,NOT LIBERAL ENOUGH,STATE,COMPLETE,ATLANTA AREA,18-29,25-29,DEMOCRAT,25-29,25-29,UNFAVORABLE,FAVORABLE,GORE,GORE,FAVORABLE,FAVORABLE,UNFAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.606,YES
11.0,32.0,16.0,SECOND CALL,30-39,BLACK,MALE,GORE,THIS YEAR,ECONOMY/JOBS,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,ILLEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,SOMETHING ELSE,YES,"$15,000-$29,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,GORE,BOTH,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,ATLANTA AREA,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,OMITS,SOMETHING ELSE,0.64,NO
11.0,32.0,17.0,SECOND CALL,25-29,BLACK,FEMALE,GORE,THIS YEAR,EDUCATION,STANDS UP FOR BELIEFS,APPROVE,BOTH THE SAME,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,SOMETHING ELSE,NO,"UNDER $15,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,GORE,ONLY GORE,ABOUT RIGHT,NOT LIBERAL ENOUGH,STATE,COMPLETE,ATLANTA AREA,18-29,25-29,DEMOCRAT,25-29,25-29,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,FAVORABLE,SOMETHING ELSE,0.62,YES
11.0,32.0,18.0,SECOND CALL,30-39,BLACK,FEMALE,GORE,THIS YEAR,OMITS,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,,YES,"$30,000-$49,000",NO,,,18-64,18-74,GORE,ONLY GORE,ABOUT RIGHT,OMITS,STATE,COMPLETE,ATLANTA AREA,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,,0.656,YES
11.0,32.0,19.0,SECOND CALL,40-44,BLACK,MALE,BRADLEY,WITHIN LAST 3 DAYS,RACE RELATIONS,NOT TYPICAL POLITICAN,APPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,NO,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,GORE,ONLY BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,ATLANTA AREA,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,UNFAVORABLE,GORE,MCCAIN,UNFAVORABLE,FAVORABLE,FAVORABLE,CATHOLIC,0.396,YES
11.0,32.0,20.0,SECOND CALL,40-44,BLACK,FEMALE,GORE,BEFORE THAT,OMITS,OMITS,DISAPPROVE,GORE PLAN BETTER,CANDS PERSONAL QUALITIES,ILLEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,OTHER CHRISTIAN,YES,"$15,000-$29,000",NO,MODERATE,MODERATE,18-64,18-74,GORE,ONLY GORE,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,ATLANTA AREA,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,UNFAVORABLE,FAVORABLE,PROTESTANT/OTHER CHRISTIAN,0.656,YES
11.0,32.0,21.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,BEFORE THAT,ECONOMY/JOBS,STANDS UP FOR BELIEFS,APPROVE,GORE PLAN BETTER,CANDS POSITIONS ON ISSUES,ILLEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,JEWISH,NO,"$30,000-$49,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,GORE,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,ATLANTA AREA,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,GORE,GORE,FAVORABLE,FAVORABLE,FAVORABLE,JEWISH,0.656,YES
