BUSHKNOW,OTHPRIRI,GEOCODE,OTHERPRI,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,CANDSOK,STANDLIV,ISSUE,QUALITY,ISSVQUAL,REPSEEN,RELRIGHT,VOTE96,ABORTION,FINSIT,SSTAX,BUSHDAD,PARTYID,MCAINVET,ATTEND,EDUC,RELIGION,BUSHUNFR,INCOME,FORBUNFR,MCAIUNFR,IDEOLOGY,PHIL3,VETERAN,OVER65,OVER75,BACKSIDE,AGE4,AGEABC,PARTY,AGE65,AGE75,DEBATES,BUSH,MCCAIN,FORBES,INTERNET,NHSTEC,STR8TALK,ETAX,MARRIED,CHILD,REFORMVT,RELPUB,DESCRIBE,BEATDEM,ELIFE,CAMPFIN,BRNAGAIN,REGREP,REL5,WEIGHT
Yes,,Rural north,,30.0,4.0,38.0,Call 3,30-39,Female,McCain,Within 3 days,Satisfied with candidates,,Moral values,Cares about average American,My candidates positions on the issues,,No,Dole,Illegal in most cases,,,,Republican,,Few times a year,High school graduate,Catholic,No,"$30,000 - $49,999",No,No,Moderate,Moderate,No,18-64,18-74,Complete,30-44,30-39,Republican,30-39,30-39,,,,,,,,,Yes,Yes,,Publicly discussed,,,,,No,Republican,Catholic,0.539
Yes,,Rural north,,30.0,4.0,39.0,Call 3,30-39,Male,McCain,Today,Satisfied with candidates,,Moral values,Cares about average American,My candidates positions on the issues,,No,Other,Legal in most cases,,,,Independent,,Few times a year,College graduate,Catholic,No,"$30,000 - $49,999",Yes,No,Moderate,Moderate,"Yes, someone else in household",18-64,18-74,Complete,30-44,30-39,Independent/Other,30-39,30-39,,,,,,,,,Yes,Yes,,Publicly discussed,,,,,Yes,Undeclared/Independent,Catholic,0.5730000000000001
Yes,,Rural north,,30.0,4.0,40.0,Call 3,40-44,Male,Forbes,Within last week,Would like someone else,,Taxes,Stands up for beliefs,My candidates personal qualities,,No,Forbes,Legal in all cases,,,,Independent,,Never,Some college/Associate,Protestant,Yes,"$30,000 - $49,999",OMITS,Yes,Moderate,Moderate,No,18-64,18-74,Complete,30-44,40-49,Independent/Other,40-49,40-49,,,,,,,,,Yes,Yes,,Publicly discussed,,,,,No,Republican,Protestant/Other Christian,0.615
,,Rural north,No,30.0,4.0,41.0,Call 3,40-44,Male,Bush,,,Will rise,,,,None,,,,Worse,Tax cut,Not too important,Republican,Not important at all,,Some college/Associate,,,"$50,000 - $74,999",,,Very conservative,Conservative,No,18-64,18-74,Complete,30-44,40-49,Republican,40-49,40-49,Very closely,Favorable,Unfavorable,Unfavorable,Yes,Good,Bush,No,,,No,,Strongly favor my candidate,Bush,Good amount,Help,,Republican,,0.719
,,Rural north,No,30.0,4.0,42.0,Call 3,45-49,Female,McCain,,,Will rise,,,,Two,,,,Better,Strengthen Social Security,Very important,,Very important,,Some college/Associate,,,,,,Very conservative,Conservative,"Yes, voter is a veteran",18-64,18-74,Complete,45-59,40-49,,40-49,40-49,Very closely,OMITS,OMITS,OMITS,No,Excellent,McCain,Yes,,,Yes,,Strongly favor my candidate,Bush,Not at all,Help,,Republican,,0.539
,,Rural north,No,30.0,4.0,43.0,Call 3,50-59,Male,McCain,,,Will rise,,,,None,,,,Same,Strengthen Social Security,Not too important,Republican,Somewhat important,,Some college/Associate,,,"$50,000 - $74,999",,,Somewhat liberal,Liberal,"Yes, someone else in household",18-64,18-74,Complete,45-59,50-59,Republican,50-64,50-64,Not closely at all,Favorable,Favorable,Favorable,Yes,Good,Both,No,,,No,,Strongly favor my candidate,McCain,Good amount,Hurt,,Republican,,0.5730000000000001
,,Rural north,No,30.0,4.0,44.0,Call 3,45-49,Female,Bush,,,Will rise,,,,One,,,,Same,Strengthen Social Security,Not too important,Republican,Somewhat important,,College graduate,,,"$50,000 - $74,999",,,Moderate,Moderate,"Yes, someone else in household",18-64,18-74,Complete,45-59,40-49,Republican,40-49,40-49,Not too closely,Favorable,Favorable,Favorable,Yes,Good,Bush,No,,,No,,Strongly favor my candidate,Bush,OMITS,Hurt,,Republican,,0.676
,,Rural north,No,30.0,4.0,45.0,Call 3,45-49,Male,Bush,,,OMITS,,,,Three or more,,,,,Strengthen Social Security,Not important at all,,Somewhat important,,,,,,,,,,,18-64,18-74,Not complete,45-59,40-49,,40-49,40-49,OMITS,OMITS,OMITS,OMITS,,OMITS,OMITS,OMITS,,,No,,Strongly favor my candidate,Bush,OMITS,Help,,,,0.719
,"Yes, for Bradley",Rural north,"Yes, for Bradley",30.0,4.0,46.0,Call 3,50-59,Male,Forbes,,,Will rise,,,,None,,,,Worse,Tax cut,Not important at all,Independent,Not too important,,Post graduate study,,,"$15,000-$29,999",,,Somewhat liberal,Liberal,"Yes, both voter and someone else",18-64,18-74,Complete,45-59,50-59,Independent/Other,50-64,50-64,Somewhat closely,Unfavorable,Favorable,Favorable,Yes,Good,McCain,No,,,Yes,,Like my candidate with reservations,,Great deal,Help,,Undeclared/Independent,,0.615
,,Rural north,No,30.0,4.0,47.0,Call 3,65-74,Male,Bush,,,Will rise,,,,Two,,,,Better,OMITS,Very important,Republican,Very important,,Some college/Associate,,,"$50,000 - $74,999",,,Very conservative,Conservative,"Yes, voter is a veteran",65 and over,18-74,Complete,60 and over,60 and over,Republican,65 and over,65-74,Very closely,OMITS,OMITS,OMITS,No,Excellent,OMITS,Yes,,,No,,Strongly favor my candidate,Bush,Not at all,Help,,Republican,,0.994
,No,Rural north,No,30.0,4.0,48.0,Call 3,45-49,Male,McCain,,,Will fall,,,,None,,,,Worse,Strengthen Social Security,Very important,Independent,Very important,,Some college/Associate,,,"$30,000 - $49,999",,,Somewhat liberal,Liberal,No,18-64,18-74,Complete,45-59,40-49,Independent/Other,40-49,40-49,Very closely,Unfavorable,Favorable,Favorable,Yes,Not so good,McCain,No,,,Yes,,Strongly favor my candidate,McCain,Great deal,Help,,Undeclared/Independent,,0.5730000000000001
,,Rural north,No,30.0,4.0,49.0,Call 3,40-44,Male,Bush,,,Will rise,,,,None,,,,Same,Tax cut,Not too important,Independent,Not too important,,College graduate,,,"$30,000 - $49,999",,,Very conservative,Conservative,"Yes, someone else in household",18-64,18-74,Complete,30-44,40-49,Independent/Other,40-49,40-49,Not too closely,Favorable,Unfavorable,Favorable,No,Good,Neither,OMITS,,,No,,Like my candidate with reservations,Bush,Little,Help,,Republican,,0.719
Yes,,Rural north,,30.0,7.0,1.0,Call 1,40-44,Male,McCain,Within 3 days,Satisfied with candidates,,Moral values,Strong leader,My candidates personal qualities,,No,Dole,Illegal in most cases,,,,Republican,,Few times a year,College graduate,Protestant,No,"$100,000 or more",No,No,Somewhat conservative,Conservative,,18-64,18-74,Complete,30-44,40-49,Republican,40-49,40-49,,,,,,,,,Yes,Yes,,Keep to themselves,,,,,No,Republican,Protestant/Other Christian,0.863
No,,Rural north,,30.0,7.0,2.0,Call 1,60-64,Female,McCain,This year,Satisfied with candidates,,World affairs,Stands up for beliefs,My candidates personal qualities,,No,Other,Legal in all cases,,,,Independent,,OMITS,College graduate,None,Yes,"$100,000 or more",No,No,Moderate,Moderate,"Yes, someone else in household",18-64,18-74,Complete,60 and over,60 and over,Independent/Other,50-64,50-64,,,,,,,,,Yes,No,,Publicly discussed,,,,,No,Undeclared/Independent,None,1.123
Yes,,Rural north,,30.0,7.0,3.0,Call 1,50-59,Male,McCain,This year,OMITS,,Social Security/Medicare,Represents conservative values,My candidates personal qualities,,No,Forbes,Legal in most cases,,,,Independent,,More than once a week,Some college/Associate,Catholic,No,"$15,000-$29,999",OMITS,OMITS,Moderate,Moderate,"Yes, voter is a veteran",18-64,18-74,Complete,45-59,50-59,Independent/Other,50-64,50-64,,,,,,,,,No,No,,Publicly discussed,,,,,No,Republican,Catholic,0.863
Yes,,Rural north,,30.0,7.0,4.0,Call 1,45-49,Female,Bush,Before that,Satisfied with candidates,,OMITS,OMITS,OMITS,,No,,Legal in most cases,,,,,,OMITS,,,OMITS,,OMITS,OMITS,,,,18-64,18-74,Not complete,45-59,40-49,,40-49,40-49,,,,,,,,,,,,OMITS,,,,,OMITS,,,1.018
Yes,,Rural north,,30.0,7.0,5.0,Call 1,75 and over,Male,McCain,This year,Satisfied with candidates,,Social Security/Medicare,Strong leader,My candidates personal qualities,,No,Dole,OMITS,,,,Republican,,Few times a year,College graduate,Protestant,No,"$30,000 - $49,999",Yes,No,Moderate,Moderate,"Yes, someone else in household",65 and over,75 and over,Complete,60 and over,60 and over,Republican,65 and over,75 and over,,,,,,,,,Yes,No,,Keep to themselves,,,,,No,Republican,Protestant/Other Christian,1.194
No,,Rural north,,30.0,7.0,6.0,Call 1,50-59,Female,McCain,Today,Satisfied with candidates,,Moral values,Strong leader,My candidates personal qualities,,No,Did not vote,Legal in most cases,,,,Independent,,Few times a year,Post graduate study,Other Christian,No,"$30,000 - $49,999",No,No,Moderate,Moderate,"Yes, someone else in household",18-64,18-74,Complete,45-59,50-59,Independent/Other,50-64,50-64,,,,,,,,,Yes,No,,Publicly discussed,,,,,No,Republican,Protestant/Other Christian,0.812
No,,Rural north,,30.0,7.0,7.0,Call 1,40-44,Male,Forbes,This year,Satisfied with candidates,,Taxes,Stands up for beliefs,My candidates positions on the issues,,No,Forbes,Legal in all cases,,,,Independent,,Never,Post graduate study,None,No,"$50,000 - $74,999",No,No,Somewhat liberal,Liberal,No,18-64,18-74,Complete,30-44,40-49,Independent/Other,40-49,40-49,,,,,,,,,Yes,Yes,,Keep to themselves,,,,,No,Republican,None,0.927
Yes,,Rural north,,30.0,7.0,8.0,Call 1,40-44,Female,McCain,This year,Satisfied with candidates,,Social Security/Medicare,Stands up for beliefs,My candidates positions on the issues,,No,Did not vote,Legal in most cases,,,,Independent,,Few times a year,Post graduate study,Protestant,Yes,"$50,000 - $74,999",Yes,OMITS,Very liberal,Liberal,No,18-64,18-74,Complete,30-44,40-49,Independent/Other,40-49,40-49,,,,,,,,,No,No,,Publicly discussed,,,,,No,Undeclared/Independent,Protestant/Other Christian,0.812
Yes,,Rural north,,30.0,7.0,9.0,Call 1,60-64,Male,Forbes,Within last week,Satisfied with candidates,,Moral values,Represents conservative values,My candidates personal qualities,,No,Dole,Illegal in most cases,,,,Republican,,Once a week,,Catholic,No,"$75,000 - $99,999",No,No,Very conservative,Conservative,"Yes, voter is a veteran",18-64,18-74,Complete,60 and over,60 and over,Republican,50-64,50-64,,,,,,,,,Yes,No,,Publicly discussed,,,,,No,Republican,Catholic,1.283
No,,Rural north,,30.0,7.0,10.0,Call 1,65-74,Female,McCain,Before that,Satisfied with candidates,,OMITS,OMITS,My candidates personal qualities,,No,Did not vote,Illegal in most cases,,,,Republican,,Once a week,Some college/Associate,Catholic,No,"$15,000-$29,999",No,No,Somewhat conservative,Conservative,"Yes, someone else in household",65 and over,18-74,Complete,60 and over,60 and over,Republican,65 and over,65-74,,,,,,,,,Yes,No,,Publicly discussed,,,,,No,Republican,Catholic,1.123
OMITS,,Rural north,,30.0,7.0,11.0,Call 1,50-59,Female,McCain,This year,Satisfied with candidates,,World affairs,Can win in November,My candidates personal qualities,,No,Dole,Illegal in all cases,,,,Independent,,Once a week,Post graduate study,Catholic,No,"$100,000 or more",No,No,Somewhat liberal,Liberal,No,18-64,18-74,Complete,45-59,50-59,Independent/Other,50-64,50-64,,,,,,,,,Yes,No,,Publicly discussed,,,,,No,Undeclared/Independent,Catholic,0.812
No,,Rural north,,30.0,7.0,12.0,Call 1,50-59,Male,McCain,Within last week,Would like someone else,,World affairs,Strong leader,My candidates personal qualities,,No,Did not vote,Legal in all cases,,,,Independent,,Few times a year,College graduate,Protestant,OMITS,"$75,000 - $99,999",OMITS,No,Somewhat liberal,Liberal,"Yes, voter is a veteran",18-64,18-74,Complete,45-59,50-59,Independent/Other,50-64,50-64,,,,,,,,,Yes,No,,Keep to themselves,,,,,No,Undeclared/Independent,Protestant/Other Christian,0.863
,,Rural north,No,30.0,7.0,13.0,Call 1,65-74,Female,McCain,,,Will fall,,,,None,,,,Worse,Strengthen Social Security,Somewhat important,Republican,Very important,,Some college/Associate,,,,,,Somewhat conservative,Conservative,"Yes, someone else in household",65 and over,18-74,Complete,60 and over,60 and over,Republican,65 and over,65-74,Somewhat closely,Unfavorable,Favorable,Favorable,No,Not so good,McCain,No,,,No,,Strongly favor my candidate,Bush,Good amount,Help,,Republican,,1.123
,No,Rural north,No,30.0,7.0,14.0,Call 1,50-59,Female,Bush,,,Will fall,,,,None,,,,Same,Strengthen Social Security,Not too important,Republican,Not important at all,,High school graduate,,,"$30,000 - $49,999",,,Somewhat liberal,Liberal,No,18-64,18-74,Complete,45-59,50-59,Republican,50-64,50-64,Not too closely,Favorable,Unfavorable,Unfavorable,No,Good,Bush,No,,,No,,Like my candidate with reservations,Bush,Not at all,Help,,Undeclared/Independent,,1.018
,,Rural north,No,30.0,7.0,15.0,Call 1,60-64,Female,McCain,,,Will rise,,,,One,,,,Better,Strengthen Social Security,Somewhat important,Republican,Not too important,,Post graduate study,,,"$75,000 - $99,999",,,Moderate,Moderate,"Yes, someone else in household",18-64,18-74,Complete,60 and over,60 and over,Republican,50-64,50-64,Somewhat closely,OMITS,Favorable,OMITS,Yes,Good,McCain,No,,,No,,Strongly favor my candidate,McCain,Good amount,Help,,Republican,,1.123
,"Yes, for Gore",Rural north,"Yes, for Gore",30.0,7.0,16.0,Call 1,50-59,Female,McCain,,,Will rise,,,,None,,,,Worse,Strengthen Social Security,Not too important,Democrat,Somewhat important,,College graduate,,,"$50,000 - $74,999",,,Somewhat liberal,Liberal,"Yes, someone else in household",18-64,18-74,Complete,45-59,50-59,Democrat,50-64,50-64,Somewhat closely,Unfavorable,Favorable,Unfavorable,No,Good,McCain,No,,,No,,Dislike other candidate,OMITS,Great deal,Help,,Undeclared/Independent,,0.812
,,Rural north,No,30.0,7.0,17.0,Call 1,50-59,Male,Bush,,,Will rise,,,,One,,,,Better,Tax cut,Not important at all,Republican,Not important at all,,High school graduate,,,"$50,000 - $74,999",,,Very conservative,Conservative,"Yes, voter is a veteran",18-64,18-74,Complete,45-59,50-59,Republican,50-64,50-64,Very closely,Favorable,Favorable,Favorable,Yes,Good,Bush,No,,,No,,Strongly favor my candidate,Bush,Good amount,Hurt,,Republican,,1.082
,No,Rural north,No,30.0,7.0,18.0,Call 1,50-59,Male,McCain,,,Will rise,,,,Two,,,,Better,Strengthen Social Security,Not important at all,Independent,Very important,,High school graduate,,,"$30,000 - $49,999",,,Moderate,Moderate,"Yes, voter is a veteran",18-64,18-74,Complete,45-59,50-59,Independent/Other,50-64,50-64,Somewhat closely,Unfavorable,Favorable,Unfavorable,No,Good,McCain,Yes,,,No,,Strongly favor my candidate,McCain,Great deal,Hurt,,Undeclared/Independent,,0.863
,No,Rural north,No,30.0,7.0,19.0,Call 1,30-39,Female,McCain,,,Will fall,,,,None,,,,Better,Tax cut,Very important,Independent,Very important,,Some college/Associate,,,"$100,000 or more",,,Somewhat liberal,Liberal,,18-64,18-74,Complete,30-44,30-39,Independent/Other,30-39,30-39,Somewhat closely,Unfavorable,Favorable,Unfavorable,Yes,OMITS,McCain,No,,,No,,Strongly favor my candidate,McCain,Little,Help,,Undeclared/Independent,,0.812
,"Yes, for Gore",Rural north,"Yes, for Gore",30.0,7.0,20.0,Call 1,65-74,Male,Bush,,,Will rise,,,,None,,,,Better,Strengthen Social Security,Not too important,Democrat,Not too important,,Some college/Associate,,,"$75,000 - $99,999",,,Somewhat liberal,Liberal,"Yes, both voter and someone else",65 and over,18-74,Complete,60 and over,60 and over,Democrat,65 and over,65-74,Not too closely,Favorable,Unfavorable,Favorable,Yes,Poor,Neither,No,,,No,,Like my candidate with reservations,Bush,Good amount,Help,,Undeclared/Independent,,1.496
,,Rural north,"Yes, for Bradley",30.0,7.0,21.0,Call 1,65-74,,Bush,,,OMITS,,,,None,,,,,OMITS,Not too important,,Somewhat important,,,,,,,,,,,65 and over,18-74,Not complete,60 and over,60 and over,,65 and over,65-74,OMITS,OMITS,OMITS,OMITS,,OMITS,OMITS,OMITS,,,Yes,,Like my candidate with reservations,Bush,OMITS,Help,,,,1.496
,No,Rural north,No,30.0,7.0,22.0,Call 1,30-39,Female,McCain,,,Will rise,,,,None,,,,Better,Tax cut,Not important at all,Independent,Not too important,,Some college/Associate,,,"$100,000 or more",,,Somewhat conservative,Conservative,No,18-64,18-74,Complete,30-44,30-39,Independent/Other,30-39,30-39,Somewhat closely,Favorable,Favorable,Favorable,Yes,Good,McCain,No,,,No,,Strongly favor my candidate,Bush,Great deal,Help,,Undeclared/Independent,,0.812
,,Rural north,"Yes, for Bradley",30.0,7.0,23.0,Call 1,40-44,Male,McCain,,,Will rise,,,,None,,,,Better,Tax cut,Not important at all,Democrat,Not too important,,College graduate,,,"$75,000 - $99,999",,,Somewhat liberal,Liberal,No,18-64,18-74,Complete,30-44,40-49,Democrat,40-49,40-49,Somewhat closely,Unfavorable,Favorable,Favorable,No,Excellent,Both,Yes,,,No,,Dislike other candidate,McCain,Great deal,Help,,Not registered,,0.863
,,Rural north,No,30.0,7.0,24.0,Call 1,50-59,Female,McCain,,,OMITS,,,,None,,,,Better,OMITS,Not important at all,Republican,Very important,,Some college/Associate,,,"$30,000 - $49,999",,,Moderate,Moderate,"Yes, someone else in household",18-64,18-74,Complete,45-59,50-59,Republican,50-64,50-64,Somewhat closely,OMITS,OMITS,OMITS,No,Excellent,OMITS,OMITS,,,No,,Strongly favor my candidate,McCain,Great deal,OMITS,,Republican,,0.812
,"Yes, for Bradley",Rural north,"Yes, for Bradley",30.0,7.0,25.0,Call 1,60-64,Female,McCain,,,Will rise,,,,None,,,,Better,Strengthen Social Security,Not important at all,Independent,Somewhat important,,College graduate,,,"$50,000 - $74,999",,,Moderate,Moderate,No,18-64,18-74,Complete,60 and over,60 and over,Independent/Other,50-64,50-64,Very closely,Unfavorable,Favorable,Favorable,No,Good,McCain,OMITS,,,No,,Strongly favor my candidate,McCain,Good amount,Help,,Undeclared/Independent,,1.123
Yes,,Rural north,,30.0,7.0,26.0,Call 2,65-74,Male,McCain,Within last week,Satisfied with candidates,,World affairs,Stands up for beliefs,My candidates positions on the issues,,No,Dole,Legal in most cases,,,,Republican,,Few times a month,College graduate,Protestant,No,"$75,000 - $99,999",No,No,Very conservative,Conservative,"Yes, voter is a veteran",65 and over,18-74,Complete,60 and over,60 and over,Republican,65 and over,65-74,,,,,,,,,Yes,No,,Keep to themselves,,,,,No,Republican,Protestant/Other Christian,1.194
Yes,,Rural north,,30.0,7.0,27.0,Call 2,65-74,Female,McCain,This year,Satisfied with candidates,,OMITS,Strong leader,My candidates positions on the issues,,No,Dole,Legal in most cases,,,,Republican,,Few times a month,College graduate,Protestant,Yes,"$75,000 - $99,999",Yes,No,Somewhat conservative,Conservative,"Yes, someone else in household",65 and over,18-74,Complete,60 and over,60 and over,Republican,65 and over,65-74,,,,,,,,,Yes,No,,Keep to themselves,,,,,No,Republican,Protestant/Other Christian,1.123
Yes,,Rural north,,30.0,7.0,28.0,Call 2,65-74,Male,McCain,Today,Satisfied with candidates,,World affairs,Strong leader,My candidates personal qualities,,No,Dole,Legal in most cases,,,,Republican,,Few times a year,College graduate,Protestant,No,"$50,000 - $74,999",Yes,No,Somewhat conservative,Conservative,"Yes, voter is a veteran",65 and over,18-74,Complete,60 and over,60 and over,Republican,65 and over,65-74,,,,,,,,,Yes,No,,Keep to themselves,,,,,No,Republican,Protestant/Other Christian,1.194
No,,Rural north,,30.0,7.0,29.0,Call 2,60-64,Female,McCain,Within last week,Satisfied with candidates,,Campaign finance reform,Stands up for beliefs,My candidates personal qualities,,No,Other,Illegal in most cases,,,,Independent,,Few times a month,Some college/Associate,Catholic,Yes,"$30,000 - $49,999",No,No,Somewhat conservative,Conservative,"Yes, someone else in household",18-64,18-74,Complete,60 and over,60 and over,Independent/Other,50-64,50-64,,,,,,,,,Yes,No,,Keep to themselves,,,,,No,Undeclared/Independent,Catholic,1.123
Yes,,Rural north,,30.0,7.0,30.0,Call 2,65-74,Female,Bush,This year,Satisfied with candidates,,Social Security/Medicare,Can win in November,My candidates positions on the issues,,No,Dole,Legal in all cases,,,,Republican,,Few times a year,Some college/Associate,Protestant,No,"$30,000 - $49,999",OMITS,OMITS,Moderate,Moderate,"Yes, someone else in household",65 and over,18-74,Complete,60 and over,60 and over,Republican,65 and over,65-74,,,,,,,,,Yes,No,,Publicly discussed,,,,,No,Republican,Protestant/Other Christian,1.408
,"Yes, for Bradley",Rural north,"Yes, for Bradley",30.0,7.0,31.0,Call 2,50-59,Male,Bush,,,Will rise,,,,None,,,,Same,Strengthen Social Security,Not important at all,Independent,Not important at all,,College graduate,,,"$100,000 or more",,,Somewhat conservative,Conservative,No,18-64,18-74,Complete,45-59,50-59,Independent/Other,50-64,50-64,Very closely,Favorable,Unfavorable,Unfavorable,Yes,Good,Bush,No,,,No,,Like my candidate with reservations,Bush,Good amount,Help,,Undeclared/Independent,,1.082
,"Yes, for Bradley",Rural north,"Yes, for Bradley",30.0,7.0,32.0,Call 2,40-44,Female,McCain,,,Will rise,,,,None,,,,Same,Tax cut,Not important at all,Independent,Somewhat important,,,,,"$30,000 - $49,999",,,Somewhat liberal,Liberal,"Yes, someone else in household",18-64,18-74,Complete,30-44,40-49,Independent/Other,40-49,40-49,Not too closely,Unfavorable,Favorable,Unfavorable,Yes,Good,McCain,No,,,Yes,,Strongly favor my candidate,McCain,Great deal,Help,,Undeclared/Independent,,0.812
,No,Rural north,No,30.0,7.0,33.0,Call 2,60-64,Male,McCain,,,Will rise,,,,None,,,,Same,Strengthen Social Security,Not important at all,Independent,Very important,,Some college/Associate,,,"$50,000 - $74,999",,,Somewhat conservative,Conservative,"Yes, someone else in household",18-64,18-74,Complete,60 and over,60 and over,Independent/Other,50-64,50-64,Not too closely,Favorable,Favorable,Favorable,Yes,Good,McCain,No,,,No,,Strongly favor my candidate,McCain,Great deal,Help,,Undeclared/Independent,,1.194
No,,Rural north,,30.0,7.0,34.0,Call 3,30-39,Female,Forbes,Within 3 days,Satisfied with candidates,,Social Security/Medicare,Represents conservative values,My candidates positions on the issues,,No,Did not vote,Legal in most cases,,,,Republican,,Never,College graduate,None,No,"$15,000-$29,999",No,No,Somewhat conservative,Conservative,No,18-64,18-74,Complete,30-44,30-39,Republican,30-39,30-39,,,,,,,,,No,No,,Keep to themselves,,,,,No,Not registered,None,0.872
No,,Rural north,,30.0,7.0,35.0,Call 3,40-44,,McCain,This year,Would like someone else,,Education,Represents conservative values,My candidates personal qualities,,No,Buchanan,Legal in all cases,,,,Independent,,Never,Some college/Associate,Protestant,Yes,"$30,000 - $49,999",Yes,OMITS,Somewhat liberal,Liberal,No,18-64,18-74,Complete,30-44,40-49,Independent/Other,40-49,40-49,,,,,,,,,No,Yes,,Publicly discussed,,,,,No,Republican,Protestant/Other Christian,0.812
No,,Rural north,,30.0,7.0,36.0,Call 3,40-44,Male,Forbes,Today,Would like someone else,,Abortion,Represents conservative values,My candidates positions on the issues,,Yes,Other,Illegal in all cases,,,,Independent,,Once a week,Some college/Associate,Protestant,No,"$30,000 - $49,999",No,No,Somewhat conservative,Conservative,No,18-64,18-74,Complete,30-44,40-49,Independent/Other,40-49,40-49,,,,,,,,,No,No,,Publicly discussed,,,,,Yes,Republican,Protestant/Other Christian,0.927
Yes,,Rural north,,30.0,7.0,37.0,Call 3,45-49,Female,McCain,This year,Satisfied with candidates,,Moral values,Stands up for beliefs,My candidates personal qualities,,No,Dole,Legal in most cases,,,,Republican,,Never,College graduate,Something else,No,"$30,000 - $49,999",No,No,Moderate,Moderate,"Yes, voter is a veteran",18-64,18-74,Complete,45-59,40-49,Republican,40-49,40-49,,,,,,,,,No,No,,Keep to themselves,,,,,No,Republican,Something else,0.812
No,,Rural north,,30.0,7.0,38.0,Call 3,40-44,,McCain,Within last week,Satisfied with candidates,,Campaign finance reform,Strong leader,My candidates personal qualities,,No,Other,Legal in all cases,,,,Democrat,,Never,High school graduate,None,No,"$50,000 - $74,999",No,No,Very liberal,Liberal,No,18-64,18-74,Complete,30-44,40-49,Democrat,40-49,40-49,,,,,,,,,Yes,No,,Keep to themselves,,,,,No,Undeclared/Independent,None,0.863
Yes,,Rural north,,30.0,7.0,39.0,Call 3,50-59,Male,Bush,Before that,Satisfied with candidates,,World affairs,Has the right experience,My candidates personal qualities,,No,Dole,Illegal in all cases,,,,Republican,,Few times a year,Post graduate study,Protestant,No,"$100,000 or more",No,No,Very conservative,Conservative,No,18-64,18-74,Complete,45-59,50-59,Republican,50-64,50-64,,,,,,,,,No,No,,Keep to themselves,,,,,No,Republican,Protestant/Other Christian,1.082
No,,Rural north,,30.0,7.0,40.0,Call 3,30-39,Female,McCain,Today,Would like someone else,,OMITS,Stands up for beliefs,My candidates personal qualities,,No,Did not vote,Legal in most cases,,,,Democrat,,Never,Post graduate study,None,Yes,"Under $15,000",Yes,No,Very liberal,Liberal,No,18-64,18-74,Complete,30-44,30-39,Democrat,30-39,30-39,,,,,,,,,No,No,,Keep to themselves,,,,,No,Undeclared/Independent,None,0.812
Yes,,Rural north,,30.0,7.0,41.0,Call 3,75 and over,Female,McCain,This year,Satisfied with candidates,,Social Security/Medicare,OMITS,My candidates personal qualities,,No,Dole,Illegal in most cases,,,,Republican,,Few times a month,Some college/Associate,Catholic,OMITS,"$30,000 - $49,999",OMITS,OMITS,Somewhat conservative,Conservative,"Yes, someone else in household",65 and over,75 and over,Complete,60 and over,60 and over,Republican,65 and over,75 and over,,,,,,,,,Yes,No,,Publicly discussed,,,,,No,Not registered,Catholic,1.123
No,,Rural north,,30.0,7.0,42.0,Call 3,40-44,Female,Keyes,This year,Satisfied with candidates,,Moral values,Stands up for beliefs,My candidates positions on the issues,,No,Buchanan,Illegal in all cases,,,,Republican,,Few times a month,High school graduate,Protestant,No,"$30,000 - $49,999",No,No,Very conservative,Conservative,"Yes, someone else in household",18-64,18-74,Complete,30-44,40-49,Republican,40-49,40-49,,,,,,,,,Yes,Yes,,Publicly discussed,,,,,Yes,Republican,Protestant/Other Christian,1.154
,No,Rural north,No,30.0,7.0,43.0,Call 3,30-39,Male,Forbes,,,Will fall,,,,None,,,,Better,Tax cut,Not important at all,,Not important at all,,Some college/Associate,,,"$30,000 - $49,999",,,Somewhat liberal,Liberal,"Yes, voter is a veteran",18-64,18-74,Complete,30-44,30-39,,30-39,30-39,Somewhat closely,Unfavorable,Unfavorable,Favorable,No,Not so good,Neither,Yes,,,Yes,,Strongly favor my candidate,,Great deal,Help,,Undeclared/Independent,,0.927
,,Rural north,No,30.0,7.0,44.0,Call 3,25-29,Male,McCain,,,Will rise,,,,None,,,,Better,Tax cut,Not too important,Republican,Somewhat important,,College graduate,,,"$30,000 - $49,999",,,Somewhat conservative,Conservative,"Yes, someone else in household",18-64,18-74,Complete,18-29,25-29,Republican,25-29,25-29,Very closely,Favorable,Favorable,Favorable,Yes,Good,Both,No,,,Yes,,Like my candidate with reservations,Bush,Great deal,Help,,Not registered,,1.105
,OMITS,Rural north,OMITS,30.0,7.0,45.0,Call 3,60-64,,McCain,,,Will rise,,,,None,,,,Same,Tax cut,Not important at all,Independent,Not important at all,,Some college/Associate,,,"$75,000 - $99,999",,,Moderate,Moderate,,18-64,18-74,Complete,60 and over,60 and over,Independent/Other,50-64,50-64,Not too closely,Favorable,Favorable,Favorable,No,Good,McCain,Yes,,,No,,Strongly favor my candidate,McCain,Little,Help,,Undeclared/Independent,,1.123
