STATE,PCT,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,CLINTON,UNION,PARTYID,RELIGION,INCOME,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,GEOCODE,AGE4,PARTY,AGE65,AGE75,BUSH,GORE,BCPERSON,JBUSH,GORBSH3,HISPANIC,QRACE,REL5,WEIGHT
10.0,30.0,35.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,JEWISH,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,65+,18-74,STATE,MIAMI,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,GORE,NO,WHITE,JEWISH,1.975
10.0,30.0,36.0,SECOND CALL,75+,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,JEWISH,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,65+,75+,STATE,MIAMI,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,JEWISH,2.214
10.0,30.0,37.0,SECOND CALL,75+,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,JEWISH,"$30,000-$49,000",MODERATE,MODERATE,65+,75+,STATE,MIAMI,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,OMITS,UNFAVORABLE,GORE,NO,WHITE,JEWISH,1.975
10.0,30.0,38.0,THIRD CALL,65-74,,FEMALE,GORE,APPROVE,NO,DEMOCRAT,,,VERY LIBERAL,LIBERAL,65+,18-74,STATE,MIAMI,60+,DEMOCRAT,65+,65-74,OMITS,OMITS,UNFAVORABLE,OMITS,OMITS,,,,1.975
10.0,30.0,39.0,THIRD CALL,75+,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,JEWISH,"$75,000-$99,999",MODERATE,MODERATE,65+,75+,STATE,MIAMI,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,GORE,NO,WHITE,JEWISH,2.214
10.0,30.0,40.0,THIRD CALL,50-59,WHITE,FEMALE,BRADLEY,APPROVE,NO,DEMOCRAT,JEWISH,"$100,000 OR MORE",MODERATE,MODERATE,18-64,18-74,STATE,MIAMI,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,GORE,NO,WHITE,JEWISH,3.23
10.0,30.0,41.0,THIRD CALL,60-64,WHITE,MALE,BRADLEY,DISAPPROVE,NO,DEMOCRAT,JEWISH,"$100,000 OR MORE",MODERATE,MODERATE,18-64,18-74,STATE,MIAMI,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,OMITS,UNFAVORABLE,UNFAVORABLE,GORE,NO,WHITE,JEWISH,3.666
10.0,30.0,42.0,THIRD CALL,75+,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,JEWISH,,VERY LIBERAL,LIBERAL,65+,75+,STATE,MIAMI,60+,DEMOCRAT,65+,75+,FAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,JEWISH,2.214
10.0,30.0,43.0,THIRD CALL,75+,WHITE,FEMALE,GORE,APPROVE,NO,INDEPENDENT,JEWISH,"$15,000-$29,000",MODERATE,MODERATE,65+,75+,STATE,MIAMI,60+,INDEPENDENT/OTHER,65+,75+,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,JEWISH,1.975
10.0,30.0,44.0,THIRD CALL,75+,WHITE,FEMALE,GORE,APPROVE,YES,DEMOCRAT,JEWISH,,MODERATE,MODERATE,65+,75+,STATE,MIAMI,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,JEWISH,1.975
10.0,30.0,45.0,THIRD CALL,75+,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,JEWISH,,SOMEWHAT LIBERAL,LIBERAL,65+,75+,STATE,MIAMI,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,JEWISH,1.975
10.0,30.0,46.0,THIRD CALL,75+,WHITE,,GORE,APPROVE,NO,DEMOCRAT,JEWISH,,MODERATE,MODERATE,65+,75+,STATE,MIAMI,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,OMITS,UNFAVORABLE,GORE,,WHITE,JEWISH,2.214
10.0,30.0,47.0,THIRD CALL,75+,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,JEWISH,,VERY LIBERAL,LIBERAL,65+,75+,STATE,MIAMI,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,GORE,NO,WHITE,JEWISH,2.214
10.0,30.0,48.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,JEWISH,,VERY LIBERAL,LIBERAL,65+,18-74,STATE,MIAMI,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,JEWISH,1.975
10.0,30.0,49.0,THIRD CALL,75+,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,JEWISH,"UNDER $15,000",SOMEWHAT LIBERAL,LIBERAL,65+,75+,STATE,MIAMI,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,OMITS,UNFAVORABLE,GORE,NO,WHITE,JEWISH,2.214
10.0,30.0,50.0,THIRD CALL,18-24,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,MIAMI,18-29,DEMOCRAT,18-24,18-24,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,YES,HISPANIC/LATINO,CATHOLIC,2.1310000000000002
10.0,30.0,51.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,JEWISH,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,65+,18-74,STATE,MIAMI,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,JEWISH,1.975
10.0,30.0,52.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,OMITS,NO,DEMOCRAT,JEWISH,,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,MIAMI,45-59,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,GORE,NO,WHITE,JEWISH,1.95
10.0,30.0,53.0,THIRD CALL,75+,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,JEWISH,"$15,000-$29,000",MODERATE,MODERATE,65+,75+,STATE,MIAMI,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,JEWISH,1.975
10.0,30.0,54.0,THIRD CALL,75+,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,JEWISH,"$15,000-$29,000",MODERATE,MODERATE,65+,75+,STATE,MIAMI,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,JEWISH,2.214
10.0,30.0,55.0,THIRD CALL,25-29,BLACK,FEMALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,MIAMI,18-29,DEMOCRAT,25-29,25-29,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,2.1310000000000002
10.0,30.0,56.0,THIRD CALL,50-59,WHITE,FEMALE,GORE,APPROVE,YES,DEMOCRAT,JEWISH,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,MIAMI,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,GORE,NO,WHITE,JEWISH,1.95
10.0,30.0,57.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,JEWISH,"$50,000-$74,999",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,MIAMI,45-59,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,JEWISH,1.95
10.0,30.0,58.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,APPROVE,,DEMOCRAT,CATHOLIC,"$30,000-$49,000",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,MIAMI,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,CATHOLIC,1.975
10.0,30.0,59.0,THIRD CALL,75+,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,,"$30,000-$49,000",MODERATE,MODERATE,65+,75+,STATE,MIAMI,60+,DEMOCRAT,65+,75+,FAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,GORE,,WHITE,,2.214
10.0,30.0,60.0,THIRD CALL,75+,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,JEWISH,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,65+,75+,STATE,MIAMI,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,JEWISH,1.975
10.0,30.0,61.0,THIRD CALL,75+,BLACK,FEMALE,GORE,APPROVE,,DEMOCRAT,OTHER CHRISTIAN,,,,65+,75+,STATE,MIAMI,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,,BLACK,PROTESTANT/OTHER CHRISTIAN,2.2760000000000002
10.0,30.0,62.0,THIRD CALL,65-74,,FEMALE,GORE,APPROVE,NO,INDEPENDENT,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,65+,18-74,STATE,MIAMI,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,GORE,NO,,PROTESTANT/OTHER CHRISTIAN,1.975
10.0,36.0,1.0,FIRST CALL,40-44,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"$75,000-$99,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,NORTH,30-44,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.352
10.0,36.0,2.0,FIRST CALL,40-44,HISPANIC/LATINO,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,30-44,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,GORE,YES,HISPANIC/LATINO,CATHOLIC,0.34400000000000003
10.0,36.0,3.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$15,000-$29,000",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,NORTH,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,CATHOLIC,0.319
10.0,36.0,4.0,SECOND CALL,40-44,BLACK,FEMALE,GORE,DISAPPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,30-44,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.322
10.0,36.0,5.0,SECOND CALL,60-64,WHITE,MALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,OMITS,OMITS,GORE,NO,WHITE,CATHOLIC,0.341
10.0,36.0,6.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,45-59,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,OMITS,OMITS,GORE,NO,WHITE,CATHOLIC,0.328
10.0,36.0,7.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.328
10.0,36.0,8.0,SECOND CALL,60-64,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.341
10.0,36.0,9.0,SECOND CALL,75+,WHITE,MALE,BRADLEY,DISAPPROVE,NO,REPUBLICAN,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,65+,75+,STATE,NORTH,60+,REPUBLICAN,65+,75+,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.495
10.0,36.0,10.0,SECOND CALL,65-74,WHITE,FEMALE,BRADLEY,DISAPPROVE,NO,REPUBLICAN,PROTESTANT,"$30,000-$49,000",MODERATE,MODERATE,65+,18-74,STATE,NORTH,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.463
10.0,36.0,11.0,SECOND CALL,50-59,WHITE,FEMALE,BRADLEY,DISAPPROVE,NO,REPUBLICAN,PROTESTANT,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,45-59,REPUBLICAN,50-64,50-64,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,NEITHER,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.47700000000000004
10.0,36.0,12.0,THIRD CALL,40-44,OTHER,FEMALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$100,000 OR MORE",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,NORTH,30-44,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,OTHER,CATHOLIC,0.328
10.0,36.0,13.0,THIRD CALL,45-49,WHITE,MALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$100,000 OR MORE",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,45-59,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,GORE,NO,WHITE,CATHOLIC,0.352
10.0,36.0,14.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,APPROVE,YES,DEMOCRAT,PROTESTANT,"$50,000-$74,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,NORTH,18-29,DEMOCRAT,25-29,25-29,FAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.341
10.0,36.0,15.0,THIRD CALL,60-64,WHITE,FEMALE,GORE,DISAPPROVE,NO,DEMOCRAT,PROTESTANT,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.319
10.0,36.0,16.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,NO,INDEPENDENT,CATHOLIC,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,30-44,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,CATHOLIC,0.328
10.0,36.0,17.0,THIRD CALL,40-44,WHITE,FEMALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,30-44,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,CATHOLIC,0.328
10.0,36.0,18.0,THIRD CALL,60-64,HISPANIC/LATINO,MALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,YES,WHITE,CATHOLIC,0.333
10.0,36.0,19.0,THIRD CALL,30-39,WHITE,FEMALE,BRADLEY,DISAPPROVE,NO,REPUBLICAN,OTHER CHRISTIAN,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,30-44,REPUBLICAN,30-39,30-39,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,NEITHER,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.47700000000000004
10.0,36.0,20.0,THIRD CALL,40-44,WHITE,FEMALE,BRADLEY,DISAPPROVE,NO,DEMOCRAT,PROTESTANT,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,30-44,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.47700000000000004
10.0,36.0,21.0,THIRD CALL,60-64,WHITE,MALE,BRADLEY,DISAPPROVE,NO,DEMOCRAT,CATHOLIC,"$50,000-$74,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,60+,DEMOCRAT,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,WHITE,CATHOLIC,0.495
10.0,36.0,22.0,THIRD CALL,45-49,WHITE,MALE,BRADLEY,APPROVE,YES,DEMOCRAT,CATHOLIC,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,45-59,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,UNFAVORABLE,OMITS,NEITHER,NO,WHITE,CATHOLIC,0.51
10.0,36.0,23.0,THIRD CALL,45-49,WHITE,FEMALE,GORE,DISAPPROVE,YES,DEMOCRAT,CATHOLIC,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,45-59,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,GORE,NO,WHITE,CATHOLIC,0.328
10.0,36.0,24.0,THIRD CALL,50-59,BLACK,FEMALE,GORE,APPROVE,YES,DEMOCRAT,OTHER CHRISTIAN,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.322
10.0,36.0,25.0,THIRD CALL,60-64,BLACK,MALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$15,000-$29,000",,,18-64,18-74,STATE,NORTH,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,,BLACK,PROTESTANT/OTHER CHRISTIAN,0.333
10.0,36.0,26.0,THIRD CALL,,WHITE,FEMALE,GORE,APPROVE,YES,INDEPENDENT,PROTESTANT,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,,,STATE,NORTH,,INDEPENDENT/OTHER,,,FAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.328
10.0,36.0,27.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"$30,000-$49,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,NORTH,30-44,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.322
10.0,37.0,1.0,FIRST CALL,60-64,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"$30,000-$49,000",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,NORTH,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.461
10.0,37.0,2.0,FIRST CALL,60-64,WHITE,MALE,BRADLEY,DISAPPROVE,YES,DEMOCRAT,PROTESTANT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,60+,DEMOCRAT,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.667
10.0,37.0,3.0,FIRST CALL,65-74,WHITE,MALE,GORE,APPROVE,YES,DEMOCRAT,PROTESTANT,"$15,000-$29,000",MODERATE,MODERATE,65+,18-74,STATE,NORTH,60+,DEMOCRAT,65+,65-74,FAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.461
10.0,37.0,4.0,FIRST CALL,50-59,WHITE,MALE,BRADLEY,DISAPPROVE,NO,INDEPENDENT,PROTESTANT,"$75,000-$99,999",VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,45-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.6880000000000001
10.0,37.0,5.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,DISAPPROVE,NO,DEMOCRAT,PROTESTANT,"$15,000-$29,000",,,65+,18-74,STATE,NORTH,60+,DEMOCRAT,65+,65-74,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.43
10.0,37.0,6.0,FIRST CALL,60-64,WHITE,MALE,BRADLEY,APPROVE,NO,INDEPENDENT,PROTESTANT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,60+,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.667
10.0,37.0,7.0,SECOND CALL,50-59,BLACK,FEMALE,GORE,DISAPPROVE,NO,DEMOCRAT,PROTESTANT,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,45-59,DEMOCRAT,50-64,50-64,FAVORABLE,UNFAVORABLE,UNFAVORABLE,FAVORABLE,BUSH,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.433
10.0,37.0,8.0,SECOND CALL,30-39,WHITE,MALE,GORE,DISAPPROVE,NO,INDEPENDENT,PROTESTANT,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,NORTH,30-44,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.47400000000000003
10.0,37.0,9.0,SECOND CALL,50-59,WHITE,MALE,GORE,APPROVE,YES,DEMOCRAT,PROTESTANT,"$75,000-$99,999",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,NORTH,45-59,DEMOCRAT,50-64,50-64,FAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.47400000000000003
10.0,37.0,10.0,SECOND CALL,75+,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"$15,000-$29,000",MODERATE,MODERATE,65+,75+,STATE,NORTH,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,UNFAVORABLE,FAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.461
10.0,37.0,11.0,SECOND CALL,18-24,WHITE,MALE,GORE,DISAPPROVE,NO,INDEPENDENT,NONE,"$50,000-$74,999",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,NORTH,18-29,INDEPENDENT/OTHER,18-24,18-24,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,GORE,NO,WHITE,NONE,0.491
10.0,37.0,12.0,SECOND CALL,60-64,BLACK,,GORE,APPROVE,YES,INDEPENDENT,OTHER CHRISTIAN,"$75,000-$99,999",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,NORTH,60+,INDEPENDENT/OTHER,50-64,50-64,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNFAVORABLE,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,0.42
10.0,37.0,13.0,SECOND CALL,50-59,BLACK,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,NORTH,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,BLACK,CATHOLIC,0.433
10.0,37.0,14.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$30,000-$49,000",MODERATE,MODERATE,65+,18-74,STATE,NORTH,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,CATHOLIC,0.43
10.0,37.0,15.0,SECOND CALL,65-74,WHITE,MALE,GORE,APPROVE,YES,DEMOCRAT,PROTESTANT,,,,65+,18-74,STATE,NORTH,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.461
10.0,37.0,16.0,THIRD CALL,65-74,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"UNDER $15,000",MODERATE,MODERATE,65+,18-74,STATE,NORTH,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,0.461
