GENDER,AGE10,QRACEAI,MAY,VOTE2024,CALL,EDUC25,PARTYID,PARTYIDLEAN,PHIL5,INCOME25,STECNYC,GETAHEAD25,TRACKANGR,FORTRUMPM25,TRUMP4,FAVDEM4,FAVREP4,RELIGN18,QLT25NYC,TIME25M,SIZEPLAC,VOTEMETHOD,TELEPOLL,EARLYVELECTION,RACE2B,EDUCCOLL,AGE,ID,WEIGHT,ZIPCODE,PRECINCT,VERSION,RACE,AGE45,AGE65,GENDERBYRACE,EDUCWHITE,EDUCWHITEBYSEX25,PARTY,PARTYLEAN,PHIL3,INC50K,INC100K,INCOME3,STECNYC2,TRACKANGR2,TRUMP2,FAVDEM2,FAVREP2,TIME25MWEEK,TIME25MMONTH,SIZEPLC3,REL5
Male, 65-74,Black,Eric Adams,Donald Trump,1.0,Bachelor's degree (BA or BS),Democrat,,Somewhat liberal,"$50,000-$99,999",,Getting ahead,,Donald Trump was not a facctor,Somewhat disapprove,,,Protestant,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,College graduate,65 or over,2499.0,1.0,10000.0,10.0,1.0,Black,45 or over,65 or over,Black men,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Disapprove,,,,,"City over 50,000",Protestant or other Christian
Male, 65-74,Black,Zohran Mamdani,Kamala Harris,1.0,High school graduate,Democrat,,Very liberal,"$30,000-$49,999",,Falling behind,,To oppose Donald Trump,Strongly disapprove,,,None,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,No college degree,65 or over,2503.0,1.0,10000.0,23.0,1.0,Black,45 or over,65 or over,Black men,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Disapprove,,,,,"City over 50,000",None
Female,45-49,Black,Eric Adams,Kamala Harris,1.0,Bachelor's degree (BA or BS),Democrat,,Very conservative,"$50,000-$99,999",,Holding steady,,To support Donald Trump,Strongly disapprove,,,None,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,College graduate,45-64,2505.0,1.0,10000.0,8.0,1.0,Black,45 or over,40-49,Black women,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Disapprove,,,,,"City over 50,000",None
Female, 65-74,Black,Curtis Sliwa,Donald Trump,3.0,Associate's degree (AA or AS),Democrat,,Very liberal,,,,,,,,,None,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,No college degree,65 or over,2507.0,1.0,10000.0,3.0,3.0,Black,45 or over,65 or over,Black women,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,,,,,,,,,,,"City over 50,000",None
Female,75 or over,White,Andrew Cuomo,Donald Trump,2.0,High school graduate,Republican,,Somewhat conservative,,Good,,,,,Somewhat unfavorable,Somewhat favorable,Catholic,3.0,You have known all along,"Over 500,000",Election Day,Exit Poll,Election day,White,No college degree,65 or over,2514.0,1.0,10000.0,22.0,2.0,White,45 or over,65 or over,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Conservative,,,,Excellent or good,,,Unfavorable,Favorable,Before that,Before that,"City over 50,000",Catholic
Female,60-64,Hispanic/Latino,Zohran Mamdani,Kamala Harris,2.0,Attended college but received no degree,Democrat,,Somewhat liberal,,,,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",,,,,Catholic,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,No college degree,45-64,2516.0,1.0,10000.0,15.0,3.0,Hispanic/Latino,45 or over,50-64,Latino women,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,"City over 50,000",Catholic
Female,60-64,White,Andrew Cuomo,Kamala Harris,3.0,Attended college but received no degree,Independent,Lean Republican,Very conservative,"$100,000-$199,999",,Holding steady,,To support Donald Trump,Somewhat approve,,,Other,,,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,White,No college degree,45-64,2525.0,1.0,10000.0,28.0,1.0,White,45 or over,50-64,White women,White non-college graduates,White women non-college graduates,Independent/Something else,Republican/Lean Republican,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",,,Approve,,,,,"City over 50,000",Other
Female,35-39,Other,Andrew Cuomo,Kamala Harris,1.0,Attended college but received no degree,Independent,Not lean either way,Somewhat conservative,,Good,,,,,Strongly unfavorable,Strongly favorable,Catholic,2.0,Earlier in October,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,Non-white,No college degree,30-44,2526.0,1.0,10000.0,7.0,2.0,Other,18-44,30-39,All other,Non-white non-college graduates,Non-whites,Independent/Something else,Independent,Conservative,,,,Excellent or good,,,Unfavorable,Favorable,Before that,In the last month,"City over 50,000",Catholic
Male,75 or over,White,Andrew Cuomo,Donald Trump,3.0,Attended college but received no degree,Republican,,Somewhat conservative,,Good,,,,,Somewhat unfavorable,Strongly favorable,Catholic,5.0,In the last few days,"Over 500,000",Election Day,Exit Poll,Election day,White,No college degree,65 or over,2527.0,1.0,10000.0,9.0,2.0,White,45 or over,65 or over,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Conservative,,,,Excellent or good,,,Unfavorable,Favorable,In the last week,In the last month,"City over 50,000",Catholic
Male,50-59,Black,Eric Adams,Kamala Harris,1.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Republican,,Moderate,"$50,000-$99,999",,Holding steady,,To oppose Donald Trump,Strongly disapprove,,,Protestant,,,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,Non-white,College graduate,45-64,2538.0,1.0,10000.0,28.0,1.0,Black,45 or over,50-64,Black men,Non-white college graduates,Non-whites,Republican,Republican/Lean Republican,Moderate,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Disapprove,,,,,"City over 50,000",Protestant or other Christian
Male,75 or over,Black,Curtis Sliwa,Someone else,1.0,Associate's degree (AA or AS),Republican,,Moderate,"Under $30,000",,Getting ahead,,To oppose Donald Trump,Strongly disapprove,,,Protestant,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,No college degree,65 or over,2544.0,1.0,10000.0,7.0,1.0,Black,45 or over,65 or over,Black men,Non-white non-college graduates,Non-whites,Republican,Republican/Lean Republican,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Disapprove,,,,,"City over 50,000",Protestant or other Christian
Male,75 or over,Asian,Zohran Mamdani,Kamala Harris,2.0,Bachelor's degree (BA or BS),Democrat,,Somewhat liberal,"$30,000-$49,999",,Holding steady,,To oppose Donald Trump,Strongly disapprove,,,Other Christian,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,College graduate,65 or over,2546.0,1.0,10000.0,28.0,1.0,Asian,45 or over,65 or over,All other,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Disapprove,,,,,"City over 50,000",Protestant or other Christian
Female,45-49,Other,Andrew Cuomo,Kamala Harris,3.0,Attended college but received no degree,Republican,,Moderate,,,,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",,,,,Jewish,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,No college degree,45-64,2548.0,1.0,10000.0,29.0,3.0,Other,45 or over,40-49,All other,Non-white non-college graduates,Non-whites,Republican,Republican/Lean Republican,Moderate,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,"City over 50,000",Jewish
Male,50-59,White,Zohran Mamdani,Kamala Harris,3.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Something else,Lean Republican,Somewhat liberal,,,,Angry,,,,,Muslim,,,"Over 500,000",Election Day,Exit Poll,Election day,White,College graduate,45-64,2561.0,1.0,10000.0,16.0,3.0,White,45 or over,50-64,White men,White college graduates,White men college graduates,Independent/Something else,Republican/Lean Republican,Liberal,,,,,,,,,,,"City over 50,000",Other
Female,18-24,White,Zohran Mamdani,Kamala Harris,1.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Moderate,"$100,000-$199,999",,Falling behind,,Donald Trump was not a facctor,Strongly disapprove,,,Protestant,,,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,White,College graduate,18-29,2563.0,1.0,10000.0,11.0,1.0,White,18-44,18-24,White women,White college graduates,White women college graduates,Democrat,Democrat/Lean Democrat,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",,,Disapprove,,,,,"City over 50,000",Protestant or other Christian
Male,45-49,Hispanic/Latino,Andrew Cuomo,Kamala Harris,2.0,High school graduate,Something else,Lean Democrat,Moderate,"$30,000-$49,999",,Holding steady,,To oppose Donald Trump,Strongly approve,,,Other Christian,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,No college degree,45-64,2572.0,1.0,10000.0,2.0,1.0,Hispanic/Latino,45 or over,40-49,Latino men,Non-white non-college graduates,Non-whites,Independent/Something else,Democrat/Lean Democrat,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Approve,,,,,"City over 50,000",Protestant or other Christian
Male, 65-74,White,Zohran Mamdani,Kamala Harris,2.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Moderate,,,,Angry,,,,,Muslim,,,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,White,College graduate,65 or over,2576.0,1.0,10000.0,10.0,3.0,White,45 or over,65 or over,White men,White college graduates,White men college graduates,Democrat,Democrat/Lean Democrat,Moderate,,,,,,,,,,,"City over 50,000",Other
Female,75 or over,Other,Zohran Mamdani,Kamala Harris,2.0,Attended college but received no degree,Democrat,,Moderate,,,,,,,,,Catholic,,,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,Non-white,No college degree,65 or over,2583.0,1.0,10000.0,1.0,3.0,Other,45 or over,65 or over,All other,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Moderate,,,,,,,,,,,"City over 50,000",Catholic
Male,60-64,White,Curtis Sliwa,Donald Trump,3.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Republican,,Very conservative,"$200,000-$299,999",,Getting ahead,,Donald Trump was not a facctor,Strongly disapprove,,,Other,,,"Over 500,000",Election Day,Exit Poll,Election day,White,College graduate,45-64,2584.0,1.0,10000.0,6.0,1.0,White,45 or over,50-64,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",,,Disapprove,,,,,"City over 50,000",Other
Male, 65-74,Hispanic/Latino,Zohran Mamdani,Kamala Harris,2.0,Bachelor's degree (BA or BS),Something else,Not lean either way,Moderate,,Good,,,,,Somewhat favorable,Somewhat unfavorable,None,4.0,You have known all along,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,College graduate,65 or over,2585.0,1.0,10000.0,18.0,2.0,Hispanic/Latino,45 or over,65 or over,Latino men,Non-white college graduates,Non-whites,Independent/Something else,Independent,Moderate,,,,Excellent or good,,,Favorable,Unfavorable,Before that,Before that,"City over 50,000",None
Female,60-64,Hispanic/Latino,Zohran Mamdani,Donald Trump,1.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Independent,Not lean either way,Somewhat liberal,,,,Angry,,,,,Protestant,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,College graduate,45-64,2586.0,1.0,10000.0,30.0,3.0,Hispanic/Latino,45 or over,50-64,Latino women,Non-white college graduates,Non-whites,Independent/Something else,Independent,Liberal,,,,,,,,,,,"City over 50,000",Protestant or other Christian
Female,50-59,Black,Zohran Mamdani,Kamala Harris,1.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Somewhat liberal,,,,,,,,,Protestant,,,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,Non-white,College graduate,45-64,2588.0,1.0,10000.0,7.0,3.0,Black,45 or over,50-64,Black women,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,,,,,,,,,,,"City over 50,000",Protestant or other Christian
Female,60-64,Hispanic/Latino,Curtis Sliwa,Donald Trump,3.0,Associate's degree (AA or AS),Republican,,Moderate,,,,,,,,,Catholic,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,No college degree,45-64,2591.0,1.0,10000.0,20.0,3.0,Hispanic/Latino,45 or over,50-64,Latino women,Non-white non-college graduates,Non-whites,Republican,Republican/Lean Republican,Moderate,,,,,,,,,,,"City over 50,000",Catholic
Male, 65-74,White,Other,Kamala Harris,3.0,Bachelor's degree (BA or BS),Democrat,,Very conservative,,Good,,,,,Strongly unfavorable,Strongly unfavorable,Other,3.0,Earlier in October,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,White,College graduate,65 or over,2606.0,1.0,10000.0,28.0,2.0,White,45 or over,65 or over,White men,White college graduates,White men college graduates,Democrat,Democrat/Lean Democrat,Conservative,,,,Excellent or good,,,Unfavorable,Unfavorable,Before that,In the last month,"City over 50,000",Other
Female,60-64,Hispanic/Latino,Zohran Mamdani,Kamala Harris,3.0,Associate's degree (AA or AS),Democrat,,Somewhat liberal,,Not so good,,,,,Somewhat favorable,Strongly unfavorable,Protestant,4.0,Before October,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,No college degree,45-64,2607.0,1.0,10000.0,6.0,2.0,Hispanic/Latino,45 or over,50-64,Latino women,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,,,,Not so good or poor,,,Favorable,Unfavorable,Before that,Before that,"City over 50,000",Protestant or other Christian
Female,50-59,Hispanic/Latino,Andrew Cuomo,Donald Trump,2.0,Associate's degree (AA or AS),Republican,,Very conservative,,,,,,,,,None,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,No college degree,45-64,2615.0,1.0,10000.0,28.0,3.0,Hispanic/Latino,45 or over,50-64,Latino women,Non-white non-college graduates,Non-whites,Republican,Republican/Lean Republican,Conservative,,,,,,,,,,,"City over 50,000",None
Male,60-64,White,Andrew Cuomo,Donald Trump,2.0,Attended college but received no degree,Republican,,Somewhat conservative,"$30,000-$49,999",,Getting ahead,,To support Donald Trump,Strongly approve,,,Other,,,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,White,No college degree,45-64,2617.0,1.0,10000.0,15.0,1.0,White,45 or over,50-64,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Conservative,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Approve,,,,,"City over 50,000",Other
Female, 65-74,Asian,Did not vote,Did not vote,2.0,Attended college but received no degree,Democrat,,Moderate,,,,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",,,,,Jewish,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,No college degree,65 or over,2620.0,1.0,10000.0,16.0,3.0,Asian,45 or over,65 or over,All other,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Moderate,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,"City over 50,000",Jewish
Male,50-59,Hispanic/Latino,Andrew Cuomo,Kamala Harris,3.0,Attended college but received no degree,Independent,Not lean either way,Moderate,"$100,000-$199,999",,Falling behind,,To oppose Donald Trump,Strongly approve,,,Protestant,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,No college degree,45-64,2626.0,1.0,10000.0,13.0,1.0,Hispanic/Latino,45 or over,50-64,Latino men,Non-white non-college graduates,Non-whites,Independent/Something else,Independent,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",,,Approve,,,,,"City over 50,000",Protestant or other Christian
Female, 65-74,Hispanic/Latino,Eric Adams,Kamala Harris,3.0,Bachelor's degree (BA or BS),Republican,,Moderate,"$50,000-$99,999",,Holding steady,,Donald Trump was not a facctor,Somewhat disapprove,,,Other,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,College graduate,65 or over,2638.0,1.0,10000.0,18.0,1.0,Hispanic/Latino,45 or over,65 or over,Latino women,Non-white college graduates,Non-whites,Republican,Republican/Lean Republican,Moderate,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Disapprove,,,,,"City over 50,000",Other
Male,40-44,Hispanic/Latino,Andrew Cuomo,Donald Trump,2.0,Attended college but received no degree,Republican,,Somewhat conservative,,Good,,,,,Somewhat unfavorable,Somewhat favorable,Other Christian,5.0,Earlier in October,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,Non-white,No college degree,30-44,2640.0,1.0,10000.0,16.0,2.0,Hispanic/Latino,18-44,40-49,Latino men,Non-white non-college graduates,Non-whites,Republican,Republican/Lean Republican,Conservative,,,,Excellent or good,,,Unfavorable,Favorable,Before that,In the last month,"City over 50,000",Protestant or other Christian
Male, 65-74,Asian,Eric Adams,Donald Trump,2.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Republican,,Moderate,"$200,000-$299,999",,Holding steady,,To oppose Donald Trump,Strongly disapprove,,,Jewish,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,College graduate,65 or over,2642.0,1.0,10000.0,7.0,1.0,Asian,45 or over,65 or over,All other,Non-white college graduates,Non-whites,Republican,Republican/Lean Republican,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",,,Disapprove,,,,,"City over 50,000",Jewish
Female,18-24,White,Other,Kamala Harris,3.0,Bachelor's degree (BA or BS),Democrat,,Moderate,"Under $30,000",,Getting ahead,,Donald Trump was not a facctor,Strongly disapprove,,,Catholic,,,"Over 500,000",Election Day,Exit Poll,Election day,White,College graduate,18-29,2650.0,1.0,10000.0,6.0,1.0,White,18-44,18-24,White women,White college graduates,White women college graduates,Democrat,Democrat/Lean Democrat,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Disapprove,,,,,"City over 50,000",Catholic
Male,50-59,Asian,Curtis Sliwa,Donald Trump,2.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Somewhat liberal,,,,Enthusiastic,,,,,Protestant,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,College graduate,45-64,2653.0,1.0,10000.0,5.0,3.0,Asian,45 or over,50-64,All other,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,"City over 50,000",Protestant or other Christian
Female,45-49,White,Andrew Cuomo,Kamala Harris,1.0,Associate's degree (AA or AS),Something else,Lean Democrat,Moderate,"Under $30,000",,Getting ahead,,To oppose Donald Trump,Strongly approve,,,Other,,,"Over 500,000",Election Day,Exit Poll,Election day,White,No college degree,45-64,2654.0,1.0,10000.0,8.0,1.0,White,45 or over,40-49,White women,White non-college graduates,White women non-college graduates,Independent/Something else,Democrat/Lean Democrat,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Approve,,,,,"City over 50,000",Other
Male, 65-74,Hispanic/Latino,Curtis Sliwa,Donald Trump,1.0,Associate's degree (AA or AS),Democrat,,Moderate,"Under $30,000",,Falling behind,,Donald Trump was not a facctor,Strongly disapprove,,,Jewish,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,No college degree,65 or over,2656.0,1.0,10000.0,30.0,1.0,Hispanic/Latino,45 or over,65 or over,Latino men,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Disapprove,,,,,"City over 50,000",Jewish
Female,18-24,White,Zohran Mamdani,Kamala Harris,2.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Independent,Lean Democrat,Moderate,"Under $30,000",,Getting ahead,,To oppose Donald Trump,Strongly disapprove,,,Catholic,,,"Over 500,000",Election Day,Exit Poll,Election day,White,College graduate,18-29,2675.0,1.0,10000.0,21.0,1.0,White,18-44,18-24,White women,White college graduates,White women college graduates,Independent/Something else,Democrat/Lean Democrat,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Disapprove,,,,,"City over 50,000",Catholic
Female, 65-74,White,Curtis Sliwa,Donald Trump,3.0,Associate's degree (AA or AS),Democrat,,Somewhat liberal,"$200,000-$299,999",,Falling behind,,Donald Trump was not a facctor,Strongly approve,,,Protestant,,,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,White,No college degree,65 or over,2676.0,1.0,10000.0,13.0,1.0,White,45 or over,65 or over,White women,White non-college graduates,White women non-college graduates,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",,,Approve,,,,,"City over 50,000",Protestant or other Christian
Male,75 or over,White,Andrew Cuomo,Kamala Harris,2.0,Attended college but received no degree,Republican,,Somewhat conservative,,,,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",,,,,Catholic,,,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,White,No college degree,65 or over,2679.0,1.0,10000.0,25.0,3.0,White,45 or over,65 or over,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Conservative,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,"City over 50,000",Catholic
Female,60-64,American Indian,Zohran Mamdani,Kamala Harris,3.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Republican,,Moderate,"$30,000-$49,999",,Holding steady,,Donald Trump was not a facctor,Strongly disapprove,,,None,,,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,Non-white,College graduate,45-64,2690.0,1.0,10000.0,13.0,1.0,Other,45 or over,50-64,All other,Non-white college graduates,Non-whites,Republican,Republican/Lean Republican,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Disapprove,,,,,"City over 50,000",None
Male, 65-74,Hispanic/Latino,Curtis Sliwa,Donald Trump,3.0,Attended college but received no degree,Republican,,Somewhat liberal,"$200,000-$299,999",,Falling behind,,To support Donald Trump,Strongly disapprove,,,Other,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,No college degree,65 or over,2694.0,1.0,10000.0,8.0,1.0,Hispanic/Latino,45 or over,65 or over,Latino men,Non-white non-college graduates,Non-whites,Republican,Republican/Lean Republican,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",,,Disapprove,,,,,"City over 50,000",Other
Female, 65-74,Black,Zohran Mamdani,Kamala Harris,1.0,Bachelor's degree (BA or BS),Independent,Not lean either way,Somewhat liberal,,,,,,,,,Muslim,,,"Over 500,000",Election Day,Exit Poll,Absentee or early in-person,Non-white,College graduate,65 or over,2719.0,1.0,10000.0,4.0,3.0,Black,45 or over,65 or over,Black women,Non-white college graduates,Non-whites,Independent/Something else,Independent,Liberal,,,,,,,,,,,"City over 50,000",Other
Female,45-49,White,Zohran Mamdani,Kamala Harris,2.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Somewhat liberal,,,,Angry,,,,,Catholic,,,"Over 500,000",Election Day,Exit Poll,Election day,White,College graduate,45-64,2722.0,1.0,10000.0,4.0,3.0,White,45 or over,40-49,White women,White college graduates,White women college graduates,Democrat,Democrat/Lean Democrat,Liberal,,,,,,,,,,,"City over 50,000",Catholic
Female,75 or over,Asian,Eric Adams,Kamala Harris,1.0,Associate's degree (AA or AS),Democrat,,Somewhat conservative,,Good,,,,,Strongly unfavorable,Strongly unfavorable,Protestant,5.0,Before October,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,No college degree,65 or over,2724.0,1.0,10000.0,26.0,2.0,Asian,45 or over,65 or over,All other,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Conservative,,,,Excellent or good,,,Unfavorable,Unfavorable,Before that,Before that,"City over 50,000",Protestant or other Christian
Male, 65-74,White,Did not vote,Kamala Harris,2.0,Associate's degree (AA or AS),Something else,Lean Republican,Somewhat conservative,,Poor,,,,,Strongly unfavorable,Somewhat favorable,Catholic,4.0,Before October,"Over 500,000",Election Day,Exit Poll,Election day,White,No college degree,65 or over,2728.0,1.0,10000.0,14.0,2.0,White,45 or over,65 or over,White men,White non-college graduates,White men non-college graduates,Independent/Something else,Republican/Lean Republican,Conservative,,,,Not so good or poor,,,Unfavorable,Favorable,Before that,Before that,"City over 50,000",Catholic
Female, 65-74,White,Curtis Sliwa,Donald Trump,2.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Somewhat liberal,,Good,,,,,Strongly unfavorable,Strongly unfavorable,Jewish,2.0,You have known all along,"Over 500,000",Election Day,Exit Poll,Election day,White,College graduate,65 or over,2731.0,1.0,10000.0,3.0,2.0,White,45 or over,65 or over,White women,White college graduates,White women college graduates,Democrat,Democrat/Lean Democrat,Liberal,,,,Excellent or good,,,Unfavorable,Unfavorable,Before that,Before that,"City over 50,000",Jewish
Female,35-39,White,Curtis Sliwa,Donald Trump,1.0,High school graduate,Republican,,Somewhat liberal,"$100,000-$199,999",,Falling behind,,Donald Trump was not a facctor,Strongly disapprove,,,Protestant,,,"Over 500,000",Election Day,Exit Poll,Election day,White,No college degree,30-44,2747.0,1.0,10000.0,16.0,1.0,White,18-44,30-39,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",,,Disapprove,,,,,"City over 50,000",Protestant or other Christian
Male,45-49,White,Zohran Mamdani,Kamala Harris,1.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Moderate,,,,Enthusiastic,,,,,Protestant,,,"Over 500,000",Election Day,Exit Poll,Election day,White,College graduate,45-64,2748.0,1.0,10000.0,17.0,3.0,White,45 or over,40-49,White men,White college graduates,White men college graduates,Democrat,Democrat/Lean Democrat,Moderate,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,"City over 50,000",Protestant or other Christian
Male,35-39,Black,Zohran Mamdani,Kamala Harris,2.0,Associate's degree (AA or AS),Independent,Lean Republican,Somewhat liberal,,Not so good,,,,,Somewhat favorable,Strongly unfavorable,Muslim,5.0,You have known all along,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,No college degree,30-44,2751.0,1.0,10000.0,1.0,2.0,Black,18-44,30-39,Black men,Non-white non-college graduates,Non-whites,Independent/Something else,Republican/Lean Republican,Liberal,,,,Not so good or poor,,,Favorable,Unfavorable,Before that,Before that,"City over 50,000",Other
Female,75 or over,Hispanic/Latino,Andrew Cuomo,Kamala Harris,1.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Something else,Lean Democrat,Somewhat conservative,"$50,000-$99,999",,Holding steady,,To support Donald Trump,Somewhat approve,,,Protestant,,,"Over 500,000",Election Day,Exit Poll,Election day,Non-white,College graduate,65 or over,2754.0,1.0,10000.0,28.0,1.0,Hispanic/Latino,45 or over,65 or over,Latino women,Non-white college graduates,Non-whites,Independent/Something else,Democrat/Lean Democrat,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Approve,,,,,"City over 50,000",Protestant or other Christian
