GENDER,AGE10,QRACEAI,PROP50,EDUC25,VOTE2024,PARTYID,PARTYIDLEAN,PHIL5,INCOME25,STECCA,GETAHEAD25,TRACKANGR,FORTRUMPP25,TRUMP4,FAVDEM4,FAVREP4,ISSUE25CA,TIME25P,SIZEPLAC,VOTEMETHOD,TELEPOLL,EARLYVELECTION,ID,WEIGHT,PRECINCT,ZIPCODE,VERSION,RACE,AGE,AGE45,AGE65,RACE2B,EDUCCOLL,GENDERBYRACE,EDUCWHITE,EDUCWHITEBYSEX25,PARTY,PARTYLEAN,PHIL3,INC50K,INC100K,INCOME3,STECCA2,TRACKANGR2,TRUMP2,FAVDEM2,FAVREP2,TIME25PWEEK,TIME25PMONTH,SIZEPLC3
Female,60-64,White,No,Bachelor's degree (BA or BS),Donald Trump,Republican,,Moderate,"$30,000-$49,999",Not so good,Getting ahead,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",To support Donald Trump,Somewhat approve,Somewhat unfavorable,Somewhat favorable,2.0,Before October,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,885.0,1.0,,10000.0,1.0,White,45-64,45 or over,50-64,White,College graduate,White women,White college graduates,White women college graduates,Republican,Republican/Lean Republican,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Not so good or poor,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",Approve,Unfavorable,Favorable,Before that,Before that,Suburbs
I identify another way,60-64,Black,Yes,Attended college but received no degree,Kamala Harris,Something else,Lean Democrat,Moderate,"$50,000-$99,999",Good,Holding steady,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",To oppose Donald Trump,Strongly approve,Somewhat favorable,Strongly unfavorable,1.0,Earlier in October,Suburbs,Early in-person,Non Exit Poll,Election day,886.0,1.0,,10000.0,1.0,Black,45-64,45 or over,50-64,Non-white,No college degree,All other,Non-white non-college graduates,Non-whites,Independent/Something else,Democrat/Lean Democrat,Moderate,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Excellent or good,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",Approve,Favorable,Unfavorable,Before that,In the last month,Suburbs
Female,75 or over,White,Yes,Not a high school graduate,Kamala Harris,Independent,Not lean either way,Moderate,"$200,000-$299,999",Not so good,Holding steady,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",Donald Trump was not a facctor,Strongly disapprove,Somewhat favorable,Strongly unfavorable,4.0,Before October,Rural,Election Day,Non Exit Poll,Absentee or early in-person,887.0,1.0,,10000.0,1.0,White,65 or over,45 or over,65 or over,White,No college degree,White women,White non-college graduates,White women non-college graduates,Independent/Something else,Independent,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",Disapprove,Favorable,Unfavorable,Before that,Before that,Small city and Rural
Male,75 or over,White,No,High school graduate,Donald Trump,Republican,,Very conservative,"$50,000-$99,999",Not so good,Falling behind,,To support Donald Trump,Somewhat approve,Strongly unfavorable,Strongly favorable,3.0,You have known all along,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,888.0,1.0,,10000.0,1.0,White,65 or over,45 or over,65 or over,White,No college degree,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Not so good or poor,,Approve,Unfavorable,Favorable,Before that,Before that,Suburbs
Female,75 or over,White,No,Attended college but received no degree,Donald Trump,Republican,,Moderate,"$50,000-$99,999",Poor,Falling behind,Angry,Donald Trump was not a facctor,Somewhat approve,Strongly unfavorable,Strongly favorable,1.0,Before October,"10,000-50,000",Early in-person,Non Exit Poll,Election day,889.0,1.0,,10000.0,1.0,White,65 or over,45 or over,65 or over,White,No college degree,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Moderate,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Not so good or poor,,Approve,Unfavorable,Favorable,Before that,Before that,Small city and Rural
Female,35-39,White,Yes,Attended college but received no degree,Kamala Harris,Democrat,,Somewhat conservative,"$50,000-$99,999",Poor,Holding steady,,To oppose Donald Trump,Strongly approve,Somewhat favorable,Strongly unfavorable,3.0,You have known all along,"Over 500,000",By mail,Non Exit Poll,Absentee or early in-person,890.0,1.0,,10000.0,1.0,White,30-44,18-44,30-39,White,No college degree,White women,White non-college graduates,White women non-college graduates,Democrat,Democrat/Lean Democrat,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Not so good or poor,,Approve,Favorable,Unfavorable,Before that,Before that,"City over 50,000"
Female,45-49,Black,No,Bachelor's degree (BA or BS),Donald Trump,Republican,,Very conservative,"$30,000-$49,999",Not so good,Getting ahead,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",To support Donald Trump,Somewhat approve,Strongly unfavorable,Strongly favorable,5.0,You have known all along,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,891.0,1.0,,10000.0,1.0,Black,45-64,45 or over,40-49,Non-white,College graduate,Black women,Non-white college graduates,Non-whites,Republican,Republican/Lean Republican,Conservative,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Not so good or poor,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",Approve,Unfavorable,Favorable,Before that,Before that,Suburbs
Male, 65-74,Hispanic/Latino,Yes,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Kamala Harris,Democrat,,Moderate,"$200,000-$299,999",Not so good,Holding steady,Angry,To oppose Donald Trump,Strongly disapprove,Somewhat favorable,Strongly unfavorable,5.0,Earlier in October,Suburbs,Early in-person,Non Exit Poll,Absentee or early in-person,892.0,1.0,,10000.0,1.0,Hispanic/Latino,65 or over,45 or over,65 or over,Non-white,College graduate,Latino men,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,,Disapprove,Favorable,Unfavorable,Before that,In the last month,Suburbs
Female,60-64,Hispanic/Latino,Yes,Associate's degree (AA or AS),Kamala Harris,Democrat,,Moderate,"Under $30,000",Good,Holding steady,,To oppose Donald Trump,Somewhat disapprove,Strongly favorable,Strongly unfavorable,4.0,In the last week,Suburbs,Early in-person,Non Exit Poll,Absentee or early in-person,893.0,1.0,,10000.0,1.0,Hispanic/Latino,45-64,45 or over,50-64,Non-white,No college degree,Latino women,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Excellent or good,,Disapprove,Favorable,Unfavorable,In the last week,In the last month,Suburbs
Male,50-59,White,Yes,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Kamala Harris,Democrat,,Somewhat liberal,"$200,000-$299,999",Good,Falling behind,,To oppose Donald Trump,Strongly disapprove,Strongly favorable,Somewhat unfavorable,4.0,You have known all along,"Over 500,000",Early in-person,Non Exit Poll,Absentee or early in-person,894.0,1.0,,10000.0,1.0,White,45-64,45 or over,50-64,White,College graduate,White men,White college graduates,White men college graduates,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",Excellent or good,,Disapprove,Favorable,Unfavorable,Before that,Before that,"City over 50,000"
Female,60-64,White,No,Attended college but received no degree,Donald Trump,Republican,,Somewhat conservative,"$50,000-$99,999",Poor,Falling behind,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",To oppose Donald Trump,Strongly approve,Somewhat unfavorable,Strongly favorable,5.0,You have known all along,"Over 500,000",Election Day,Non Exit Poll,Absentee or early in-person,895.0,1.0,,10000.0,1.0,White,45-64,45 or over,50-64,White,No college degree,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Not so good or poor,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",Approve,Unfavorable,Favorable,Before that,Before that,"City over 50,000"
Male,45-49,White,No,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Donald Trump,Independent,Lean Republican,Moderate,"$100,000-$199,999",Good,Getting ahead,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",To support Donald Trump,Somewhat approve,Somewhat unfavorable,Somewhat favorable,2.0,In the last week,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,896.0,1.0,,10000.0,1.0,White,45-64,45 or over,40-49,White,College graduate,White men,White college graduates,White men college graduates,Independent/Something else,Republican/Lean Republican,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",Excellent or good,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",Approve,Unfavorable,Favorable,In the last week,In the last month,Suburbs
Female, 65-74,Hispanic/Latino,Yes,Bachelor's degree (BA or BS),Kamala Harris,Democrat,,Somewhat liberal,"$100,000-$199,999",Excellent,Holding steady,Angry,Donald Trump was not a facctor,Strongly disapprove,Somewhat unfavorable,Strongly unfavorable,4.0,You have known all along,"50,000-500,000",Early in-person,Non Exit Poll,Absentee or early in-person,897.0,1.0,,10000.0,1.0,Hispanic/Latino,65 or over,45 or over,65 or over,Non-white,College graduate,Latino women,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",Excellent or good,,Disapprove,Unfavorable,Unfavorable,Before that,Before that,"City over 50,000"
Male,75 or over,Hispanic/Latino,,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Donald Trump,Democrat,,Moderate,"$100,000-$199,999",Not so good,Holding steady,Angry,Donald Trump was not a facctor,Strongly disapprove,Somewhat unfavorable,Somewhat unfavorable,5.0,In the last few days,"Over 500,000",Early in-person,Non Exit Poll,Election day,898.0,1.0,,10000.0,1.0,Hispanic/Latino,65 or over,45 or over,65 or over,Non-white,College graduate,Latino men,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,,Disapprove,Unfavorable,Unfavorable,In the last week,In the last month,"City over 50,000"
Male,45-49,American Indian,Yes,Bachelor's degree (BA or BS),Kamala Harris,Democrat,,Somewhat liberal,"$50,000-$99,999",Poor,Falling behind,Angry,To oppose Donald Trump,Strongly disapprove,Somewhat favorable,Somewhat unfavorable,5.0,Before October,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,899.0,1.0,,10000.0,1.0,Other,45-64,45 or over,40-49,Non-white,College graduate,All other,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Not so good or poor,,Disapprove,Favorable,Unfavorable,Before that,Before that,Suburbs
Male,18-24,Asian,Yes,Attended college but received no degree,Kamala Harris,Democrat,,Very liberal,"$200,000-$299,999",Not so good,Holding steady,,To oppose Donald Trump,Somewhat disapprove,Strongly favorable,Somewhat unfavorable,4.0,You have known all along,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,900.0,1.0,,10000.0,1.0,Asian,18-29,18-44,18-24,Non-white,No college degree,All other,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,,Disapprove,Favorable,Unfavorable,Before that,Before that,Suburbs
Female,50-59,Hispanic/Latino,No,High school graduate,Donald Trump,Republican,,Moderate,"$50,000-$99,999",Poor,Holding steady,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",To support Donald Trump,Strongly approve,Somewhat unfavorable,Somewhat unfavorable,2.0,You have known all along,"Over 500,000",Election Day,Non Exit Poll,Absentee or early in-person,901.0,1.0,,10000.0,1.0,Hispanic/Latino,45-64,45 or over,50-64,Non-white,No college degree,Latino women,Non-white non-college graduates,Non-whites,Republican,Republican/Lean Republican,Moderate,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Not so good or poor,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",Approve,Unfavorable,Unfavorable,Before that,Before that,"City over 50,000"
Female, 65-74,White,No,Bachelor's degree (BA or BS),Donald Trump,Republican,,Moderate,"$30,000-$49,999",Poor,Getting ahead,,To support Donald Trump,Strongly approve,Strongly unfavorable,Strongly favorable,1.0,Before October,"50,000-500,000",Election Day,Non Exit Poll,Absentee or early in-person,902.0,1.0,,10000.0,1.0,White,65 or over,45 or over,65 or over,White,College graduate,White women,White college graduates,White women college graduates,Republican,Republican/Lean Republican,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Not so good or poor,,Approve,Unfavorable,Favorable,Before that,Before that,"City over 50,000"
Male,50-59,Black,Yes,Bachelor's degree (BA or BS),Kamala Harris,Republican,,Somewhat conservative,"$200,000-$299,999",Good,Getting ahead,,To oppose Donald Trump,Strongly disapprove,Strongly favorable,Strongly unfavorable,2.0,You have known all along,Suburbs,Early in-person,Non Exit Poll,Absentee or early in-person,903.0,1.0,,10000.0,1.0,Black,45-64,45 or over,50-64,Non-white,College graduate,Black men,Non-white college graduates,Non-whites,Republican,Republican/Lean Republican,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",Excellent or good,,Disapprove,Favorable,Unfavorable,Before that,Before that,Suburbs
Male,60-64,White,Yes,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Kamala Harris,Democrat,,Very conservative,"$30,000-$49,999",Good,Getting ahead,,To oppose Donald Trump,Strongly disapprove,Somewhat favorable,Somewhat unfavorable,1.0,In the last week,Suburbs,Early in-person,Non Exit Poll,Election day,904.0,1.0,,10000.0,1.0,White,45-64,45 or over,50-64,White,College graduate,White men,White college graduates,White men college graduates,Democrat,Democrat/Lean Democrat,Conservative,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Excellent or good,,Disapprove,Favorable,Unfavorable,In the last week,In the last month,Suburbs
Male,30-34,Black,No,Associate's degree (AA or AS),Donald Trump,Republican,,Moderate,"$100,000-$199,999",Good,Falling behind,,To support Donald Trump,Somewhat approve,Strongly unfavorable,Somewhat unfavorable,2.0,Before October,Suburbs,Early in-person,Non Exit Poll,Absentee or early in-person,905.0,1.0,,10000.0,1.0,Black,30-44,18-44,30-39,Non-white,No college degree,Black men,Non-white non-college graduates,Non-whites,Republican,Republican/Lean Republican,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",Excellent or good,,Approve,Unfavorable,Unfavorable,Before that,Before that,Suburbs
Male,75 or over,White,No,Attended college but received no degree,Someone else,Republican,,Moderate,"$30,000-$49,999",Good,Falling behind,,To support Donald Trump,Strongly approve,Strongly unfavorable,Somewhat favorable,1.0,Before October,Suburbs,Election Day,Non Exit Poll,Election day,906.0,1.0,,10000.0,1.0,White,65 or over,45 or over,65 or over,White,No college degree,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Excellent or good,,Approve,Unfavorable,Favorable,Before that,Before that,Suburbs
Female,35-39,White,No,High school graduate,Donald Trump,Republican,,Moderate,"$100,000-$199,999",Good,Getting ahead,Enthusiastic,To support Donald Trump,Strongly approve,Somewhat unfavorable,Strongly favorable,1.0,You have known all along,"10,000-50,000",Election Day,Non Exit Poll,Absentee or early in-person,907.0,1.0,,10000.0,1.0,White,30-44,18-44,30-39,White,No college degree,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",Excellent or good,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",Approve,Unfavorable,Favorable,Before that,Before that,Small city and Rural
Female,50-59,White,No,Associate's degree (AA or AS),Donald Trump,Republican,,Moderate,"$30,000-$49,999",Poor,Holding steady,,To support Donald Trump,Somewhat approve,Strongly unfavorable,Somewhat favorable,4.0,Before October,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,908.0,1.0,,10000.0,1.0,White,45-64,45 or over,50-64,White,No college degree,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Not so good or poor,,Approve,Unfavorable,Favorable,Before that,Before that,Suburbs
Female,45-49,Hispanic/Latino,No,Associate's degree (AA or AS),Donald Trump,Republican,,Moderate,"$50,000-$99,999",Poor,Falling behind,Angry,To support Donald Trump,Strongly approve,Strongly unfavorable,Strongly unfavorable,3.0,You have known all along,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,909.0,1.0,,10000.0,1.0,Hispanic/Latino,45-64,45 or over,40-49,Non-white,No college degree,Latino women,Non-white non-college graduates,Non-whites,Republican,Republican/Lean Republican,Moderate,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Not so good or poor,,Approve,Unfavorable,Unfavorable,Before that,Before that,Suburbs
Male,30-34,White,No,Associate's degree (AA or AS),Donald Trump,Republican,,Very conservative,"$5300,000 or more",Not so good,Falling behind,,To support Donald Trump,Somewhat disapprove,Strongly unfavorable,Somewhat favorable,5.0,In the last week,"50,000-500,000",Election Day,Non Exit Poll,Absentee or early in-person,910.0,1.0,,10000.0,1.0,White,30-44,18-44,30-39,White,No college degree,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,,Disapprove,Unfavorable,Favorable,In the last week,In the last month,"City over 50,000"
Female, 65-74,White,No,Bachelor's degree (BA or BS),Donald Trump,Independent,Not lean either way,Moderate,"$100,000-$199,999",Poor,Falling behind,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",To support Donald Trump,Somewhat approve,Somewhat favorable,Strongly favorable,1.0,Earlier in October,Suburbs,By mail,Non Exit Poll,Absentee or early in-person,911.0,1.0,,10000.0,1.0,White,65 or over,45 or over,65 or over,White,College graduate,White women,White college graduates,White women college graduates,Independent/Something else,Independent,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",Approve,Favorable,Favorable,Before that,In the last month,Suburbs
Female,18-24,White,No,Associate's degree (AA or AS),Donald Trump,Independent,Lean Republican,Somewhat conservative,"$100,000-$199,999",Excellent,Holding steady,,To support Donald Trump,Somewhat approve,Strongly unfavorable,Somewhat favorable,2.0,You have known all along,"10,000-50,000",Early in-person,Non Exit Poll,Absentee or early in-person,912.0,1.0,,10000.0,1.0,White,18-29,18-44,18-24,White,No college degree,White women,White non-college graduates,White women non-college graduates,Independent/Something else,Republican/Lean Republican,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",Excellent or good,,Approve,Unfavorable,Favorable,Before that,Before that,Small city and Rural
Female,75 or over,White,Yes,Attended college but received no degree,Kamala Harris,Democrat,,Very liberal,"$5300,000 or more",Good,Holding steady,Angry,To oppose Donald Trump,Strongly disapprove,Somewhat favorable,Somewhat unfavorable,2.0,Before October,Suburbs,Early in-person,Non Exit Poll,Absentee or early in-person,913.0,1.0,,10000.0,1.0,White,65 or over,45 or over,65 or over,White,No college degree,White women,White non-college graduates,White women non-college graduates,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",Excellent or good,,Disapprove,Favorable,Unfavorable,Before that,Before that,Suburbs
Female, 65-74,White,No,Associate's degree (AA or AS),Kamala Harris,Republican,,Very conservative,"$50,000-$99,999",Not so good,Falling behind,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",To support Donald Trump,Strongly approve,Strongly unfavorable,Somewhat favorable,1.0,In the last few days,Suburbs,By mail,Non Exit Poll,Election day,914.0,1.0,,10000.0,1.0,White,65 or over,45 or over,65 or over,White,No college degree,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Not so good or poor,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",Approve,Unfavorable,Favorable,In the last week,In the last month,Suburbs
Male,75 or over,White,No,High school graduate,Donald Trump,Something else,Lean Democrat,Moderate,"$5300,000 or more",Not so good,Falling behind,,Donald Trump was not a facctor,Somewhat approve,Strongly unfavorable,Strongly unfavorable,3.0,You have known all along,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,915.0,1.0,,10000.0,1.0,White,65 or over,45 or over,65 or over,White,No college degree,White men,White non-college graduates,White men non-college graduates,Independent/Something else,Democrat/Lean Democrat,Moderate,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,,Approve,Unfavorable,Unfavorable,Before that,Before that,Suburbs
Female,50-59,White,No,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Donald Trump,Republican,,Somewhat liberal,"$200,000-$299,999",Not so good,Falling behind,,To support Donald Trump,Strongly approve,Strongly unfavorable,Strongly favorable,3.0,Before October,Suburbs,Election Day,Non Exit Poll,Election day,916.0,1.0,,10000.0,1.0,White,45-64,45 or over,50-64,White,College graduate,White women,White college graduates,White women college graduates,Republican,Republican/Lean Republican,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,,Approve,Unfavorable,Favorable,Before that,Before that,Suburbs
Female,18-24,White,Yes,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Kamala Harris,Democrat,,Somewhat liberal,"$100,000-$199,999",Poor,Getting ahead,,To oppose Donald Trump,Strongly disapprove,Somewhat favorable,Strongly unfavorable,2.0,You have known all along,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,917.0,1.0,,10000.0,1.0,White,18-29,18-44,18-24,White,College graduate,White women,White college graduates,White women college graduates,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,,Disapprove,Favorable,Unfavorable,Before that,Before that,Suburbs
Female,60-64,American Indian,No,Bachelor's degree (BA or BS),Donald Trump,Republican,,Somewhat conservative,"$5300,000 or more",Poor,Holding steady,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",To support Donald Trump,Somewhat approve,Strongly unfavorable,Somewhat favorable,1.0,Earlier in October,"Over 500,000",Election Day,Non Exit Poll,Absentee or early in-person,918.0,1.0,,10000.0,1.0,Other,45-64,45 or over,50-64,Non-white,College graduate,All other,Non-white college graduates,Non-whites,Republican,Republican/Lean Republican,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",Approve,Unfavorable,Favorable,Before that,In the last month,"City over 50,000"
Male,75 or over,Other,Yes,Attended college but received no degree,Kamala Harris,Something else,Lean Republican,Very liberal,"$30,000-$49,999",Good,Falling behind,,To oppose Donald Trump,Strongly disapprove,Strongly favorable,Somewhat unfavorable,5.0,You have known all along,Suburbs,Early in-person,Non Exit Poll,Absentee or early in-person,919.0,1.0,,10000.0,1.0,Other,65 or over,45 or over,65 or over,Non-white,No college degree,All other,Non-white non-college graduates,Non-whites,Independent/Something else,Republican/Lean Republican,Liberal,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Excellent or good,,Disapprove,Favorable,Unfavorable,Before that,Before that,Suburbs
Female, 65-74,Hispanic/Latino,No,Associate's degree (AA or AS),Donald Trump,Republican,,Very conservative,"$30,000-$49,999",Good,Holding steady,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",To support Donald Trump,Somewhat approve,Strongly unfavorable,Strongly favorable,3.0,Before October,"50,000-500,000",Early in-person,Non Exit Poll,Absentee or early in-person,920.0,1.0,,10000.0,1.0,Hispanic/Latino,65 or over,45 or over,65 or over,Non-white,No college degree,Latino women,Non-white non-college graduates,Non-whites,Republican,Republican/Lean Republican,Conservative,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Excellent or good,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",Approve,Unfavorable,Favorable,Before that,Before that,"City over 50,000"
Male,45-49,White,No,Associate's degree (AA or AS),Donald Trump,Republican,,Very conservative,"$30,000-$49,999",Not so good,Holding steady,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",To support Donald Trump,Somewhat approve,Strongly unfavorable,Somewhat unfavorable,4.0,In the last week,Suburbs,Early in-person,Non Exit Poll,Absentee or early in-person,921.0,1.0,,10000.0,1.0,White,45-64,45 or over,40-49,White,No college degree,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Conservative,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",Not so good or poor,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",Approve,Unfavorable,Unfavorable,In the last week,In the last month,Suburbs
Male,60-64,White,No,Associate's degree (AA or AS),Donald Trump,Republican,,Moderate,"$50,000-$99,999",Poor,Holding steady,,To support Donald Trump,Somewhat approve,Somewhat unfavorable,Somewhat favorable,5.0,You have known all along,Suburbs,Early in-person,Non Exit Poll,Election day,922.0,1.0,,10000.0,1.0,White,45-64,45 or over,50-64,White,No college degree,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Moderate,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",Not so good or poor,,Approve,Unfavorable,Favorable,Before that,Before that,Suburbs
Female,30-34,White,Yes,Bachelor's degree (BA or BS),Kamala Harris,Democrat,,Somewhat liberal,"$100,000-$199,999",Not so good,Falling behind,,To oppose Donald Trump,Strongly disapprove,Somewhat favorable,Strongly unfavorable,2.0,You have known all along,Suburbs,Election Day,Non Exit Poll,Absentee or early in-person,923.0,1.0,,10000.0,1.0,White,30-44,18-44,30-39,White,College graduate,White women,White college graduates,White women college graduates,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,,Disapprove,Favorable,Unfavorable,Before that,Before that,Suburbs
Male,75 or over,White,No,Bachelor's degree (BA or BS),Donald Trump,Something else,Not lean either way,Very conservative,"$200,000-$299,999",Not so good,Holding steady,,To oppose Donald Trump,Somewhat approve,Strongly unfavorable,Somewhat favorable,3.0,Before October,"50,000-500,000",Early in-person,Non Exit Poll,Absentee or early in-person,924.0,1.0,,10000.0,1.0,White,65 or over,45 or over,65 or over,White,College graduate,White men,White college graduates,White men college graduates,Independent/Something else,Independent,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",Not so good or poor,,Approve,Unfavorable,Favorable,Before that,Before that,"City over 50,000"
Female,35-39,Hispanic/Latino,No,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Donald Trump,Independent,Lean Democrat,Very conservative,"$200,000-$299,999",Good,Falling behind,,To support Donald Trump,Somewhat disapprove,Strongly unfavorable,Somewhat favorable,4.0,You have known all along,"50,000-500,000",Election Day,Non Exit Poll,Election day,925.0,1.0,,10000.0,1.0,Hispanic/Latino,30-44,18-44,30-39,Non-white,College graduate,Latino women,Non-white college graduates,Non-whites,Independent/Something else,Democrat/Lean Democrat,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",Excellent or good,,Disapprove,Unfavorable,Favorable,Before that,Before that,"City over 50,000"
