GENDER,AGE10,QRACEAI,GOV,VOTE2024,CALL,EDUC25,PARTYID,PARTYIDLEAN,PHIL5,INCOME25,STECNJ,GETAHEAD25,TRACKANGR,FORTRUMPG25,TRUMP4,FAVDEM4,FAVREP4,ISSUE25NJ,QLT25NJ,TIME25G,SIZEPLAC,VOTEMETHOD,TELEPOLL,EARLYVELECTION,CHILD12,RACE2B,EDUCCOLL,AGE,ID,WEIGHT,ZIPCODE,PRECINCT,VERSION,RACE,AGE45,AGE65,GENDERBYRACE,EDUCWHITE,EDUCWHITEBYSEX25,PARTY,PARTYLEAN,PHIL3,INC50K,INC100K,INCOME3,STECNJ2,TRACKANGR2,TRUMP2,FAVDEM2,FAVREP2,TIME25GWEEK,TIME25GMONTH,SIZEPLC3,PARENTS
Female,60-64,White,Jack Ciattarelli,Donald Trump,1.0,High school graduate,Independent,Not lean either way,Moderate,,,,Angry,,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,White,No college degree,45-64,3590.0,1.0,10000.0,7.0,3.0,White,45 or over,50-64,White women,White non-college graduates,White women non-college graduates,Independent/Something else,Independent,Moderate,,,,,,,,,,,Suburbs,
Male,50-59,White,Jack Ciattarelli,Donald Trump,2.0,Bachelor's degree (BA or BS),Independent,Lean Democrat,Somewhat liberal,,,,,,,,,,,,Rural,Election Day,Exit Poll,Election day,,White,College graduate,45-64,3593.0,1.0,10000.0,18.0,3.0,White,45 or over,50-64,White men,White college graduates,White men college graduates,Independent/Something else,Democrat/Lean Democrat,Liberal,,,,,,,,,,,Small city and Rural,
Male,18-24,White,Mikie Sherill,Kamala Harris,3.0,Attended college but received no degree,Democrat,,Somewhat liberal,,,,Angry,,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,White,No college degree,18-29,3603.0,1.0,10000.0,26.0,3.0,White,18-44,18-24,White men,White non-college graduates,White men non-college graduates,Democrat,Democrat/Lean Democrat,Liberal,,,,,,,,,,,Suburbs,
Male,60-64,White,Jack Ciattarelli,Donald Trump,2.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Republican,,Very conservative,,,,Enthusiastic,,,,,,,,"50,000-500,000",Election Day,Exit Poll,Election day,,White,College graduate,45-64,3612.0,1.0,10000.0,23.0,3.0,White,45 or over,50-64,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Conservative,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,"City over 50,000",
Male,18-24,Hispanic/Latino,Jack Ciattarelli,Donald Trump,1.0,Not a high school graduate,Something else,Not lean either way,Very conservative,"$50,000-$99,999",,Holding steady,,To oppose Donald Trump,Somewhat approve,,,2.0,,,Suburbs,Election Day,Exit Poll,Election day,,Non-white,No college degree,18-29,3620.0,1.0,10000.0,25.0,1.0,Hispanic/Latino,18-44,18-24,Latino men,Non-white non-college graduates,Non-whites,Independent/Something else,Independent,Conservative,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Approve,,,,,Suburbs,
Male,35-39,Hispanic/Latino,Jack Ciattarelli,Donald Trump,3.0,Not a high school graduate,Democrat,,Somewhat conservative,"Under $30,000",,Holding steady,,To oppose Donald Trump,Somewhat approve,,,5.0,,,Rural,Election Day,Exit Poll,Election day,,Non-white,No college degree,30-44,3622.0,1.0,10000.0,29.0,1.0,Hispanic/Latino,18-44,30-39,Latino men,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Conservative,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Approve,,,,,Small city and Rural,
Male, 65-74,White,Jack Ciattarelli,Donald Trump,1.0,Bachelor's degree (BA or BS),Independent,Not lean either way,Very conservative,,,,Enthusiastic,,,,,,,,Rural,Election Day,Exit Poll,Election day,,White,College graduate,65 or over,3632.0,1.0,10000.0,10.0,3.0,White,45 or over,65 or over,White men,White college graduates,White men college graduates,Independent/Something else,Independent,Conservative,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,Small city and Rural,
Male,18-24,Hispanic/Latino,Jack Ciattarelli,Donald Trump,1.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Something else,Lean Republican,Somewhat conservative,,,,,,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,Non-white,College graduate,18-29,3634.0,1.0,10000.0,7.0,3.0,Hispanic/Latino,18-44,18-24,Latino men,Non-white college graduates,Non-whites,Independent/Something else,Republican/Lean Republican,Conservative,,,,,,,,,,,Suburbs,
Female,30-34,Black,Mikie Sherill,Kamala Harris,3.0,Attended college but received no degree,Democrat,,Somewhat conservative,"$200,000-$299,999",,Holding steady,,To oppose Donald Trump,Strongly disapprove,,,3.0,,,Suburbs,Election Day,Exit Poll,Election day,,Non-white,No college degree,30-44,3635.0,1.0,10000.0,8.0,1.0,Black,18-44,30-39,Black women,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",,,Disapprove,,,,,Suburbs,
Male,40-44,White,Mikie Sherill,Donald Trump,1.0,Bachelor's degree (BA or BS),Democrat,,Very liberal,"$100,000-$199,999",,Holding steady,,Donald Trump was not a facctor,Strongly disapprove,,,4.0,,,"50,000-500,000",Election Day,Exit Poll,Election day,,White,College graduate,30-44,3644.0,1.0,10000.0,13.0,1.0,White,18-44,40-49,White men,White college graduates,White men college graduates,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",,,Disapprove,,,,,"City over 50,000",
Male, 65-74,Black,Jack Ciattarelli,Donald Trump,1.0,Attended college but received no degree,Republican,,Somewhat conservative,,,,,,,,,,,,"50,000-500,000",Election Day,Exit Poll,Election day,,Non-white,No college degree,65 or over,3650.0,1.0,10000.0,20.0,3.0,Black,45 or over,65 or over,Black men,Non-white non-college graduates,Non-whites,Republican,Republican/Lean Republican,Conservative,,,,,,,,,,,"City over 50,000",
Female,75 or over,Black,Mikie Sherill,Kamala Harris,2.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Something else,Not lean either way,Moderate,,,,,,,,,,,,Rural,Election Day,Exit Poll,Election day,,Non-white,College graduate,65 or over,3659.0,1.0,10000.0,5.0,3.0,Black,45 or over,65 or over,Black women,Non-white college graduates,Non-whites,Independent/Something else,Independent,Moderate,,,,,,,,,,,Small city and Rural,
Female, 65-74,White,Jack Ciattarelli,Donald Trump,3.0,Not a high school graduate,Republican,,Somewhat conservative,,,,,,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,White,No college degree,65 or over,3666.0,1.0,10000.0,27.0,3.0,White,45 or over,65 or over,White women,White non-college graduates,White women non-college graduates,Republican,Republican/Lean Republican,Conservative,,,,,,,,,,,Suburbs,
Male, 65-74,Asian,Mikie Sherill,Kamala Harris,2.0,Attended college but received no degree,Something else,Lean Republican,Moderate,,,,Angry,,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,Non-white,No college degree,65 or over,3674.0,1.0,10000.0,28.0,3.0,Asian,45 or over,65 or over,All other,Non-white non-college graduates,Non-whites,Independent/Something else,Republican/Lean Republican,Moderate,,,,,,,,,,,Suburbs,
Female,30-34,Asian,Mikie Sherill,Kamala Harris,2.0,Attended college but received no degree,Democrat,,Very liberal,,,,,,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,Non-white,No college degree,30-44,3682.0,1.0,10000.0,22.0,3.0,Asian,18-44,30-39,All other,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,,,,,,,,,,,Suburbs,
Male,75 or over,White,Jack Ciattarelli,Donald Trump,2.0,Bachelor's degree (BA or BS),Republican,,Somewhat conservative,,Poor,,,,,Strongly unfavorable,Somewhat unfavorable,,4.0,You have known all along,Suburbs,Election Day,Exit Poll,Election day,No,White,College graduate,65 or over,3686.0,1.0,10000.0,18.0,2.0,White,45 or over,65 or over,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Conservative,,,,Not so good or poor,,,Unfavorable,Unfavorable,Before that,Before that,Suburbs,Men without children
Female,18-24,White,Mikie Sherill,Kamala Harris,3.0,Attended college but received no degree,Democrat,,Somewhat liberal,"$100,000-$199,999",,Falling behind,,Donald Trump was not a facctor,Somewhat disapprove,,,1.0,,,Suburbs,Election Day,Exit Poll,Election day,,White,No college degree,18-29,3699.0,1.0,10000.0,4.0,1.0,White,18-44,18-24,White women,White non-college graduates,White women non-college graduates,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",,,Disapprove,,,,,Suburbs,
Male,30-34,White,Jack Ciattarelli,Donald Trump,3.0,Associate's degree (AA or AS),Republican,,Moderate,,Not so good,,,,,Strongly unfavorable,Strongly favorable,,5.0,Earlier in October,"50,000-500,000",Election Day,Exit Poll,Election day,No,White,No college degree,30-44,3708.0,1.0,10000.0,4.0,2.0,White,18-44,30-39,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Moderate,,,,Not so good or poor,,,Unfavorable,Favorable,Before that,In the last month,"City over 50,000",Men without children
Female,25-29,Hispanic/Latino,Mikie Sherill,Kamala Harris,2.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Somewhat liberal,"$200,000-$299,999",,Falling behind,,Donald Trump was not a facctor,Strongly disapprove,,,5.0,,,Suburbs,Election Day,Exit Poll,Election day,,Non-white,College graduate,18-29,3709.0,1.0,10000.0,28.0,1.0,Hispanic/Latino,18-44,25-29,Latino women,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","$100,000 or more","$100,000 or more",,,Disapprove,,,,,Suburbs,
Female,75 or over,White,Jack Ciattarelli,Donald Trump,1.0,Attended college but received no degree,Independent,Lean Democrat,Somewhat conservative,,Good,,,,,Strongly unfavorable,Somewhat unfavorable,,4.0,You have known all along,"50,000-500,000",Election Day,Exit Poll,Election day,No,White,No college degree,65 or over,3711.0,1.0,10000.0,29.0,2.0,White,45 or over,65 or over,White women,White non-college graduates,White women non-college graduates,Independent/Something else,Democrat/Lean Democrat,Conservative,,,,Excellent or good,,,Unfavorable,Unfavorable,Before that,Before that,"City over 50,000",Women without children
Male,75 or over,Asian,Mikie Sherill,Kamala Harris,3.0,Bachelor's degree (BA or BS),Independent,Not lean either way,Very liberal,,Good,,,,,Strongly favorable,Somewhat unfavorable,,4.0,You have known all along,Suburbs,Election Day,Exit Poll,Election day,Yes,Non-white,College graduate,65 or over,3718.0,1.0,10000.0,18.0,2.0,Asian,45 or over,65 or over,All other,Non-white college graduates,Non-whites,Independent/Something else,Independent,Liberal,,,,Excellent or good,,,Favorable,Unfavorable,Before that,Before that,Suburbs,Men with children
Male,60-64,White,Jack Ciattarelli,Donald Trump,3.0,Bachelor's degree (BA or BS),Republican,,Moderate,,Poor,,,,,Somewhat unfavorable,Strongly favorable,,3.0,Earlier in October,Rural,Election Day,Exit Poll,Election day,No,White,College graduate,45-64,3722.0,1.0,10000.0,15.0,2.0,White,45 or over,50-64,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Moderate,,,,Not so good or poor,,,Unfavorable,Favorable,Before that,In the last month,Small city and Rural,Men without children
Female, 65-74,White,Mikie Sherill,Kamala Harris,3.0,Bachelor's degree (BA or BS),Democrat,,Somewhat liberal,,Not so good,,,,,Somewhat favorable,Strongly unfavorable,,5.0,You have known all along,"50,000-500,000",Election Day,Exit Poll,Election day,No,White,College graduate,65 or over,3723.0,1.0,10000.0,26.0,2.0,White,45 or over,65 or over,White women,White college graduates,White women college graduates,Democrat,Democrat/Lean Democrat,Liberal,,,,Not so good or poor,,,Favorable,Unfavorable,Before that,Before that,"City over 50,000",Women without children
Female,18-24,White,Mikie Sherill,Donald Trump,2.0,High school graduate,Democrat,,Moderate,,,,Angry,,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,White,No college degree,18-29,3725.0,1.0,10000.0,12.0,3.0,White,18-44,18-24,White women,White non-college graduates,White women non-college graduates,Democrat,Democrat/Lean Democrat,Moderate,,,,,,,,,,,Suburbs,
Female,75 or over,Hispanic/Latino,Mikie Sherill,Kamala Harris,1.0,Associate's degree (AA or AS),Democrat,,Somewhat liberal,,Good,,,,,Strongly favorable,Strongly unfavorable,,2.0,Before October,"50,000-500,000",Election Day,Exit Poll,Election day,No,Non-white,No college degree,65 or over,3732.0,1.0,10000.0,4.0,2.0,Hispanic/Latino,45 or over,65 or over,Latino women,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,,,,Excellent or good,,,Favorable,Unfavorable,Before that,Before that,"City over 50,000",Women without children
Female,30-34,Asian,Mikie Sherill,Kamala Harris,1.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Somewhat liberal,,,,Angry,,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,Non-white,College graduate,30-44,3736.0,1.0,10000.0,3.0,3.0,Asian,18-44,30-39,All other,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,,,,,,,,,,,Suburbs,
Male,60-64,White,Jack Ciattarelli,Donald Trump,3.0,Attended college but received no degree,Republican,,Somewhat conservative,,,,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",,,,,,,,"50,000-500,000",Election Day,Exit Poll,Election day,,White,No college degree,45-64,3738.0,1.0,10000.0,3.0,3.0,White,45 or over,50-64,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Conservative,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,"City over 50,000",
Female, 65-74,Black,Mikie Sherill,Kamala Harris,2.0,Bachelor's degree (BA or BS),Something else,Not lean either way,Moderate,,,,,,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,Non-white,College graduate,65 or over,3741.0,1.0,10000.0,23.0,3.0,Black,45 or over,65 or over,Black women,Non-white college graduates,Non-whites,Independent/Something else,Independent,Moderate,,,,,,,,,,,Suburbs,
Male, 65-74,White,Jack Ciattarelli,Donald Trump,3.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Something else,Lean Democrat,Moderate,,Not so good,,,,,Strongly unfavorable,Somewhat favorable,,1.0,Before October,Rural,Election Day,Exit Poll,Election day,Yes,White,College graduate,65 or over,3742.0,1.0,10000.0,20.0,2.0,White,45 or over,65 or over,White men,White college graduates,White men college graduates,Independent/Something else,Democrat/Lean Democrat,Moderate,,,,Not so good or poor,,,Unfavorable,Favorable,Before that,Before that,Small city and Rural,Men with children
Male,18-24,Black,Mikie Sherill,Kamala Harris,3.0,Attended college but received no degree,Democrat,,Somewhat liberal,,,,,,,,,,,,"50,000-500,000",Election Day,Exit Poll,Election day,,Non-white,No college degree,18-29,3766.0,1.0,10000.0,3.0,3.0,Black,18-44,18-24,Black men,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,,,,,,,,,,,"City over 50,000",
Male,60-64,Black,Mikie Sherill,Kamala Harris,1.0,Bachelor's degree (BA or BS),Democrat,,Somewhat liberal,"$50,000-$99,999",,Falling behind,,To oppose Donald Trump,Strongly disapprove,,,1.0,,,Suburbs,Election Day,Exit Poll,Election day,,Non-white,College graduate,45-64,3773.0,1.0,10000.0,30.0,1.0,Black,45 or over,50-64,Black men,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Disapprove,,,,,Suburbs,
Male, 65-74,White,Jack Ciattarelli,Donald Trump,3.0,Associate's degree (AA or AS),Independent,Lean Republican,Moderate,,Good,,,,,Strongly unfavorable,Somewhat favorable,,3.0,Earlier in October,Suburbs,Election Day,Exit Poll,Election day,Yes,White,No college degree,65 or over,3790.0,1.0,10000.0,15.0,2.0,White,45 or over,65 or over,White men,White non-college graduates,White men non-college graduates,Independent/Something else,Republican/Lean Republican,Moderate,,,,Excellent or good,,,Unfavorable,Favorable,Before that,In the last month,Suburbs,Men with children
Male,50-59,White,Jack Ciattarelli,Donald Trump,1.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Something else,Lean Republican,Somewhat conservative,,,,Angry,,,,,,,,Rural,Election Day,Exit Poll,Election day,,White,College graduate,45-64,3795.0,1.0,10000.0,17.0,3.0,White,45 or over,50-64,White men,White college graduates,White men college graduates,Independent/Something else,Republican/Lean Republican,Conservative,,,,,,,,,,,Small city and Rural,
Male,35-39,Black,Mikie Sherill,Kamala Harris,2.0,Attended college but received no degree,Democrat,,Somewhat liberal,,,,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",,,,,,,,"50,000-500,000",Election Day,Exit Poll,Election day,,Non-white,No college degree,30-44,3798.0,1.0,10000.0,5.0,3.0,Black,18-44,30-39,Black men,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,"City over 50,000",
Male,18-24,Asian,Mikie Sherill,Kamala Harris,1.0,Bachelor's degree (BA or BS),Democrat,,Somewhat liberal,"$50,000-$99,999",,Holding steady,,To support Donald Trump,Somewhat disapprove,,,5.0,,,Suburbs,Election Day,Exit Poll,Election day,,Non-white,College graduate,18-29,3801.0,1.0,10000.0,20.0,1.0,Asian,18-44,18-24,All other,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Disapprove,,,,,Suburbs,
Female,75 or over,White,Mikie Sherill,Kamala Harris,3.0,Bachelor's degree (BA or BS),Independent,Not lean either way,Somewhat liberal,,Good,,,,,Somewhat favorable,Somewhat unfavorable,,3.0,You have known all along,"50,000-500,000",Election Day,Exit Poll,Election day,No,White,College graduate,65 or over,3809.0,1.0,10000.0,24.0,2.0,White,45 or over,65 or over,White women,White college graduates,White women college graduates,Independent/Something else,Independent,Liberal,,,,Excellent or good,,,Favorable,Unfavorable,Before that,Before that,"City over 50,000",Women without children
Male, 65-74,Hispanic/Latino,Jack Ciattarelli,Donald Trump,3.0,Attended college but received no degree,Something else,Not lean either way,Very conservative,,Excellent,,,,,Strongly unfavorable,Strongly unfavorable,,5.0,You have known all along,"50,000-500,000",Election Day,Exit Poll,Election day,No,Non-white,No college degree,65 or over,3813.0,1.0,10000.0,10.0,2.0,Hispanic/Latino,45 or over,65 or over,Latino men,Non-white non-college graduates,Non-whites,Independent/Something else,Independent,Conservative,,,,Excellent or good,,,Unfavorable,Unfavorable,Before that,Before that,"City over 50,000",Men without children
Female, 65-74,White,Jack Ciattarelli,Donald Trump,3.0,Bachelor's degree (BA or BS),Republican,,Moderate,,Good,,,,,Strongly unfavorable,Somewhat favorable,,2.0,You have known all along,Suburbs,Election Day,Exit Poll,Election day,Yes,White,College graduate,65 or over,3814.0,1.0,10000.0,26.0,2.0,White,45 or over,65 or over,White women,White college graduates,White women college graduates,Republican,Republican/Lean Republican,Moderate,,,,Excellent or good,,,Unfavorable,Favorable,Before that,Before that,Suburbs,Women with children
Male,50-59,White,Jack Ciattarelli,Donald Trump,1.0,Bachelor's degree (BA or BS),Something else,Not lean either way,Very conservative,,Poor,,,,,Strongly unfavorable,Somewhat favorable,,2.0,Earlier in October,"Over 500,000",Election Day,Exit Poll,Election day,No,White,College graduate,45-64,3816.0,1.0,10000.0,30.0,2.0,White,45 or over,50-64,White men,White college graduates,White men college graduates,Independent/Something else,Independent,Conservative,,,,Not so good or poor,,,Unfavorable,Favorable,Before that,In the last month,"City over 50,000",Men without children
Female,45-49,Hispanic/Latino,Mikie Sherill,Kamala Harris,3.0,Bachelor's degree (BA or BS),Democrat,,Moderate,,,,,,,,,,,,Rural,Election Day,Exit Poll,Election day,,Non-white,College graduate,45-64,3822.0,1.0,10000.0,29.0,3.0,Hispanic/Latino,45 or over,40-49,Latino women,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Moderate,,,,,,,,,,,Small city and Rural,
Female,50-59,White,Jack Ciattarelli,Donald Trump,3.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Republican,,Moderate,,,,,,,,,,,,Rural,Election Day,Exit Poll,Election day,,White,College graduate,45-64,3824.0,1.0,10000.0,2.0,3.0,White,45 or over,50-64,White women,White college graduates,White women college graduates,Republican,Republican/Lean Republican,Moderate,,,,,,,,,,,Small city and Rural,
Female,60-64,White,Mikie Sherill,Kamala Harris,1.0,Attended college but received no degree,Independent,Lean Democrat,Moderate,"$50,000-$99,999",,Holding steady,,To oppose Donald Trump,Strongly disapprove,,,1.0,,,Suburbs,Election Day,Exit Poll,Election day,,White,No college degree,45-64,3827.0,1.0,10000.0,7.0,1.0,White,45 or over,50-64,White women,White non-college graduates,White women non-college graduates,Independent/Something else,Democrat/Lean Democrat,Moderate,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Disapprove,,,,,Suburbs,
Female,35-39,White,Mikie Sherill,Kamala Harris,1.0,Not a high school graduate,Democrat,,Moderate,,Excellent,,,,,Somewhat unfavorable,Somewhat unfavorable,,2.0,You have known all along,Suburbs,Election Day,Exit Poll,Election day,Yes,White,No college degree,30-44,3833.0,1.0,10000.0,30.0,2.0,White,18-44,30-39,White women,White non-college graduates,White women non-college graduates,Democrat,Democrat/Lean Democrat,Moderate,,,,Excellent or good,,,Unfavorable,Unfavorable,Before that,Before that,Suburbs,Women with children
Male, 65-74,Other,Mikie Sherill,Kamala Harris,1.0,Bachelor's degree (BA or BS),Democrat,,Moderate,,,,,,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,Non-white,College graduate,65 or over,3836.0,1.0,10000.0,10.0,3.0,Other,45 or over,65 or over,All other,Non-white college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Moderate,,,,,,,,,,,Suburbs,
Male, 65-74,White,Jack Ciattarelli,Donald Trump,1.0,Attended college but received no degree,Republican,,Moderate,"$30,000-$49,999",,Getting ahead,,To support Donald Trump,Strongly approve,,,2.0,,,Suburbs,Election Day,Exit Poll,Election day,,White,No college degree,65 or over,3838.0,1.0,10000.0,16.0,1.0,White,45 or over,65 or over,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Moderate,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Approve,,,,,Suburbs,
I identify another way, 65-74,Hispanic/Latino,Did not vote,Donald Trump,1.0,Attended college but received no degree,Republican,,Somewhat conservative,"Under $30,000",,Holding steady,,Donald Trump was not a facctor,Strongly disapprove,,,2.0,,,Suburbs,Election Day,Exit Poll,Election day,,Non-white,No college degree,65 or over,3839.0,1.0,10000.0,7.0,1.0,Hispanic/Latino,45 or over,65 or over,All other,Non-white non-college graduates,Non-whites,Republican,Republican/Lean Republican,Conservative,"Less tjhan $50,000","Less tjhan $100,000","Less tjhan $50,000",,,Disapprove,,,,,Suburbs,Does not identify as a man or a woman
Male,50-59,Black,Mikie Sherill,Kamala Harris,3.0,Attended college but received no degree,Democrat,,Very liberal,,,,"Satisfied, but not enthusiastic, 3 Dissatisfied, but not angry",,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,Non-white,No college degree,45-64,3843.0,1.0,10000.0,15.0,3.0,Black,45 or over,50-64,Black men,Non-white non-college graduates,Non-whites,Democrat,Democrat/Lean Democrat,Liberal,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,Suburbs,
Female,30-34,White,Jack Ciattarelli,Donald Trump,2.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Republican,,Somewhat liberal,"$50,000-$99,999",,Getting ahead,,To support Donald Trump,Strongly approve,,,1.0,,,Suburbs,Election Day,Exit Poll,Election day,,White,College graduate,30-44,3856.0,1.0,10000.0,28.0,1.0,White,18-44,30-39,White women,White college graduates,White women college graduates,Republican,Republican/Lean Republican,Liberal,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Approve,,,,,Suburbs,
Female,75 or over,Hispanic/Latino,Mikie Sherill,Kamala Harris,3.0,Attended college but received no degree,Independent,Lean Democrat,Somewhat liberal,,,,Angry,,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,Non-white,No college degree,65 or over,3857.0,1.0,10000.0,5.0,3.0,Hispanic/Latino,45 or over,65 or over,Latino women,Non-white non-college graduates,Non-whites,Independent/Something else,Democrat/Lean Democrat,Liberal,,,,,,,,,,,Suburbs,
Male,75 or over,White,Jack Ciattarelli,Donald Trump,3.0,Bachelor's degree (BA or BS),Republican,,Moderate,,,,,,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,White,College graduate,65 or over,3858.0,1.0,10000.0,5.0,3.0,White,45 or over,65 or over,White men,White college graduates,White men college graduates,Republican,Republican/Lean Republican,Moderate,,,,,,,,,,,Suburbs,
Female,35-39,White,Jack Ciattarelli,Donald Trump,3.0,Associate's degree (AA or AS),Independent,Not lean either way,Moderate,,,,Enthusiastic,,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,White,No college degree,30-44,3861.0,1.0,10000.0,18.0,3.0,White,18-44,30-39,White women,White non-college graduates,White women non-college graduates,Independent/Something else,Independent,Moderate,,,,,"Enthusiastic or satisfied, but not enthusiastic, 2 Dissatisfied, but not angry or angry",,,,,,Suburbs,
Female,60-64,Black,Jack Ciattarelli,Donald Trump,2.0,High school graduate,Republican,,Moderate,,Poor,,,,,Strongly unfavorable,Strongly unfavorable,,3.0,Before October,Rural,Election Day,Exit Poll,Election day,No,Non-white,No college degree,45-64,3863.0,1.0,10000.0,13.0,2.0,Black,45 or over,50-64,Black women,Non-white non-college graduates,Non-whites,Republican,Republican/Lean Republican,Moderate,,,,Not so good or poor,,,Unfavorable,Unfavorable,Before that,Before that,Small city and Rural,Women without children
Female, 65-74,White,Mikie Sherill,Kamala Harris,1.0,Attended college but received no degree,Democrat,,Moderate,,,,Angry,,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,White,No college degree,65 or over,3867.0,1.0,10000.0,9.0,3.0,White,45 or over,65 or over,White women,White non-college graduates,White women non-college graduates,Democrat,Democrat/Lean Democrat,Moderate,,,,,,,,,,,Suburbs,
Female,75 or over,White,Jack Ciattarelli,Donald Trump,3.0,Bachelor's degree (BA or BS),Republican,,Somewhat conservative,,,,,,,,,,,,Suburbs,Election Day,Exit Poll,Election day,,White,College graduate,65 or over,3873.0,1.0,10000.0,11.0,3.0,White,45 or over,65 or over,White women,White college graduates,White women college graduates,Republican,Republican/Lean Republican,Conservative,,,,,,,,,,,Suburbs,
Male,18-24,White,Mikie Sherill,Kamala Harris,3.0,"An advaned degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Democrat,,Somewhat liberal,"$50,000-$99,999",,Falling behind,,To oppose Donald Trump,Somewhat disapprove,,,1.0,,,"50,000-500,000",Election Day,Exit Poll,Election day,,White,College graduate,18-29,3876.0,1.0,10000.0,27.0,1.0,White,18-44,18-24,White men,White college graduates,White men college graduates,Democrat,Democrat/Lean Democrat,Liberal,"$50,000 or more","Less tjhan $100,000","$50,000-$99,999",,,Disapprove,,,,,"City over 50,000",
Male, 65-74,White,Jack Ciattarelli,Donald Trump,1.0,Attended college but received no degree,Republican,,Very conservative,"$200,000-$299,999",,Getting ahead,,To support Donald Trump,Strongly approve,,,1.0,,,Suburbs,Election Day,Exit Poll,Election day,,White,No college degree,65 or over,3882.0,1.0,10000.0,29.0,1.0,White,45 or over,65 or over,White men,White non-college graduates,White men non-college graduates,Republican,Republican/Lean Republican,Conservative,"$50,000 or more","$100,000 or more","$100,000 or more",,,Approve,,,,,Suburbs,
