ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,TNRPRS12,SEX,QRACE3,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,ABORTION,BEATOBAMAFL,BIZVPOL,BREAK12PRI,BRNAGAIN,DESCRIBS12R,GINGCONSRV,PAULCONSRV,ROMNCONSRV,SANTCONSRV,ISSREP12SC,MARRIED,QLTREP12,RELIGN10,SHAREREL,TEAPARTY,TIMEST12,UNDERREP12,VOTENOV12,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,ABORT2,BRNSHARE,BREAKFACT,BREAKIMP,REL5,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIYEAR,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,XQLTREP12,GOVTANGR,GOVTANG2,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
237165.0,Tennessee,52.0,Call 2,Complete,Election day exit poll,0.630163252353668,Ron Paul,Female,White,45-49,45-49,Very conservative,Independent,"Under $30,000",High school or less,Illegal in most cases,,,One of several important factors,Yes,,,,,,Abortion,Yes,Is a true conservative,,,Strongly support,Before that,,Only vote for the Republican nominee if your candidate wins,Married women,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Independent/Something else,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,Illegal,,A factor,Important,,,Support,Both Tea Party supporter and born-again,Earlier than that,Before January 1st,Yes,White Born-again/Evangelical Christians,,,Is a true conservative,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,South,Version 1,Suburb,Urban,Urban Core,Very upscale,37923.0
241105.0,Tennessee,53.0,Call 3,Complete,Election day exit poll,0.630163252353668,Ron Paul,Female,White,50-59,50-59,Moderate,Independent,"Under $30,000",Postgraduate study,Legal in most cases,,,A minor factor,,,,,,,The economy,No,Is a true conservative,,,Neutral,In the last few weeks,,Probably vote for the Republican nominee,Non married women,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,Legal,,A factor,Not important,,,Neutral,,Earlier than that,Since January 1st,No,,,,Is a true conservative,Angry,"Dissatisifed, but not angry or angry",State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very upscale,37922.0
240223.0,Tennessee,78.0,Call 3,Complete,Election day exit poll,0.631794929504395,Newt Gingrich,Female,White,60-64,60-64,Very conservative,Republican,"$50,000-$99,999",Some college/assoc. degree,Illegal in all cases,,,One of several important factors,Yes,,,,,,The economy,Yes,Is a true conservative,,,Strongly support,In the last few days,,Definitely vote for the Republican nominee,Married women,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,Illegal,,A factor,Important,,,Support,Both Tea Party supporter and born-again,Last few days,Since January 1st,No,White Born-again/Evangelical Christians,,,Is a true conservative,Angry,"Dissatisifed, but not angry or angry",State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,37167.0
229912.0,Tennessee,50027.0,Telephone Survey,Complete,Telephone survey,0.632099866867065,Rick Santorum,Female,White,65 or over,65 or over,Very conservative,Independent,"$100,000-$199,999",Postgraduate study,Illegal in most cases,,,,Yes,,,,,,Federal budget deficit,No,Can defeat Barack Obama,,,Somewhat support,Earlier this year,,Definitely vote for the Republican nominee,Non married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Conservative,Very conservative,Very conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Illegal,,,,,,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,,,Can defeat Barack Obama,"Dissatisifed, but not angry","Dissatisifed, but not angry or angry",State questionnaire,Rural,Small Cities/Rural,4.0,South,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale,38039.0
230296.0,Tennessee,50027.0,Telephone Survey,Complete,Telephone survey,0.632099866867065,Rick Santorum,Female,White,65 or over,65 or over,Very conservative,Republican,,Some college/assoc. degree,,Romney,Working in government,,Yes,I strongly favor my candidate,About right,Not conservative enough,Not conservative enough,About right,,,,Protestant,Somewhat,Somewhat support,,Santorum,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,,,,No college degree,More than High school graduate,,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,,,State questionnaire,Suburbs,Suburbs,4.0,South,Version 2,Suburb,80s Suburbs,Urban Perimeter,Very upscale,38135.0
233160.0,Tennessee,78.0,Call 1,Complete,Election day exit poll,0.6334547996521,Ron Paul,Female,White,50-59,50-59,Very conservative,Republican,,Some college/assoc. degree,Illegal in all cases,,,One of several important factors,,,,,,,Abortion,Yes,Has strong moral character,,,Strongly support,In the last few days,,Probably vote for the Republican nominee,Married women,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Very conservative,Very conservative,,,,No college degree,More than High school graduate,Illegal,,A factor,Important,,,Support,,Last few days,Since January 1st,,,,,Has strong moral character,Angry,"Dissatisifed, but not angry or angry",State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,37167.0
239455.0,Tennessee,78.0,Call 3,Complete,Election day exit poll,0.6334547996521,Ron Paul,Female,White,50-59,50-59,Somewhat liberal,Democrat,"$50,000-$99,999",Some college/assoc. degree,,Paul,Working in government,,No,I like my candidate but with reservations,About right,About right,About right,About right,,,,Catholic,Somewhat,Neutral,,Paul,,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,Not born again,,,Catholic,A great deal or somewhat,Neutral,Neither,,,No,All others,No,All others,,,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,37167.0
239902.0,Tennessee,78.0,Call 3,Complete,Election day exit poll,0.6334547996521,Ron Paul,Female,White,50-59,50-59,Somewhat conservative,Republican,"$50,000-$99,999",Postgraduate study,,Romney,Working in business,,Yes,I like my candidate but with reservations,Not conservative enough,About right,Not conservative enough,Not conservative enough,,,,Protestant,Somewhat,Somewhat support,,Paul,,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,37167.0
232799.0,Tennessee,19.0,Call 1,Complete,Election day exit poll,0.63484787940979,Newt Gingrich,Male,White,50-59,50-59,Very conservative,Republican,"$100,000-$199,999",Some college/assoc. degree,Illegal in most cases,,,One of several important factors,Yes,,,,,,Federal budget deficit,Yes,Is a true conservative,,,Somewhat support,Earlier this year,,Definitely vote for the Republican nominee,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Very conservative,Very conservative,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,Illegal,,A factor,Important,,,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,,,Is a true conservative,Angry,"Dissatisifed, but not angry or angry",State questionnaire,"Cities over 500,000","Cities over 50,000",2.0,South,Version 1,Suburb,Urban,Urban Core,Upscale,37072.0
236067.0,Tennessee,19.0,Call 2,Complete,Election day exit poll,0.63484787940979,Newt Gingrich,Male,White,50-59,50-59,Moderate,Democrat,"$50,000-$99,999",Some college/assoc. degree,,Gingrich,Working in government,,Yes,I strongly favor my candidate,About right,Not conservative enough,Not conservative enough,Not conservative enough,,,,Protestant,A great deal,Strongly support,,Gingrich,,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,,,State questionnaire,"Cities over 500,000","Cities over 50,000",2.0,South,Version 2,Suburb,Urban,Urban Core,Upscale,37072.0
236126.0,Tennessee,19.0,Call 2,Complete,Election day exit poll,0.63484787940979,Newt Gingrich,Male,White,40-44,40-44,Moderate,Republican,"$50,000-$99,999",Some college/assoc. degree,Legal in most cases,,,One of several important factors,No,,,,,,Illegal immigration,No,Can defeat Barack Obama,,,Somewhat support,Earlier this year,,Definitely vote for the Republican nominee,Non married men,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,Legal,,A factor,Important,,,Support,Tea Party supporter and not born-again,Earlier than that,Since January 1st,No,All others,,,Can defeat Barack Obama,Angry,"Dissatisifed, but not angry or angry",State questionnaire,"Cities over 500,000","Cities over 50,000",2.0,South,Version 1,Suburb,Urban,Urban Core,Upscale,37072.0
239197.0,Tennessee,19.0,Call 3,Complete,Election day exit poll,0.63484787940979,Newt Gingrich,Male,White,50-59,50-59,Somewhat conservative,Independent,"$100,000-$199,999",College graduate,Omit,,,One of several important factors,Yes,,,,,,The economy,Yes,Can defeat Barack Obama,,,Somewhat support,In the last few weeks,,Definitely vote for the Republican nominee,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Omit,,A factor,Important,,,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,,,Can defeat Barack Obama,Angry,"Dissatisifed, but not angry or angry",State questionnaire,"Cities over 500,000","Cities over 50,000",2.0,South,Version 1,Suburb,Urban,Urban Core,Upscale,37072.0
239357.0,Tennessee,19.0,Call 3,Complete,Election day exit poll,0.63484787940979,Newt Gingrich,Male,White,30-39,30-39,Very conservative,Independent,"$50,000-$99,999",Some college/assoc. degree,,Gingrich,Working in government,,Yes,I strongly favor my candidate,About right,About right,Not conservative enough,About right,,,,Other christian,A great deal,Strongly support,,Gingrich,,,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Independent/Something else,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,,,State questionnaire,"Cities over 500,000","Cities over 50,000",2.0,South,Version 2,Suburb,Urban,Urban Core,Upscale,37072.0
239718.0,Tennessee,19.0,Call 3,Complete,Election day exit poll,0.63484787940979,Newt Gingrich,Male,White,45-49,45-49,Very conservative,Independent,"$100,000-$199,999",Postgraduate study,Illegal in most cases,,,One of several important factors,Yes,,,,,,Federal budget deficit,Yes,Can defeat Barack Obama,,,Strongly support,In the last few weeks,,Definitely vote for the Republican nominee,Married men,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Independent/Something else,Conservative,Very conservative,Very conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Illegal,,A factor,Important,,,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,,,Can defeat Barack Obama,"Dissatisifed, but not angry","Dissatisifed, but not angry or angry",State questionnaire,"Cities over 500,000","Cities over 50,000",2.0,South,Version 1,Suburb,Urban,Urban Core,Upscale,37072.0
240306.0,Tennessee,19.0,Call 3,Complete,Election day exit poll,0.63484787940979,Newt Gingrich,Male,White,50-59,50-59,Very conservative,Republican,"$100,000-$199,999",High school or less,Illegal in all cases,,,One of several important factors,Yes,,,,,,Abortion,Yes,Can defeat Barack Obama,,,Strongly support,Earlier this year,,Definitely vote for the Republican nominee,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Very conservative,Very conservative,100 thousand or more,50k or more,100k or more,No college degree,High school graduate or less,Illegal,,A factor,Important,,,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,,,Can defeat Barack Obama,Angry,"Dissatisifed, but not angry or angry",State questionnaire,"Cities over 500,000","Cities over 50,000",2.0,South,Version 1,Suburb,Urban,Urban Core,Upscale,37072.0
229761.0,Tennessee,50008.0,Telephone Survey,Complete,Telephone survey,0.634894549846649,Mitt Romney,Female,White,65 or over,65 or over,Moderate,Republican,"Under $30,000",Some college/assoc. degree,Omit,,,,No,,,,,,The economy,No,Omit,,,Strongly oppose,Before that,,Omit,Non married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Omit,,,,,,Oppose,Neither,Earlier than that,Before January 1st,Yes,All others,,,Omit,Angry,"Dissatisifed, but not angry or angry",State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,37830.0
233003.0,Tennessee,75.0,Call 1,Complete,Election day exit poll,0.635890126228333,Mitt Romney,Female,White,40-44,40-44,Very conservative,Republican,"$30,000-$49,999",College graduate,Legal in most cases,,,One of several important factors,Yes,,,,,,Federal budget deficit,No,Can defeat Barack Obama,,,Somewhat support,In the last few weeks,,Definitely vote for the Republican nominee,Non married women,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,Legal,,A factor,Important,,,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,,,Can defeat Barack Obama,Angry,"Dissatisifed, but not angry or angry",State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale,37172.0
233040.0,Tennessee,75.0,Call 1,Complete,Election day exit poll,0.635890126228333,Mitt Romney,Female,White,50-59,50-59,Somewhat conservative,Republican,"$50,000-$99,999",College graduate,,Romney,Working in government,,Yes,I like my candidate but with reservations,Omit,Omit,About right,Omit,,,,Protestant,A great deal,Somewhat support,,Romney,,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale,37172.0
240684.0,Tennessee,75.0,Call 3,Complete,Election day exit poll,0.635890126228333,Mitt Romney,Female,White,30-39,30-39,Somewhat conservative,Republican,"$50,000-$99,999",Some college/assoc. degree,,Romney,Working in government,,No,I like my candidate but with reservations,About right,Not conservative enough,About right,About right,,,,Other christian,Somewhat,Somewhat support,,Santorum,,,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,Not born again,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Tea Party supporter and not born-again,,,No,All others,No,White Protestant non-evangelical,,,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale,37172.0
240719.0,Tennessee,75.0,Call 3,Complete,Election day exit poll,0.635890126228333,Mitt Romney,Female,White,45-49,45-49,Somewhat conservative,Independent,"$50,000-$99,999",Some college/assoc. degree,,Romney,Working in business,,Yes,I like my candidate but with reservations,Not conservative enough,About right,About right,About right,,,,Other christian,Somewhat,Somewhat oppose,,Romney,,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Oppose,Born-again but not Tea Party supporter,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale,37172.0
233646.0,Tennessee,63.0,Call 1,Complete,Election day exit poll,0.637198388576508,Ron Paul,Female,White,45-49,45-49,Moderate,Republican,"Under $30,000",High school or less,Illegal in all cases,,,One of several important factors,Yes,,,,,,Omit,Yes,Can defeat Barack Obama,,,Strongly support,In the last few weeks,,Definitely vote for the Republican nominee,Married women,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,Illegal,,A factor,Important,,,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,Yes,White Born-again/Evangelical Christians,,,Can defeat Barack Obama,Angry,"Dissatisifed, but not angry or angry",State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,1.0,South,Version 1,Low Density Rural,Rural,Rural,Downscale,37303.0
240591.0,Tennessee,63.0,Call 3,Complete,Election day exit poll,0.637198388576508,Ron Paul,Female,White,30-39,30-39,Moderate,Republican,"$50,000-$99,999",Some college/assoc. degree,Legal in all cases,,,A minor factor,Yes,,,,,,The economy,Yes,Can defeat Barack Obama,,,Somewhat support,In the last few days,,Definitely vote for the Republican nominee,Married women,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,Legal,,A factor,Not important,,,Support,Both Tea Party supporter and born-again,Last few days,Since January 1st,No,White Born-again/Evangelical Christians,,,Can defeat Barack Obama,"Dissatisifed, but not angry","Dissatisifed, but not angry or angry",State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,1.0,South,Version 1,Low Density Rural,Rural,Rural,Downscale,37303.0
240694.0,Tennessee,63.0,Call 3,Complete,Election day exit poll,0.637198388576508,Ron Paul,Female,White,30-39,30-39,Moderate,Independent,"$30,000-$49,999",High school or less,,Romney,Working in business,,Yes,I strongly favor my candidate,Too conservative,About right,Not conservative enough,Too conservative,,,,Other christian,A great deal,Somewhat support,,Paul,,,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,Yes,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,1.0,South,Version 2,Low Density Rural,Rural,Rural,Downscale,37303.0
241075.0,Tennessee,63.0,Call 3,Complete,Election day exit poll,0.637198388576508,Ron Paul,Female,White,30-39,30-39,Moderate,Republican,"$30,000-$49,999",Some college/assoc. degree,Legal in most cases,,,One of several important factors,Yes,,,,,,The economy,Yes,Can defeat Barack Obama,,,Somewhat support,In the last few days,,Definitely vote for the Republican nominee,Married women,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Legal,,A factor,Important,,,Support,Both Tea Party supporter and born-again,Last few days,Since January 1st,Yes,White Born-again/Evangelical Christians,,,Can defeat Barack Obama,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,1.0,South,Version 1,Low Density Rural,Rural,Rural,Downscale,37303.0
233089.0,Tennessee,78.0,Call 1,Complete,Election day exit poll,0.64030933380127,Rick Santorum,Male,White,50-59,50-59,Very conservative,Republican,"$100,000-$199,999",Some college/assoc. degree,Illegal in most cases,,,A minor factor,Yes,,,,,,Federal budget deficit,Yes,Can defeat Barack Obama,,,Somewhat support,In the last few weeks,,Definitely vote for the Republican nominee,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Very conservative,Very conservative,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,Illegal,,A factor,Not important,,,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,,,Can defeat Barack Obama,"Dissatisifed, but not angry","Dissatisifed, but not angry or angry",State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,37167.0
233212.0,Tennessee,78.0,Call 1,Complete,Election day exit poll,0.64030933380127,Rick Santorum,Male,White,40-44,40-44,Somewhat conservative,,,Some college/assoc. degree,,Omit,Omit,,Yes,I like my candidate but with reservations,About right,About right,Not conservative enough,About right,,,,,Somewhat,Strongly support,,Omit,,,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,,Conservative,Somewhat conservative,Somewhat conservative,,,,No college degree,More than High school graduate,,Born again/Think religious values of candidate did not matter a great deal,,,,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,,White Born-again/Evangelical Christians,,,,,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,37167.0
233279.0,Tennessee,78.0,Call 1,Complete,Election day exit poll,0.64030933380127,Rick Santorum,Male,White,40-44,40-44,Very conservative,Something else,"$100,000-$199,999",Some college/assoc. degree,Illegal in most cases,,,One of several important factors,Yes,,,,,,Abortion,Yes,Has strong moral character,,,Strongly support,Just today,,Definitely vote for the Republican nominee,Married men,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Independent/Something else,Conservative,Very conservative,Very conservative,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,Illegal,,A factor,Important,,,Support,Both Tea Party supporter and born-again,Last few days,Since January 1st,No,White Born-again/Evangelical Christians,,,Has strong moral character,Angry,"Dissatisifed, but not angry or angry",State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,37167.0
233333.0,Tennessee,78.0,Call 1,Complete,Election day exit poll,0.64030933380127,Rick Santorum,Male,White,30-39,30-39,Moderate,Independent,"$30,000-$49,999",Some college/assoc. degree,,Santorum,Working in business,,Yes,I strongly favor my candidate,Too conservative,Too conservative,Too conservative,About right,,,,Other christian,A great deal,Neutral,,Gingrich,,,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Neutral,Born-again but not Tea Party supporter,,,Yes,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,37167.0
233408.0,Tennessee,78.0,Call 1,Not complete,Election day exit poll,0.64030933380127,Rick Santorum,Male,White,30-39,30-39,,,,College graduate,,Santorum,Working in business,,,I like my candidate but with reservations,,,,,,,,,Somewhat,,,,,,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,,,,,,,,College graduate,More than High school graduate,,,,,,A great deal or somewhat,,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,37167.0
233434.0,Tennessee,78.0,Call 1,Complete,Election day exit poll,0.64030933380127,Rick Santorum,Male,White,30-39,30-39,Very conservative,Republican,"$50,000-$99,999",Postgraduate study,,Gingrich,Working in business,,Yes,I like my candidate but with reservations,Not conservative enough,About right,Not conservative enough,About right,,,,Other christian,A great deal,Strongly support,,Santorum,,,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,37167.0
233455.0,Tennessee,78.0,Call 1,Complete,Election day exit poll,0.64030933380127,Rick Santorum,Male,White,30-39,30-39,Very conservative,Republican,"$50,000-$99,999",College graduate,,Santorum,Working in government,,Yes,I strongly favor my candidate,About right,About right,Not conservative enough,About right,,,,Protestant,A great deal,Strongly support,,Paul,,,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,,,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,37167.0
