ID,AGE,AGE3,AGE45,AGE60,AGE65,AGE8,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,DESCRIBP12,ECONBETT,ECONDIR,ECONISS12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,ENVIRON,FAVOBAMA2,FAVROMN2,FINSIT,GEOCODE,GOVTDO10,HANDLEECON12,HEALTHCARE12,HEALTHCARE12B,INC100K,INC30K,INC50K,INCOME12GEN,INCOME3,INCWHITE,INTOUCH12,ISSUE12,LATINO,MARRIED,MEAS80OR,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PRSOR12,QLT12,QRACE3,QRACEAI,QTYPE,RACE,REGION,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME12,TIME12FEWD,TIME12MTH,VERSION,WHNCLINC,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
2178.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Complete,,5.0,I dislike the other candidates,Staying about the same,Poor and staying the same,The housing market,College graduate,College graduate,More than High school graduate,White college degree,Keeping jobs in your state,Unfavorable,Unfavorable,About the same,3.0,Government is doing too many things better left to businesses and individuals,Mitt Romney,Repeal some of it,Repeal some of it or repeal all of it,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Omit,The economy,No,Yes,Yes,Not so good,Not so good or poor,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,50018.0,Did not vote,Has a vision for the future,White,White,State questionnaire,White,West,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000",Oregon,Telephone survey,Omit,Omit,Omit,Version 1,No,Suburb,Urban,Urban Core,Downscale,97301.0,0.175945669412613
1485.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Complete,,3.0,I dislike the other candidates,Getting worse,Worse,Rising prices,College graduate,College graduate,More than High school graduate,White college degree,Keeping jobs in your state,Favorable,Unfavorable,Worse today,1.0,Omit,Mitt Romney,Repeal all of it,Repeal some of it or repeal all of it,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Mitt Romney,The economy,No,No,Yes,Poor,Not so good or poor,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,50008.0,Did not vote,Cares about people like me,White,White,State questionnaire,White,West,Male,White men,Non married men,"Cities over 500,000","Cities over 50,000",Oregon,Telephone survey,In October,"In October, in September, or before that",Just today or in the last few days or in October,Version 1,No,Suburb,Urban,Urban Core,Downscale,97217.0,0.202162340283394
2280.0,18-29,18-29,18-44,18-29,25-29,25-29,Non Black 18-29,White 18-29,White 18-29,Complete,,5.0,I dislike the other candidates,Staying about the same,Poor and staying the same,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Keeping jobs in your state,Unfavorable,Unfavorable,Worse today,3.0,Government is doing too many things better left to businesses and individuals,Barack Obama,Repeal some of it,Repeal some of it or repeal all of it,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Omit,The economy,No,Yes,Yes,Poor,Not so good or poor,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,50018.0,Did not vote,Cares about people like me,White,White,State questionnaire,White,West,Female,White women,Married women,Suburbs,Suburbs,Oregon,Telephone survey,In October,"In October, in September, or before that",Just today or in the last few days or in October,Version 1,Yes,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Upscale,97338.0,0.415491759777069
1837.0,,,,,,,,,,Complete,,4.0,I dislike the other candidates,Staying about the same,Poor and staying the same,Taxes,,,,,Omit,Unfavorable,Omit,Worse today,3.0,Government is doing too many things better left to businesses and individuals,Omit,Repeal all of it,Repeal some of it or repeal all of it,,,,,,,Omit,The economy,,,Yes,Poor,Not so good or poor,,,,,,,,,50014.0,Did not vote,Has a vision for the future,,,State questionnaire,,West,Male,,,"Cities 50,000-500,000","Cities over 50,000",Oregon,Telephone survey,In September,"In October, in September, or before that",In September or before that,Version 1,,Suburb,Urban,Urban Core,Very upscale,97405.0,0.0448231585323811
2258.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,5.0,Omit,Getting better,Getting better,Rising prices,Postgraduate study,College graduate,More than High school graduate,White college degree,Protecting the environment,Unfavorable,Unfavorable,About the same,3.0,Government is doing too many things better left to businesses and individuals,Barack Obama,Repeal some of it,Repeal some of it or repeal all of it,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Barack Obama,Federal budget deficit,No,Yes,No,Not so good,Not so good or poor,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,50018.0,Did not vote,Omit,White,White,State questionnaire,White,West,Male,White men,Married men,Suburbs,Suburbs,Oregon,Telephone survey,In October,"In October, in September, or before that",Just today or in the last few days or in October,Version 1,No,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,97361.0,0.148265689611435
2174.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,5.0,Omit,Staying about the same,Poor and staying the same,The housing market,College graduate,College graduate,More than High school graduate,White college degree,Keeping jobs in your state,Unfavorable,Unfavorable,Worse today,3.0,Government is doing too many things better left to businesses and individuals,Omit,Repeal all of it,Repeal some of it or repeal all of it,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",Barack Obama,The economy,No,No,No,Poor,Not so good or poor,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,50018.0,Did not vote,Cares about people like me,White,White,State questionnaire,White,West,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Oregon,Telephone survey,Omit,Omit,Omit,Version 1,No,Suburb,Urban,Urban Core,Downscale,97301.0,0.138511165976524
2277.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,5.0,Omit,Getting better,Getting better,Rising prices,High school graduate,No college degree,High school graduate or less,White no college degree,Keeping jobs in your state,Unfavorable,Unfavorable,Worse today,2.0,Government is doing too many things better left to businesses and individuals,Barack Obama,Leave it as is,Expand it or leave it as is,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",Omit,The economy,No,No,No,Not so good,Not so good or poor,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Conservative,50017.0,Did not vote,Omit,White,White,State questionnaire,White,West,Female,White women,Non married women,Suburbs,Suburbs,Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,Yes,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Upscale,97045.0,0.150552600622177
12074.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,2.0,I strongly favor my candidate,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,4.0,,,,,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",,,No,Yes,,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50007.0,Barack Obama,,White,White,National questionnaire,White,West,Male,White men,Married men,Rural,Small Cities/Rural,Oregon,Telephone survey,,,,Version 3,Yes,Extremely Low Density Rural,Rural,Rural,Very downscale,97814.0,0.84177178144455
1827.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Complete,,4.0,I strongly favor my candidate,Getting better,Getting better,The housing market,College graduate,College graduate,More than High school graduate,White college degree,Protecting the environment,Favorable,Unfavorable,Better today,4.0,Government is doing too many things better left to businesses and individuals,Barack Obama,Leave it as is,Expand it or leave it as is,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Barack Obama,The economy,No,No,,Not so good,Not so good or poor,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,50015.0,Barack Obama,Is a strong leader,White,White,State questionnaire,White,West,Female,White women,Non married women,Rural,Small Cities/Rural,Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,Extremely Low Density Rural,Rural,Rural,Very downscale,97410.0,0.122644267976284
1826.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Complete,,4.0,I strongly favor my candidate,Getting better,Getting better,Rising prices,Postgraduate study,College graduate,More than High school graduate,White college degree,Keeping jobs in your state,Favorable,Unfavorable,Worse today,4.0,Government should do more to solve problems,Barack Obama,Leave it as is,Expand it or leave it as is,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Barack Obama,The economy,No,No,,Not so good,Not so good or poor,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,50015.0,Barack Obama,Cares about people like me,White,White,State questionnaire,White,West,Female,White women,Non married women,Rural,Small Cities/Rural,Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,Low Density Rural,Rural,Rural,Very downscale,97411.0,0.122644267976284
1914.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,4.0,I strongly favor my candidate,Omit,Omit,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Protecting the environment,Favorable,Unfavorable,About the same,3.0,Government should do more to solve problems,Barack Obama,Expand it,Expand it or leave it as is,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Barack Obama,The economy,No,No,,Not so good,Not so good or poor,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50014.0,Barack Obama,Has a vision for the future,White,White,State questionnaire,White,West,Female,White women,Non married women,Suburbs,Suburbs,Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,Yes,Extremely Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very downscale,97439.0,0.103568695485592
1877.0,45-65,30-59,45+,45-59,40-49,45-49,Non Black 45-59,White 45-59,White 45-64,Complete,,4.0,I like my candidate but with reservations,Staying about the same,Poor and staying the same,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Keeping jobs in your state,Favorable,Unfavorable,Worse today,3.0,Government should do more to solve problems,Barack Obama,Omit,Omit,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Barack Obama,The economy,No,No,,Not so good,Not so good or poor,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50014.0,Barack Obama,Cares about people like me,White,White,State questionnaire,White,West,Female,White women,Non married women,Suburbs,Suburbs,Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,Yes,Extremely Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very downscale,97439.0,0.164785727858543
1250.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,Latino 60+,Latino 65+,Complete,,2.0,I strongly favor my candidate,Staying about the same,Good and staying the same,Rising prices,High school graduate,No college degree,High school graduate or less,Non white no college degree,Omit,Favorable,Favorable,About the same,4.0,Government should do more to solve problems,Barack Obama,Expand it,Expand it or leave it as is,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,Health care,Yes,No,,Good,Excellent or good,45+,65+,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Moderate,50007.0,Barack Obama,Is a strong leader,Other,American Indian,State questionnaire,Hispanic/Latino,West,Female,Latino women,Non married women,Suburbs,Suburbs,Oregon,Telephone survey,In September,"In October, in September, or before that",In September or before that,Version 1,No,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very downscale,97540.0,0.0488190241158009
2134.0,18-29,18-29,18-44,18-29,18-24,18-24,Non Black 18-29,All others,All others,Complete,,5.0,I like my candidate but with reservations,Getting better,Getting better,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Protecting the environment,Favorable,Favorable,About the same,3.0,Government is doing too many things better left to businesses and individuals,Omit,Repeal some of it,Repeal some of it or repeal all of it,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,The economy,No,No,,Not so good,Not so good or poor,18-44,18-64,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Moderate,50018.0,Barack Obama,Has a vision for the future,Other,Other,State questionnaire,Other,West,Female,All other races,Non married women,Suburbs,Suburbs,Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Very downscale,97026.0,0.673300564289093
2114.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,5.0,I strongly favor my candidate,Staying about the same,Poor and staying the same,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Keeping jobs in your state,Favorable,Unfavorable,Better today,3.0,Omit,Barack Obama,Leave it as is,Expand it or leave it as is,,,,,,,Barack Obama,Health care,No,No,,Poor,Not so good or poor,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Conservative,50018.0,Barack Obama,Shares my values,White,White,State questionnaire,White,West,Female,White women,Non married women,Suburbs,Suburbs,Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very downscale,97071.0,0.210140600800514
1856.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,4.0,I strongly favor my candidate,Getting better,Getting better,Rising prices,High school graduate,No college degree,High school graduate or less,White no college degree,Omit,Favorable,Unfavorable,Worse today,3.0,Government should do more to solve problems,Barack Obama,Expand it,Expand it or leave it as is,,,,,,,Barack Obama,The economy,No,No,,Not so good,Not so good or poor,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50014.0,Barack Obama,Cares about people like me,White,White,State questionnaire,White,West,Female,White women,Non married women,Suburbs,Suburbs,Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,,Extremely Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,97424.0,0.103568695485592
2170.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,5.0,I dislike the other candidates,Getting better,Getting better,Rising prices,College graduate,College graduate,More than High school graduate,White college degree,Keeping jobs in your state,Favorable,Unfavorable,About the same,3.0,Government should do more to solve problems,Barack Obama,Repeal some of it,Repeal some of it or repeal all of it,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and white",Barack Obama,The economy,No,No,,Good,Excellent or good,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,50018.0,Barack Obama,Is a strong leader,White,White,State questionnaire,White,West,Female,White women,Non married women,Rural,Small Cities/Rural,Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,Extremely Low Density Rural,Rural,Rural,Downscale,97498.0,0.112300559878349
1114.0,30-44,30-59,18-44,30-44,30-39,30-39,,,,Complete,,1.0,I dislike the other candidates,Staying about the same,Good and staying the same,Taxes,College graduate,College graduate,More than High school graduate,,Protecting the environment,Favorable,Unfavorable,Better today,2.0,Government is doing too many things better left to businesses and individuals,Omit,Leave it as is,Expand it or leave it as is,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,,Omit,Federal budget deficit,,Yes,,Good,Excellent or good,18-44,18-64,Independent/Something else,,,Independent,,Moderate,50001.0,Barack Obama,Has a vision for the future,,,State questionnaire,,West,Male,,Married men,Suburbs,Suburbs,Oregon,Telephone survey,In September,"In October, in September, or before that",In September or before that,Version 1,No,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Downscale,97051.0,0.29158091545105
1767.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,,4.0,I strongly favor my candidate,Getting better,Getting better,Rising prices,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Protecting the environment,Favorable,Unfavorable,Better today,3.0,Government should do more to solve problems,Barack Obama,Leave it as is,Expand it or leave it as is,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Barack Obama,Foreign policy,No,Yes,,Not so good,Not so good or poor,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50014.0,Barack Obama,Has a vision for the future,White,White,State questionnaire,White,West,Female,White women,Married women,Suburbs,Suburbs,Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,Yes,Extremely Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,97452.0,0.172141462564468
1045.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,1.0,I like my candidate but with reservations,Getting better,Getting better,Rising prices,High school graduate,No college degree,High school graduate or less,White no college degree,Protecting the environment,Favorable,Unfavorable,Better today,2.0,Government should do more to solve problems,Mitt Romney,Omit,Omit,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Barack Obama,The economy,No,No,,Not so good,Not so good or poor,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Conservative,50001.0,Barack Obama,Omit,White,White,State questionnaire,White,West,Female,White women,Non married women,Suburbs,Suburbs,Oregon,Telephone survey,In October,"In October, in September, or before that",Just today or in the last few days or in October,Version 1,Yes,Low Density Rural,70s Suburbs,Urban Perimeter,Downscale,97048.0,0.13162550330162
1982.0,65+,60+,45+,60+,65+,65 or over,Black 60+,Black 60+,Black 65+,Complete,,4.0,I strongly favor my candidate,Getting worse,Worse,Rising prices,College graduate,College graduate,More than High school graduate,Non white college degree,Keeping jobs in your state,Favorable,Unfavorable,About the same,3.0,Omit,Barack Obama,Leave it as is,Expand it or leave it as is,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,Federal budget deficit,No,Yes,,Omit,Omit,45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,50014.0,Barack Obama,Has a vision for the future,Black,Black,State questionnaire,Black,West,Female,Black women,Married women,"Cities 50,000-500,000","Cities over 50,000",Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,Low Density Rural,Urban,Urban Core,Downscale,97478.0,0.0644221901893616
2210.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,,5.0,I strongly favor my candidate,Getting better,Getting better,The housing market,Postgraduate study,College graduate,More than High school graduate,White college degree,Protecting the environment,Favorable,Unfavorable,Better today,3.0,Government should do more to solve problems,Barack Obama,Expand it,Expand it or leave it as is,,,,,,,Barack Obama,Foreign policy,No,Yes,,Not so good,Not so good or poor,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50018.0,Barack Obama,Shares my values,White,White,State questionnaire,White,West,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,Suburb,Urban,Urban Core,Downscale,97301.0,0.172141462564468
1895.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Complete,,4.0,I dislike the other candidates,Getting worse,Worse,Unemployment,College graduate,College graduate,More than High school graduate,White college degree,Protecting the environment,Favorable,Unfavorable,About the same,3.0,Omit,Barack Obama,Omit,Omit,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,"Over $50,000 and white",Barack Obama,Foreign policy,No,No,,Poor,Not so good or poor,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Liberal,50014.0,Barack Obama,Cares about people like me,White,White,State questionnaire,White,West,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,Suburb,Urban,Urban Core,Downscale,97402.0,0.2653748691082
1615.0,45-65,30-59,45+,45-59,50-64,50-59,Black 45-59,Black 45-59,Black 45-64,Complete,,3.0,I strongly favor my candidate,Getting better,Getting better,Unemployment,High school graduate,No college degree,High school graduate or less,Non white no college degree,Omit,Favorable,Unfavorable,About the same,1.0,Omit,Barack Obama,Omit,Omit,Less than 100k,"Under $30,000",Less than 50k,"Under $30,000",Less than 50 thousand,"Under $50,000 and non white",Barack Obama,Health care,No,Yes,,Good,Excellent or good,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Liberal,50008.0,Barack Obama,Cares about people like me,Black,Black,State questionnaire,Black,West,Female,Black women,Married women,"Cities over 500,000","Cities over 50,000",Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,Suburb,Urban,Urban Core,Downscale,97217.0,0.100882671773434
1504.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,All others,All others,Complete,,3.0,I strongly favor my candidate,Getting worse,Worse,Omit,Postgraduate study,College graduate,More than High school graduate,Non white college degree,Omit,Favorable,Unfavorable,Better today,1.0,Government should do more to solve problems,Barack Obama,Expand it,Expand it or leave it as is,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and non white",Barack Obama,Omit,No,Yes,,Poor,Not so good or poor,45+,18-64,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Liberal,50008.0,Barack Obama,Shares my values,Other,Other,State questionnaire,Other,West,Female,All other races,Married women,"Cities over 500,000","Cities over 50,000",Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,Suburb,Urban,Urban Core,Downscale,97211.0,0.280288517475128
1516.0,30-44,30-59,18-44,30-44,30-39,30-39,Non Black 30-44,White 30-44,White 30-44,Complete,,3.0,I strongly favor my candidate,Staying about the same,Poor and staying the same,Rising prices,Postgraduate study,College graduate,More than High school graduate,White college degree,Protecting the environment,Favorable,Unfavorable,Better today,1.0,Government should do more to solve problems,Barack Obama,Leave it as is,Expand it or leave it as is,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Barack Obama,The economy,No,Yes,,Poor,Not so good or poor,18-44,18-64,,,,,,Liberal,50008.0,Barack Obama,Shares my values,White,White,State questionnaire,White,West,Female,White women,Married women,"Cities over 500,000","Cities over 50,000",Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,Extremely High Density Urban,Urban,Urban Core,Downscale,97206.0,0.507300555706024
1234.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,,2.0,I strongly favor my candidate,Omit,Omit,Rising prices,Postgraduate study,College graduate,More than High school graduate,White college degree,Protecting the environment,Favorable,Unfavorable,Worse today,2.0,Government is doing too many things better left to businesses and individuals,Barack Obama,Expand it,Expand it or leave it as is,Less than 100k,"$30,000 or more",Less than 50k,"$30,000 - $49,999",Less than 50 thousand,"Under $50,000 and white",Barack Obama,The economy,No,No,,Not so good,Not so good or poor,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Liberal,50005.0,Barack Obama,Shares my values,White,White,State questionnaire,White,West,Female,White women,Non married women,"Cities 10,000-50,000",Small Cities/Rural,Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,Low Density Rural,Rural,Rural,Upscale,97031.0,0.409378528594971
1671.0,65+,60+,45+,60+,65+,65 or over,Non Black 60+,White 60+,White 65+,Complete,,3.0,I strongly favor my candidate,Staying about the same,Good and staying the same,Taxes,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Protecting the environment,Favorable,Unfavorable,About the same,2.0,Omit,Barack Obama,Leave it as is,Expand it or leave it as is,,,,,,,Barack Obama,Health care,No,No,,Good,Excellent or good,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Liberal,50009.0,Barack Obama,Has a vision for the future,White,White,State questionnaire,White,West,Female,White women,Non married women,Suburbs,Suburbs,Oregon,Telephone survey,In October,"In October, in September, or before that",Just today or in the last few days or in October,Version 1,,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Upscale,97045.0,0.13162550330162
1948.0,45-65,60+,45+,60+,50-64,60-64,,,,Complete,,4.0,I dislike the other candidates,Getting better,Getting better,The housing market,College graduate,College graduate,More than High school graduate,,Protecting the environment,Favorable,Unfavorable,About the same,3.0,Government should do more to solve problems,Barack Obama,Expand it,Expand it or leave it as is,100k or more,"$30,000 or more",50k or more,"$100,000 - $199,999",100 thousand or more,,Barack Obama,The economy,,Yes,,Not so good,Not so good or poor,45+,18-64,Democrat,,,Democrat,,Moderate,50014.0,Barack Obama,Shares my values,,,State questionnaire,,West,Female,,Married women,Suburbs,Suburbs,Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,97448.0,0.113329246640205
1769.0,45-65,30-59,45+,45-59,50-64,50-59,Non Black 45-59,White 45-59,White 45-64,Complete,,4.0,I strongly favor my candidate,Getting better,Getting better,Rising prices,High school graduate,No college degree,High school graduate or less,White no college degree,Keeping jobs in your state,Favorable,Unfavorable,About the same,3.0,Government should do more to solve problems,Barack Obama,Leave it as is,Expand it or leave it as is,Less than 100k,"$30,000 or more",50k or more,"$50,000 - $99,999",50 to 100 thousand,"Over $50,000 and white",Barack Obama,The economy,No,Yes,,Not so good,Not so good or poor,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,50014.0,Barack Obama,Has a vision for the future,White,White,State questionnaire,White,West,Male,White men,Married men,Suburbs,Suburbs,Oregon,Telephone survey,Before that,"In October, in September, or before that",In September or before that,Version 1,No,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,97448.0,0.184264361858368
1651.0,45-65,60+,45+,60+,50-64,60-64,Non Black 60+,White 60+,White 45-64,Complete,,3.0,I strongly favor my candidate,Getting better,Getting better,Rising prices,College graduate,College graduate,More than High school graduate,White college degree,Protecting the environment,Favorable,Unfavorable,About the same,1.0,Omit,Barack Obama,Leave it as is,Expand it or leave it as is,100k or more,"$30,000 or more",50k or more,"$250,000 or more",100 thousand or more,"Over $50,000 and white",Barack Obama,The economy,No,Yes,,Not so good,Not so good or poor,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,50008.0,Barack Obama,Has a vision for the future,White,White,State questionnaire,White,West,Female,White women,Married women,Suburbs,Suburbs,Oregon,Telephone survey,In September,"In October, in September, or before that",In September or before that,Version 1,No,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,97089.0,0.151675283908844
